
COMMAND: E:\Eproject\ECG\phase1_ecg_robustness\.venv\Scripts\python.exe -u -m src.train --config configs/phase1_full.yaml --resume-completed
Device=cuda; train=17084, val=2146, test=2158; training-only scale_mv=0.22549059
full/resnet/seed_43 epoch=1/25 train_loss=0.36009 val_loss=0.33783 macro_auroc=0.89405 elapsed=52.7s
full/resnet/seed_43 epoch=2/25 train_loss=0.29602 val_loss=0.31999 macro_auroc=0.90168 elapsed=105.5s
full/resnet/seed_43 epoch=3/25 train_loss=0.27434 val_loss=0.31904 macro_auroc=0.90604 elapsed=158.3s
full/resnet/seed_43 epoch=4/25 train_loss=0.26046 val_loss=0.30873 macro_auroc=0.91225 elapsed=211.1s
full/resnet/seed_43 epoch=5/25 train_loss=0.24489 val_loss=0.30741 macro_auroc=0.91512 elapsed=263.9s
full/resnet/seed_43 epoch=6/25 train_loss=0.23311 val_loss=0.30926 macro_auroc=0.91249 elapsed=316.8s
full/resnet/seed_43 epoch=7/25 train_loss=0.22072 val_loss=0.34630 macro_auroc=0.90429 elapsed=369.5s
full/resnet/seed_43 epoch=8/25 train_loss=0.20642 val_loss=0.33112 macro_auroc=0.91139 elapsed=422.3s
full/resnet/seed_43 epoch=9/25 train_loss=0.18912 val_loss=0.36918 macro_auroc=0.89952 elapsed=475.1s
full/resnet/seed_43 epoch=10/25 train_loss=0.17040 val_loss=0.39636 macro_auroc=0.90566 elapsed=527.9s
full/resnet/seed_43 epoch=11/25 train_loss=0.15409 val_loss=0.38887 macro_auroc=0.90280 elapsed=580.7s
full/resnet/seed_43 epoch=12/25 train_loss=0.13705 val_loss=0.42500 macro_auroc=0.89641 elapsed=633.7s
full/resnet/seed_43 epoch=13/25 train_loss=0.12281 val_loss=0.45854 macro_auroc=0.88452 elapsed=686.6s
full/resnet/seed_43 epoch=14/25 train_loss=0.10700 val_loss=0.48293 macro_auroc=0.89086 elapsed=739.3s
full/resnet/seed_43 epoch=15/25 train_loss=0.08786 val_loss=0.52762 macro_auroc=0.89410 elapsed=792.1s
full/resnet/seed_43 epoch=16/25 train_loss=0.07571 val_loss=0.52701 macro_auroc=0.89191 elapsed=844.9s
full/resnet/seed_43 epoch=17/25 train_loss=0.07118 val_loss=0.63872 macro_auroc=0.88361 elapsed=897.6s
full/resnet/seed_43 epoch=18/25 train_loss=0.06091 val_loss=0.59660 macro_auroc=0.88816 elapsed=950.3s
full/resnet/seed_43 epoch=19/25 train_loss=0.05544 val_loss=0.59058 macro_auroc=0.88917 elapsed=1003.1s
full/resnet/seed_43 epoch=20/25 train_loss=0.04703 val_loss=0.64783 macro_auroc=0.88885 elapsed=1055.8s
full/resnet/seed_43 epoch=21/25 train_loss=0.04863 val_loss=0.64091 macro_auroc=0.88876 elapsed=1108.6s
full/resnet/seed_43 epoch=22/25 train_loss=0.04737 val_loss=0.69978 macro_auroc=0.89563 elapsed=1161.9s
full/resnet/seed_43 epoch=23/25 train_loss=0.04161 val_loss=0.63727 macro_auroc=0.89088 elapsed=1214.6s
full/resnet/seed_43 epoch=24/25 train_loss=0.02975 val_loss=0.63996 macro_auroc=0.89086 elapsed=1267.8s
full/resnet/seed_43 epoch=25/25 train_loss=0.02953 val_loss=0.72122 macro_auroc=0.89229 elapsed=1320.6s
full/tcn/seed_17 epoch=1/25 train_loss=0.46459 val_loss=0.45909 macro_auroc=0.83012 elapsed=27.7s
full/tcn/seed_17 epoch=2/25 train_loss=0.36346 val_loss=0.36297 macro_auroc=0.87623 elapsed=55.4s
full/tcn/seed_17 epoch=3/25 train_loss=0.33415 val_loss=0.35898 macro_auroc=0.88569 elapsed=83.5s
full/tcn/seed_17 epoch=4/25 train_loss=0.31795 val_loss=0.32406 macro_auroc=0.89586 elapsed=111.3s
full/tcn/seed_17 epoch=5/25 train_loss=0.30956 val_loss=0.33362 macro_auroc=0.89839 elapsed=138.6s
full/tcn/seed_17 epoch=6/25 train_loss=0.30113 val_loss=0.32431 macro_auroc=0.90096 elapsed=166.3s
full/tcn/seed_17 epoch=7/25 train_loss=0.29592 val_loss=0.34055 macro_auroc=0.90336 elapsed=193.6s
full/tcn/seed_17 epoch=8/25 train_loss=0.28903 val_loss=0.34014 macro_auroc=0.90432 elapsed=221.0s
full/tcn/seed_17 epoch=9/25 train_loss=0.28608 val_loss=0.33408 macro_auroc=0.90641 elapsed=247.7s
full/tcn/seed_17 epoch=10/25 train_loss=0.28150 val_loss=0.31079 macro_auroc=0.91059 elapsed=274.7s
full/tcn/seed_17 epoch=11/25 train_loss=0.27570 val_loss=0.31905 macro_auroc=0.91062 elapsed=302.0s
full/tcn/seed_17 epoch=12/25 train_loss=0.27309 val_loss=0.33181 macro_auroc=0.91129 elapsed=328.9s
full/tcn/seed_17 epoch=13/25 train_loss=0.27039 val_loss=0.32406 macro_auroc=0.91293 elapsed=356.0s
full/tcn/seed_17 epoch=14/25 train_loss=0.26957 val_loss=0.30471 macro_auroc=0.91607 elapsed=384.6s
full/tcn/seed_17 epoch=15/25 train_loss=0.26749 val_loss=0.34218 macro_auroc=0.91250 elapsed=411.9s
full/tcn/seed_17 epoch=16/25 train_loss=0.26284 val_loss=0.29484 macro_auroc=0.91764 elapsed=439.5s
full/tcn/seed_17 epoch=17/25 train_loss=0.26239 val_loss=0.32498 macro_auroc=0.91661 elapsed=467.2s
full/tcn/seed_17 epoch=18/25 train_loss=0.25703 val_loss=0.32342 macro_auroc=0.91715 elapsed=494.5s
full/tcn/seed_17 epoch=19/25 train_loss=0.25735 val_loss=0.33174 macro_auroc=0.91572 elapsed=522.1s
full/tcn/seed_17 epoch=20/25 train_loss=0.25633 val_loss=0.29088 macro_auroc=0.92076 elapsed=549.8s
full/tcn/seed_17 epoch=21/25 train_loss=0.25431 val_loss=0.29283 macro_auroc=0.92102 elapsed=577.6s
full/tcn/seed_17 epoch=22/25 train_loss=0.25327 val_loss=0.35297 macro_auroc=0.91491 elapsed=604.8s
full/tcn/seed_17 epoch=23/25 train_loss=0.25177 val_loss=0.28621 macro_auroc=0.92335 elapsed=631.4s
full/tcn/seed_17 epoch=24/25 train_loss=0.24722 val_loss=0.30662 macro_auroc=0.92142 elapsed=658.8s
full/tcn/seed_17 epoch=25/25 train_loss=0.24635 val_loss=0.31102 macro_auroc=0.92149 elapsed=686.0s
full/tcn/seed_29 epoch=1/25 train_loss=0.46155 val_loss=0.41192 macro_auroc=0.83657 elapsed=26.9s
full/tcn/seed_29 epoch=2/25 train_loss=0.36818 val_loss=0.36199 macro_auroc=0.87115 elapsed=53.6s
full/tcn/seed_29 epoch=3/25 train_loss=0.33766 val_loss=0.40121 macro_auroc=0.88526 elapsed=80.6s
