analysis,phase,model,strategy,source_id,matrix_family,band_id,snr,metric,outcome,seed,value,n_noise,n_matrices
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_f1,structure_effect,17,-0.12064619221475208,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_f1,structure_effect,29,-0.09156220322689922,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_f1,structure_effect,43,-0.09681467535186944,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,ece,electrode_absolute,17,0.121688791217243,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,ece,electrode_absolute,29,0.1063468455310193,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,ece,electrode_absolute,43,0.12588166942955856,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,ece,electrode_drop,17,-0.02870140919545854,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,ece,electrode_drop,29,-0.022620930662587243,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,ece,electrode_drop,43,-0.046311004570232135,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,ece,independent_rms_absolute,17,0.10885377078007936,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,ece,independent_rms_absolute,29,0.08971193557967616,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,ece,independent_rms_absolute,43,0.10415815766144836,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,ece,independent_rms_drop,17,-0.01586638875829491,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,ece,independent_rms_drop,29,-0.005986020711244121,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,ece,independent_rms_drop,43,-0.02458749280212193,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,ece,structure_effect,17,0.012835020437163627,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,ece,structure_effect,29,0.016634909951343122,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,ece,structure_effect,43,0.021723511768110205,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,macro_auroc,electrode_absolute,17,0.8995114244533452,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,macro_auroc,electrode_absolute,29,0.9164937105301815,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,macro_auroc,electrode_absolute,43,0.9157975638638955,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,macro_auroc,electrode_drop,17,0.016690071882661788,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,macro_auroc,electrode_drop,29,0.00977551631640409,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,macro_auroc,electrode_drop,43,0.010645957548202134,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,macro_auroc,independent_rms_absolute,17,0.9048012111541456,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,macro_auroc,independent_rms_absolute,29,0.9226085633691617,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,macro_auroc,independent_rms_absolute,43,0.9204170406031768,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,macro_auroc,independent_rms_drop,17,0.0114002851818615,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,macro_auroc,independent_rms_drop,29,0.0036606634774238125,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,macro_auroc,independent_rms_drop,43,0.0060264808089208755,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,macro_auroc,structure_effect,17,-0.005289786700800288,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,macro_auroc,structure_effect,29,-0.006114852838980278,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,macro_auroc,structure_effect,43,-0.004619476739281259,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,macro_f1,electrode_absolute,17,0.6732436007241694,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,macro_f1,electrode_absolute,29,0.71439607555808,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,macro_f1,electrode_absolute,43,0.7062065225468029,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,macro_f1,electrode_drop,17,0.061837412271441405,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,macro_f1,electrode_drop,29,0.038787685984814656,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,macro_f1,electrode_drop,43,0.03087149522087007,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,macro_f1,independent_rms_absolute,17,0.683432571482056,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,macro_f1,independent_rms_absolute,29,0.74047651560167,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,macro_f1,independent_rms_absolute,43,0.7242119169718445,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,macro_f1,independent_rms_drop,17,0.051648441513554834,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,macro_f1,independent_rms_drop,29,0.012707245941224557,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,macro_f1,independent_rms_drop,43,0.012866100795828561,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,macro_f1,structure_effect,17,-0.01018897075788657,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,macro_f1,structure_effect,29,-0.026080440043590097,6,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,macro_f1,structure_effect,43,-0.01800539442504151,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,ece,electrode_absolute,17,0.20968699034823415,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,ece,electrode_absolute,29,0.18059006383345697,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,ece,electrode_absolute,43,0.22049731712025555,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,ece,electrode_drop,17,-0.11669960832644967,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,ece,electrode_drop,29,-0.09686414896502492,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,ece,electrode_drop,43,-0.14092665226092915,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,ece,independent_rms_absolute,17,0.18577854296201257,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,ece,independent_rms_absolute,29,0.1762600390711644,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,ece,independent_rms_absolute,43,0.17384007473787175,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,ece,independent_rms_drop,17,-0.0927911609402281,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,ece,independent_rms_drop,29,-0.09253412420273237,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,ece,independent_rms_drop,43,-0.0942694098785453,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,ece,structure_effect,17,0.02390844738622157,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,ece,structure_effect,29,0.00433002476229255,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,ece,structure_effect,43,0.046657242382383855,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,macro_auroc,electrode_absolute,17,0.8207463885848617,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,macro_auroc,electrode_absolute,29,0.8499660539454353,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,macro_auroc,electrode_absolute,43,0.8459076709979705,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,macro_auroc,electrode_drop,17,0.09545510775114548,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,macro_auroc,electrode_drop,29,0.0763031729011502,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,macro_auroc,electrode_drop,43,0.0805358504141271,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,macro_auroc,independent_rms_absolute,17,0.8473874431927714,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,macro_auroc,independent_rms_absolute,29,0.8663252907235188,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,macro_auroc,independent_rms_absolute,43,0.8553991240576334,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,macro_auroc,independent_rms_drop,17,0.06881405314323565,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,macro_auroc,independent_rms_drop,29,0.059943936123066734,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,macro_auroc,independent_rms_drop,43,0.07104439735446404,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,macro_auroc,structure_effect,17,-0.02664105460790983,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,macro_auroc,structure_effect,29,-0.01635923677808347,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,macro_auroc,structure_effect,43,-0.009491453059663072,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,macro_f1,electrode_absolute,17,0.47194605158880815,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,macro_f1,electrode_absolute,29,0.4917273615271393,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,macro_f1,electrode_absolute,43,0.5081942168407529,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,macro_f1,electrode_drop,17,0.26313496140680276,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,macro_f1,electrode_drop,29,0.2614564000157553,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,macro_f1,electrode_drop,43,0.22888380092691998,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,macro_f1,independent_rms_absolute,17,0.5350518298458694,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,macro_f1,independent_rms_absolute,29,0.5406594352645456,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,macro_f1,independent_rms_absolute,43,0.5687320731953759,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,macro_f1,independent_rms_drop,17,0.20002918314974152,6,1
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,macro_f1,independent_rms_drop,29,0.21252432627834905,6,1
