analysis,phase,model,strategy,source_id,matrix_family,band_id,snr,metric,outcome,estimate,seed_sd,seed_n,patient_ci_low,patient_ci_high,n_bootstrap,n_invalid,noise_sd,random_matrix_sd
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,electrode_absolute,0.2562252418874529,0.03734896212185538,3,0.23846418590223697,0.2984607852170546,64,0,0.0022032075631237035,
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,electrode_drop,-0.17079725463760528,0.03875229006955909,3,-0.2080567136164537,-0.11128087596019189,64,0,0.002203207563123707,
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,independent_rms_absolute,0.21651570436490095,0.0225842306181958,3,0.207334930522705,0.256731183823373,64,0,0.0037227692152635395,
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,independent_rms_drop,-0.1310877171150533,0.02515243145094428,3,-0.1676158155932583,-0.08204790252025622,64,0,0.0037227692152635335,
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,structure_effect,0.03970953752255196,0.015232774733138277,3,0.028879600477192627,0.04434894459474662,64,0,0.0017379028789213345,
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,electrode_absolute,0.829385332254675,0.024903209276502646,3,0.7878741822571841,0.8731428994525058,64,0,0.006267152576110751,
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,electrode_drop,0.09358608261022183,0.019041539159046737,3,0.06352943663613801,0.11993461096702318,64,0,0.0062671525761107145,
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,independent_rms_absolute,0.8635286787664951,0.018161976298216833,3,0.8264273342022068,0.9008130610787487,64,0,0.004822843370369263,
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,independent_rms_drop,0.059442736098401644,0.012591981064387487,3,0.0355989010526132,0.07778564892416541,64,0,0.004822843370369276,
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,structure_effect,-0.03414334651182018,0.009051087718438645,3,-0.04788616234204781,-0.022354735456502104,64,0,0.010422929715453895,
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_f1,electrode_absolute,0.3993889550550373,0.04169126569205305,3,0.3036909908284297,0.4635244792926438,64,0,0.014242683219848064,
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_f1,electrode_drop,0.3423919757136889,0.03608208371023812,3,0.28243660379043994,0.41197023741665495,64,0,0.014242683219848038,
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_f1,independent_rms_absolute,0.5023966453195442,0.026296124652519175,3,0.3986916912277175,0.58114995001892,64,0,0.012513056483801596,
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_f1,independent_rms_drop,0.239384285449182,0.021789987512274914,3,0.1820592656094026,0.29559815831214875,64,0,0.012513056483801575,
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_f1,structure_effect,-0.10300769026450692,0.015499505770910865,3,-0.1340153705728619,-0.08212575216572422,64,0,0.014833824319951573,
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,ece,electrode_absolute,0.11797243539260695,0.010284007567491135,3,0.12503553310903656,0.15723016143451118,64,0,0.003424002809963692,
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,ece,electrode_drop,-0.03254444814275931,0.012303723489264227,3,-0.05101592916826843,-0.017795092765778182,64,0,0.0034240028099636914,
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,ece,independent_rms_absolute,0.10090795467373463,0.009976238184098063,3,0.11012123086241175,0.14070192286688893,64,0,0.004425078545621703,
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,ece,independent_rms_drop,-0.015479967423886987,0.009306754647711022,3,-0.028359783933122096,-0.0026130914957884907,64,0,0.004425078545621701,
