epoch,train_loss,val_loss,val_macro_auroc,val_macro_ap,val_macro_auroc_defined_classes,val_macro_ap_defined_classes,auroc_class_count,selection_metric,selection_score,epoch_compute_seconds,elapsed_seconds
1,0.4645940452444277,0.45909267791719605,0.8301180812156392,0.6123016928868747,0.8301180812156392,0.6123016928868747,5,macro_auroc,0.8301180812156392,27.632963999989443,27.66392750001978
2,0.36346406064835124,0.36296516418012637,0.8762307947790493,0.7133562516812528,0.8762307947790493,0.7133562516812528,5,macro_auroc,0.8762307947790493,27.719348500017077,55.426920199999586
3,0.3341481788491678,0.3589841207386952,0.8856872508930582,0.7349427689002016,0.8856872508930582,0.7349427689002016,5,macro_auroc,0.8856872508930582,28.048080599983223,83.51716920000035
4,0.3179469426421811,0.32405861065083313,0.8958581509407162,0.7540718361934557,0.8958581509407162,0.7540718361934557,5,macro_auroc,0.8958581509407162,27.763827899936587,111.3228937999811
5,0.3095592184721014,0.33361763192578553,0.8983891767009039,0.7614640269577079,0.8983891767009039,0.7614640269577079,5,macro_auroc,0.8983891767009039,27.244734499952756,138.6153962999815
6,0.3011344281886339,0.324309954938773,0.9009564971813493,0.767337180154382,0.9009564971813493,0.767337180154382,5,macro_auroc,0.9009564971813493,27.66084049991332,166.32457249995787
7,0.2959152429326026,0.34054747240518923,0.9033644574042707,0.7706695747675412,0.9033644574042707,0.7706695747675412,5,macro_auroc,0.9033644574042707,27.269300199928693,193.63825329998508
8,0.2890321469940533,0.3401398714301971,0.9043198176713553,0.7746217903545018,0.9043198176713553,0.7746217903545018,5,macro_auroc,0.9043198176713553,27.29410290007945,220.98071030003484
9,0.2860754232263152,0.3340825611258486,0.9064072657077549,0.7780588248309829,0.9064072657077549,0.7780588248309829,5,macro_auroc,0.9064072657077549,26.70213510002941,247.73703570000362
10,0.28150025259217565,0.3107936658374861,0.9105897011863098,0.7859126543713153,0.9105897011863098,0.7859126543713153,5,macro_auroc,0.9105897011863098,26.96270600007847,274.74804960004985
11,0.2756977897530779,0.31904592482374855,0.9106203325647464,0.7860415665009022,0.9106203325647464,0.7860415665009022,5,macro_auroc,0.9106203325647464,27.236644600052387,302.02649990003556
12,0.2730934758273982,0.33180648121784917,0.9112931694161805,0.7889637949492893,0.9112931694161805,0.7889637949492893,5,macro_auroc,0.9112931694161805,26.823301500058733,328.89477460004855
13,0.2703936281883306,0.3240644979565808,0.9129346188458847,0.7907464651379065,0.9129346188458847,0.7907464651379065,5,macro_auroc,0.9129346188458847,27.096834199968725,356.0344586999854
14,0.2695673059046729,0.3047062534099412,0.9160689524407013,0.7951722072088934,0.9160689524407013,0.7951722072088934,5,macro_auroc,0.9160689524407013,28.51625200000126,384.60446139995474
15,0.26748529166590274,0.3421753193881061,0.9124957639240374,0.7895420275263709,0.9124957639240374,0.7895420275263709,5,macro_auroc,0.9124957639240374,27.22316920000594,411.88519369997084
16,0.2628402367209808,0.29483870824474323,0.9176370308941599,0.7999672277088112,0.9176370308941599,0.7999672277088112,5,macro_auroc,0.9176370308941599,27.579672300023958,439.4923174000578
17,0.262385784805142,0.3249830780802546,0.9166056821016937,0.7952732890395114,0.9166056821016937,0.7952732890395114,5,macro_auroc,0.9166056821016937,27.668930700048804,467.2001333000371
18,0.25702962223845993,0.32342228996120426,0.9171466980396978,0.7980875417562767,0.9171466980396978,0.7980875417562767,5,macro_auroc,0.9171466980396978,27.308627099962905,494.5305899999803
19,0.25734969026672283,0.3317433444840377,0.9157190449234335,0.7966425621549942,0.9157190449234335,0.7966425621549942,5,macro_auroc,0.9157190449234335,27.532459000009112,522.0871562999673
20,0.2563313562148239,0.2908847158408454,0.9207614903372514,0.8031284660690936,0.9207614903372514,0.8031284660690936,5,macro_auroc,0.9207614903372514,27.703755900030956,549.8145319999894
21,0.2543057798501955,0.29283280372064135,0.9210191014352119,0.8033840575894613,0.9210191014352119,0.8033840575894613,5,macro_auroc,0.9210191014352119,27.761347000021487,577.623926899978
22,0.25327282789523303,0.352968827514924,0.9149119344049856,0.7951408667756505,0.9149119344049856,0.7951408667756505,5,macro_auroc,0.9149119344049856,27.13482430006843,604.8061319000553
23,0.2517726604105633,0.28620882119848035,0.9233515986513077,0.807641047337326,0.9233515986513077,0.807641047337326,5,macro_auroc,0.9233515986513077,26.562878099968657,631.3911103999708
24,0.2472238531787567,0.30661732011161336,0.9214236487034126,0.80568102293605,0.9214236487034126,0.80568102293605,5,macro_auroc,0.9214236487034126,27.368821799987927,658.8052082000067
25,0.24635276095813008,0.3110241795241666,0.9214942823835397,0.8070398341768904,0.9214942823835397,0.8070398341768904,5,macro_auroc,0.9214942823835397,27.14770780003164,685.9786328000482
