epoch,train_loss,val_loss,val_macro_auroc,val_macro_ap,val_macro_f1_at_0p5,clean_count,clean_fraction,independent_count,independent_fraction,electrode_count,electrode_fraction,snr_20_count,snr_10_count,combo_RA_LA_LL_count,combo_V1_count,combo_V2_count,combo_V3_count,combo_V4_count,combo_V5_count,combo_V6_count,combo_RA_LA_count,combo_LA_LL_count,combo_RA_LL_count,actual_snr_db_count,actual_snr_db_mean,actual_snr_db_std,actual_snr_db_min,actual_snr_db_max,actual_snr_error_db_count,actual_snr_error_db_mean,actual_snr_error_db_std,actual_snr_error_db_min,actual_snr_error_db_max,rms_match_relative_error_count,rms_match_relative_error_mean,rms_match_relative_error_std,rms_match_relative_error_min,rms_match_relative_error_max,exposure_count,unique_records,exposure_min,exposure_max,order_sha256,epoch_seconds,elapsed_seconds
1,0.4771527301173834,0.4013249010319812,0.8408433191159892,0.6332537851384984,0.4879750786582878,17084,1.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,,0,,,,,17084,17084,1,1,e499188b7a93ebbfebed6f27f4f53be191601e228469a404b857c68505c0273d,30.459518300020136,30.497588800033554
2,0.36134844280132167,0.395590415066464,0.8773333854542715,0.70717058427248,0.5532506682930749,17084,1.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,,0,,,,,17084,17084,1,1,c6b3aa981fbd5703f92ec516d130d39600a1e28fb3c4054a50c5af80acf0c0fb,30.862449900014326,61.50028120004572
3,0.33537697714599285,0.3423694715750962,0.8908477631690142,0.7385596532449812,0.6258436753653192,17084,1.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,,0,,,,,17084,17084,1,1,26c8edf45956229763fa05c4a72b0f61c4b304979d94cdc31f2d004586cce9ea,31.835651900037192,93.48054890008643
4,0.3168128848745739,0.3320711375338278,0.896334016054541,0.7527739140106151,0.64956262302827,17084,1.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,,0,,,,,17084,17084,1,1,57383241e96086e404c866307f8688485947dc86097d70e734d79252f2eabaac,31.336500099976547,124.97016390005592
5,0.3072168967032204,0.3346560437437095,0.9010768793350342,0.7629497838335536,0.6537128670475016,17084,1.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,,0,,,,,17084,17084,1,1,ede9a333efa8c2a00ea55edf84cffca1eac09dc3ba5b6f0ff30c1222e12cb9ab,31.917823099996895,157.02622020000126
6,0.3027315000144081,0.32185280542449207,0.9028099789627557,0.7701317037800842,0.6827914184713534,17084,1.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,,0,,,,,17084,17084,1,1,891201ba470dfdaba32dc49702b5bbde1655841052bf2e7be6d1e566028d9438,31.485018700012006,188.68331930006389
7,0.2937462019595182,0.3503815538118848,0.9037315112764037,0.7707245827777511,0.6416336283565234,17084,1.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,,0,,,,,17084,17084,1,1,dbd9451b423ec78a6c3b0b6e62e5df6de2f67440b8d9d9861eade3188150a18d,31.27977879997343,220.1201748000458
8,0.2908347526609242,0.3426886216736462,0.9048416943307995,0.7746652163615282,0.668956783501453,17084,1.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,,0,,,,,17084,17084,1,1,e8619dc843fb5356a82addbec01a265e89170905a4ef0dd9a042a6d9711690a8,32.17223789996933,252.431845300016
9,0.28616845406795993,0.30817889300663676,0.9095923137526892,0.7838657906262518,0.677089123864967,17084,1.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,,0,,,,,17084,17084,1,1,a19d2b38422d7b32d5c5b41f778843e4832cc38d8d02347a2cb8efb818633987,32.01371189998463,284.6016772000585
10,0.28230615930810127,0.33287784035030304,0.9089192925911774,0.7822760283670251,0.6754678723959371,17084,1.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,,0,,,,,17084,17084,1,1,020424ff520efd0d375aa3ce70db07b3d49c93c139327043511f7c765d309c16,32.93605950009078,317.6853691000724
11,0.2763205545899238,0.33826415003290383,0.9094613223440856,0.7846874648192885,0.6703305153590845,17084,1.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,,0,,,,,17084,17084,1,1,f377abbe9b3c226a16fb84ecebca9bdf7e6ace167f95ddc10728a021f698f6e7,32.29561430006288,350.1175803000806
12,0.27732073373131383,0.3238933282207354,0.9127046032200623,0.7893548527568892,0.6855777281623177,17084,1.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,,0,,,,,17084,17084,1,1,cfb359e38f53cff1f5da5d4f7722fe6c1b33a18c7db9461b8e69c1ca6916d74c,32.17128580005374,382.4156945999712
13,0.27012426538200573,0.3342928093999541,0.9131885630739417,0.7923048496496327,0.6738213438644165,17084,1.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,,,,0,,,,,17084,17084,1,1,38d86802457d596c0c1cc291f488ec53ba926fdd565c27129ad9b23b29c0dd92,32.18391719995998,414.7643599000294
