analysis,phase,model,strategy,source_id,matrix_family,band_id,snr,metric,outcome,seed,value,n_noise
snr,phase2,resnet,clean_only,standard,standard,legacy_0p5_40,5,macro_auroc,structure_effect,29,-0.005749340001057868,5
snr,phase2,resnet,clean_only,standard,standard,legacy_0p5_40,5,macro_auroc,structure_effect,43,-0.004131918298417969,5
snr,phase2,resnet,clean_only,standard,standard,legacy_0p5_40,5,macro_auroc,structure_effect,101,-0.007964856696246359,5
snr,phase2,resnet,clean_only,standard,standard,legacy_0p5_40,5,macro_auroc,structure_effect,202,-0.007480989041792396,5
snr,phase2,resnet,clean_only,standard,standard,legacy_0p5_40,5,macro_f1,structure_effect,17,-0.021960921888886986,5
snr,phase2,resnet,clean_only,standard,standard,legacy_0p5_40,5,macro_f1,structure_effect,29,-0.031645889982915065,5
snr,phase2,resnet,clean_only,standard,standard,legacy_0p5_40,5,macro_f1,structure_effect,43,-0.02332433058795813,5
snr,phase2,resnet,clean_only,standard,standard,legacy_0p5_40,5,macro_f1,structure_effect,101,-0.02576258512077867,5
snr,phase2,resnet,clean_only,standard,standard,legacy_0p5_40,5,macro_f1,structure_effect,202,-0.020398646430948908,5
snr,phase2,resnet,clean_only,standard,standard,legacy_0p5_40,5,ece,structure_effect,17,0.01676983263088956,5
snr,phase2,resnet,clean_only,standard,standard,legacy_0p5_40,5,ece,structure_effect,29,0.018660724577579516,5
snr,phase2,resnet,clean_only,standard,standard,legacy_0p5_40,5,ece,structure_effect,43,0.023076604916154583,5
snr,phase2,resnet,clean_only,standard,standard,legacy_0p5_40,5,ece,structure_effect,101,0.022451106939837692,5
snr,phase2,resnet,clean_only,standard,standard,legacy_0p5_40,5,ece,structure_effect,202,0.013301048317869837,5
snr,phase2,resnet,clean_only,standard,standard,legacy_0p5_40,0,macro_auroc,structure_effect,17,-0.02402231638779173,5
snr,phase2,resnet,clean_only,standard,standard,legacy_0p5_40,0,macro_auroc,structure_effect,29,-0.020393774570431233,5
snr,phase2,resnet,clean_only,standard,standard,legacy_0p5_40,0,macro_auroc,structure_effect,43,-0.013103982763659316,5
snr,phase2,resnet,clean_only,standard,standard,legacy_0p5_40,0,macro_auroc,structure_effect,101,-0.02432661299546146,5
snr,phase2,resnet,clean_only,standard,standard,legacy_0p5_40,0,macro_auroc,structure_effect,202,-0.01943245586179798,5
snr,phase2,resnet,clean_only,standard,standard,legacy_0p5_40,0,macro_f1,structure_effect,17,-0.06910019177240939,5
snr,phase2,resnet,clean_only,standard,standard,legacy_0p5_40,0,macro_f1,structure_effect,29,-0.05497356104076567,5
snr,phase2,resnet,clean_only,standard,standard,legacy_0p5_40,0,macro_f1,structure_effect,43,-0.05679221301544379,5
snr,phase2,resnet,clean_only,standard,standard,legacy_0p5_40,0,macro_f1,structure_effect,101,-0.09141197700548287,5
snr,phase2,resnet,clean_only,standard,standard,legacy_0p5_40,0,macro_f1,structure_effect,202,-0.05051658508443391,5
snr,phase2,resnet,clean_only,standard,standard,legacy_0p5_40,0,ece,structure_effect,17,0.02439596095214483,5
snr,phase2,resnet,clean_only,standard,standard,legacy_0p5_40,0,ece,structure_effect,29,0.007183458068721865,5
snr,phase2,resnet,clean_only,standard,standard,legacy_0p5_40,0,ece,structure_effect,43,0.039485050744577005,5
snr,phase2,resnet,clean_only,standard,standard,legacy_0p5_40,0,ece,structure_effect,101,0.03861852255815315,5
snr,phase2,resnet,clean_only,standard,standard,legacy_0p5_40,0,ece,structure_effect,202,0.021868780302963436,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,20,macro_auroc,structure_effect,17,-1.8834111033649847e-05,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,20,macro_auroc,structure_effect,29,-0.00025316502849681566,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,20,macro_auroc,structure_effect,43,4.6782935492983846e-05,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,20,macro_auroc,structure_effect,101,4.117566485994928e-06,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,20,macro_auroc,structure_effect,202,-6.264734750338619e-05,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,20,macro_f1,structure_effect,17,0.0005840650164261607,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,20,macro_f1,structure_effect,29,-0.00016699438412326462,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,20,macro_f1,structure_effect,43,-0.00021703270768202998,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,20,macro_f1,structure_effect,101,0.0013901611983535567,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,20,macro_f1,structure_effect,202,0.0011684931912000485,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,20,ece,structure_effect,17,-0.00024620629496666796,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,20,ece,structure_effect,29,-0.0008807444332722333,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,20,ece,structure_effect,43,0.0003806212269137771,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,20,ece,structure_effect,101,-0.00031300593997410364,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,20,ece,structure_effect,202,-0.0017036235965049926,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,15,macro_auroc,structure_effect,17,-0.00031964051663035953,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,15,macro_auroc,structure_effect,29,-0.0007043516069321631,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,15,macro_auroc,structure_effect,43,-0.00012527429988828942,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,15,macro_auroc,structure_effect,101,-0.00028605238369716623,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,15,macro_auroc,structure_effect,202,-0.0003015375025988698,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,15,macro_f1,structure_effect,17,-0.002200000370417121,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,15,macro_f1,structure_effect,29,-0.0007159559800018478,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,15,macro_f1,structure_effect,43,-0.0005392356746302118,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,15,macro_f1,structure_effect,101,0.00013017576555063304,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,15,macro_f1,structure_effect,202,0.0009183372539850465,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,15,ece,structure_effect,17,0.0005016574006472679,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,15,ece,structure_effect,29,-0.001762833224296368,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,15,ece,structure_effect,43,-0.00020070269470101598,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,15,ece,structure_effect,101,-0.001563842810652985,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,15,ece,structure_effect,202,-0.0008653894433150455,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,10,macro_auroc,structure_effect,17,-0.0014165992079913092,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,10,macro_auroc,structure_effect,29,-0.0018921078303770766,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,10,macro_auroc,structure_effect,43,-0.0005747926395361924,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,10,macro_auroc,structure_effect,101,-0.0010340822361420976,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,10,macro_auroc,structure_effect,202,-0.0012140512388029157,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,10,macro_f1,structure_effect,17,-0.003369813470156635,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,10,macro_f1,structure_effect,29,-0.001805885666472662,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,10,macro_f1,structure_effect,43,-0.003025768629187686,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,10,macro_f1,structure_effect,101,0.00037178494341927326,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,10,macro_f1,structure_effect,202,-0.00305306965752572,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,10,ece,structure_effect,17,0.0028644707073785663,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,10,ece,structure_effect,29,0.005316842521030957,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,10,ece,structure_effect,43,0.00017711836960256772,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,10,ece,structure_effect,101,-0.0026068765999324173,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,10,ece,structure_effect,202,-0.001378467089271758,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,5,macro_auroc,structure_effect,17,-0.0057417785400880605,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,5,macro_auroc,structure_effect,29,-0.005727146080338641,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,5,macro_auroc,structure_effect,43,-0.0028631411311144106,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,5,macro_auroc,structure_effect,101,-0.0037845950174105747,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,5,macro_auroc,structure_effect,202,-0.004512554160014726,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,5,macro_f1,structure_effect,17,-0.01411435287845142,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,5,macro_f1,structure_effect,29,-0.01908716066479854,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,5,macro_f1,structure_effect,43,-0.007593707730459087,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,5,macro_f1,structure_effect,101,-0.0021208969084662854,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,5,macro_f1,structure_effect,202,-0.011226437046584548,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,5,ece,structure_effect,17,0.01741248004732171,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,5,ece,structure_effect,29,0.03162198431582321,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,5,ece,structure_effect,43,0.01722699624926252,5
snr,phase2,resnet,independent_rms,standard,standard,legacy_0p5_40,5,ece,structure_effect,101,-0.0020875370442848123,5
