model,strategy,x_mean,x_seed_sd,x_ci_low,x_ci_high,y_mean,y_seed_sd,y_ci_low,y_ci_high,n_seeds,n_bootstrap,n_invalid_x,n_invalid_y,clean_auroc,joint_unseen_auroc,point_dominated
resnet,clean_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2000,0,0,0.9071515636485158,0.8894741165186734,True
resnet,independent_rms,-0.0013641168413217164,0.0011314152816522633,-0.0026786064290873005,-1.1461742956368436e-06,0.009003605583568585,0.00468475683777879,0.00780591283232347,0.010212161645017894,5,2000,0,0,0.9085156804898376,0.8989898550834194,True
resnet,electrode,-0.0021684056865215683,0.002083944958585179,-0.0037829514872234197,-0.0005739891166074151,0.010375595201738275,0.004351072733562526,0.008877435471234848,0.011922971343079946,5,2000,0,0,0.9093199693350373,0.9010332590647536,False
resnet,mixed,-0.0009681935738607983,0.0015849270125903455,-0.0026568825400862407,0.0005306350351631704,0.010553025841776798,0.006712841547577398,0.009147352073356044,0.011941010817409215,5,2000,0,0,0.9081197572223765,0.9000032231564414,False
tcn,clean_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2000,0,0,0.9177114687888009,0.9098849122178443,False
tcn,independent_rms,0.00031190898882751397,0.00043199499214457716,-0.00029358560726831296,0.0009068541393707189,0.002528083085334032,0.001438664991603501,0.001959087349697398,0.003116676993453017,5,2000,0,0,0.9173995597999735,0.9118947270634422,False
tcn,electrode,0.0008200025305855841,0.000437993532713318,0.0001666378540790986,0.0014625382158852866,0.003666483057707559,0.0015570779027774657,0.0027874788506460735,0.004629226158862794,5,2000,0,0,0.9168914662582154,0.9124337185430044,False
tcn,mixed,0.0005364358656349211,0.0006096385041234623,-2.529551168377275e-05,0.0010735814612347625,0.00333279265631401,0.0012666391908427777,0.0025135824298748105,0.004206738830940362,5,2000,0,0,0.917175032923166,0.9124095231914847,False
