analysis,phase,model,strategy,source_id,matrix_family,band_id,snr,metric,outcome,estimate,seed_sd,seed_n,patient_ci_low,patient_ci_high,n_bootstrap,n_invalid,noise_sd,random_matrix_sd
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,10,macro_f1,structure_effect,-0.016400817477808263,0.0020426427360212738,3,-0.019385194590878382,-0.01327333470056604,2000,0,0.002238171502178053,
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,ece,electrode_absolute,0.15899486500310822,0.01774445626130735,3,0.15464881008671238,0.16732470324591217,2000,0,0.0007087845300843818,
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,ece,electrode_drop,-0.1120144983837965,0.010430762606185078,3,-0.11908512221325142,-0.10177941101631444,2000,0,0.0007087845300843818,
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,ece,independent_rms_absolute,0.13520205853454823,0.008092419002474305,3,0.131082914655906,0.14360747627103523,2000,0,0.0004979458397658959,
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,ece,independent_rms_drop,-0.08822169191523647,0.0061401685773206,3,-0.0953577202281063,-0.07805551554020027,2000,0,0.0004979458397659072,
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,ece,structure_effect,0.023792806468560024,0.015895492290708784,3,0.02218441679022906,0.025074935716824977,2000,0,0.0007434952985929373,
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,macro_auroc,electrode_absolute,0.8141237062588832,0.01680885331517261,3,0.8038160975752842,0.8229977632043085,2000,0,0.0013369638875810196,
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,macro_auroc,electrode_drop,0.09371102259895363,0.015908107243193612,3,0.08762692716221544,0.10003672298060953,2000,0,0.001336963887581001,
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,macro_auroc,independent_rms_absolute,0.8331074411113447,0.011664025752565796,3,0.8233885266347212,0.8423030240141286,2000,0,0.001487799601738465,
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,macro_auroc,independent_rms_drop,0.07472728774649207,0.01075835832919304,3,0.06931239427880322,0.08033305299765472,2000,0,0.0014877996017384986,
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,macro_auroc,structure_effect,-0.018983734852461544,0.005576598461208795,3,-0.021111281997940094,-0.017021494625242568,2000,0,0.0025576718247443788,
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,macro_f1,electrode_absolute,0.4859870989649789,0.02525468698965348,3,0.4709458256048846,0.4989731033854741,2000,0,0.002587646263514071,
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,macro_f1,electrode_drop,0.23174873156079098,0.0245424033540531,3,0.21984365691116567,0.2436346390725739,2000,0,0.0025876462635140577,
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,macro_f1,independent_rms_absolute,0.5454774834764683,0.027999675963113698,3,0.5296490318095488,0.5591138666553763,2000,0,0.0027048729581747952,
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,macro_f1,independent_rms_drop,0.17225834704930157,0.02882861341112622,3,0.1613815624194432,0.1829787749658044,2000,0,0.002704872958174801,
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,0,macro_f1,structure_effect,-0.059490384511489414,0.008483914052009952,3,-0.0642372216449692,-0.055012219962084115,2000,0,0.002438378089529611,
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,10,ece,electrode_absolute,0.06020867527637621,0.01673789346282641,3,0.059899399655954366,0.06850179773492328,2000,0,0.0006969407968630304,
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,10,ece,electrode_drop,-0.013228308657064444,0.008752947202543968,3,-0.019456010354242655,-0.008035180676464254,2000,0,0.0006969407968630348,
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,10,ece,independent_rms_absolute,0.0532447797746366,0.01666708785701281,3,0.05352525948458875,0.06131093574650731,2000,0,0.000497937872346868,
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,10,ece,independent_rms_drop,-0.006264413155324835,0.008710817422064046,3,-0.011680530369432047,-0.002412050872848086,2000,0,0.0004979378723468663,
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,10,ece,structure_effect,0.006963895501739607,0.0002522629858095739,3,0.004995638282526827,0.008323662940197266,2000,0,0.0009132508434890681,
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,10,macro_auroc,electrode_absolute,0.8962783701602405,0.004475515159880008,3,0.8879677124384338,0.9039495189581769,2000,0,0.0004210373832484165,
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,10,macro_auroc,electrode_drop,0.011556358697596218,0.003604757713393459,3,0.009914574330493477,0.013299094705597586,2000,0,0.000421037383248461,
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,10,macro_auroc,independent_rms_absolute,0.8985475667789479,0.0034179661813600916,3,0.8901991776644351,0.9062578085016845,2000,0,0.00042251294346102626,
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,10,macro_auroc,independent_rms_drop,0.009287162078888923,0.0025320523162492455,3,0.007863551995054154,0.010787265235133568,2000,0,0.00042251294346109787,
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,10,macro_auroc,structure_effect,-0.0022691966187072935,0.0010911035403495392,3,-0.002947487001483259,-0.0015993196099215038,2000,0,0.000767007433183704,
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,10,macro_f1,electrode_absolute,0.6913929004493871,0.01050044475174725,3,0.6776086495305628,0.7044153327427916,2000,0,0.0007969763724526988,
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,10,macro_f1,electrode_drop,0.026342930076382793,0.007671490803876836,3,0.020480810627680906,0.031800017192652595,2000,0,0.0007969763724527366,
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,10,macro_f1,independent_rms_absolute,0.6980476959988263,0.009726939520254316,3,0.6838821185356824,0.7111817902791259,2000,0,0.0010944038940914683,
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,10,macro_f1,independent_rms_drop,0.01968813452694357,0.006638789295865544,3,0.014278530729887256,0.024653935870512914,2000,0,0.0010944038940914297,
band,phase1,resnet,clean_only,band_0p5_40,standard,band_0p5_40,10,macro_f1,structure_effect,-0.0066547955494392205,0.0010598811876912095,3,-0.008789218768380841,-0.004528891665468415,2000,0,0.0008286251722136856,
band,phase1,resnet,clean_only,band_15_40,standard,band_15_40,0,ece,electrode_absolute,0.11089014152552568,0.030110806162618086,3,0.10760942241065624,0.11878266257906128,2000,0,0.0007064431469906508,
band,phase1,resnet,clean_only,band_15_40,standard,band_15_40,0,ece,electrode_drop,-0.0639097749062139,0.02410149362985543,3,-0.07054211713555274,-0.05436769085411344,2000,0,0.0007064431469906585,
band,phase1,resnet,clean_only,band_15_40,standard,band_15_40,0,ece,independent_rms_absolute,0.10485167156988555,0.02938450782844736,3,0.10177810275178563,0.11253369019842638,2000,0,0.0011421445161830196,
