model,strategy,kind,combo_set,combo_id,snr,metric,seed,x,y,baseline_electrode_auroc,baseline_independent_rms_auroc,strategy_electrode_auroc
resnet,independent_rms,bandpass,all,all,10,macro_auroc,101,-0.002122307548617086,0.002281401194035082,0.9022712329341284,0.9043935404827455,0.9045526341281634
resnet,independent_rms,bandpass,all,all,10,macro_auroc,202,-0.0018671621345380807,0.00640937098785388,0.8968199039244105,0.8986870660589485,0.9032292749122643
resnet,independent_rms,bandpass,all,all,5,macro_auroc,17,-0.010685863109087257,0.02820992240466469,0.8648540384475757,0.875539901556663,0.8930639608522404
resnet,independent_rms,bandpass,all,all,5,macro_auroc,29,-0.005749340001057868,0.010865610726080277,0.8794024120260007,0.8851517520270585,0.890268022752081
resnet,independent_rms,bandpass,all,all,5,macro_auroc,43,-0.004131918298417969,0.013547778594625193,0.8820620035221799,0.8861939218205979,0.8956097821168051
resnet,independent_rms,bandpass,all,all,5,macro_auroc,101,-0.007964856696246359,0.011148138664510143,0.883624128599787,0.8915889852960334,0.8947722672642971
resnet,independent_rms,bandpass,all,all,5,macro_auroc,202,-0.007480989041792396,0.017853640500529733,0.8750218738420831,0.8825028628838755,0.8928755143426128
resnet,independent_rms,bandpass,all,all,0,macro_auroc,17,-0.02402231638779173,0.05675867561825243,0.7972982807960115,0.8213205971838032,0.8540569564142639
resnet,independent_rms,bandpass,all,all,0,macro_auroc,29,-0.020393774570431233,0.0323136107700247,0.8142722810295513,0.8346660555999825,0.846585891799576
resnet,independent_rms,bandpass,all,all,0,macro_auroc,43,-0.013103982763659316,0.03130317956977524,0.8318232636970512,0.8449272464607105,0.8631264432668264
resnet,independent_rms,bandpass,all,all,0,macro_auroc,101,-0.02432661299546146,0.03619382015431061,0.8238958704344546,0.848222483429916,0.8600896905887652
resnet,independent_rms,bandpass,all,all,0,macro_auroc,202,-0.01943245586179798,0.055174746585239354,0.792781439748959,0.812213895610757,0.8479561863341983
resnet,independent_rms,bandpass,heldout,LA,20,macro_auroc,17,-0.0002872958422470706,0.00334362190049331,0.9053017167080633,0.9055890125503103,0.9086453386085566
resnet,independent_rms,bandpass,heldout,LA,20,macro_auroc,29,-4.653750519278965e-05,0.0008737107579190884,0.9068277319110274,0.9068742694162202,0.9077014426689465
resnet,independent_rms,bandpass,heldout,LA,20,macro_auroc,43,-0.0001722246089448376,0.0011648657583291921,0.9078049691580157,0.9079771937669605,0.9089698349163449
resnet,independent_rms,bandpass,heldout,LA,20,macro_auroc,101,-6.286540057409695e-06,0.0005476509129480611,0.908349816076351,0.9083561026164084,0.9088974669892991
resnet,independent_rms,bandpass,heldout,LA,20,macro_auroc,202,-0.0004416263360007555,0.0034664668964055068,0.9033376560601345,0.9037792823961353,0.90680412295654
resnet,independent_rms,bandpass,heldout,LA,15,macro_auroc,17,-0.001274272386786679,0.005887281013094103,0.9015356048750774,0.9028098772618641,0.9074228858881715
resnet,independent_rms,bandpass,heldout,LA,15,macro_auroc,29,-0.0001720074832881613,0.0020933229802674314,0.9045779295082669,0.904749936991555,0.9066712524885343
resnet,independent_rms,bandpass,heldout,LA,15,macro_auroc,43,-0.00023666103434238916,0.0018698988952344786,0.9061692785523233,0.9064059395866657,0.9080391774475578
resnet,independent_rms,bandpass,heldout,LA,15,macro_auroc,101,-0.0005889640878246061,0.0009056349147325005,0.9072060075101659,0.9077949715979905,0.9081116424248984
resnet,independent_rms,bandpass,heldout,LA,15,macro_auroc,202,-0.001482527550576429,0.004719545428538363,0.9012616733529171,0.9027442009034935,0.9059812187814554
resnet,independent_rms,bandpass,heldout,LA,10,macro_auroc,17,-0.0031065091905345676,0.011617614077993665,0.8920251060544793,0.8951316152450138,0.9036427201324729
resnet,independent_rms,bandpass,heldout,LA,10,macro_auroc,29,-0.0007236606395649714,0.004591835218181184,0.8980737167449655,0.8987973773845305,0.9026655519631467
resnet,independent_rms,bandpass,heldout,LA,10,macro_auroc,43,-0.0008102308671540381,0.0046729571089263455,0.9003953094040258,0.9012055402711798,0.9050682665129521
resnet,independent_rms,bandpass,heldout,LA,10,macro_auroc,101,-0.002558922951621412,0.0035379750519919373,0.9017138272709848,0.9042727502226062,0.9052518023229768
resnet,independent_rms,bandpass,heldout,LA,10,macro_auroc,202,-0.004609928495628912,0.009227895278460352,0.8933666401038695,0.8979765685994984,0.9025945353823298
resnet,independent_rms,bandpass,heldout,LA,5,macro_auroc,17,-0.011685976077199123,0.026673620392385078,0.863909897417966,0.8755958734951651,0.890583517810351
resnet,independent_rms,bandpass,heldout,LA,5,macro_auroc,29,-0.004272211928190495,0.010350170153336169,0.8778824500014453,0.8821546619296358,0.8882326201547814
resnet,independent_rms,bandpass,heldout,LA,5,macro_auroc,43,-0.0036164195505786756,0.012274352420108103,0.8823948718963063,0.886011291446885,0.8946692243164144
resnet,independent_rms,bandpass,heldout,LA,5,macro_auroc,101,-0.010374297354666218,0.014453415771254918,0.8811152623148999,0.8914895596695661,0.8955686780861548
resnet,independent_rms,bandpass,heldout,LA,5,macro_auroc,202,-0.016966345621821755,0.026013023008039093,0.8622780218167735,0.8792443674385952,0.8882910448248126
resnet,independent_rms,bandpass,heldout,LA,0,macro_auroc,17,-0.028177380781895245,0.05040578677690344,0.7932046613870988,0.821382042168994,0.8436104481640022
resnet,independent_rms,bandpass,heldout,LA,0,macro_auroc,29,-0.014795048595120264,0.022171059854173336,0.8122185333213954,0.8270135819165156,0.8343895931755687
