analysis,phase,model,strategy,source_id,matrix_family,band_id,snr,metric,outcome,seed,noise_seed,value,n_matrices
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,independent_rms_absolute,43,303,0.19266285045840081,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,independent_rms_absolute,43,404,0.19163495849244494,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,independent_rms_absolute,43,505,0.19233007971544086,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,independent_rms_absolute,43,8128,0.1928794505777543,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,independent_rms_drop,17,101,-0.11552174864551247,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,independent_rms_drop,17,202,-0.11437381233249654,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,independent_rms_drop,17,303,-0.1151038031603656,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,independent_rms_drop,17,404,-0.11716231302197967,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,independent_rms_drop,17,505,-0.11607333342050384,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,independent_rms_drop,17,8128,-0.11838094607333234,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,independent_rms_drop,29,101,-0.10987335845004587,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,independent_rms_drop,29,202,-0.10982689753997829,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,independent_rms_drop,29,303,-0.10993570305291078,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,independent_rms_drop,29,404,-0.1086075398670191,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,independent_rms_drop,29,505,-0.11090811606959011,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,independent_rms_drop,29,8128,-0.11196055731568827,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,independent_rms_drop,43,101,-0.14454674659084393,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,independent_rms_drop,43,202,-0.1447508507990754,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,independent_rms_drop,43,303,-0.1444855935263173,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,independent_rms_drop,43,404,-0.14345770156036142,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,independent_rms_drop,43,505,-0.14415282278335734,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,independent_rms_drop,43,8128,-0.14470219364567077,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,structure_effect,17,101,0.05028203327720274,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,structure_effect,17,202,0.05131226872744399,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,structure_effect,17,303,0.04932435832888318,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,structure_effect,17,404,0.04997076504928605,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,structure_effect,17,505,0.050078401558086794,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,structure_effect,17,8128,0.047115603580670795,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,structure_effect,29,101,0.024860053597019954,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,structure_effect,29,202,0.024955918847989006,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,structure_effect,29,303,0.02043145416436387,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,structure_effect,29,404,0.026733729265184608,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,structure_effect,29,505,0.02423626659267547,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,structure_effect,29,8128,0.021624887574611507,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,structure_effect,43,101,0.04597288720434661,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,structure_effect,43,202,0.04448424151927943,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,structure_effect,43,303,0.04524547570916426,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,structure_effect,43,404,0.04742280227975382,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,structure_effect,43,505,0.044390481950420724,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,ece,structure_effect,43,8128,0.04509151058583091,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,electrode_absolute,17,101,0.7843632142559871,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,electrode_absolute,17,202,0.7913927566351617,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,electrode_absolute,17,303,0.7883514409065289,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,electrode_absolute,17,404,0.7899348931842389,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,electrode_absolute,17,505,0.7890926941085074,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,electrode_absolute,17,8128,0.790996240074616,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,electrode_absolute,29,101,0.8165628649246492,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,electrode_absolute,29,202,0.8207324171340659,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,electrode_absolute,29,303,0.8146927534529833,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,electrode_absolute,29,404,0.817904914214244,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,electrode_absolute,29,505,0.8174507664494909,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,electrode_absolute,29,8128,0.81995728938239,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,electrode_absolute,43,101,0.8260942471851196,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,electrode_absolute,43,202,0.8211736682195406,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,electrode_absolute,43,303,0.8260590094048798,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,electrode_absolute,43,404,0.8249064740274997,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,electrode_absolute,43,505,0.8234449253313096,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,electrode_absolute,43,8128,0.8226331393008964,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,electrode_drop,17,101,0.12252908506235871,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,electrode_drop,17,202,0.11549954268318408,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,electrode_drop,17,303,0.11854085841181694,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,electrode_drop,17,404,0.11695740613410688,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,electrode_drop,17,505,0.11779960520983845,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,electrode_drop,17,8128,0.11589605924372981,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,electrode_drop,29,101,0.09134839649979976,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,electrode_drop,29,202,0.08717884429038314,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,electrode_drop,29,303,0.09321850797146569,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,electrode_drop,29,404,0.09000634721020495,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,electrode_drop,29,505,0.09046049497495812,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,electrode_drop,29,8128,0.08795397204205901,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,electrode_drop,43,101,0.08260637864559583,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,electrode_drop,43,202,0.0875269576111748,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,electrode_drop,43,303,0.08264161642583567,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,electrode_drop,43,404,0.0837941518032157,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,electrode_drop,43,505,0.08525570049940578,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,electrode_drop,43,8128,0.08606748652981899,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,independent_rms_absolute,17,101,0.8292606172433963,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,independent_rms_absolute,17,202,0.8275739045347363,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,independent_rms_absolute,17,303,0.826865875324405,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,independent_rms_absolute,17,404,0.8257187015672691,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,independent_rms_absolute,17,505,0.8268631528263469,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,independent_rms_absolute,17,8128,0.826942121656583,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,independent_rms_absolute,29,101,0.8479268102665098,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,independent_rms_absolute,29,202,0.851499233458347,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,independent_rms_absolute,29,303,0.8480970072145277,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,independent_rms_absolute,29,404,0.8522302514939606,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,independent_rms_absolute,29,505,0.8493631311721153,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,independent_rms_absolute,29,8128,0.8530674359953796,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,independent_rms_absolute,43,101,0.848401249799885,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,independent_rms_absolute,43,202,0.8439895028164907,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,independent_rms_absolute,43,303,0.8404333284778737,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,independent_rms_absolute,43,404,0.8477420726105782,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,independent_rms_absolute,43,505,0.8449308413579114,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,independent_rms_absolute,43,8128,0.8471327171256832,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,independent_rms_drop,17,101,0.07763168207494953,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,independent_rms_drop,17,202,0.07931839478360947,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,independent_rms_drop,17,303,0.08002642399394078,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,independent_rms_drop,17,404,0.08117359775107669,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,independent_rms_drop,17,505,0.08002914649199888,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,independent_rms_drop,17,8128,0.07995017766176282,1
band,phase1,resnet,clean_only,band_0p05_5,standard,band_0p05_5,0,macro_auroc,independent_rms_drop,29,101,0.059984451157939156,1
