analysis,phase,model,strategy,source_id,matrix_family,band_id,snr,metric,outcome,seed,value,n_noise,n_matrices,matrix_id,replicate
matrix_instance,phase1,resnet,clean_only,random_00,randomized,legacy_0p5_40,0,macro_f1,structure_effect,17,0.01371870885934249,6,1,random_00,0
matrix_instance,phase1,resnet,clean_only,random_00,randomized,legacy_0p5_40,0,macro_f1,structure_effect,29,0.008945755062523006,6,1,random_00,0
matrix_instance,phase1,resnet,clean_only,random_00,randomized,legacy_0p5_40,0,macro_f1,structure_effect,43,-0.0009472720478697257,6,1,random_00,0
matrix_instance,phase1,resnet,clean_only,random_00,randomized,legacy_0p5_40,10,ece,electrode_absolute,17,0.06278062891340437,6,1,random_00,0
matrix_instance,phase1,resnet,clean_only,random_00,randomized,legacy_0p5_40,10,ece,electrode_absolute,29,0.03367695040887666,6,1,random_00,0
matrix_instance,phase1,resnet,clean_only,random_00,randomized,legacy_0p5_40,10,ece,electrode_absolute,43,0.05901040692273277,6,1,random_00,0
matrix_instance,phase1,resnet,clean_only,random_00,randomized,legacy_0p5_40,10,ece,electrode_drop,17,-0.008370813554952403,6,1,random_00,0
matrix_instance,phase1,resnet,clean_only,random_00,randomized,legacy_0p5_40,10,ece,electrode_drop,29,0.004677077158523122,6,1,random_00,0
matrix_instance,phase1,resnet,clean_only,random_00,randomized,legacy_0p5_40,10,ece,electrode_drop,43,-0.010833149990649243,6,1,random_00,0
matrix_instance,phase1,resnet,clean_only,random_00,randomized,legacy_0p5_40,10,ece,independent_rms_absolute,17,0.06803498554146609,6,1,random_00,0
matrix_instance,phase1,resnet,clean_only,random_00,randomized,legacy_0p5_40,10,ece,independent_rms_absolute,29,0.035852773874061925,6,1,random_00,0
matrix_instance,phase1,resnet,clean_only,random_00,randomized,legacy_0p5_40,10,ece,independent_rms_absolute,43,0.05813171178392729,6,1,random_00,0
matrix_instance,phase1,resnet,clean_only,random_00,randomized,legacy_0p5_40,10,ece,independent_rms_drop,17,-0.013625170183014103,6,1,random_00,0
matrix_instance,phase1,resnet,clean_only,random_00,randomized,legacy_0p5_40,10,ece,independent_rms_drop,29,0.0025012536933378612,6,1,random_00,0
matrix_instance,phase1,resnet,clean_only,random_00,randomized,legacy_0p5_40,10,ece,independent_rms_drop,43,-0.009954454851843769,6,1,random_00,0
matrix_instance,phase1,resnet,clean_only,random_00,randomized,legacy_0p5_40,10,ece,structure_effect,17,-0.005254356628061701,6,1,random_00,0
matrix_instance,phase1,resnet,clean_only,random_00,randomized,legacy_0p5_40,10,ece,structure_effect,29,-0.0021758234651852604,6,1,random_00,0
matrix_instance,phase1,resnet,clean_only,random_00,randomized,legacy_0p5_40,10,ece,structure_effect,43,0.0008786951388054763,6,1,random_00,0
matrix_instance,phase1,resnet,clean_only,random_00,randomized,legacy_0p5_40,10,macro_auroc,electrode_absolute,17,0.8958977506814462,6,1,random_00,0
matrix_instance,phase1,resnet,clean_only,random_00,randomized,legacy_0p5_40,10,macro_auroc,electrode_absolute,29,0.8996382757632216,6,1,random_00,0
matrix_instance,phase1,resnet,clean_only,random_00,randomized,legacy_0p5_40,10,macro_auroc,electrode_absolute,43,0.901464150837322,6,1,random_00,0
matrix_instance,phase1,resnet,clean_only,random_00,randomized,legacy_0p5_40,10,macro_auroc,electrode_drop,17,0.010994548636899507,6,1,random_00,0
matrix_instance,phase1,resnet,clean_only,random_00,randomized,legacy_0p5_40,10,macro_auroc,electrode_drop,29,0.008272985661227361,6,1,random_00,0
matrix_instance,phase1,resnet,clean_only,random_00,randomized,legacy_0p5_40,10,macro_auroc,electrode_drop,43,0.007236474993393471,6,1,random_00,0
matrix_instance,phase1,resnet,clean_only,random_00,randomized,legacy_0p5_40,10,macro_auroc,independent_rms_absolute,17,0.8948769198830194,6,1,random_00,0
matrix_instance,phase1,resnet,clean_only,random_00,randomized,legacy_0p5_40,10,macro_auroc,independent_rms_absolute,29,0.8998601447749222,6,1,random_00,0
matrix_instance,phase1,resnet,clean_only,random_00,randomized,legacy_0p5_40,10,macro_auroc,independent_rms_absolute,43,0.901508884980339,6,1,random_00,0
matrix_instance,phase1,resnet,clean_only,random_00,randomized,legacy_0p5_40,10,macro_auroc,independent_rms_drop,17,0.012015379435326398,6,1,random_00,0
matrix_instance,phase1,resnet,clean_only,random_00,randomized,legacy_0p5_40,10,macro_auroc,independent_rms_drop,29,0.00805111664952679,6,1,random_00,0
matrix_instance,phase1,resnet,clean_only,random_00,randomized,legacy_0p5_40,10,macro_auroc,independent_rms_drop,43,0.007191740850376456,6,1,random_00,0
matrix_instance,phase1,resnet,clean_only,random_00,randomized,legacy_0p5_40,10,macro_auroc,structure_effect,17,0.0010208307984268898,6,1,random_00,0
matrix_instance,phase1,resnet,clean_only,random_00,randomized,legacy_0p5_40,10,macro_auroc,structure_effect,29,-0.0002218690117005706,6,1,random_00,0
matrix_instance,phase1,resnet,clean_only,random_00,randomized,legacy_0p5_40,10,macro_auroc,structure_effect,43,-4.473414301701487e-05,6,1,random_00,0
matrix_instance,phase1,resnet,clean_only,random_00,randomized,legacy_0p5_40,10,macro_f1,electrode_absolute,17,0.6884879104057404,6,1,random_00,0
matrix_instance,phase1,resnet,clean_only,random_00,randomized,legacy_0p5_40,10,macro_f1,electrode_absolute,29,0.7011027424421502,6,1,random_00,0
matrix_instance,phase1,resnet,clean_only,random_00,randomized,legacy_0p5_40,10,macro_f1,electrode_absolute,43,0.7075865144186825,6,1,random_00,0
matrix_instance,phase1,resnet,clean_only,random_00,randomized,legacy_0p5_40,10,macro_f1,electrode_drop,17,0.023393602180001954,6,1,random_00,0
matrix_instance,phase1,resnet,clean_only,random_00,randomized,legacy_0p5_40,10,macro_f1,electrode_drop,29,0.021155412961622006,6,1,random_00,0
matrix_instance,phase1,resnet,clean_only,random_00,randomized,legacy_0p5_40,10,macro_f1,electrode_drop,43,0.011481309169112256,6,1,random_00,0
matrix_instance,phase1,resnet,clean_only,random_00,randomized,legacy_0p5_40,10,macro_f1,independent_rms_absolute,17,0.6886831908756118,6,1,random_00,0
matrix_instance,phase1,resnet,clean_only,random_00,randomized,legacy_0p5_40,10,macro_f1,independent_rms_absolute,29,0.6986868208653761,6,1,random_00,0
matrix_instance,phase1,resnet,clean_only,random_00,randomized,legacy_0p5_40,10,macro_f1,independent_rms_absolute,43,0.7076112269212774,6,1,random_00,0
matrix_instance,phase1,resnet,clean_only,random_00,randomized,legacy_0p5_40,10,macro_f1,independent_rms_drop,17,0.023198321710130625,6,1,random_00,0
matrix_instance,phase1,resnet,clean_only,random_00,randomized,legacy_0p5_40,10,macro_f1,independent_rms_drop,29,0.023571334538396143,6,1,random_00,0
matrix_instance,phase1,resnet,clean_only,random_00,randomized,legacy_0p5_40,10,macro_f1,independent_rms_drop,43,0.011456596666517327,6,1,random_00,0
matrix_instance,phase1,resnet,clean_only,random_00,randomized,legacy_0p5_40,10,macro_f1,structure_effect,17,-0.0001952804698713284,6,1,random_00,0
matrix_instance,phase1,resnet,clean_only,random_00,randomized,legacy_0p5_40,10,macro_f1,structure_effect,29,0.0024159215767741347,6,1,random_00,0
matrix_instance,phase1,resnet,clean_only,random_00,randomized,legacy_0p5_40,10,macro_f1,structure_effect,43,-2.4712502594929447e-05,6,1,random_00,0
matrix_instance,phase1,resnet,clean_only,random_01,randomized,legacy_0p5_40,0,ece,electrode_absolute,17,0.14710584151738523,6,1,random_01,1
matrix_instance,phase1,resnet,clean_only,random_01,randomized,legacy_0p5_40,0,ece,electrode_absolute,29,0.13558380470419393,6,1,random_01,1
matrix_instance,phase1,resnet,clean_only,random_01,randomized,legacy_0p5_40,0,ece,electrode_absolute,43,0.12077121697943947,6,1,random_01,1
matrix_instance,phase1,resnet,clean_only,random_01,randomized,legacy_0p5_40,0,ece,electrode_drop,17,-0.09269602615893326,6,1,random_01,1
matrix_instance,phase1,resnet,clean_only,random_01,randomized,legacy_0p5_40,0,ece,electrode_drop,29,-0.09722977713679416,6,1,random_01,1
matrix_instance,phase1,resnet,clean_only,random_01,randomized,legacy_0p5_40,0,ece,electrode_drop,43,-0.07259396004735595,6,1,random_01,1
matrix_instance,phase1,resnet,clean_only,random_01,randomized,legacy_0p5_40,0,ece,independent_rms_absolute,17,0.14489126172766897,6,1,random_01,1
matrix_instance,phase1,resnet,clean_only,random_01,randomized,legacy_0p5_40,0,ece,independent_rms_absolute,29,0.13230517537758532,6,1,random_01,1
matrix_instance,phase1,resnet,clean_only,random_01,randomized,legacy_0p5_40,0,ece,independent_rms_absolute,43,0.1300143961546167,6,1,random_01,1
matrix_instance,phase1,resnet,clean_only,random_01,randomized,legacy_0p5_40,0,ece,independent_rms_drop,17,-0.090481446369217,6,1,random_01,1
matrix_instance,phase1,resnet,clean_only,random_01,randomized,legacy_0p5_40,0,ece,independent_rms_drop,29,-0.09395114781018553,6,1,random_01,1
matrix_instance,phase1,resnet,clean_only,random_01,randomized,legacy_0p5_40,0,ece,independent_rms_drop,43,-0.08183713922253322,6,1,random_01,1
matrix_instance,phase1,resnet,clean_only,random_01,randomized,legacy_0p5_40,0,ece,structure_effect,17,0.002214579789716273,6,1,random_01,1
matrix_instance,phase1,resnet,clean_only,random_01,randomized,legacy_0p5_40,0,ece,structure_effect,29,0.003278629326608653,6,1,random_01,1
matrix_instance,phase1,resnet,clean_only,random_01,randomized,legacy_0p5_40,0,ece,structure_effect,43,-0.009243179175177257,6,1,random_01,1
matrix_instance,phase1,resnet,clean_only,random_01,randomized,legacy_0p5_40,0,macro_auroc,electrode_absolute,17,0.822355484382109,6,1,random_01,1
matrix_instance,phase1,resnet,clean_only,random_01,randomized,legacy_0p5_40,0,macro_auroc,electrode_absolute,29,0.8304076229434402,6,1,random_01,1
matrix_instance,phase1,resnet,clean_only,random_01,randomized,legacy_0p5_40,0,macro_auroc,electrode_absolute,43,0.8516057588363023,6,1,random_01,1
matrix_instance,phase1,resnet,clean_only,random_01,randomized,legacy_0p5_40,0,macro_auroc,electrode_drop,17,0.08453681493623673,6,1,random_01,1
matrix_instance,phase1,resnet,clean_only,random_01,randomized,legacy_0p5_40,0,macro_auroc,electrode_drop,29,0.07750363848100882,6,1,random_01,1
matrix_instance,phase1,resnet,clean_only,random_01,randomized,legacy_0p5_40,0,macro_auroc,electrode_drop,43,0.05709486699441313,6,1,random_01,1
matrix_instance,phase1,resnet,clean_only,random_01,randomized,legacy_0p5_40,0,macro_auroc,independent_rms_absolute,17,0.8200171597845962,6,1,random_01,1
matrix_instance,phase1,resnet,clean_only,random_01,randomized,legacy_0p5_40,0,macro_auroc,independent_rms_absolute,29,0.8355120080145415,6,1,random_01,1
matrix_instance,phase1,resnet,clean_only,random_01,randomized,legacy_0p5_40,0,macro_auroc,independent_rms_absolute,43,0.8470579740375389,6,1,random_01,1
matrix_instance,phase1,resnet,clean_only,random_01,randomized,legacy_0p5_40,0,macro_auroc,independent_rms_drop,17,0.0868751395337496,6,1,random_01,1
matrix_instance,phase1,resnet,clean_only,random_01,randomized,legacy_0p5_40,0,macro_auroc,independent_rms_drop,29,0.07239925340990755,6,1,random_01,1
matrix_instance,phase1,resnet,clean_only,random_01,randomized,legacy_0p5_40,0,macro_auroc,independent_rms_drop,43,0.06164265179317644,6,1,random_01,1
matrix_instance,phase1,resnet,clean_only,random_01,randomized,legacy_0p5_40,0,macro_auroc,structure_effect,17,0.0023383245975128752,6,1,random_01,1
matrix_instance,phase1,resnet,clean_only,random_01,randomized,legacy_0p5_40,0,macro_auroc,structure_effect,29,-0.005104385071101262,6,1,random_01,1
matrix_instance,phase1,resnet,clean_only,random_01,randomized,legacy_0p5_40,0,macro_auroc,structure_effect,43,0.004547784798763314,6,1,random_01,1
matrix_instance,phase1,resnet,clean_only,random_01,randomized,legacy_0p5_40,0,macro_f1,electrode_absolute,17,0.5422660170014818,6,1,random_01,1
matrix_instance,phase1,resnet,clean_only,random_01,randomized,legacy_0p5_40,0,macro_f1,electrode_absolute,29,0.5116098592598929,6,1,random_01,1
matrix_instance,phase1,resnet,clean_only,random_01,randomized,legacy_0p5_40,0,macro_f1,electrode_absolute,43,0.5971870306834166,6,1,random_01,1
matrix_instance,phase1,resnet,clean_only,random_01,randomized,legacy_0p5_40,0,macro_f1,electrode_drop,17,0.1696154955842605,6,1,random_01,1
matrix_instance,phase1,resnet,clean_only,random_01,randomized,legacy_0p5_40,0,macro_f1,electrode_drop,29,0.2106482961438795,6,1,random_01,1
matrix_instance,phase1,resnet,clean_only,random_01,randomized,legacy_0p5_40,0,macro_f1,electrode_drop,43,0.12188079290437824,6,1,random_01,1
