matrix_id,electrode,other_electrode,gram,cosine
limb_only,V3,V3,0.0,
limb_only,V3,V4,0.0,
limb_only,V3,V5,0.0,
limb_only,V3,V6,0.0,
limb_only,V4,RA,0.0,
limb_only,V4,LA,0.0,
limb_only,V4,LL,0.0,
limb_only,V4,V1,0.0,
limb_only,V4,V2,0.0,
limb_only,V4,V3,0.0,
limb_only,V4,V4,0.0,
limb_only,V4,V5,0.0,
limb_only,V4,V6,0.0,
limb_only,V5,RA,0.0,
limb_only,V5,LA,0.0,
limb_only,V5,LL,0.0,
limb_only,V5,V1,0.0,
limb_only,V5,V2,0.0,
limb_only,V5,V3,0.0,
limb_only,V5,V4,0.0,
limb_only,V5,V5,0.0,
limb_only,V5,V6,0.0,
limb_only,V6,RA,0.0,
limb_only,V6,LA,0.0,
limb_only,V6,LL,0.0,
limb_only,V6,V1,0.0,
limb_only,V6,V2,0.0,
limb_only,V6,V3,0.0,
limb_only,V6,V4,0.0,
limb_only,V6,V5,0.0,
limb_only,V6,V6,0.0,
precordial_only,RA,RA,0.0,
precordial_only,RA,LA,0.0,
precordial_only,RA,LL,0.0,
precordial_only,RA,V1,0.0,
precordial_only,RA,V2,0.0,
precordial_only,RA,V3,0.0,
precordial_only,RA,V4,0.0,
precordial_only,RA,V5,0.0,
precordial_only,RA,V6,0.0,
precordial_only,LA,RA,0.0,
precordial_only,LA,LA,0.0,
precordial_only,LA,LL,0.0,
precordial_only,LA,V1,0.0,
precordial_only,LA,V2,0.0,
precordial_only,LA,V3,0.0,
precordial_only,LA,V4,0.0,
precordial_only,LA,V5,0.0,
precordial_only,LA,V6,0.0,
precordial_only,LL,RA,0.0,
precordial_only,LL,LA,0.0,
precordial_only,LL,LL,0.0,
precordial_only,LL,V1,0.0,
precordial_only,LL,V2,0.0,
precordial_only,LL,V3,0.0,
precordial_only,LL,V4,0.0,
precordial_only,LL,V5,0.0,
precordial_only,LL,V6,0.0,
precordial_only,V1,RA,0.0,
precordial_only,V1,LA,0.0,
precordial_only,V1,LL,0.0,
precordial_only,V1,V1,1.0,1.0
precordial_only,V1,V2,0.0,0.0
precordial_only,V1,V3,0.0,0.0
precordial_only,V1,V4,0.0,0.0
precordial_only,V1,V5,0.0,0.0
precordial_only,V1,V6,0.0,0.0
precordial_only,V2,RA,0.0,
precordial_only,V2,LA,0.0,
precordial_only,V2,LL,0.0,
precordial_only,V2,V1,0.0,0.0
precordial_only,V2,V2,1.0,1.0
precordial_only,V2,V3,0.0,0.0
precordial_only,V2,V4,0.0,0.0
precordial_only,V2,V5,0.0,0.0
precordial_only,V2,V6,0.0,0.0
precordial_only,V3,RA,0.0,
precordial_only,V3,LA,0.0,
precordial_only,V3,LL,0.0,
precordial_only,V3,V1,0.0,0.0
precordial_only,V3,V2,0.0,0.0
precordial_only,V3,V3,1.0,1.0
precordial_only,V3,V4,0.0,0.0
precordial_only,V3,V5,0.0,0.0
precordial_only,V3,V6,0.0,0.0
precordial_only,V4,RA,0.0,
precordial_only,V4,LA,0.0,
precordial_only,V4,LL,0.0,
precordial_only,V4,V1,0.0,0.0
precordial_only,V4,V2,0.0,0.0
precordial_only,V4,V3,0.0,0.0
precordial_only,V4,V4,1.0,1.0
precordial_only,V4,V5,0.0,0.0
precordial_only,V4,V6,0.0,0.0
precordial_only,V5,RA,0.0,
precordial_only,V5,LA,0.0,
precordial_only,V5,LL,0.0,
precordial_only,V5,V1,0.0,0.0
precordial_only,V5,V2,0.0,0.0
precordial_only,V5,V3,0.0,0.0
precordial_only,V5,V4,0.0,0.0
precordial_only,V5,V5,1.0,1.0
precordial_only,V5,V6,0.0,0.0
precordial_only,V6,RA,0.0,
precordial_only,V6,LA,0.0,
precordial_only,V6,LL,0.0,
precordial_only,V6,V1,0.0,0.0
precordial_only,V6,V2,0.0,0.0
precordial_only,V6,V3,0.0,0.0
precordial_only,V6,V4,0.0,0.0
precordial_only,V6,V5,0.0,0.0
precordial_only,V6,V6,1.0,1.0
random_00,RA,RA,4.166666666666666,1.0000000000000002
random_00,RA,LA,-1.4722222222222223,-0.3533333333333335
random_00,RA,LL,-0.027777777777777797,-0.006666666666666674
random_00,RA,V1,0.3333333333333333,0.16329931618554522
random_00,RA,V2,-0.3333333333333333,-0.16329931618554522
random_00,RA,V3,0.3333333333333333,0.16329931618554522
random_00,RA,V4,0.3333333333333333,0.16329931618554522
random_00,RA,V5,-0.3333333333333333,-0.16329931618554522
random_00,RA,V6,0.3333333333333333,0.16329931618554522
random_00,LA,RA,-1.4722222222222223,-0.3533333333333335
random_00,LA,LA,4.166666666666666,1.0000000000000002
random_00,LA,LL,-0.5277777777777779,-0.12666666666666673
random_00,LA,V1,-0.3333333333333333,-0.16329931618554522
random_00,LA,V2,-0.3333333333333333,-0.16329931618554522
random_00,LA,V3,-0.3333333333333333,-0.16329931618554522
random_00,LA,V4,-0.3333333333333333,-0.16329931618554522
random_00,LA,V5,0.3333333333333333,0.16329931618554522
random_00,LA,V6,0.3333333333333333,0.16329931618554522
random_00,LL,RA,-0.027777777777777797,-0.006666666666666674
random_00,LL,LA,-0.5277777777777779,-0.12666666666666673
random_00,LL,LL,4.166666666666666,1.0000000000000002
random_00,LL,V1,0.3333333333333333,0.16329931618554522
random_00,LL,V2,-0.3333333333333333,-0.16329931618554522
random_00,LL,V3,-0.3333333333333333,-0.16329931618554522
random_00,LL,V4,-0.3333333333333333,-0.16329931618554522
random_00,LL,V5,-0.3333333333333333,-0.16329931618554522
random_00,LL,V6,0.3333333333333333,0.16329931618554522
random_00,V1,RA,0.3333333333333333,0.16329931618554522
random_00,V1,LA,-0.3333333333333333,-0.16329931618554522
random_00,V1,LL,0.3333333333333333,0.16329931618554522
random_00,V1,V1,1.0,1.0
random_00,V1,V2,0.0,0.0
random_00,V1,V3,0.0,0.0
random_00,V1,V4,0.0,0.0
random_00,V1,V5,0.0,0.0
random_00,V1,V6,0.0,0.0
random_00,V2,RA,-0.3333333333333333,-0.16329931618554522
random_00,V2,LA,-0.3333333333333333,-0.16329931618554522
random_00,V2,LL,-0.3333333333333333,-0.16329931618554522
random_00,V2,V1,0.0,0.0
random_00,V2,V2,1.0,1.0
random_00,V2,V3,0.0,0.0
random_00,V2,V4,0.0,0.0
random_00,V2,V5,0.0,0.0
random_00,V2,V6,0.0,0.0
random_00,V3,RA,0.3333333333333333,0.16329931618554522
random_00,V3,LA,-0.3333333333333333,-0.16329931618554522
random_00,V3,LL,-0.3333333333333333,-0.16329931618554522
random_00,V3,V1,0.0,0.0
random_00,V3,V2,0.0,0.0
random_00,V3,V3,1.0,1.0
random_00,V3,V4,0.0,0.0
random_00,V3,V5,0.0,0.0
random_00,V3,V6,0.0,0.0
random_00,V4,RA,0.3333333333333333,0.16329931618554522
random_00,V4,LA,-0.3333333333333333,-0.16329931618554522
random_00,V4,LL,-0.3333333333333333,-0.16329931618554522
random_00,V4,V1,0.0,0.0
random_00,V4,V2,0.0,0.0
random_00,V4,V3,0.0,0.0
random_00,V4,V4,1.0,1.0
random_00,V4,V5,0.0,0.0
random_00,V4,V6,0.0,0.0
random_00,V5,RA,-0.3333333333333333,-0.16329931618554522
random_00,V5,LA,0.3333333333333333,0.16329931618554522
random_00,V5,LL,-0.3333333333333333,-0.16329931618554522
random_00,V5,V1,0.0,0.0
random_00,V5,V2,0.0,0.0
random_00,V5,V3,0.0,0.0
random_00,V5,V4,0.0,0.0
random_00,V5,V5,1.0,1.0
random_00,V5,V6,0.0,0.0
random_00,V6,RA,0.3333333333333333,0.16329931618554522
random_00,V6,LA,0.3333333333333333,0.16329931618554522
random_00,V6,LL,0.3333333333333333,0.16329931618554522
random_00,V6,V1,0.0,0.0
random_00,V6,V2,0.0,0.0
random_00,V6,V3,0.0,0.0
random_00,V6,V4,0.0,0.0
random_00,V6,V5,0.0,0.0
random_00,V6,V6,1.0,1.0
random_01,RA,RA,4.166666666666666,1.0000000000000002
random_01,RA,LA,1.75,0.42000000000000015
random_01,RA,LL,1.1944444444444444,0.28666666666666674
random_01,RA,V1,-0.3333333333333333,-0.16329931618554522
random_01,RA,V2,-0.3333333333333333,-0.16329931618554522
random_01,RA,V3,0.3333333333333333,0.16329931618554522
random_01,RA,V4,0.3333333333333333,0.16329931618554522
random_01,RA,V5,-0.3333333333333333,-0.16329931618554522
random_01,RA,V6,-0.3333333333333333,-0.16329931618554522
random_01,LA,RA,1.75,0.42000000000000015
random_01,LA,LA,4.166666666666666,1.0000000000000002
random_01,LA,LL,-0.027777777777777797,-0.006666666666666674
random_01,LA,V1,-0.3333333333333333,-0.16329931618554522
random_01,LA,V2,0.3333333333333333,0.16329931618554522
random_01,LA,V3,-0.3333333333333333,-0.16329931618554522
random_01,LA,V4,0.3333333333333333,0.16329931618554522
random_01,LA,V5,-0.3333333333333333,-0.16329931618554522
random_01,LA,V6,0.3333333333333333,0.16329931618554522
random_01,LL,RA,1.1944444444444444,0.28666666666666674
random_01,LL,LA,-0.027777777777777797,-0.006666666666666674
random_01,LL,LL,4.166666666666666,1.0000000000000002
random_01,LL,V1,-0.3333333333333333,-0.16329931618554522
random_01,LL,V2,-0.3333333333333333,-0.16329931618554522
random_01,LL,V3,0.3333333333333333,0.16329931618554522
random_01,LL,V4,0.3333333333333333,0.16329931618554522
random_01,LL,V5,-0.3333333333333333,-0.16329931618554522
random_01,LL,V6,0.3333333333333333,0.16329931618554522
random_01,V1,RA,-0.3333333333333333,-0.16329931618554522
random_01,V1,LA,-0.3333333333333333,-0.16329931618554522
random_01,V1,LL,-0.3333333333333333,-0.16329931618554522
random_01,V1,V1,1.0,1.0
random_01,V1,V2,0.0,0.0
random_01,V1,V3,0.0,0.0
random_01,V1,V4,0.0,0.0
random_01,V1,V5,0.0,0.0
random_01,V1,V6,0.0,0.0
random_01,V2,RA,-0.3333333333333333,-0.16329931618554522
random_01,V2,LA,0.3333333333333333,0.16329931618554522
random_01,V2,LL,-0.3333333333333333,-0.16329931618554522
random_01,V2,V1,0.0,0.0
random_01,V2,V2,1.0,1.0
random_01,V2,V3,0.0,0.0
random_01,V2,V4,0.0,0.0
random_01,V2,V5,0.0,0.0
random_01,V2,V6,0.0,0.0
random_01,V3,RA,0.3333333333333333,0.16329931618554522
random_01,V3,LA,-0.3333333333333333,-0.16329931618554522
random_01,V3,LL,0.3333333333333333,0.16329931618554522
random_01,V3,V1,0.0,0.0
random_01,V3,V2,0.0,0.0
random_01,V3,V3,1.0,1.0
random_01,V3,V4,0.0,0.0
random_01,V3,V5,0.0,0.0
random_01,V3,V6,0.0,0.0
random_01,V4,RA,0.3333333333333333,0.16329931618554522
random_01,V4,LA,0.3333333333333333,0.16329931618554522
random_01,V4,LL,0.3333333333333333,0.16329931618554522
random_01,V4,V1,0.0,0.0
random_01,V4,V2,0.0,0.0
random_01,V4,V3,0.0,0.0
random_01,V4,V4,1.0,1.0
random_01,V4,V5,0.0,0.0
random_01,V4,V6,0.0,0.0
random_01,V5,RA,-0.3333333333333333,-0.16329931618554522
random_01,V5,LA,-0.3333333333333333,-0.16329931618554522
random_01,V5,LL,-0.3333333333333333,-0.16329931618554522
random_01,V5,V1,0.0,0.0
random_01,V5,V2,0.0,0.0
random_01,V5,V3,0.0,0.0
random_01,V5,V4,0.0,0.0
random_01,V5,V5,1.0,1.0
random_01,V5,V6,0.0,0.0
random_01,V6,RA,-0.3333333333333333,-0.16329931618554522
random_01,V6,LA,0.3333333333333333,0.16329931618554522
random_01,V6,LL,0.3333333333333333,0.16329931618554522
random_01,V6,V1,0.0,0.0
random_01,V6,V2,0.0,0.0
random_01,V6,V3,0.0,0.0
random_01,V6,V4,0.0,0.0
random_01,V6,V5,0.0,0.0
random_01,V6,V6,1.0,1.0
random_02,RA,RA,4.166666666666666,1.0000000000000002
random_02,RA,LA,-1.75,-0.42000000000000015
random_02,RA,LL,-2.4722222222222223,-0.5933333333333336
random_02,RA,V1,-0.3333333333333333,-0.16329931618554522
random_02,RA,V2,-0.3333333333333333,-0.16329931618554522
random_02,RA,V3,0.3333333333333333,0.16329931618554522
random_02,RA,V4,0.3333333333333333,0.16329931618554522
random_02,RA,V5,-0.3333333333333333,-0.16329931618554522
random_02,RA,V6,0.3333333333333333,0.16329931618554522
random_02,LA,RA,-1.75,-0.42000000000000015
random_02,LA,LA,4.166666666666666,1.0000000000000002
random_02,LA,LL,1.25,0.3000000000000001
random_02,LA,V1,0.3333333333333333,0.16329931618554522
random_02,LA,V2,-0.3333333333333333,-0.16329931618554522
random_02,LA,V3,0.3333333333333333,0.16329931618554522
random_02,LA,V4,0.3333333333333333,0.16329931618554522
random_02,LA,V5,0.3333333333333333,0.16329931618554522
random_02,LA,V6,-0.3333333333333333,-0.16329931618554522
random_02,LL,RA,-2.4722222222222223,-0.5933333333333336
random_02,LL,LA,1.25,0.3000000000000001
random_02,LL,LL,4.166666666666666,1.0000000000000002
random_02,LL,V1,0.3333333333333333,0.16329931618554522
random_02,LL,V2,0.3333333333333333,0.16329931618554522
random_02,LL,V3,0.3333333333333333,0.16329931618554522
random_02,LL,V4,-0.3333333333333333,-0.16329931618554522
random_02,LL,V5,-0.3333333333333333,-0.16329931618554522
random_02,LL,V6,-0.3333333333333333,-0.16329931618554522
random_02,V1,RA,-0.3333333333333333,-0.16329931618554522
random_02,V1,LA,0.3333333333333333,0.16329931618554522
random_02,V1,LL,0.3333333333333333,0.16329931618554522
random_02,V1,V1,1.0,1.0
random_02,V1,V2,0.0,0.0
random_02,V1,V3,0.0,0.0
random_02,V1,V4,0.0,0.0
random_02,V1,V5,0.0,0.0
random_02,V1,V6,0.0,0.0
random_02,V2,RA,-0.3333333333333333,-0.16329931618554522
random_02,V2,LA,-0.3333333333333333,-0.16329931618554522
random_02,V2,LL,0.3333333333333333,0.16329931618554522
random_02,V2,V1,0.0,0.0
random_02,V2,V2,1.0,1.0
random_02,V2,V3,0.0,0.0
random_02,V2,V4,0.0,0.0
random_02,V2,V5,0.0,0.0
random_02,V2,V6,0.0,0.0
random_02,V3,RA,0.3333333333333333,0.16329931618554522
random_02,V3,LA,0.3333333333333333,0.16329931618554522
random_02,V3,LL,0.3333333333333333,0.16329931618554522
random_02,V3,V1,0.0,0.0
random_02,V3,V2,0.0,0.0
random_02,V3,V3,1.0,1.0
random_02,V3,V4,0.0,0.0
random_02,V3,V5,0.0,0.0
random_02,V3,V6,0.0,0.0
random_02,V4,RA,0.3333333333333333,0.16329931618554522
random_02,V4,LA,0.3333333333333333,0.16329931618554522
random_02,V4,LL,-0.3333333333333333,-0.16329931618554522
random_02,V4,V1,0.0,0.0
random_02,V4,V2,0.0,0.0
random_02,V4,V3,0.0,0.0
random_02,V4,V4,1.0,1.0
random_02,V4,V5,0.0,0.0
random_02,V4,V6,0.0,0.0
random_02,V5,RA,-0.3333333333333333,-0.16329931618554522
random_02,V5,LA,0.3333333333333333,0.16329931618554522
random_02,V5,LL,-0.3333333333333333,-0.16329931618554522
random_02,V5,V1,0.0,0.0
random_02,V5,V2,0.0,0.0
random_02,V5,V3,0.0,0.0
random_02,V5,V4,0.0,0.0
random_02,V5,V5,1.0,1.0
random_02,V5,V6,0.0,0.0
random_02,V6,RA,0.3333333333333333,0.16329931618554522
random_02,V6,LA,-0.3333333333333333,-0.16329931618554522
random_02,V6,LL,-0.3333333333333333,-0.16329931618554522
random_02,V6,V1,0.0,0.0
random_02,V6,V2,0.0,0.0
random_02,V6,V3,0.0,0.0
random_02,V6,V4,0.0,0.0
random_02,V6,V5,0.0,0.0
random_02,V6,V6,1.0,1.0
random_03,RA,RA,4.166666666666666,1.0000000000000002
random_03,RA,LA,-0.9722222222222222,-0.23333333333333342
random_03,RA,LL,-1.916666666666667,-0.46000000000000024
random_03,RA,V1,-0.3333333333333333,-0.16329931618554522
random_03,RA,V2,0.3333333333333333,0.16329931618554522
random_03,RA,V3,-0.3333333333333333,-0.16329931618554522
random_03,RA,V4,0.3333333333333333,0.16329931618554522
random_03,RA,V5,0.3333333333333333,0.16329931618554522
random_03,RA,V6,-0.3333333333333333,-0.16329931618554522
random_03,LA,RA,-0.9722222222222222,-0.23333333333333342
random_03,LA,LA,4.166666666666666,1.0000000000000002
random_03,LA,LL,-2.0277777777777777,-0.4866666666666668
random_03,LA,V1,-0.3333333333333333,-0.16329931618554522
random_03,LA,V2,-0.3333333333333333,-0.16329931618554522
random_03,LA,V3,0.3333333333333333,0.16329931618554522
random_03,LA,V4,-0.3333333333333333,-0.16329931618554522
random_03,LA,V5,0.3333333333333333,0.16329931618554522
random_03,LA,V6,0.3333333333333333,0.16329931618554522
random_03,LL,RA,-1.916666666666667,-0.46000000000000024
random_03,LL,LA,-2.0277777777777777,-0.4866666666666668
random_03,LL,LL,4.166666666666666,1.0000000000000002
random_03,LL,V1,0.3333333333333333,0.16329931618554522
random_03,LL,V2,-0.3333333333333333,-0.16329931618554522
random_03,LL,V3,0.3333333333333333,0.16329931618554522
random_03,LL,V4,-0.3333333333333333,-0.16329931618554522
random_03,LL,V5,-0.3333333333333333,-0.16329931618554522
random_03,LL,V6,0.3333333333333333,0.16329931618554522
random_03,V1,RA,-0.3333333333333333,-0.16329931618554522
random_03,V1,LA,-0.3333333333333333,-0.16329931618554522
random_03,V1,LL,0.3333333333333333,0.16329931618554522
random_03,V1,V1,1.0,1.0
random_03,V1,V2,0.0,0.0
random_03,V1,V3,0.0,0.0
random_03,V1,V4,0.0,0.0
random_03,V1,V5,0.0,0.0
random_03,V1,V6,0.0,0.0
random_03,V2,RA,0.3333333333333333,0.16329931618554522
random_03,V2,LA,-0.3333333333333333,-0.16329931618554522
random_03,V2,LL,-0.3333333333333333,-0.16329931618554522
random_03,V2,V1,0.0,0.0
random_03,V2,V2,1.0,1.0
random_03,V2,V3,0.0,0.0
random_03,V2,V4,0.0,0.0
random_03,V2,V5,0.0,0.0
random_03,V2,V6,0.0,0.0
random_03,V3,RA,-0.3333333333333333,-0.16329931618554522
random_03,V3,LA,0.3333333333333333,0.16329931618554522
random_03,V3,LL,0.3333333333333333,0.16329931618554522
random_03,V3,V1,0.0,0.0
random_03,V3,V2,0.0,0.0
random_03,V3,V3,1.0,1.0
random_03,V3,V4,0.0,0.0
random_03,V3,V5,0.0,0.0
random_03,V3,V6,0.0,0.0
random_03,V4,RA,0.3333333333333333,0.16329931618554522
random_03,V4,LA,-0.3333333333333333,-0.16329931618554522
random_03,V4,LL,-0.3333333333333333,-0.16329931618554522
random_03,V4,V1,0.0,0.0
random_03,V4,V2,0.0,0.0
random_03,V4,V3,0.0,0.0
random_03,V4,V4,1.0,1.0
random_03,V4,V5,0.0,0.0
random_03,V4,V6,0.0,0.0
random_03,V5,RA,0.3333333333333333,0.16329931618554522
random_03,V5,LA,0.3333333333333333,0.16329931618554522
random_03,V5,LL,-0.3333333333333333,-0.16329931618554522
random_03,V5,V1,0.0,0.0
random_03,V5,V2,0.0,0.0
random_03,V5,V3,0.0,0.0
random_03,V5,V4,0.0,0.0
random_03,V5,V5,1.0,1.0
random_03,V5,V6,0.0,0.0
random_03,V6,RA,-0.3333333333333333,-0.16329931618554522
random_03,V6,LA,0.3333333333333333,0.16329931618554522
random_03,V6,LL,0.3333333333333333,0.16329931618554522
random_03,V6,V1,0.0,0.0
random_03,V6,V2,0.0,0.0
random_03,V6,V3,0.0,0.0
random_03,V6,V4,0.0,0.0
random_03,V6,V5,0.0,0.0
random_03,V6,V6,1.0,1.0
random_04,RA,RA,4.166666666666666,1.0000000000000002
random_04,RA,LA,-0.75,-0.18000000000000008
random_04,RA,LL,1.4722222222222223,0.3533333333333335
random_04,RA,V1,0.3333333333333333,0.16329931618554522
random_04,RA,V2,-0.3333333333333333,-0.16329931618554522
random_04,RA,V3,-0.3333333333333333,-0.16329931618554522
random_04,RA,V4,-0.3333333333333333,-0.16329931618554522
random_04,RA,V5,-0.3333333333333333,-0.16329931618554522
random_04,RA,V6,-0.3333333333333333,-0.16329931618554522
random_04,LA,RA,-0.75,-0.18000000000000008
random_04,LA,LA,4.166666666666666,1.0000000000000002
random_04,LA,LL,-1.25,-0.3000000000000001
random_04,LA,V1,-0.3333333333333333,-0.16329931618554522
random_04,LA,V2,-0.3333333333333333,-0.16329931618554522
random_04,LA,V3,0.3333333333333333,0.16329931618554522
random_04,LA,V4,-0.3333333333333333,-0.16329931618554522
random_04,LA,V5,-0.3333333333333333,-0.16329931618554522
random_04,LA,V6,0.3333333333333333,0.16329931618554522
random_04,LL,RA,1.4722222222222223,0.3533333333333335
random_04,LL,LA,-1.25,-0.3000000000000001
random_04,LL,LL,4.166666666666666,1.0000000000000002
random_04,LL,V1,-0.3333333333333333,-0.16329931618554522
