model,kind,snr,condition,active,metric,n_seeds,mean,std,ci95_low,ci95_high
resnet,bandpass,0,electrode,all,f1_NORM,3,0.23141084142017923,0.1510340785829471,-0.14377860894253305,0.6066002917828915
resnet,bandpass,0,electrode,all,f1_MI,3,0.4245366464096258,0.03733369321286321,0.33179461118178427,0.5172786816374674
resnet,bandpass,0,electrode,all,f1_STTC,3,0.5139425105738793,0.030403201676438927,0.43841677073242247,0.5894682504153361
resnet,bandpass,0,electrode,all,f1_CD,3,0.4538260728913664,0.05416989701988144,0.3192605888643147,0.5883915569184182
resnet,bandpass,0,electrode,all,f1_HYP,3,0.4868159710762603,0.05422078868060765,0.3521240651555866,0.621507876996934
resnet,bandpass,0,independent,all,macro_auroc,3,0.7730868215562974,0.024320580275055053,0.7126711509241306,0.8335024921884642
resnet,bandpass,0,independent,all,macro_ap,3,0.557629524041266,0.0391958954749248,0.4602615219473878,0.6549975261351442
resnet,bandpass,0,independent,all,macro_f1,3,0.4355803069514041,0.0321337860925271,0.35575555709862844,0.5154050568041797
resnet,bandpass,0,independent,all,micro_auroc,3,0.6007678372442595,0.05452645044236403,0.4653166254141761,0.736219049074343
resnet,bandpass,0,independent,all,micro_ap,3,0.40141005650677464,0.05997906837343273,0.25241379084652527,0.550406322167024
resnet,bandpass,0,independent,all,micro_f1,3,0.4344751049767089,0.031873341120609036,0.35529733630050264,0.5136528736529151
resnet,bandpass,0,independent,all,brier,3,0.22376970450083408,0.032308714370960084,0.1435104087147569,0.30402900028691127
resnet,bandpass,0,independent,all,ece,3,0.21777417174503202,0.03107861596272511,0.1405706098039775,0.29497773368608654
resnet,bandpass,0,independent,all,mean_loss,3,0.6996832464174205,0.0844052055670235,0.49000909220293687,0.9093574006319042
resnet,bandpass,0,independent,all,mean_confidence,3,0.799771805604299,0.03249041769792482,0.7190611337313637,0.8804824774772342
resnet,bandpass,0,independent,all,mean_entropy,3,0.42625211247712946,0.04648076263138104,0.3107874971550312,0.5417167277992277
resnet,bandpass,0,independent,all,clean_agreement,3,0.6793999999999999,0.03700648591801175,0.5874707927528486,0.7713292072471511
resnet,bandpass,0,independent,all,probability_shift,3,0.2433909326791763,0.022414594922759712,0.18770999213863143,0.2990718732197212
resnet,bandpass,0,independent,all,auroc_NORM,3,0.7955348458882346,0.022899862423340026,0.7386484340492263,0.852421257727243
resnet,bandpass,0,independent,all,auroc_MI,3,0.6994048118657124,0.0197965374496391,0.6502274866255956,0.7485821371058291
