model,kind,snr,active,comparison,condition,outcome,mean_difference,ci95_low,ci95_high,p_value,p_holm,standardized_effect,n_patients,n_records,n_seeds,inference_unit,bootstrap_seed,bootstrap_count,permutation_seed,permutation_count,permutation_method,holm_family,status,patient_median,patient_fraction_positive,mean_without_largest_1pct_abs,mean_without_largest_5pct_abs
resnet,bandpass,0,all,noisy_minus_clean,covariance,mean_probability,0.04905817367796385,0.045855944093169954,0.052284053178628005,9.999000099990002e-05,,0.988023177844065,896,1000,3,patient,11786054895528304273,2000,16669587449240761450,10000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.045429033560988805,0.8872767857142857,0.047420215635759246,0.0433565333307461
resnet,bandpass,0,all,noisy_minus_clean,covariance,probability_shift,0.255486951272447,0.2491496182324437,0.26159723759458714,9.999000099990002e-05,,2.695327097696055,896,1000,3,patient,13156505543974562442,2000,998319138317673507,10000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.2506175538602595,1.0,0.25353122275691625,0.24671526782482336
resnet,bandpass,0,all,noisy_minus_clean,covariance,macro_auroc,-0.10632187318611104,-0.16344564058580457,-0.04919810578641749,,,,896,1000,3,training_seed,,0,,0,not_tested,not_tested,seed_t_interval_fragile_with_few_seeds,,,,
resnet,bandpass,0,all,noisy_minus_clean,covariance,macro_ap,-0.16438819181247044,-0.22684961746040289,-0.10192676616453801,,,,896,1000,3,training_seed,,0,,0,not_tested,not_tested,seed_t_interval_fragile_with_few_seeds,,,,
resnet,bandpass,0,all,noisy_minus_clean,covariance,macro_f1,-0.23804400709516801,-0.336991786841262,-0.139096227349074,,,,896,1000,3,training_seed,,0,,0,not_tested,not_tested,seed_t_interval_fragile_with_few_seeds,,,,
resnet,bandpass,0,all,noisy_minus_clean,electrode,loss,0.35250678123530604,0.32310311253804885,0.3831880316753223,9.999000099990002e-05,,0.7592373566558742,896,1000,3,patient,17775965010122247451,2000,572769011694434675,10000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.30986223413925773,0.8102678571428571,0.3516425322595269,0.3293101660942933
resnet,bandpass,0,all,noisy_minus_clean,electrode,mean_probability,0.049860640838481594,0.04644639581234183,0.05330488792331365,9.999000099990002e-05,,0.9898725746040631,896,1000,3,patient,16641523116242918362,2000,5202044800686202539,10000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.04744524407627371,0.8783482142857143,0.04806159304900948,0.04394393723578202
resnet,bandpass,0,all,noisy_minus_clean,electrode,probability_shift,0.25614046156373427,0.24979899500458153,0.2625085604037799,9.999000099990002e-05,,2.6589253852530934,896,1000,3,patient,14326592118275785250,2000,10337639752632603083,10000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.25510530678244925,1.0,0.2541347735093882,0.24704023440609216
resnet,bandpass,0,all,noisy_minus_clean,electrode,macro_auroc,-0.10762748817271257,-0.17044543387842964,-0.04480954246699552,,,,896,1000,3,training_seed,,0,,0,not_tested,not_tested,seed_t_interval_fragile_with_few_seeds,,,,
resnet,bandpass,0,all,noisy_minus_clean,electrode,macro_ap,-0.17202844363117878,-0.24367349823552562,-0.10038338902683194,,,,896,1000,3,training_seed,,0,,0,not_tested,not_tested,seed_t_interval_fragile_with_few_seeds,,,,
resnet,bandpass,0,all,noisy_minus_clean,electrode,macro_f1,-0.23664324535908188,-0.3191542353550665,-0.15413225536309727,,,,896,1000,3,training_seed,,0,,0,not_tested,not_tested,seed_t_interval_fragile_with_few_seeds,,,,
resnet,bandpass,0,all,noisy_minus_clean,independent,loss,0.32013042964103594,0.29169372957023065,0.3488337118998642,9.999000099990002e-05,,0.7324955818981645,896,1000,3,patient,14746969288686955040,2000,14010340980814512766,10000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.29037391597133805,0.8024553571428571,0.32188917541283796,0.29527223286267945
resnet,bandpass,0,all,noisy_minus_clean,independent,mean_probability,0.04577801252803188,0.04246957560534906,0.04908060045263922,9.999000099990002e-05,,0.9429834127300313,896,1000,3,patient,14594209312169474093,2000,694569708436162142,10000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.041859152664740884,0.8794642857142857,0.04411630694669122,0.04032154841045577
resnet,bandpass,0,all,noisy_minus_clean,independent,probability_shift,0.2446416319911004,0.23869293854087215,0.2506325600580725,9.999000099990002e-05,,2.5974126948662666,896,1000,3,patient,12028603609744606822,2000,3675334505876742569,10000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.24118582820519807,1.0,0.24269755386155567,0.2356509763675766
resnet,bandpass,0,all,noisy_minus_clean,independent,macro_auroc,-0.09953581937445848,-0.14850038676071775,-0.0505712519881992,,,,896,1000,3,training_seed,,0,,0,not_tested,not_tested,seed_t_interval_fragile_with_few_seeds,,,,
resnet,bandpass,0,all,noisy_minus_clean,independent,macro_ap,-0.15885004246343082,-0.21622012805790072,-0.10147995686896091,,,,896,1000,3,training_seed,,0,,0,not_tested,not_tested,seed_t_interval_fragile_with_few_seeds,,,,
resnet,bandpass,0,all,noisy_minus_clean,independent,macro_f1,-0.22316934688193998,-0.3235451633264057,-0.12279353043747429,,,,896,1000,3,training_seed,,0,,0,not_tested,not_tested,seed_t_interval_fragile_with_few_seeds,,,,
resnet,bandpass,0,all,noisy_minus_clean,independent_rms,loss,0.32207342577240655,0.2939852046431969,0.35048338502975723,9.999000099990002e-05,,0.737059212987903,896,1000,3,patient,8916831245482945813,2000,14733026368474568318,10000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.2913891247857353,0.8035714285714286,0.32688157164246257,0.2973359439036014
