model,snr,metric,contrast,seed,noise_seed,estimate
resnet,0,macro_f1,E-I,17,202,-0.07212086755746716
resnet,0,macro_f1,E-I,17,303,-0.07551358812913683
resnet,0,macro_f1,E-I,17,404,-0.06195046497415413
resnet,0,macro_f1,E-I,17,505,-0.07500704524935542
resnet,0,macro_f1,E-I,17,8128,-0.061744110459984736
resnet,0,macro_f1,E-I,29,101,-0.052223411147861554
resnet,0,macro_f1,E-I,29,202,-0.05777461513812299
resnet,0,macro_f1,E-I,29,303,-0.06182270625366576
resnet,0,macro_f1,E-I,29,404,-0.05592396148760148
resnet,0,macro_f1,E-I,29,505,-0.06006875731004424
resnet,0,macro_f1,E-I,29,8128,-0.06826259763521364
resnet,0,macro_f1,E-I,43,101,-0.06299834461853315
resnet,0,macro_f1,E-I,43,202,-0.07130089290907604
resnet,0,macro_f1,E-I,43,303,-0.05140019875263602
resnet,0,macro_f1,E-I,43,404,-0.07533033992508442
resnet,0,macro_f1,E-I,43,505,-0.06203918252211971
resnet,0,macro_f1,E-I,43,8128,-0.05478309963299455
resnet,0,macro_f1,E-S,17,101,-0.05614659466934783
resnet,0,macro_f1,E-S,17,202,-0.05367395812343352
resnet,0,macro_f1,E-S,17,303,-0.06010542888102455
resnet,0,macro_f1,E-S,17,404,-0.058265605825421354
resnet,0,macro_f1,E-S,17,505,-0.054792381827238376
resnet,0,macro_f1,E-S,17,8128,-0.05405903405101877
resnet,0,macro_f1,E-S,29,101,-0.04110723180523085
resnet,0,macro_f1,E-S,29,202,-0.04169790666106106
resnet,0,macro_f1,E-S,29,303,-0.03915145462998263
resnet,0,macro_f1,E-S,29,404,-0.04093066266512048
resnet,0,macro_f1,E-S,29,505,-0.04166476046747759
resnet,0,macro_f1,E-S,29,8128,-0.039970256517958005
resnet,0,macro_f1,E-S,43,101,-0.052960373462794606
resnet,0,macro_f1,E-S,43,202,-0.05979863547922486
resnet,0,macro_f1,E-S,43,303,-0.046535062445465944
resnet,0,macro_f1,E-S,43,404,-0.05432326265238876
resnet,0,macro_f1,E-S,43,505,-0.05298977365405213
resnet,0,macro_f1,E-S,43,8128,-0.047946705330172576
resnet,0,macro_f1,S-I,17,101,-0.007156282762116406
resnet,0,macro_f1,S-I,17,202,-0.018446909434033643
resnet,0,macro_f1,S-I,17,303,-0.015408159248112285
resnet,0,macro_f1,S-I,17,404,-0.0036848591487327774
resnet,0,macro_f1,S-I,17,505,-0.02021466342211704
resnet,0,macro_f1,S-I,17,8128,-0.0076850764089659625
resnet,0,macro_f1,S-I,29,101,-0.011116179342630705
resnet,0,macro_f1,S-I,29,202,-0.01607670847706193
resnet,0,macro_f1,S-I,29,303,-0.02267125162368313
resnet,0,macro_f1,S-I,29,404,-0.014993298822481006
resnet,0,macro_f1,S-I,29,505,-0.01840399684256665
resnet,0,macro_f1,S-I,29,8128,-0.028292341117255638
resnet,0,macro_f1,S-I,43,101,-0.010037971155738545
resnet,0,macro_f1,S-I,43,202,-0.01150225742985118
resnet,0,macro_f1,S-I,43,303,-0.004865136307170071
resnet,0,macro_f1,S-I,43,404,-0.021007077272695664
resnet,0,macro_f1,S-I,43,505,-0.009049408868067576
resnet,0,macro_f1,S-I,43,8128,-0.006836394302821969
resnet,5,ece,E-I,17,101,0.018932108733986
resnet,5,ece,E-I,17,202,0.019117739273067938
resnet,5,ece,E-I,17,303,0.018379118732867544
resnet,5,ece,E-I,17,404,0.016171394716444423
resnet,5,ece,E-I,17,505,0.01806177055036974
resnet,5,ece,E-I,17,8128,0.01596063711871798
resnet,5,ece,E-I,29,101,0.020776889987257713
resnet,5,ece,E-I,29,202,0.01958447885063329
resnet,5,ece,E-I,29,303,0.019565102166835865
resnet,5,ece,E-I,29,404,0.020567415970321024
resnet,5,ece,E-I,29,505,0.018376989925007553
resnet,5,ece,E-I,29,8128,0.019811604576178046
resnet,5,ece,E-I,43,101,0.02140032180501572
resnet,5,ece,E-I,43,202,0.024788344410860363
resnet,5,ece,E-I,43,303,0.022283856298839208
resnet,5,ece,E-I,43,404,0.024914552404797216
resnet,5,ece,E-I,43,505,0.019923926476804812
resnet,5,ece,E-I,43,8128,0.02535238885841104
resnet,5,ece,E-S,17,101,0.01543156646100049
resnet,5,ece,E-S,17,202,0.015877567817701346
resnet,5,ece,E-S,17,303,0.016605653799726883
resnet,5,ece,E-S,17,404,0.016381231965387363
resnet,5,ece,E-S,17,505,0.01563500393158994
resnet,5,ece,E-S,17,8128,0.014699938601338882
resnet,5,ece,E-S,29,101,0.014976671246351861
resnet,5,ece,E-S,29,202,0.01363977931474343
resnet,5,ece,E-S,29,303,0.014523440439246065
resnet,5,ece,E-S,29,404,0.014457528285593681
resnet,5,ece,E-S,29,505,0.012767601920980306
resnet,5,ece,E-S,29,8128,0.013311136173784438
resnet,5,ece,E-S,43,101,0.0180953346578795
resnet,5,ece,E-S,43,202,0.021413362196603076
resnet,5,ece,E-S,43,303,0.0186280398504598
resnet,5,ece,E-S,43,404,0.021947006945859698
resnet,5,ece,E-S,43,505,0.01951603237417798
resnet,5,ece,E-S,43,8128,0.023551932804681267
resnet,5,ece,S-I,17,101,0.00350054227298551
resnet,5,ece,S-I,17,202,0.0032401714553665917
resnet,5,ece,S-I,17,303,0.0017734649331406615
resnet,5,ece,S-I,17,404,-0.0002098372489429401
resnet,5,ece,S-I,17,505,0.002426766618779802
resnet,5,ece,S-I,17,8128,0.0012606985173790968
resnet,5,ece,S-I,29,101,0.005800218740905852
resnet,5,ece,S-I,29,202,0.005944699535889858
resnet,5,ece,S-I,29,303,0.005041661727589799
resnet,5,ece,S-I,29,404,0.006109887684727341
resnet,5,ece,S-I,29,505,0.005609388004027246
resnet,5,ece,S-I,29,8128,0.006500468402393609
resnet,5,ece,S-I,43,101,0.003304987147136221
resnet,5,ece,S-I,43,202,0.0033749822142572885
resnet,5,ece,S-I,43,303,0.0036558164483794092
resnet,5,ece,S-I,43,404,0.0029675454589375176
resnet,5,ece,S-I,43,505,0.00040789410262683233
resnet,5,ece,S-I,43,8128,0.0018004560537297736
resnet,5,macro_auroc,E-I,17,101,-0.011614731437372683
resnet,5,macro_auroc,E-I,17,202,-0.010954754052665994
resnet,5,macro_auroc,E-I,17,303,-0.010545293365912256
resnet,5,macro_auroc,E-I,17,404,-0.01271588803678425
resnet,5,macro_auroc,E-I,17,505,-0.006452310493641478
resnet,5,macro_auroc,E-I,17,8128,-0.010718140488240602
resnet,5,macro_auroc,E-I,29,101,-0.004507530658814929
resnet,5,macro_auroc,E-I,29,202,-0.00470520514141104
resnet,5,macro_auroc,E-I,29,303,-0.006092762022029907
resnet,5,macro_auroc,E-I,29,404,-0.00559307364931827
resnet,5,macro_auroc,E-I,29,505,-0.004328823419988859
resnet,5,macro_auroc,E-I,29,8128,-0.006392451789730358
resnet,5,macro_auroc,E-I,43,101,-0.005700951313749036
resnet,5,macro_auroc,E-I,43,202,-0.00602662766068085
resnet,5,macro_auroc,E-I,43,303,-0.006048208371322028
resnet,5,macro_auroc,E-I,43,404,-0.00512035634347463
resnet,5,macro_auroc,E-I,43,505,-0.003840406853879985
resnet,5,macro_auroc,E-I,43,8128,-0.010180242879292756
resnet,5,macro_auroc,E-S,17,101,-0.010131841427733046
resnet,5,macro_auroc,E-S,17,202,-0.007728325675699232
resnet,5,macro_auroc,E-S,17,303,-0.009884076429328027
resnet,5,macro_auroc,E-S,17,404,-0.011992939841603812
resnet,5,macro_auroc,E-S,17,505,-0.006442181099875599
resnet,5,macro_auroc,E-S,17,8128,-0.00956134041281329
resnet,5,macro_auroc,E-S,29,101,-0.004518519965070489
resnet,5,macro_auroc,E-S,29,202,-0.004483816001915009
resnet,5,macro_auroc,E-S,29,303,-0.005054693433899726
resnet,5,macro_auroc,E-S,29,404,-0.0023560790774205475
resnet,5,macro_auroc,E-S,29,505,-0.003113344631591919
resnet,5,macro_auroc,E-S,29,8128,-0.004757740992972326
resnet,5,macro_auroc,E-S,43,101,-0.004063415192625275
resnet,5,macro_auroc,E-S,43,202,-0.0059467312072112085
resnet,5,macro_auroc,E-S,43,303,-0.004827557507862301
resnet,5,macro_auroc,E-S,43,404,-0.0035396127804293797
resnet,5,macro_auroc,E-S,43,505,-0.003567791944283849
resnet,5,macro_auroc,E-S,43,8128,-0.007095167155805338
resnet,5,macro_auroc,S-I,17,101,-0.001482890009639637
resnet,5,macro_auroc,S-I,17,202,-0.003226428376966761
resnet,5,macro_auroc,S-I,17,303,-0.0006612169365842302
resnet,5,macro_auroc,S-I,17,404,-0.0007229481951804395
resnet,5,macro_auroc,S-I,17,505,-1.0129393765878625e-05
resnet,5,macro_auroc,S-I,17,8128,-0.001156800075427311
resnet,5,macro_auroc,S-I,29,101,1.0989306255559938e-05
resnet,5,macro_auroc,S-I,29,202,-0.000221389139496031
resnet,5,macro_auroc,S-I,29,303,-0.001038068588130181
resnet,5,macro_auroc,S-I,29,404,-0.0032369945718977223
resnet,5,macro_auroc,S-I,29,505,-0.0012154787883969398
resnet,5,macro_auroc,S-I,29,8128,-0.001634710796758032
resnet,5,macro_auroc,S-I,43,101,-0.0016375361211237616
resnet,5,macro_auroc,S-I,43,202,-7.989645346964113e-05
resnet,5,macro_auroc,S-I,43,303,-0.0012206508634597269
resnet,5,macro_auroc,S-I,43,404,-0.0015807435630452505
resnet,5,macro_auroc,S-I,43,505,-0.0002726149095961361
resnet,5,macro_auroc,S-I,43,8128,-0.003085075723487418
resnet,5,macro_f1,E-I,17,101,-0.02742926850885341
resnet,5,macro_f1,E-I,17,202,-0.02791028639168802
resnet,5,macro_f1,E-I,17,303,-0.022319671891119386
resnet,5,macro_f1,E-I,17,404,-0.030645881625308125
resnet,5,macro_f1,E-I,17,505,-0.016406547691696804
resnet,5,macro_f1,E-I,17,8128,-0.030404678843569344
resnet,5,macro_f1,E-I,29,101,-0.027967603990392442
resnet,5,macro_f1,E-I,29,202,-0.0303465495712939
resnet,5,macro_f1,E-I,29,303,-0.03727094909763695
resnet,5,macro_f1,E-I,29,404,-0.02790664519279573
resnet,5,macro_f1,E-I,29,505,-0.023543290871683165
resnet,5,macro_f1,E-I,29,8128,-0.039148490314964035
resnet,5,macro_f1,E-I,43,101,-0.02764561565353063
resnet,5,macro_f1,E-I,43,202,-0.024418068890932343
resnet,5,macro_f1,E-I,43,303,-0.01658566113965687
resnet,5,macro_f1,E-I,43,404,-0.02322486004423363
resnet,5,macro_f1,E-I,43,505,-0.030857105380499128
resnet,5,macro_f1,E-I,43,8128,-0.01709723319140044
resnet,5,macro_f1,E-S,17,101,-0.024739746579043743
resnet,5,macro_f1,E-S,17,202,-0.017609342490486755
resnet,5,macro_f1,E-S,17,303,-0.019764866290572745
resnet,5,macro_f1,E-S,17,404,-0.025042270706492654
resnet,5,macro_f1,E-S,17,505,-0.0130263127911445
resnet,5,macro_f1,E-S,17,8128,-0.024705544611271325
resnet,5,macro_f1,E-S,29,101,-0.021919580359430025
resnet,5,macro_f1,E-S,29,202,-0.02122228770208221
resnet,5,macro_f1,E-S,29,303,-0.029302192051274645
resnet,5,macro_f1,E-S,29,404,-0.015819316925149107
resnet,5,macro_f1,E-S,29,505,-0.02532122985637584
resnet,5,macro_f1,E-S,29,8128,-0.02833230838769618
resnet,5,macro_f1,E-S,43,101,-0.018636432837254847
resnet,5,macro_f1,E-S,43,202,-0.02091277078568028
resnet,5,macro_f1,E-S,43,303,-0.012122649713941103
resnet,5,macro_f1,E-S,43,404,-0.017703861224564243
resnet,5,macro_f1,E-S,43,505,-0.025282989921471332
resnet,5,macro_f1,E-S,43,8128,-0.019696331143766944
resnet,5,macro_f1,S-I,17,101,-0.0026895219298096683
resnet,5,macro_f1,S-I,17,202,-0.010300943901201265
resnet,5,macro_f1,S-I,17,303,-0.002554805600546639
resnet,5,macro_f1,S-I,17,404,-0.005603610918815472
resnet,5,macro_f1,S-I,17,505,-0.0033802349005523035
resnet,5,macro_f1,S-I,17,8128,-0.00569913423229802
resnet,5,macro_f1,S-I,29,101,-0.006048023630962418
resnet,5,macro_f1,S-I,29,202,-0.009124261869211692
resnet,5,macro_f1,S-I,29,303,-0.007968757046362306
resnet,5,macro_f1,S-I,29,404,-0.012087328267646625
resnet,5,macro_f1,S-I,29,505,0.001777938984692673
resnet,5,macro_f1,S-I,29,8128,-0.010816181927267854
resnet,5,macro_f1,S-I,43,101,-0.009009182816275784
resnet,5,macro_f1,S-I,43,202,-0.0035052981052520636
resnet,5,macro_f1,S-I,43,303,-0.004463011425715768
resnet,5,macro_f1,S-I,43,404,-0.005520998819669387
resnet,5,macro_f1,S-I,43,505,-0.005574115459027795
resnet,5,macro_f1,S-I,43,8128,0.0025990979523665024
resnet,10,ece,E-I,17,101,0.009910721936881153
resnet,10,ece,E-I,17,202,0.0069052679231345615
resnet,10,ece,E-I,17,303,0.008944110675416395
resnet,10,ece,E-I,17,404,0.004449435988725464
resnet,10,ece,E-I,17,505,0.006010741427352265
resnet,10,ece,E-I,17,8128,0.006637440850727261
resnet,10,ece,E-I,29,101,0.0030390720682100317
resnet,10,ece,E-I,29,202,0.0047046558295189625
resnet,10,ece,E-I,29,303,0.007310890967362198
resnet,10,ece,E-I,29,404,0.008300202377311973
resnet,10,ece,E-I,29,505,0.005814510544033438
resnet,10,ece,E-I,29,8128,0.007071867400802324
resnet,10,ece,E-I,43,101,0.006189783807649056
resnet,10,ece,E-I,43,202,0.007307722682163252
resnet,10,ece,E-I,43,303,0.008339208476048188
resnet,10,ece,E-I,43,404,0.006439124593452875
resnet,10,ece,E-I,43,505,0.00788789647662829
resnet,10,ece,E-I,43,8128,0.008964870449056396
resnet,10,ece,E-S,17,101,0.009274758979232833
resnet,10,ece,E-S,17,202,0.007898238093821525
resnet,10,ece,E-S,17,303,0.007111220790412395
resnet,10,ece,E-S,17,404,0.006351374902234389
resnet,10,ece,E-S,17,505,0.0055581128503148225
resnet,10,ece,E-S,17,8128,0.006545375647179011
resnet,10,ece,E-S,29,101,0.005873369865082348
resnet,10,ece,E-S,29,202,0.005698023639379669
resnet,10,ece,E-S,29,303,0.007410135194733864
resnet,10,ece,E-S,29,404,0.008310688471005991
resnet,10,ece,E-S,29,505,0.006665667436302497
resnet,10,ece,E-S,29,8128,0.005398330992089176
resnet,10,ece,E-S,43,101,0.005310658745675076
resnet,10,ece,E-S,43,202,0.005572581788193348
resnet,10,ece,E-S,43,303,0.005402477712413517
resnet,10,ece,E-S,43,404,0.006280313649129591
resnet,10,ece,E-S,43,505,0.006073401667952054
resnet,10,ece,E-S,43,8128,0.008174521913765562
resnet,10,ece,S-I,17,101,0.00063596295764832
resnet,10,ece,S-I,17,202,-0.0009929701706869632
resnet,10,ece,S-I,17,303,0.0018328898850039992
resnet,10,ece,S-I,17,404,-0.0019019389135089243
resnet,10,ece,S-I,17,505,0.0004526285770374422
resnet,10,ece,S-I,17,8128,9.206520354824999e-05
resnet,10,ece,S-I,29,101,-0.0028342977968723163
resnet,10,ece,S-I,29,202,-0.000993367809860707
resnet,10,ece,S-I,29,303,-9.924422737166566e-05
resnet,10,ece,S-I,29,404,-1.048609369401904e-05
resnet,10,ece,S-I,29,505,-0.0008511568922690588
resnet,10,ece,S-I,29,8128,0.0016735364087131486
resnet,10,ece,S-I,43,101,0.0008791250619739801
resnet,10,ece,S-I,43,202,0.001735140893969904
resnet,10,ece,S-I,43,303,0.0029367307636346705
resnet,10,ece,S-I,43,404,0.00015881094432328296
resnet,10,ece,S-I,43,505,0.001814494808676237
resnet,10,ece,S-I,43,8128,0.0007903485352908343
resnet,10,macro_auroc,E-I,17,101,-0.003354970172568028
resnet,10,macro_auroc,E-I,17,202,-0.00450677905744401
resnet,10,macro_auroc,E-I,17,303,-0.005251953959033995
resnet,10,macro_auroc,E-I,17,404,-0.0044798851185926525
resnet,10,macro_auroc,E-I,17,505,-0.0015635283396364663
resnet,10,macro_auroc,E-I,17,8128,-0.003907366524321665
resnet,10,macro_auroc,E-I,29,101,-0.0005962865555599883
resnet,10,macro_auroc,E-I,29,202,-0.0013308284292961048
resnet,10,macro_auroc,E-I,29,303,-0.0035849181932940954
resnet,10,macro_auroc,E-I,29,404,-0.0017717129673507914
resnet,10,macro_auroc,E-I,29,505,-0.0012101521816670902
resnet,10,macro_auroc,E-I,29,8128,-0.0018958396094431729
resnet,10,macro_auroc,E-I,43,101,-0.001666542398707671
resnet,10,macro_auroc,E-I,43,202,-0.0015100388905582296
resnet,10,macro_auroc,E-I,43,303,-0.0023805471222101415
resnet,10,macro_auroc,E-I,43,404,-0.0006641892104983782
resnet,10,macro_auroc,E-I,43,505,0.0007036732435603543
resnet,10,macro_auroc,E-I,43,8128,-0.004342879638580932
resnet,10,macro_auroc,E-S,17,101,-0.0025981922430604156
resnet,10,macro_auroc,E-S,17,202,-0.0018539075049920583
resnet,10,macro_auroc,E-S,17,303,-0.004382509976163762
resnet,10,macro_auroc,E-S,17,404,-0.004342761687834917
resnet,10,macro_auroc,E-S,17,505,-0.002048117321065068
resnet,10,macro_auroc,E-S,17,8128,-0.00339008893408439
resnet,10,macro_auroc,E-S,29,101,-0.0007380352294440673
resnet,10,macro_auroc,E-S,29,202,-0.0019904880169027807
resnet,10,macro_auroc,E-S,29,303,-0.0026457656404752948
resnet,10,macro_auroc,E-S,29,404,-0.0008761324674349646
resnet,10,macro_auroc,E-S,29,505,-0.0006992646705759942
resnet,10,macro_auroc,E-S,29,8128,-0.001884895496859218
resnet,10,macro_auroc,E-S,43,101,-0.0015322537514928403
resnet,10,macro_auroc,E-S,43,202,-0.001439258276888622
resnet,10,macro_auroc,E-S,43,303,-0.0016843677476524599
resnet,10,macro_auroc,E-S,43,404,-0.00037656440281816914
resnet,10,macro_auroc,E-S,43,505,0.0002848590551328023
resnet,10,macro_auroc,E-S,43,8128,-0.003112068200161633
resnet,10,macro_auroc,S-I,17,101,-0.0007567779295076127
resnet,10,macro_auroc,S-I,17,202,-0.002652871552451952
resnet,10,macro_auroc,S-I,17,303,-0.0008694439828702327
resnet,10,macro_auroc,S-I,17,404,-0.00013712343075773515
resnet,10,macro_auroc,S-I,17,505,0.00048458898142860195
resnet,10,macro_auroc,S-I,17,8128,-0.0005172775902372751
resnet,10,macro_auroc,S-I,29,101,0.00014174867388407896
resnet,10,macro_auroc,S-I,29,202,0.0006596595876066757
resnet,10,macro_auroc,S-I,29,303,-0.0009391525528188005
resnet,10,macro_auroc,S-I,29,404,-0.0008955804999158268
resnet,10,macro_auroc,S-I,29,505,-0.000510887511091096
resnet,10,macro_auroc,S-I,29,8128,-1.094411258395489e-05
resnet,10,macro_auroc,S-I,43,101,-0.00013428864721483081
resnet,10,macro_auroc,S-I,43,202,-7.078061366960764e-05
resnet,10,macro_auroc,S-I,43,303,-0.0006961793745576816
resnet,10,macro_auroc,S-I,43,404,-0.00028762480768020906
resnet,10,macro_auroc,S-I,43,505,0.00041881418842755204
resnet,10,macro_auroc,S-I,43,8128,-0.0012308114384192992
resnet,10,macro_f1,E-I,17,101,-0.008123989823375255
resnet,10,macro_f1,E-I,17,202,-0.011635377603687713
resnet,10,macro_f1,E-I,17,303,-0.010184895320352272
resnet,10,macro_f1,E-I,17,404,-0.015314544570445898
resnet,10,macro_f1,E-I,17,505,-0.005025919708026572
resnet,10,macro_f1,E-I,17,8128,-0.009408885974212966
resnet,10,macro_f1,E-I,29,101,-0.006634178049685802
resnet,10,macro_f1,E-I,29,202,-0.012118955573708567
resnet,10,macro_f1,E-I,29,303,-0.008405893280676313
resnet,10,macro_f1,E-I,29,404,-0.0034778666952991477
resnet,10,macro_f1,E-I,29,505,-0.002605951959211761
resnet,10,macro_f1,E-I,29,8128,-0.0030442039077873684
resnet,10,macro_f1,E-I,43,101,-0.006034504765090598
resnet,10,macro_f1,E-I,43,202,-0.0038231701563583576
resnet,10,macro_f1,E-I,43,303,0.0012213605962144714
resnet,10,macro_f1,E-I,43,404,-0.005200392897571016
resnet,10,macro_f1,E-I,43,505,-0.010983108205978476
resnet,10,macro_f1,E-I,43,8128,-0.0033900471598973247
resnet,10,macro_f1,E-S,17,101,-0.0048631147575955765
resnet,10,macro_f1,E-S,17,202,-0.008671631491772724
resnet,10,macro_f1,E-S,17,303,-0.005296817030165091
resnet,10,macro_f1,E-S,17,404,-0.011101339148347234
resnet,10,macro_f1,E-S,17,505,-0.005192443578385308
resnet,10,macro_f1,E-S,17,8128,-0.008189279178239306
resnet,10,macro_f1,E-S,29,101,-0.004943013235919236
resnet,10,macro_f1,E-S,29,202,-0.008115713166121119
resnet,10,macro_f1,E-S,29,303,-0.00756721009718182
resnet,10,macro_f1,E-S,29,404,-0.0024090039585721755
resnet,10,macro_f1,E-S,29,505,-0.006526351353949411
resnet,10,macro_f1,E-S,29,8128,-0.007465862083380381
resnet,10,macro_f1,E-S,43,101,-0.002448398073197544
resnet,10,macro_f1,E-S,43,202,-0.0006118882712781382
resnet,10,macro_f1,E-S,43,303,-0.00022563141913842789
resnet,10,macro_f1,E-S,43,404,-0.0016592507799336963
resnet,10,macro_f1,E-S,43,505,-0.004802252550769759
resnet,10,macro_f1,E-S,43,8128,-0.0035058753876014313
resnet,10,macro_f1,S-I,17,101,-0.003260875065779678
resnet,10,macro_f1,S-I,17,202,-0.0029637461119149887
resnet,10,macro_f1,S-I,17,303,-0.004888078290187181
resnet,10,macro_f1,S-I,17,404,-0.004213205422098664
