model,snr,metric,contrast,seed,noise_seed,estimate
resnet,10,macro_f1,S-I,17,505,0.00016652387035873684
resnet,10,macro_f1,S-I,17,8128,-0.00121960679597366
resnet,10,macro_f1,S-I,29,101,-0.0016911648137665658
resnet,10,macro_f1,S-I,29,202,-0.004003242407587449
resnet,10,macro_f1,S-I,29,303,-0.000838683183494493
resnet,10,macro_f1,S-I,29,404,-0.001068862736726972
resnet,10,macro_f1,S-I,29,505,0.00392039939473765
resnet,10,macro_f1,S-I,29,8128,0.0044216581755930125
resnet,10,macro_f1,S-I,43,101,-0.003586106691893054
resnet,10,macro_f1,S-I,43,202,-0.0032112818850802195
resnet,10,macro_f1,S-I,43,303,0.0014469920153528993
resnet,10,macro_f1,S-I,43,404,-0.0035411421176373193
resnet,10,macro_f1,S-I,43,505,-0.006180855655208717
resnet,10,macro_f1,S-I,43,8128,0.00011582822770410673
tcn,0,ece,E-I,17,101,0.04270321652193945
tcn,0,ece,E-I,17,202,0.0396781344772405
tcn,0,ece,E-I,17,303,0.03989329677304633
tcn,0,ece,E-I,17,404,0.041515325656354074
tcn,0,ece,E-I,17,505,0.037563555101203516
tcn,0,ece,E-I,17,8128,0.03885080373300709
tcn,0,ece,E-I,29,101,0.06270212866971722
tcn,0,ece,E-I,29,202,0.06153739802270697
tcn,0,ece,E-I,29,303,0.060154869847889335
tcn,0,ece,E-I,29,404,0.060684169422549415
tcn,0,ece,E-I,29,505,0.06143584884821838
tcn,0,ece,E-I,29,8128,0.061218696422759455
tcn,0,ece,E-I,43,101,0.070187925935265
tcn,0,ece,E-I,43,202,0.06852445865105629
tcn,0,ece,E-I,43,303,0.06821845547134052
tcn,0,ece,E-I,43,404,0.07000065976274791
tcn,0,ece,E-I,43,505,0.07035695801700954
tcn,0,ece,E-I,43,8128,0.06822845389901645
tcn,0,ece,E-S,17,101,0.037917955373641524
tcn,0,ece,E-S,17,202,0.03663618208886019
tcn,0,ece,E-S,17,303,0.03648651075395785
tcn,0,ece,E-S,17,404,0.03793777392860383
tcn,0,ece,E-S,17,505,0.03476075477500862
tcn,0,ece,E-S,17,8128,0.03632062228154641
tcn,0,ece,E-S,29,101,0.07460642808439892
tcn,0,ece,E-S,29,202,0.07408731592453448
tcn,0,ece,E-S,29,303,0.07371228491844835
tcn,0,ece,E-S,29,404,0.07400753306519164
tcn,0,ece,E-S,29,505,0.07429922162313154
tcn,0,ece,E-S,29,8128,0.0740497262657508
tcn,0,ece,E-S,43,101,0.06841565674733832
tcn,0,ece,E-S,43,202,0.06723562589365137
tcn,0,ece,E-S,43,303,0.06725443245764291
tcn,0,ece,E-S,43,404,0.06818948960303095
tcn,0,ece,E-S,43,505,0.06817042396114699
tcn,0,ece,E-S,43,8128,0.0661501148772485
tcn,0,ece,S-I,17,101,0.004785261148297926
tcn,0,ece,S-I,17,202,0.003041952388380309
tcn,0,ece,S-I,17,303,0.003406786019088484
tcn,0,ece,S-I,17,404,0.003577551727750247
tcn,0,ece,S-I,17,505,0.002802800326194901
tcn,0,ece,S-I,17,8128,0.002530181451460678
tcn,0,ece,S-I,29,101,-0.011904299414681702
tcn,0,ece,S-I,29,202,-0.012549917901827513
tcn,0,ece,S-I,29,303,-0.01355741507055901
tcn,0,ece,S-I,29,404,-0.013323363642642222
tcn,0,ece,S-I,29,505,-0.012863372774913184
tcn,0,ece,S-I,29,8128,-0.012831029842991348
tcn,0,ece,S-I,43,101,0.0017722691879266783
tcn,0,ece,S-I,43,202,0.0012888327574049174
tcn,0,ece,S-I,43,303,0.0009640230136976138
tcn,0,ece,S-I,43,404,0.0018111701597169558
tcn,0,ece,S-I,43,505,0.00218653405586256
tcn,0,ece,S-I,43,8128,0.002078339021767947
tcn,0,macro_auroc,E-I,17,101,-0.006456620101876753
tcn,0,macro_auroc,E-I,17,202,-0.009505341735043027
tcn,0,macro_auroc,E-I,17,303,-0.008646522823439029
tcn,0,macro_auroc,E-I,17,404,-0.00861995013738992
tcn,0,macro_auroc,E-I,17,505,-0.008188826905435098
tcn,0,macro_auroc,E-I,17,8128,-0.008263558946014715
tcn,0,macro_auroc,E-I,29,101,-0.015278006579070635
tcn,0,macro_auroc,E-I,29,202,-0.016941849154318178
tcn,0,macro_auroc,E-I,29,303,-0.01736441873237926
tcn,0,macro_auroc,E-I,29,404,-0.019000321574707546
tcn,0,macro_auroc,E-I,29,505,-0.014760783600945016
tcn,0,macro_auroc,E-I,29,8128,-0.01633357812399705
tcn,0,macro_auroc,E-I,43,101,-0.01026319104533413
tcn,0,macro_auroc,E-I,43,202,-0.011208967420615057
tcn,0,macro_auroc,E-I,43,303,-0.013698349415889766
tcn,0,macro_auroc,E-I,43,404,-0.014177041008017643
tcn,0,macro_auroc,E-I,43,505,-0.01253353494338083
tcn,0,macro_auroc,E-I,43,8128,-0.013473441626330462
tcn,0,macro_auroc,E-S,17,101,-0.007135655463076507
tcn,0,macro_auroc,E-S,17,202,-0.008161766458679387
tcn,0,macro_auroc,E-S,17,303,-0.009837134744251564
tcn,0,macro_auroc,E-S,17,404,-0.007129002625497249
tcn,0,macro_auroc,E-S,17,505,-0.00843116000689268
tcn,0,macro_auroc,E-S,17,8128,-0.006620349728212816
tcn,0,macro_auroc,E-S,29,101,-0.016909484821756228
tcn,0,macro_auroc,E-S,29,202,-0.017114612915050852
tcn,0,macro_auroc,E-S,29,303,-0.018775006395813622
tcn,0,macro_auroc,E-S,29,404,-0.018897347724711744
tcn,0,macro_auroc,E-S,29,505,-0.016665976824058504
tcn,0,macro_auroc,E-S,29,8128,-0.0186098484634603
tcn,0,macro_auroc,E-S,43,101,-0.011690344038353607
tcn,0,macro_auroc,E-S,43,202,-0.012127932290643507
tcn,0,macro_auroc,E-S,43,303,-0.015145350668970404
tcn,0,macro_auroc,E-S,43,404,-0.014790656661832213
tcn,0,macro_auroc,E-S,43,505,-0.013485469728077982
tcn,0,macro_auroc,E-S,43,8128,-0.015844038208659407
tcn,0,macro_auroc,S-I,17,101,0.0006790353611997535
tcn,0,macro_auroc,S-I,17,202,-0.00134357527636364
tcn,0,macro_auroc,S-I,17,303,0.0011906119208125344
tcn,0,macro_auroc,S-I,17,404,-0.0014909475118926707
tcn,0,macro_auroc,S-I,17,505,0.00024233310145758136
tcn,0,macro_auroc,S-I,17,8128,-0.0016432092178018999
tcn,0,macro_auroc,S-I,29,101,0.0016314782426855912
tcn,0,macro_auroc,S-I,29,202,0.00017276376073267486
tcn,0,macro_auroc,S-I,29,303,0.0014105876634343596
tcn,0,macro_auroc,S-I,29,404,-0.00010297384999580217
tcn,0,macro_auroc,S-I,29,505,0.0019051932231134883
tcn,0,macro_auroc,S-I,29,8128,0.0022762703394632487
tcn,0,macro_auroc,S-I,43,101,0.001427152993019476
tcn,0,macro_auroc,S-I,43,202,0.0009189648700284492
tcn,0,macro_auroc,S-I,43,303,0.0014470012530806375
tcn,0,macro_auroc,S-I,43,404,0.0006136156538145698
tcn,0,macro_auroc,S-I,43,505,0.0009519347846971504
tcn,0,macro_auroc,S-I,43,8128,0.0023705965823289433
tcn,0,macro_f1,E-I,17,101,-0.07475198592223464
tcn,0,macro_f1,E-I,17,202,-0.07123162682378203
tcn,0,macro_f1,E-I,17,303,-0.07586361146177678
tcn,0,macro_f1,E-I,17,404,-0.07316630061423024
tcn,0,macro_f1,E-I,17,505,-0.07555129600303045
tcn,0,macro_f1,E-I,17,8128,-0.06994125646553517
tcn,0,macro_f1,E-I,29,101,-0.08970352944928311
tcn,0,macro_f1,E-I,29,202,-0.09231443296288228
tcn,0,macro_f1,E-I,29,303,-0.09396529788369101
tcn,0,macro_f1,E-I,29,404,-0.09795308920337442
tcn,0,macro_f1,E-I,29,505,-0.08977545292421119
tcn,0,macro_f1,E-I,29,8128,-0.09119832804732836
tcn,0,macro_f1,E-I,43,101,-0.13291862932721443
tcn,0,macro_f1,E-I,43,202,-0.1232560848287374
tcn,0,macro_f1,E-I,43,303,-0.12885436916740678
tcn,0,macro_f1,E-I,43,404,-0.13486635686677995
tcn,0,macro_f1,E-I,43,505,-0.12861492203856234
tcn,0,macro_f1,E-I,43,8128,-0.12919692330559984
tcn,0,macro_f1,E-S,17,101,-0.06995703568333175
tcn,0,macro_f1,E-S,17,202,-0.06415190159774123
tcn,0,macro_f1,E-S,17,303,-0.07133135796920376
tcn,0,macro_f1,E-S,17,404,-0.0662395362520762
tcn,0,macro_f1,E-S,17,505,-0.06805473689579415
tcn,0,macro_f1,E-S,17,8128,-0.062014221225931365
tcn,0,macro_f1,E-S,29,101,-0.111976316872901
tcn,0,macro_f1,E-S,29,202,-0.10965844239210884
tcn,0,macro_f1,E-S,29,303,-0.11112903299205987
tcn,0,macro_f1,E-S,29,404,-0.1095302049449356
tcn,0,macro_f1,E-S,29,505,-0.11028031269100085
tcn,0,macro_f1,E-S,29,8128,-0.10893437920722138
tcn,0,macro_f1,E-S,43,101,-0.1363507930968058
tcn,0,macro_f1,E-S,43,202,-0.13202002881740274
tcn,0,macro_f1,E-S,43,303,-0.13345411466858897
tcn,0,macro_f1,E-S,43,404,-0.13767238323644387
tcn,0,macro_f1,E-S,43,505,-0.13112746380175788
tcn,0,macro_f1,E-S,43,8128,-0.1355233978016185
tcn,0,macro_f1,S-I,17,101,-0.0047949502389028845
tcn,0,macro_f1,S-I,17,202,-0.007079725226040811
tcn,0,macro_f1,S-I,17,303,-0.004532253492573024
tcn,0,macro_f1,S-I,17,404,-0.006926764362154047
tcn,0,macro_f1,S-I,17,505,-0.0074965591072363
tcn,0,macro_f1,S-I,17,8128,-0.007927035239603808
tcn,0,macro_f1,S-I,29,101,0.02227278742361788
tcn,0,macro_f1,S-I,29,202,0.017344009429226558
tcn,0,macro_f1,S-I,29,303,0.017163735108368872
tcn,0,macro_f1,S-I,29,404,0.011577115741561183
tcn,0,macro_f1,S-I,29,505,0.020504859766789663
tcn,0,macro_f1,S-I,29,8128,0.017736051159893018
tcn,0,macro_f1,S-I,43,101,0.00343216376959139
tcn,0,macro_f1,S-I,43,202,0.008763943988665335
tcn,0,macro_f1,S-I,43,303,0.0045997455011822065
tcn,0,macro_f1,S-I,43,404,0.002806026369663939
tcn,0,macro_f1,S-I,43,505,0.002512541763195553
tcn,0,macro_f1,S-I,43,8128,0.006326474496018664
tcn,5,ece,E-I,17,101,0.009828979674438333
tcn,5,ece,E-I,17,202,0.007523190221014282
tcn,5,ece,E-I,17,303,0.007574212452471411
tcn,5,ece,E-I,17,404,0.007854243143349655
tcn,5,ece,E-I,17,505,0.007435454418847125
tcn,5,ece,E-I,17,8128,0.007791403343297816
tcn,5,ece,E-I,29,101,0.03964792722680502
tcn,5,ece,E-I,29,202,0.03747876687114811
tcn,5,ece,E-I,29,303,0.0387796118906779
tcn,5,ece,E-I,29,404,0.038173693613614446
tcn,5,ece,E-I,29,505,0.03960406738439137
tcn,5,ece,E-I,29,8128,0.03882240509460118
tcn,5,ece,E-I,43,101,0.009595758970829024
tcn,5,ece,E-I,43,202,0.007041504876517654
tcn,5,ece,E-I,43,303,0.008209219156512841
tcn,5,ece,E-I,43,404,0.008936967268213712
tcn,5,ece,E-I,43,505,0.008622889459808332
tcn,5,ece,E-I,43,8128,0.006682812105581612
tcn,5,ece,E-S,17,101,0.010021526985011183
tcn,5,ece,E-S,17,202,0.008005269990919816
tcn,5,ece,E-S,17,303,0.008889093347647894
tcn,5,ece,E-S,17,404,0.009078271932552756
tcn,5,ece,E-S,17,505,0.007389075782066305
tcn,5,ece,E-S,17,8128,0.009907851479257056
tcn,5,ece,E-S,29,101,0.04031341542150021
tcn,5,ece,E-S,29,202,0.03887537425600682
tcn,5,ece,E-S,29,303,0.03986762156775628
tcn,5,ece,E-S,29,404,0.039712049113504
tcn,5,ece,E-S,29,505,0.03992498000219517
tcn,5,ece,E-S,29,8128,0.040617126860313074
tcn,5,ece,E-S,43,101,0.0056919392230324935
tcn,5,ece,E-S,43,202,0.0026283445758785015
tcn,5,ece,E-S,43,303,0.003720185544831736
tcn,5,ece,E-S,43,404,0.005195151012461737
tcn,5,ece,E-S,43,505,0.0056652470745631334
tcn,5,ece,E-S,43,8128,0.004473508240420834
tcn,5,ece,S-I,17,101,-0.00019254731057284923
tcn,5,ece,S-I,17,202,-0.00048207976990553294
tcn,5,ece,S-I,17,303,-0.0013148808951764818
tcn,5,ece,S-I,17,404,-0.0012240287892031007
tcn,5,ece,S-I,17,505,4.6378636780819435e-05
tcn,5,ece,S-I,17,8128,-0.002116448135959241
tcn,5,ece,S-I,29,101,-0.0006654881946951907
tcn,5,ece,S-I,29,202,-0.0013966073848587057
tcn,5,ece,S-I,29,303,-0.0010880096770783804
tcn,5,ece,S-I,29,404,-0.0015383554998895572
tcn,5,ece,S-I,29,505,-0.000320912617803798
tcn,5,ece,S-I,29,8128,-0.0017947217657118958
tcn,5,ece,S-I,43,101,0.00390381974779653
tcn,5,ece,S-I,43,202,0.004413160300639153
tcn,5,ece,S-I,43,303,0.004489033611681105
tcn,5,ece,S-I,43,404,0.003741816255751976
tcn,5,ece,S-I,43,505,0.002957642385245198
tcn,5,ece,S-I,43,8128,0.002209303865160779
tcn,5,macro_auroc,E-I,17,101,0.00011253354063123222
tcn,5,macro_auroc,E-I,17,202,-0.002792227673239389
tcn,5,macro_auroc,E-I,17,303,-0.001564692628492681
tcn,5,macro_auroc,E-I,17,404,-0.0013326854601667382
tcn,5,macro_auroc,E-I,17,505,-0.0006586554894296714
tcn,5,macro_auroc,E-I,17,8128,-0.0023713050879166087
tcn,5,macro_auroc,E-I,29,101,-0.004342482241392331
tcn,5,macro_auroc,E-I,29,202,-0.005744560704879498
tcn,5,macro_auroc,E-I,29,303,-0.005357080024764982
tcn,5,macro_auroc,E-I,29,404,-0.006074030201025038
tcn,5,macro_auroc,E-I,29,505,-0.0036330091414988885
tcn,5,macro_auroc,E-I,29,8128,-0.005159955585315346
tcn,5,macro_auroc,E-I,43,101,-0.002330050961389274
tcn,5,macro_auroc,E-I,43,202,-0.0024813184167957747
tcn,5,macro_auroc,E-I,43,303,-0.003964697350476998
tcn,5,macro_auroc,E-I,43,404,-0.004578872481844298
tcn,5,macro_auroc,E-I,43,505,-0.003092408212473141
tcn,5,macro_auroc,E-I,43,8128,-0.003749402282746006
tcn,5,macro_auroc,E-S,17,101,-0.0005893332335844103
tcn,5,macro_auroc,E-S,17,202,-0.0020939664821538083
tcn,5,macro_auroc,E-S,17,303,-0.002378515940942516
tcn,5,macro_auroc,E-S,17,404,-0.0010160560619405068
tcn,5,macro_auroc,E-S,17,505,-0.0011489502762962235
tcn,5,macro_auroc,E-S,17,8128,-0.0011893320468783885
tcn,5,macro_auroc,E-S,29,101,-0.004625243716180494
tcn,5,macro_auroc,E-S,29,202,-0.005666439366789166
tcn,5,macro_auroc,E-S,29,303,-0.005177341844959216
tcn,5,macro_auroc,E-S,29,404,-0.005819056231347442
tcn,5,macro_auroc,E-S,29,505,-0.004625387725344621
tcn,5,macro_auroc,E-S,29,8128,-0.006101590459292238
tcn,5,macro_auroc,E-S,43,101,-0.0027635198315595134
tcn,5,macro_auroc,E-S,43,202,-0.0029488358495494806
tcn,5,macro_auroc,E-S,43,303,-0.004200422755434796
tcn,5,macro_auroc,E-S,43,404,-0.004769028725199598
tcn,5,macro_auroc,E-S,43,505,-0.003660213949840463
tcn,5,macro_auroc,E-S,43,8128,-0.005050837041895994
tcn,5,macro_auroc,S-I,17,101,0.0007018667742156425
tcn,5,macro_auroc,S-I,17,202,-0.0006982611910855807
tcn,5,macro_auroc,S-I,17,303,0.0008138233124498351
tcn,5,macro_auroc,S-I,17,404,-0.00031662939822623136
tcn,5,macro_auroc,S-I,17,505,0.0004902947868665519
tcn,5,macro_auroc,S-I,17,8128,-0.0011819730410382201
tcn,5,macro_auroc,S-I,29,101,0.00028276147478816237
tcn,5,macro_auroc,S-I,29,202,-7.812133809033117e-05
tcn,5,macro_auroc,S-I,29,303,-0.00017973817980576623
tcn,5,macro_auroc,S-I,29,404,-0.00025497396967759655
tcn,5,macro_auroc,S-I,29,505,0.000992378583845732
tcn,5,macro_auroc,S-I,29,8128,0.0009416348739768931
tcn,5,macro_auroc,S-I,43,101,0.00043346887017023936
tcn,5,macro_auroc,S-I,43,202,0.00046751743275370573
tcn,5,macro_auroc,S-I,43,303,0.00023572540495779836
tcn,5,macro_auroc,S-I,43,404,0.00019015624335529945
tcn,5,macro_auroc,S-I,43,505,0.0005678057373673217
tcn,5,macro_auroc,S-I,43,8128,0.0013014347591499887
tcn,5,macro_f1,E-I,17,101,-0.01266548225066011
tcn,5,macro_f1,E-I,17,202,-0.015938270036907398
tcn,5,macro_f1,E-I,17,303,-0.018803214287800296
tcn,5,macro_f1,E-I,17,404,-0.01767615491364627
tcn,5,macro_f1,E-I,17,505,-0.013173448387264308
tcn,5,macro_f1,E-I,17,8128,-0.014947042413503087
tcn,5,macro_f1,E-I,29,101,-0.03881039708585676
tcn,5,macro_f1,E-I,29,202,-0.046315310977810165
tcn,5,macro_f1,E-I,29,303,-0.03872417662534233
tcn,5,macro_f1,E-I,29,404,-0.04451768636537323
tcn,5,macro_f1,E-I,29,505,-0.03981172396162447
tcn,5,macro_f1,E-I,29,8128,-0.04610375150229884
tcn,5,macro_f1,E-I,43,101,-0.026665714153881748
tcn,5,macro_f1,E-I,43,202,-0.024679280721859653
tcn,5,macro_f1,E-I,43,303,-0.033956963291888465
tcn,5,macro_f1,E-I,43,404,-0.028019817835410743
tcn,5,macro_f1,E-I,43,505,-0.030286442884157605
tcn,5,macro_f1,E-I,43,8128,-0.029007512058386697
tcn,5,macro_f1,E-S,17,101,-0.014528158722063344
tcn,5,macro_f1,E-S,17,202,-0.018706950272696133
tcn,5,macro_f1,E-S,17,303,-0.01740750914173501
tcn,5,macro_f1,E-S,17,404,-0.01589937585774561
tcn,5,macro_f1,E-S,17,505,-0.015907862633366476
tcn,5,macro_f1,E-S,17,8128,-0.01731784104064695
tcn,5,macro_f1,E-S,29,101,-0.04449371369594805
tcn,5,macro_f1,E-S,29,202,-0.04461284602645297
tcn,5,macro_f1,E-S,29,303,-0.04052931004258149
tcn,5,macro_f1,E-S,29,404,-0.04570494428600076
tcn,5,macro_f1,E-S,29,505,-0.0397476092297286
tcn,5,macro_f1,E-S,29,8128,-0.04459936245080061
tcn,5,macro_f1,E-S,43,101,-0.029892243473173208
tcn,5,macro_f1,E-S,43,202,-0.029447510670934162
tcn,5,macro_f1,E-S,43,303,-0.029633368710613284
tcn,5,macro_f1,E-S,43,404,-0.03298732441818777
tcn,5,macro_f1,E-S,43,505,-0.0313152351802289
tcn,5,macro_f1,E-S,43,8128,-0.03158917254697489
tcn,5,macro_f1,S-I,17,101,0.0018626764714032352
tcn,5,macro_f1,S-I,17,202,0.002768680235788734
tcn,5,macro_f1,S-I,17,303,-0.0013957051460652848
tcn,5,macro_f1,S-I,17,404,-0.001776779055900657
tcn,5,macro_f1,S-I,17,505,0.0027344142461021683
tcn,5,macro_f1,S-I,17,8128,0.0023707986271438663
tcn,5,macro_f1,S-I,29,101,0.005683316610091293
tcn,5,macro_f1,S-I,29,202,-0.0017024649513571965
tcn,5,macro_f1,S-I,29,303,0.0018051334172391575
tcn,5,macro_f1,S-I,29,404,0.0011872579206275268
tcn,5,macro_f1,S-I,29,505,-6.411473189587014e-05
tcn,5,macro_f1,S-I,29,8128,-0.001504389051498234
tcn,5,macro_f1,S-I,43,101,0.00322652931929146
tcn,5,macro_f1,S-I,43,202,0.00476822994907451
tcn,5,macro_f1,S-I,43,303,-0.004323594581275181
tcn,5,macro_f1,S-I,43,404,0.004967506582777026
tcn,5,macro_f1,S-I,43,505,0.0010287922960712903
tcn,5,macro_f1,S-I,43,8128,0.002581660488588189
tcn,10,ece,E-I,17,101,-0.001838655966990621
tcn,10,ece,E-I,17,202,-0.001503995702963619
tcn,10,ece,E-I,17,303,-0.001133270717903638
tcn,10,ece,E-I,17,404,-0.00302119163043868
tcn,10,ece,E-I,17,505,-0.00025796950090357235
tcn,10,ece,E-I,17,8128,-0.0029792687637395718
tcn,10,ece,E-I,29,101,0.0016206606825595951
tcn,10,ece,E-I,29,202,0.0032658303474546874
tcn,10,ece,E-I,29,303,0.002160693129813304
tcn,10,ece,E-I,29,404,0.003626006837631132
tcn,10,ece,E-I,29,505,0.00029532404888928804
tcn,10,ece,E-I,29,8128,0.003715995550476074
tcn,10,ece,E-I,43,101,-0.008121463089345839
tcn,10,ece,E-I,43,202,-0.008556871392445438
tcn,10,ece,E-I,43,303,-0.007301532283668734
tcn,10,ece,E-I,43,404,-0.005684362657746238
tcn,10,ece,E-I,43,505,-0.009861226652147274
tcn,10,ece,E-I,43,8128,-0.009173417647169176
tcn,10,ece,E-S,17,101,-0.001374877056172495
tcn,10,ece,E-S,17,202,-0.0024306288713735386
tcn,10,ece,E-S,17,303,-0.000971374478274023
tcn,10,ece,E-S,17,404,-0.0016931368642173136
tcn,10,ece,E-S,17,505,-0.00037846491382368677
tcn,10,ece,E-S,17,8128,-0.0022072022217209638
tcn,10,ece,E-S,29,101,0.002397972029597731
tcn,10,ece,E-S,29,202,0.00354067685817865
tcn,10,ece,E-S,29,303,0.001786927357836865
tcn,10,ece,E-S,29,404,0.004693170028774658
tcn,10,ece,E-S,29,505,0.0028928763393633234
tcn,10,ece,E-S,29,8128,0.003354508100334075
tcn,10,ece,E-S,43,101,-0.008703244371707376
tcn,10,ece,E-S,43,202,-0.009500614769761218
tcn,10,ece,E-S,43,303,-0.006585792958852618
tcn,10,ece,E-S,43,404,-0.009068785230950664
tcn,10,ece,E-S,43,505,-0.008798060393735782
tcn,10,ece,E-S,43,8128,-0.009729480478592477
tcn,10,ece,S-I,17,101,-0.00046377891081812587
tcn,10,ece,S-I,17,202,0.0009266331684099196
tcn,10,ece,S-I,17,303,-0.00016189623962961503
tcn,10,ece,S-I,17,404,-0.0013280547662213663
tcn,10,ece,S-I,17,505,0.00012049541292011439
tcn,10,ece,S-I,17,8128,-0.0007720665420186082
tcn,10,ece,S-I,29,101,-0.0007773113470381357
tcn,10,ece,S-I,29,202,-0.00027484651072396256
tcn,10,ece,S-I,29,303,0.00037376577197643923
tcn,10,ece,S-I,29,404,-0.0010671631911435262
tcn,10,ece,S-I,29,505,-0.0025975522904740354
tcn,10,ece,S-I,29,8128,0.00036148745014199927
tcn,10,ece,S-I,43,101,0.0005817812823615375
tcn,10,ece,S-I,43,202,0.0009437433773157797
tcn,10,ece,S-I,43,303,-0.0007157393248161156
tcn,10,ece,S-I,43,404,0.0033844225732044264
tcn,10,ece,S-I,43,505,-0.0010631662584114922
tcn,10,ece,S-I,43,8128,0.0005560628314233013
tcn,10,macro_auroc,E-I,17,101,0.0006650496335857126
tcn,10,macro_auroc,E-I,17,202,-0.0010396526832063824
tcn,10,macro_auroc,E-I,17,303,1.617744607129712e-05
tcn,10,macro_auroc,E-I,17,404,0.00015019731565169003
tcn,10,macro_auroc,E-I,17,505,0.00035000000689000554
tcn,10,macro_auroc,E-I,17,8128,-0.0011310438149210178
tcn,10,macro_auroc,E-I,29,101,-0.00046238564862755016
tcn,10,macro_auroc,E-I,29,202,-0.001868693321543602
tcn,10,macro_auroc,E-I,29,303,-0.0011040184951276455
tcn,10,macro_auroc,E-I,29,404,-0.0012636931728271517
tcn,10,macro_auroc,E-I,29,505,1.9375852261749316e-05
tcn,10,macro_auroc,E-I,29,8128,-0.0013072806810578985
tcn,10,macro_auroc,E-I,43,101,-6.511323773794597e-05
tcn,10,macro_auroc,E-I,43,202,-0.0005159876190380386
tcn,10,macro_auroc,E-I,43,303,-0.0011695272864774564
tcn,10,macro_auroc,E-I,43,404,-0.0012350113616427238
tcn,10,macro_auroc,E-I,43,505,-0.0003138212044833111
tcn,10,macro_auroc,E-I,43,8128,-0.0007744978128277902
tcn,10,macro_auroc,E-S,17,101,0.0001894928235238069
tcn,10,macro_auroc,E-S,17,202,-0.0007338683631825882
tcn,10,macro_auroc,E-S,17,303,-0.000484489781756503
tcn,10,macro_auroc,E-S,17,404,6.0928497181134136e-05
tcn,10,macro_auroc,E-S,17,505,0.0002309202935327548
tcn,10,macro_auroc,E-S,17,8128,-0.0005789732838306971
tcn,10,macro_auroc,E-S,29,101,-0.0005493903456901927
tcn,10,macro_auroc,E-S,29,202,-0.002002030763081719
tcn,10,macro_auroc,E-S,29,303,-0.0008228865011706387
tcn,10,macro_auroc,E-S,29,404,-0.0013617036564921303
tcn,10,macro_auroc,E-S,29,505,-0.0007403275856129987
tcn,10,macro_auroc,E-S,29,8128,-0.0018732406176763527
tcn,10,macro_auroc,E-S,43,101,-0.00035352688432606084
tcn,10,macro_auroc,E-S,43,202,-0.0008830178270464506
tcn,10,macro_auroc,E-S,43,303,-0.0011085620547188536
tcn,10,macro_auroc,E-S,43,404,-0.001322196424698796
tcn,10,macro_auroc,E-S,43,505,-0.0007825135109978065
tcn,10,macro_auroc,E-S,43,8128,-0.0013266079957746867
tcn,10,macro_auroc,S-I,17,101,0.00047555681006190565
tcn,10,macro_auroc,S-I,17,202,-0.00030578432002379417
tcn,10,macro_auroc,S-I,17,303,0.0005006672278278001
tcn,10,macro_auroc,S-I,17,404,8.92688184705559e-05
tcn,10,macro_auroc,S-I,17,505,0.00011907971335725076
tcn,10,macro_auroc,S-I,17,8128,-0.0005520705310903207
tcn,10,macro_auroc,S-I,29,101,8.700469706264257e-05
tcn,10,macro_auroc,S-I,29,202,0.0001333374415381172
tcn,10,macro_auroc,S-I,29,303,-0.0002811319939570067
tcn,10,macro_auroc,S-I,29,404,9.801048366497866e-05
tcn,10,macro_auroc,S-I,29,505,0.000759703437874748
tcn,10,macro_auroc,S-I,29,8128,0.0005659599366184542
tcn,10,macro_auroc,S-I,43,101,0.00028841364658811487
tcn,10,macro_auroc,S-I,43,202,0.000367030208008412
tcn,10,macro_auroc,S-I,43,303,-6.096523175860291e-05
tcn,10,macro_auroc,S-I,43,404,8.71850630560722e-05
tcn,10,macro_auroc,S-I,43,505,0.00046869230651449547
tcn,10,macro_auroc,S-I,43,8128,0.0005521101829468966
tcn,10,macro_f1,E-I,17,101,0.0049140344342581965
tcn,10,macro_f1,E-I,17,202,-0.005675455590842593
tcn,10,macro_f1,E-I,17,303,-0.00016160620820659943
tcn,10,macro_f1,E-I,17,404,-0.002565450905616329
tcn,10,macro_f1,E-I,17,505,-0.0031155352909840728
tcn,10,macro_f1,E-I,17,8128,-0.0028893665560769666
tcn,10,macro_f1,E-I,29,101,-0.008020224929762176
tcn,10,macro_f1,E-I,29,202,-0.009202437853670364
tcn,10,macro_f1,E-I,29,303,-0.0064209563793967694
tcn,10,macro_f1,E-I,29,404,-0.007743296430166247
tcn,10,macro_f1,E-I,29,505,-0.006833056061054998
tcn,10,macro_f1,E-I,29,8128,-0.012467241695292897
tcn,10,macro_f1,E-I,43,101,-0.0048064913071501625
tcn,10,macro_f1,E-I,43,202,-0.006850776903579381
tcn,10,macro_f1,E-I,43,303,-0.008925690866993463
tcn,10,macro_f1,E-I,43,404,-0.009127112922804992
tcn,10,macro_f1,E-I,43,505,-0.006396400530582325
tcn,10,macro_f1,E-I,43,8128,-0.0038931370310096858
tcn,10,macro_f1,E-S,17,101,-0.0012542578180702924
tcn,10,macro_f1,E-S,17,202,-0.005084713483330283
tcn,10,macro_f1,E-S,17,303,-0.0021598905366943645
tcn,10,macro_f1,E-S,17,404,-0.0005248726603176879
tcn,10,macro_f1,E-S,17,505,-0.002745031162682299
tcn,10,macro_f1,E-S,17,8128,-0.003998624758301017
tcn,10,macro_f1,E-S,29,101,-0.00952802821291967
tcn,10,macro_f1,E-S,29,202,-0.009037877757710344
tcn,10,macro_f1,E-S,29,303,-0.005683103976759885
tcn,10,macro_f1,E-S,29,404,-0.010141688039470974
