model,snr,metric,contrast,seed,mode,redundant_contrast,estimate
tcn,0,ece,E-I,43,S_03,True,0.06925281862273928
tcn,0,ece,E-I,43,S_04,True,0.06925281862273928
tcn,0,ece,E-S,17,S_00,False,0.02818082573893113
tcn,0,ece,E-S,17,S_01,False,0.026293941564458006
tcn,0,ece,E-S,17,S_02,False,0.008349130836844734
tcn,0,ece,E-S,17,S_03,False,0.051492311196054075
tcn,0,ece,E-S,17,S_04,False,0.06906695666506073
tcn,0,ece,E-S,29,S_00,False,0.12195436268720426
tcn,0,ece,E-S,29,S_01,False,0.014678760761209553
tcn,0,ece,E-S,29,S_02,False,0.009925345818296072
tcn,0,ece,E-S,29,S_03,False,0.12160000639638478
tcn,0,ece,E-S,29,S_04,False,0.10247694923811845
tcn,0,ece,E-S,43,S_00,False,0.08030343608316838
tcn,0,ece,E-S,43,S_01,False,0.04378309538706609
tcn,0,ece,E-S,43,S_02,False,0.021556911662136153
tcn,0,ece,E-S,43,S_03,False,0.10330374780253378
tcn,0,ece,E-S,43,S_04,False,0.0888992620151448
tcn,0,ece,S-I,17,S_00,False,0.011853229638200695
tcn,0,ece,S-I,17,S_01,False,0.013740113812673822
tcn,0,ece,S-I,17,S_02,False,0.031684924540287096
tcn,0,ece,S-I,17,S_03,False,-0.011458255818922259
tcn,0,ece,S-I,17,S_04,False,-0.029032901287928892
tcn,0,ece,S-I,29,S_00,False,-0.06066551081489747
tcn,0,ece,S-I,29,S_01,False,0.04661009111109724
tcn,0,ece,S-I,29,S_02,False,0.05136350605401072
tcn,0,ece,S-I,29,S_03,False,-0.06031115452407798
tcn,0,ece,S-I,29,S_04,False,-0.04118809736581166
tcn,0,ece,S-I,43,S_00,False,-0.011050617460429096
tcn,0,ece,S-I,43,S_01,False,0.025469723235673203
tcn,0,ece,S-I,43,S_02,False,0.047695906960603135
tcn,0,ece,S-I,43,S_03,False,-0.03405092917979449
tcn,0,ece,S-I,43,S_04,False,-0.01964644339240552
tcn,0,macro_auroc,E-I,17,S_00,True,-0.008280136774866423
tcn,0,macro_auroc,E-I,17,S_01,True,-0.008280136774866423
tcn,0,macro_auroc,E-I,17,S_02,True,-0.008280136774866423
tcn,0,macro_auroc,E-I,17,S_03,True,-0.008280136774866423
tcn,0,macro_auroc,E-I,17,S_04,True,-0.008280136774866423
tcn,0,macro_auroc,E-I,29,S_00,True,-0.016613159627569613
tcn,0,macro_auroc,E-I,29,S_01,True,-0.016613159627569613
tcn,0,macro_auroc,E-I,29,S_02,True,-0.016613159627569613
tcn,0,macro_auroc,E-I,29,S_03,True,-0.016613159627569613
tcn,0,macro_auroc,E-I,29,S_04,True,-0.016613159627569613
tcn,0,macro_auroc,E-I,43,S_00,True,-0.012559087576594649
tcn,0,macro_auroc,E-I,43,S_01,True,-0.012559087576594649
tcn,0,macro_auroc,E-I,43,S_02,True,-0.012559087576594649
tcn,0,macro_auroc,E-I,43,S_03,True,-0.012559087576594649
tcn,0,macro_auroc,E-I,43,S_04,True,-0.012559087576594649
tcn,0,macro_auroc,E-S,17,S_00,False,-0.005773453130185365
tcn,0,macro_auroc,E-S,17,S_01,False,-0.008436329112507393
tcn,0,macro_auroc,E-S,17,S_02,False,-0.004797107844958903
tcn,0,macro_auroc,E-S,17,S_03,False,-0.010158714783098932
tcn,0,macro_auroc,E-S,17,S_04,False,-0.01026361931809124
tcn,0,macro_auroc,E-S,29,S_00,False,-0.025755097570035728
tcn,0,macro_auroc,E-S,29,S_01,False,-0.006090210886530574
tcn,0,macro_auroc,E-S,29,S_02,False,-0.004848578268536981
tcn,0,macro_auroc,E-S,29,S_03,False,-0.028072181554285664
tcn,0,macro_auroc,E-S,29,S_04,False,-0.024377496007987092
tcn,0,macro_auroc,E-S,43,S_00,False,-0.015939379273528453
tcn,0,macro_auroc,E-S,43,S_01,False,-0.009772076654146422
tcn,0,macro_auroc,E-S,43,S_02,False,-0.006867323771191462
tcn,0,macro_auroc,E-S,43,S_03,False,-0.019865218704464893
tcn,0,macro_auroc,E-S,43,S_04,False,-0.01679249459378303
tcn,0,macro_auroc,S-I,17,S_00,False,-0.002506683644681059
tcn,0,macro_auroc,S-I,17,S_01,False,0.00015619233764097018
tcn,0,macro_auroc,S-I,17,S_02,False,-0.0034830289299075203
tcn,0,macro_auroc,S-I,17,S_03,False,0.0018785780082325083
tcn,0,macro_auroc,S-I,17,S_04,False,0.001983482543224816
tcn,0,macro_auroc,S-I,29,S_00,False,0.009141937942466113
tcn,0,macro_auroc,S-I,29,S_01,False,-0.01052294874103904
tcn,0,macro_auroc,S-I,29,S_02,False,-0.011764581359032633
tcn,0,macro_auroc,S-I,29,S_03,False,0.011459021926716051
tcn,0,macro_auroc,S-I,29,S_04,False,0.007764336380417476
tcn,0,macro_auroc,S-I,43,S_00,False,0.003380291696933805
tcn,0,macro_auroc,S-I,43,S_01,False,-0.0027870109224482262
tcn,0,macro_auroc,S-I,43,S_02,False,-0.005691763805403187
tcn,0,macro_auroc,S-I,43,S_03,False,0.007306131127870245
tcn,0,macro_auroc,S-I,43,S_04,False,0.004233407017188384
tcn,0,macro_f1,E-I,17,S_00,True,-0.07341767954843155
tcn,0,macro_f1,E-I,17,S_01,True,-0.07341767954843155
tcn,0,macro_f1,E-I,17,S_02,True,-0.07341767954843155
tcn,0,macro_f1,E-I,17,S_03,True,-0.07341767954843155
tcn,0,macro_f1,E-I,17,S_04,True,-0.07341767954843155
tcn,0,macro_f1,E-I,29,S_00,True,-0.0924850217451284
tcn,0,macro_f1,E-I,29,S_01,True,-0.0924850217451284
tcn,0,macro_f1,E-I,29,S_02,True,-0.0924850217451284
tcn,0,macro_f1,E-I,29,S_03,True,-0.0924850217451284
tcn,0,macro_f1,E-I,29,S_04,True,-0.0924850217451284
tcn,0,macro_f1,E-I,43,S_00,True,-0.12961788092238347
tcn,0,macro_f1,E-I,43,S_01,True,-0.12961788092238347
tcn,0,macro_f1,E-I,43,S_02,True,-0.12961788092238347
tcn,0,macro_f1,E-I,43,S_03,True,-0.12961788092238347
tcn,0,macro_f1,E-I,43,S_04,True,-0.12961788092238347
tcn,0,macro_f1,E-S,17,S_00,False,-0.0432044109425798
tcn,0,macro_f1,E-S,17,S_01,False,-0.06256117223401736
tcn,0,macro_f1,E-S,17,S_02,False,-0.034514972543374545
tcn,0,macro_f1,E-S,17,S_03,False,-0.08817332693901969
tcn,0,macro_f1,E-S,17,S_04,False,-0.10633677536107398
tcn,0,macro_f1,E-S,29,S_00,False,-0.1731865865290796
tcn,0,macro_f1,E-S,29,S_01,False,-0.021427307036680377
tcn,0,macro_f1,E-S,29,S_02,False,-0.023947500543106376
tcn,0,macro_f1,E-S,29,S_03,False,-0.18392749182281884
tcn,0,macro_f1,E-S,29,S_04,False,-0.1487683549851711
tcn,0,macro_f1,E-S,43,S_00,False,-0.15450727035068298
tcn,0,macro_f1,E-S,43,S_01,False,-0.09263418649274872
tcn,0,macro_f1,E-S,43,S_02,False,-0.07269890400262789
tcn,0,macro_f1,E-S,43,S_03,False,-0.18100778864217648
tcn,0,macro_f1,E-S,43,S_04,False,-0.1709420016972788
tcn,0,macro_f1,S-I,17,S_00,False,-0.030213268605851756
tcn,0,macro_f1,S-I,17,S_01,False,-0.010856507314414196
tcn,0,macro_f1,S-I,17,S_02,False,-0.03890270700505701
tcn,0,macro_f1,S-I,17,S_03,False,0.014755647390588137
tcn,0,macro_f1,S-I,17,S_04,False,0.03291909581264243
tcn,0,macro_f1,S-I,29,S_00,False,0.0807015647839512
tcn,0,macro_f1,S-I,29,S_01,False,-0.07105771470844802
tcn,0,macro_f1,S-I,29,S_02,False,-0.06853752120202201
tcn,0,macro_f1,S-I,29,S_03,False,0.09144247007769042
tcn,0,macro_f1,S-I,29,S_04,False,0.05628333324004272
tcn,0,macro_f1,S-I,43,S_00,False,0.02488938942829951
tcn,0,macro_f1,S-I,43,S_01,False,-0.03698369442963475
tcn,0,macro_f1,S-I,43,S_02,False,-0.05691897691975556
tcn,0,macro_f1,S-I,43,S_03,False,0.051389907719793036
tcn,0,macro_f1,S-I,43,S_04,False,0.041324120774895334
tcn,5,ece,E-I,17,S_00,True,0.008001247208903104
tcn,5,ece,E-I,17,S_01,True,0.008001247208903104
tcn,5,ece,E-I,17,S_02,True,0.008001247208903104
tcn,5,ece,E-I,17,S_03,True,0.008001247208903104
tcn,5,ece,E-I,17,S_04,True,0.008001247208903104
tcn,5,ece,E-I,29,S_00,True,0.03875107868020634
tcn,5,ece,E-I,29,S_01,True,0.03875107868020634
tcn,5,ece,E-I,29,S_02,True,0.03875107868020634
tcn,5,ece,E-I,29,S_03,True,0.03875107868020634
tcn,5,ece,E-I,29,S_04,True,0.03875107868020634
tcn,5,ece,E-I,43,S_00,True,0.008181525306243864
tcn,5,ece,E-I,43,S_01,True,0.008181525306243864
tcn,5,ece,E-I,43,S_02,True,0.008181525306243864
tcn,5,ece,E-I,43,S_03,True,0.008181525306243864
tcn,5,ece,E-I,43,S_04,True,0.008181525306243864
tcn,5,ece,E-S,17,S_00,False,0.006983182756981342
tcn,5,ece,E-S,17,S_01,False,0.006035368906779436
tcn,5,ece,E-S,17,S_02,False,0.007601409636074142
tcn,5,ece,E-S,17,S_03,False,0.009688903226395025
tcn,5,ece,E-S,17,S_04,False,0.014100376738315898
tcn,5,ece,E-S,29,S_00,False,0.06145219619825585
tcn,5,ece,E-S,29,S_01,False,0.011422081711363684
tcn,5,ece,E-S,29,S_02,False,0.008349032205489985
tcn,5,ece,E-S,29,S_03,False,0.06361674115689538
tcn,5,ece,E-S,29,S_04,False,0.054585421412391394
tcn,5,ece,E-S,43,S_00,False,0.004760598063787376
tcn,5,ece,E-S,43,S_01,False,0.006977432092355848
tcn,5,ece,E-S,43,S_02,False,0.003953052131516623
tcn,5,ece,E-S,43,S_03,False,0.0028632385046181027
tcn,5,ece,E-S,43,S_04,False,0.004257658933712411
tcn,5,ece,S-I,17,S_00,False,0.001018064451921762
tcn,5,ece,S-I,17,S_01,False,0.001965878302123667
tcn,5,ece,S-I,17,S_02,False,0.00039983757282896146
tcn,5,ece,S-I,17,S_03,False,-0.0016876560174919214
tcn,5,ece,S-I,17,S_04,False,-0.0060991295294127905
tcn,5,ece,S-I,29,S_00,False,-0.022701117518049513
tcn,5,ece,S-I,29,S_01,False,0.02732899696884265
tcn,5,ece,S-I,29,S_02,False,0.03040204647471635
tcn,5,ece,S-I,29,S_03,False,-0.024865662476689043
tcn,5,ece,S-I,29,S_04,False,-0.015834342732185057
tcn,5,ece,S-I,43,S_00,False,0.0034209272424564866
tcn,5,ece,S-I,43,S_01,False,0.0012040932138880137
tcn,5,ece,S-I,43,S_02,False,0.004228473174727239
tcn,5,ece,S-I,43,S_03,False,0.00531828680162576
tcn,5,ece,S-I,43,S_04,False,0.003923866372531451
tcn,5,macro_auroc,E-I,17,S_00,True,-0.0014345054664356427
tcn,5,macro_auroc,E-I,17,S_01,True,-0.0014345054664356427
tcn,5,macro_auroc,E-I,17,S_02,True,-0.0014345054664356427
tcn,5,macro_auroc,E-I,17,S_03,True,-0.0014345054664356427
tcn,5,macro_auroc,E-I,17,S_04,True,-0.0014345054664356427
tcn,5,macro_auroc,E-I,29,S_00,True,-0.005051852983146014
tcn,5,macro_auroc,E-I,29,S_01,True,-0.005051852983146014
tcn,5,macro_auroc,E-I,29,S_02,True,-0.005051852983146014
tcn,5,macro_auroc,E-I,29,S_03,True,-0.005051852983146014
tcn,5,macro_auroc,E-I,29,S_04,True,-0.005051852983146014
tcn,5,macro_auroc,E-I,43,S_00,True,-0.003366124950954249
tcn,5,macro_auroc,E-I,43,S_01,True,-0.003366124950954249
tcn,5,macro_auroc,E-I,43,S_02,True,-0.003366124950954249
tcn,5,macro_auroc,E-I,43,S_03,True,-0.003366124950954249
tcn,5,macro_auroc,E-I,43,S_04,True,-0.003366124950954249
tcn,5,macro_auroc,E-S,17,S_00,False,0.00017587774241587897
tcn,5,macro_auroc,E-S,17,S_01,False,-0.0016413185487171116
tcn,5,macro_auroc,E-S,17,S_02,False,-0.0010430107704937168
tcn,5,macro_auroc,E-S,17,S_03,False,-0.0018144543964748554
tcn,5,macro_auroc,E-S,17,S_04,False,-0.00269055572822674
tcn,5,macro_auroc,E-S,29,S_00,False,-0.007561932564173535
tcn,5,macro_auroc,E-S,29,S_01,False,-0.0015441847395869883
tcn,5,macro_auroc,E-S,29,S_02,False,-0.0011756454720227756
tcn,5,macro_auroc,E-S,29,S_03,False,-0.008935800441149814
tcn,5,macro_auroc,E-S,29,S_04,False,-0.007461652902994535
tcn,5,macro_auroc,E-S,43,S_00,False,-0.004669661990620244
tcn,5,macro_auroc,E-S,43,S_01,False,-0.002131395963287449
tcn,5,macro_auroc,E-S,43,S_02,False,-0.0017163731284363104
tcn,5,macro_auroc,E-S,43,S_03,False,-0.0058651644824368465
tcn,5,macro_auroc,E-S,43,S_04,False,-0.005111452896452355
tcn,5,macro_auroc,S-I,17,S_00,False,-0.0016103832088515218
tcn,5,macro_auroc,S-I,17,S_01,False,0.0002068130822814688
tcn,5,macro_auroc,S-I,17,S_02,False,-0.00039149469594192593
tcn,5,macro_auroc,S-I,17,S_03,False,0.00037994893003921265
tcn,5,macro_auroc,S-I,17,S_04,False,0.0012560502617910974
tcn,5,macro_auroc,S-I,29,S_00,False,0.002510079581027521
tcn,5,macro_auroc,S-I,29,S_01,False,-0.0035076682435590256
tcn,5,macro_auroc,S-I,29,S_02,False,-0.0038762075111232384
tcn,5,macro_auroc,S-I,29,S_03,False,0.0038839474580038003
tcn,5,macro_auroc,S-I,29,S_04,False,0.002409799919848521
tcn,5,macro_auroc,S-I,43,S_00,False,0.0013035370396659955
tcn,5,macro_auroc,S-I,43,S_01,False,-0.0012347289876668
tcn,5,macro_auroc,S-I,43,S_02,False,-0.0016497518225179382
tcn,5,macro_auroc,S-I,43,S_03,False,0.0024990395314825977
tcn,5,macro_auroc,S-I,43,S_04,False,0.0017453279454981059
tcn,5,macro_f1,E-I,17,S_00,True,-0.015533935381630245
tcn,5,macro_f1,E-I,17,S_01,True,-0.015533935381630245
tcn,5,macro_f1,E-I,17,S_02,True,-0.015533935381630245
tcn,5,macro_f1,E-I,17,S_03,True,-0.015533935381630245
tcn,5,macro_f1,E-I,17,S_04,True,-0.015533935381630245
tcn,5,macro_f1,E-I,29,S_00,True,-0.04238050775305097
tcn,5,macro_f1,E-I,29,S_01,True,-0.04238050775305097
tcn,5,macro_f1,E-I,29,S_02,True,-0.04238050775305097
tcn,5,macro_f1,E-I,29,S_03,True,-0.04238050775305097
tcn,5,macro_f1,E-I,29,S_04,True,-0.04238050775305097
tcn,5,macro_f1,E-I,43,S_00,True,-0.028769288490930817
tcn,5,macro_f1,E-I,43,S_01,True,-0.028769288490930817
tcn,5,macro_f1,E-I,43,S_02,True,-0.028769288490930817
tcn,5,macro_f1,E-I,43,S_03,True,-0.028769288490930817
tcn,5,macro_f1,E-I,43,S_04,True,-0.028769288490930817
tcn,5,macro_f1,E-S,17,S_00,False,-0.00867923050184046
tcn,5,macro_f1,E-S,17,S_01,False,-0.011937726612642955
tcn,5,macro_f1,E-S,17,S_02,False,-0.010289622736062709
tcn,5,macro_f1,E-S,17,S_03,False,-0.022641877035215124
tcn,5,macro_f1,E-S,17,S_04,False,-0.029591291171116696
tcn,5,macro_f1,E-S,29,S_00,False,-0.06571340851287444
tcn,5,macro_f1,E-S,29,S_01,False,-0.013743465605917382
tcn,5,macro_f1,E-S,29,S_02,False,-0.011445282969690865
tcn,5,macro_f1,E-S,29,S_03,False,-0.06892946215133283
tcn,5,macro_f1,E-S,29,S_04,False,-0.056574868869778215
tcn,5,macro_f1,E-S,43,S_00,False,-0.034597097621310524
tcn,5,macro_f1,E-S,43,S_01,False,-0.020240934469336207
tcn,5,macro_f1,E-S,43,S_02,False,-0.01605935599376655
tcn,5,macro_f1,E-S,43,S_03,False,-0.04143414535460003
tcn,5,macro_f1,E-S,43,S_04,False,-0.041722512394413526
tcn,5,macro_f1,S-I,17,S_00,False,-0.006854704879789786
tcn,5,macro_f1,S-I,17,S_01,False,-0.0035962087689872893
tcn,5,macro_f1,S-I,17,S_02,False,-0.005244312645567535
tcn,5,macro_f1,S-I,17,S_03,False,0.007107941653584878
tcn,5,macro_f1,S-I,17,S_04,False,0.01405735578948645
tcn,5,macro_f1,S-I,29,S_00,False,0.02333290075982347
tcn,5,macro_f1,S-I,29,S_01,False,-0.028637042147133585
tcn,5,macro_f1,S-I,29,S_02,False,-0.0309352247833601
tcn,5,macro_f1,S-I,29,S_03,False,0.026548954398281865
tcn,5,macro_f1,S-I,29,S_04,False,0.014194361116727247
tcn,5,macro_f1,S-I,43,S_00,False,0.005827809130379706
tcn,5,macro_f1,S-I,43,S_01,False,-0.008528354021594612
tcn,5,macro_f1,S-I,43,S_02,False,-0.01270993249716427
tcn,5,macro_f1,S-I,43,S_03,False,0.012664856863669213
tcn,5,macro_f1,S-I,43,S_04,False,0.01295322390348271
tcn,10,ece,E-I,17,S_00,True,-0.0017890587138232837
tcn,10,ece,E-I,17,S_01,True,-0.0017890587138232837
tcn,10,ece,E-I,17,S_02,True,-0.0017890587138232837
tcn,10,ece,E-I,17,S_03,True,-0.0017890587138232837
tcn,10,ece,E-I,17,S_04,True,-0.0017890587138232837
tcn,10,ece,E-I,29,S_00,True,0.0024474184328040134
tcn,10,ece,E-I,29,S_01,True,0.0024474184328040134
tcn,10,ece,E-I,29,S_02,True,0.0024474184328040134
tcn,10,ece,E-I,29,S_03,True,0.0024474184328040134
tcn,10,ece,E-I,29,S_04,True,0.0024474184328040134
tcn,10,ece,E-I,43,S_00,True,-0.008116478953753782
tcn,10,ece,E-I,43,S_01,True,-0.008116478953753782
tcn,10,ece,E-I,43,S_02,True,-0.008116478953753782
tcn,10,ece,E-I,43,S_03,True,-0.008116478953753782
tcn,10,ece,E-I,43,S_04,True,-0.008116478953753782
tcn,10,ece,E-S,17,S_00,False,-0.0016568218789363316
tcn,10,ece,E-S,17,S_01,False,-0.0024287949008271227
tcn,10,ece,E-S,17,S_02,False,-0.0004925764278998374
tcn,10,ece,E-S,17,S_03,False,-0.001951659885704414
tcn,10,ece,E-S,17,S_04,False,-0.0010165505779506448
tcn,10,ece,E-S,29,S_00,False,0.005376920592749519
tcn,10,ece,E-S,29,S_01,False,-0.0007902314636995776
tcn,10,ece,E-S,29,S_02,False,0.0005491853642285981
tcn,10,ece,E-S,29,S_03,False,0.005501687220874174
tcn,10,ece,E-S,29,S_04,False,0.004917547214251705
tcn,10,ece,E-S,43,S_00,False,-0.00990147853995539
tcn,10,ece,E-S,43,S_01,False,-0.005486879716100517
tcn,10,ece,E-S,43,S_02,False,-0.0043521604651813525
tcn,10,ece,E-S,43,S_03,False,-0.01296930731433634
tcn,10,ece,E-S,43,S_04,False,-0.01094515580075985
tcn,10,ece,S-I,17,S_00,False,-0.0001322368348869521
tcn,10,ece,S-I,17,S_01,False,0.0006397361870038391
tcn,10,ece,S-I,17,S_02,False,-0.0012964822859234462
tcn,10,ece,S-I,17,S_03,False,0.00016260117188113035
tcn,10,ece,S-I,17,S_04,False,-0.0007725081358726389
tcn,10,ece,S-I,29,S_00,False,-0.0029295021599455053
tcn,10,ece,S-I,29,S_01,False,0.003237649896503591
tcn,10,ece,S-I,29,S_02,False,0.0018982330685754153
tcn,10,ece,S-I,29,S_03,False,-0.00305426878807016
tcn,10,ece,S-I,29,S_04,False,-0.002470128781447692
tcn,10,ece,S-I,43,S_00,False,0.001784999586201607
tcn,10,ece,S-I,43,S_01,False,-0.0026295992376532662
tcn,10,ece,S-I,43,S_02,False,-0.0037643184885724303
tcn,10,ece,S-I,43,S_03,False,0.004852828360582554
tcn,10,ece,S-I,43,S_04,False,0.002828676847006066
tcn,10,macro_auroc,E-I,17,S_00,True,-0.00016487868265478248
tcn,10,macro_auroc,E-I,17,S_01,True,-0.00016487868265478248
tcn,10,macro_auroc,E-I,17,S_02,True,-0.00016487868265478248
tcn,10,macro_auroc,E-I,17,S_03,True,-0.00016487868265478248
tcn,10,macro_auroc,E-I,17,S_04,True,-0.00016487868265478248
tcn,10,macro_auroc,E-I,29,S_00,True,-0.0009977825778203497
tcn,10,macro_auroc,E-I,29,S_01,True,-0.0009977825778203497
tcn,10,macro_auroc,E-I,29,S_02,True,-0.0009977825778203497
tcn,10,macro_auroc,E-I,29,S_03,True,-0.0009977825778203497
tcn,10,macro_auroc,E-I,29,S_04,True,-0.0009977825778203497
tcn,10,macro_auroc,E-I,43,S_00,True,-0.0006789930870345443
tcn,10,macro_auroc,E-I,43,S_01,True,-0.0006789930870345443
tcn,10,macro_auroc,E-I,43,S_02,True,-0.0006789930870345443
tcn,10,macro_auroc,E-I,43,S_03,True,-0.0006789930870345443
tcn,10,macro_auroc,E-I,43,S_04,True,-0.0006789930870345443
tcn,10,macro_auroc,E-S,17,S_00,False,0.000549780908319697
tcn,10,macro_auroc,E-S,17,S_01,False,-0.00011086106032838956
tcn,10,macro_auroc,E-S,17,S_02,False,-0.0002910963585365615
tcn,10,macro_auroc,E-S,17,S_03,False,-0.00038682798092913123
tcn,10,macro_auroc,E-S,17,S_04,False,-0.0008576536873023585
tcn,10,macro_auroc,E-S,29,S_00,False,-0.001611049754407105
tcn,10,macro_auroc,E-S,29,S_01,False,-0.00023207430034806928
tcn,10,macro_auroc,E-S,29,S_02,False,-0.00038819153954794405
tcn,10,macro_auroc,E-S,29,S_03,False,-0.0021811317776437487
tcn,10,macro_auroc,E-S,29,S_04,False,-0.0017122021861564936
tcn,10,macro_auroc,E-S,43,S_00,False,-0.001185602719203686
tcn,10,macro_auroc,E-S,43,S_01,False,-0.00027026213778062286
tcn,10,macro_auroc,E-S,43,S_02,False,-0.00042274087950738837
tcn,10,macro_auroc,E-S,43,S_03,False,-0.0015625471447995125
tcn,10,macro_auroc,E-S,43,S_04,False,-0.001372534366677669
tcn,10,macro_auroc,S-I,17,S_00,False,-0.0007146595909744794
tcn,10,macro_auroc,S-I,17,S_01,False,-5.401762232639292e-05
tcn,10,macro_auroc,S-I,17,S_02,False,0.000126217675881779
tcn,10,macro_auroc,S-I,17,S_03,False,0.00022194929827434873
tcn,10,macro_auroc,S-I,17,S_04,False,0.0006927750046475759
tcn,10,macro_auroc,S-I,29,S_00,False,0.0006132671765867551
tcn,10,macro_auroc,S-I,29,S_01,False,-0.0007657082774722804
tcn,10,macro_auroc,S-I,29,S_02,False,-0.0006095910382724057
tcn,10,macro_auroc,S-I,29,S_03,False,0.0011833491998233987
tcn,10,macro_auroc,S-I,29,S_04,False,0.0007144196083361439
tcn,10,macro_auroc,S-I,43,S_00,False,0.0005066096321691416
tcn,10,macro_auroc,S-I,43,S_01,False,-0.0004087309492539215
tcn,10,macro_auroc,S-I,43,S_02,False,-0.000256252207527156
tcn,10,macro_auroc,S-I,43,S_03,False,0.0008835540577649681
tcn,10,macro_auroc,S-I,43,S_04,False,0.0006935412796431247
tcn,10,macro_f1,E-I,17,S_00,True,-0.0015822300195780608
tcn,10,macro_f1,E-I,17,S_01,True,-0.0015822300195780608
tcn,10,macro_f1,E-I,17,S_02,True,-0.0015822300195780608
tcn,10,macro_f1,E-I,17,S_03,True,-0.0015822300195780608
tcn,10,macro_f1,E-I,17,S_04,True,-0.0015822300195780608
tcn,10,macro_f1,E-I,29,S_00,True,-0.008447868891557242
tcn,10,macro_f1,E-I,29,S_01,True,-0.008447868891557242
tcn,10,macro_f1,E-I,29,S_02,True,-0.008447868891557242
tcn,10,macro_f1,E-I,29,S_03,True,-0.008447868891557242
tcn,10,macro_f1,E-I,29,S_04,True,-0.008447868891557242
tcn,10,macro_f1,E-I,43,S_00,True,-0.006666601593686668
tcn,10,macro_f1,E-I,43,S_01,True,-0.006666601593686668
tcn,10,macro_f1,E-I,43,S_02,True,-0.006666601593686668
tcn,10,macro_f1,E-I,43,S_03,True,-0.006666601593686668
tcn,10,macro_f1,E-I,43,S_04,True,-0.006666601593686668
tcn,10,macro_f1,E-S,17,S_00,False,-0.0008041680267398635
tcn,10,macro_f1,E-S,17,S_01,False,-0.0016098576996570284
tcn,10,macro_f1,E-S,17,S_02,False,-0.002109643324071986
tcn,10,macro_f1,E-S,17,S_03,False,-0.0038170205754298934
tcn,10,macro_f1,E-S,17,S_04,False,-0.004798802390264516
tcn,10,macro_f1,E-S,29,S_00,False,-0.013839850763703476
tcn,10,macro_f1,E-S,29,S_01,False,-0.0012632722546671211
tcn,10,macro_f1,E-S,29,S_02,False,-0.0028018929697691632
tcn,10,macro_f1,E-S,29,S_03,False,-0.015594927202865724
tcn,10,macro_f1,E-S,29,S_04,False,-0.01202109126244294
tcn,10,macro_f1,E-S,43,S_00,False,-0.009176315021858969
tcn,10,macro_f1,E-S,43,S_01,False,-0.003784774666207654
tcn,10,macro_f1,E-S,43,S_02,False,-0.003754859472706984
tcn,10,macro_f1,E-S,43,S_03,False,-0.010829111886827225
tcn,10,macro_f1,E-S,43,S_04,False,-0.011595840603542962
tcn,10,macro_f1,S-I,17,S_00,False,-0.0007780619928381971
tcn,10,macro_f1,S-I,17,S_01,False,2.7627680078967654e-05
tcn,10,macro_f1,S-I,17,S_02,False,0.0005274133044939252
tcn,10,macro_f1,S-I,17,S_03,False,0.0022347905558518324
tcn,10,macro_f1,S-I,17,S_04,False,0.0032165723706864546
tcn,10,macro_f1,S-I,29,S_00,False,0.005391981872146234
tcn,10,macro_f1,S-I,29,S_01,False,-0.007184596636890121
tcn,10,macro_f1,S-I,29,S_02,False,-0.005645975921788078
tcn,10,macro_f1,S-I,29,S_03,False,0.007147058311308481
tcn,10,macro_f1,S-I,29,S_04,False,0.003573222370885698
tcn,10,macro_f1,S-I,43,S_00,False,0.0025097134281723
tcn,10,macro_f1,S-I,43,S_01,False,-0.0028818269274790143
tcn,10,macro_f1,S-I,43,S_02,False,-0.0029117421209796843
tcn,10,macro_f1,S-I,43,S_03,False,0.004162510293140557
tcn,10,macro_f1,S-I,43,S_04,False,0.004929239009856294
