model,snr,metric,contrast,seed,mode,redundant_contrast,estimate
resnet,0,macro_f1,E-I,29,S_01,True,-0.05934600816208494
resnet,0,macro_f1,E-I,29,S_02,True,-0.05934600816208494
resnet,0,macro_f1,E-I,29,S_03,True,-0.05934600816208494
resnet,0,macro_f1,E-I,29,S_04,True,-0.05934600816208494
resnet,0,macro_f1,E-I,43,S_00,True,-0.06297534306007398
resnet,0,macro_f1,E-I,43,S_01,True,-0.06297534306007398
resnet,0,macro_f1,E-I,43,S_02,True,-0.06297534306007398
resnet,0,macro_f1,E-I,43,S_03,True,-0.06297534306007398
resnet,0,macro_f1,E-I,43,S_04,True,-0.06297534306007398
resnet,0,macro_f1,E-S,17,S_00,False,-0.07197254065118426
resnet,0,macro_f1,E-S,17,S_01,False,-0.021196044588963753
resnet,0,macro_f1,E-S,17,S_02,False,-0.014593293510091235
resnet,0,macro_f1,E-S,17,S_03,False,-0.09698609003598002
resnet,0,macro_f1,E-S,17,S_04,False,-0.07612120069501772
resnet,0,macro_f1,E-S,29,S_00,False,-0.04810926012472868
resnet,0,macro_f1,E-S,29,S_01,False,-0.02001263246967332
resnet,0,macro_f1,E-S,29,S_02,False,-0.026115765214928633
resnet,0,macro_f1,E-S,29,S_03,False,-0.054134865691546276
resnet,0,macro_f1,E-S,29,S_04,False,-0.055396037121481924
resnet,0,macro_f1,E-S,43,S_00,False,-0.08028907157423265
resnet,0,macro_f1,E-S,43,S_01,False,-0.0011491725173140936
resnet,0,macro_f1,E-S,43,S_02,False,-0.00764725632956718
resnet,0,macro_f1,E-S,43,S_03,False,-0.08432820988634475
resnet,0,macro_f1,E-S,43,S_04,False,-0.08871446721262373
resnet,0,macro_f1,S-I,17,S_00,False,0.003699381684257171
resnet,0,macro_f1,S-I,17,S_01,False,-0.04707711437796333
resnet,0,macro_f1,S-I,17,S_02,False,-0.05367986545683585
resnet,0,macro_f1,S-I,17,S_03,False,0.028712931069052944
resnet,0,macro_f1,S-I,17,S_04,False,0.007848041728090635
resnet,0,macro_f1,S-I,29,S_00,False,-0.011236748037356267
resnet,0,macro_f1,S-I,29,S_01,False,-0.039333375692411625
resnet,0,macro_f1,S-I,29,S_02,False,-0.03323024294715631
resnet,0,macro_f1,S-I,29,S_03,False,-0.0052111424705386655
resnet,0,macro_f1,S-I,29,S_04,False,-0.0039499710406030175
resnet,0,macro_f1,S-I,43,S_00,False,0.01731372851415867
resnet,0,macro_f1,S-I,43,S_01,False,-0.061826170542759885
resnet,0,macro_f1,S-I,43,S_02,False,-0.0553280867305068
resnet,0,macro_f1,S-I,43,S_03,False,0.021352866826270762
resnet,0,macro_f1,S-I,43,S_04,False,0.025739124152549753
resnet,5,ece,E-I,17,S_00,True,0.01777046152090894
resnet,5,ece,E-I,17,S_01,True,0.01777046152090894
resnet,5,ece,E-I,17,S_02,True,0.01777046152090894
resnet,5,ece,E-I,17,S_03,True,0.01777046152090894
resnet,5,ece,E-I,17,S_04,True,0.01777046152090894
resnet,5,ece,E-I,29,S_00,True,0.019780413579372248
resnet,5,ece,E-I,29,S_01,True,0.019780413579372248
resnet,5,ece,E-I,29,S_02,True,0.019780413579372248
resnet,5,ece,E-I,29,S_03,True,0.019780413579372248
resnet,5,ece,E-I,29,S_04,True,0.019780413579372248
resnet,5,ece,E-I,43,S_00,True,0.023110565042454723
resnet,5,ece,E-I,43,S_01,True,0.023110565042454723
resnet,5,ece,E-I,43,S_02,True,0.023110565042454723
resnet,5,ece,E-I,43,S_03,True,0.023110565042454723
resnet,5,ece,E-I,43,S_04,True,0.023110565042454723
resnet,5,ece,E-S,17,S_00,False,0.020683231025022366
resnet,5,ece,E-S,17,S_01,False,0.009316794056107277
resnet,5,ece,E-S,17,S_02,False,0.008272054246504372
resnet,5,ece,E-S,17,S_03,False,0.02230050083316368
resnet,5,ece,E-S,17,S_04,False,0.018286555319823056
resnet,5,ece,E-S,29,S_00,False,0.019688149654702756
resnet,5,ece,E-S,29,S_01,False,-0.001160149624780916
resnet,5,ece,E-S,29,S_02,False,0.007143633890100809
resnet,5,ece,E-S,29,S_03,False,0.02078674894719153
resnet,5,ece,E-S,29,S_04,False,0.023271748283368976
resnet,5,ece,E-S,43,S_00,False,0.029344363352504857
resnet,5,ece,E-S,43,S_01,False,-0.0035484680767762186
resnet,5,ece,E-S,43,S_02,False,0.0035120729591235056
resnet,5,ece,E-S,43,S_03,False,0.035989249271644326
resnet,5,ece,E-S,43,S_04,False,0.037329206518221296
resnet,5,ece,S-I,17,S_00,False,-0.002912769504113427
resnet,5,ece,S-I,17,S_01,False,0.00845366746480166
resnet,5,ece,S-I,17,S_02,False,0.009498407274404567
resnet,5,ece,S-I,17,S_03,False,-0.004530039312254745
resnet,5,ece,S-I,17,S_04,False,-0.0005160937989141199
resnet,5,ece,S-I,29,S_00,False,9.226392466949358e-05
resnet,5,ece,S-I,29,S_01,False,0.020940563204153162
resnet,5,ece,S-I,29,S_02,False,0.01263677968927144
resnet,5,ece,S-I,29,S_03,False,-0.0010063353678192815
resnet,5,ece,S-I,29,S_04,False,-0.0034913347039967277
resnet,5,ece,S-I,43,S_00,False,-0.00623379831005013
resnet,5,ece,S-I,43,S_01,False,0.026659033119230947
resnet,5,ece,S-I,43,S_02,False,0.019598492083331222
resnet,5,ece,S-I,43,S_03,False,-0.012878684229189606
resnet,5,ece,S-I,43,S_04,False,-0.014218641475766562
resnet,5,macro_auroc,E-I,17,S_00,True,-0.01050018631243621
resnet,5,macro_auroc,E-I,17,S_01,True,-0.01050018631243621
resnet,5,macro_auroc,E-I,17,S_02,True,-0.01050018631243621
resnet,5,macro_auroc,E-I,17,S_03,True,-0.01050018631243621
resnet,5,macro_auroc,E-I,17,S_04,True,-0.01050018631243621
resnet,5,macro_auroc,E-I,29,S_00,True,-0.005269974446882227
resnet,5,macro_auroc,E-I,29,S_01,True,-0.005269974446882227
resnet,5,macro_auroc,E-I,29,S_02,True,-0.005269974446882227
resnet,5,macro_auroc,E-I,29,S_03,True,-0.005269974446882227
resnet,5,macro_auroc,E-I,29,S_04,True,-0.005269974446882227
resnet,5,macro_auroc,E-I,43,S_00,True,-0.006152798903733214
resnet,5,macro_auroc,E-I,43,S_01,True,-0.006152798903733214
resnet,5,macro_auroc,E-I,43,S_02,True,-0.006152798903733214
resnet,5,macro_auroc,E-I,43,S_03,True,-0.006152798903733214
resnet,5,macro_auroc,E-I,43,S_04,True,-0.006152798903733214
resnet,5,macro_auroc,E-S,17,S_00,False,-0.01094500115207403
resnet,5,macro_auroc,E-S,17,S_01,False,-0.0035835399679101467
resnet,5,macro_auroc,E-S,17,S_02,False,-0.002346506726889075
resnet,5,macro_auroc,E-S,17,S_03,False,-0.016427597348122158
resnet,5,macro_auroc,E-S,17,S_04,False,-0.013147942210882094
resnet,5,macro_auroc,E-S,29,S_00,False,-0.005613903469218362
resnet,5,macro_auroc,E-S,29,S_01,False,0.002840661027617782
resnet,5,macro_auroc,E-S,29,S_02,False,-0.0015568106468008547
resnet,5,macro_auroc,E-S,29,S_03,False,-0.008526883771250751
resnet,5,macro_auroc,E-S,29,S_04,False,-0.00737989155940616
resnet,5,macro_auroc,E-S,43,S_00,False,-0.007178703296812324
resnet,5,macro_auroc,E-S,43,S_01,False,-0.00040506522237086323
resnet,5,macro_auroc,E-S,43,S_02,False,-0.0017220700218655478
resnet,5,macro_auroc,E-S,43,S_03,False,-0.007903035362835467
resnet,5,macro_auroc,E-S,43,S_04,False,-0.006991355919630256
resnet,5,macro_auroc,S-I,17,S_00,False,0.0004448148396378193
resnet,5,macro_auroc,S-I,17,S_01,False,-0.006916646344526063
resnet,5,macro_auroc,S-I,17,S_02,False,-0.008153679585547136
resnet,5,macro_auroc,S-I,17,S_03,False,0.005927411035685948
resnet,5,macro_auroc,S-I,17,S_04,False,0.002647755898445884
resnet,5,macro_auroc,S-I,29,S_00,False,0.00034392902233613504
resnet,5,macro_auroc,S-I,29,S_01,False,-0.008110635474500008
resnet,5,macro_auroc,S-I,29,S_02,False,-0.0037131638000813725
resnet,5,macro_auroc,S-I,29,S_03,False,0.003256909324368525
resnet,5,macro_auroc,S-I,29,S_04,False,0.0021099171125239327
resnet,5,macro_auroc,S-I,43,S_00,False,0.0010259043930791096
resnet,5,macro_auroc,S-I,43,S_01,False,-0.005747733681362351
resnet,5,macro_auroc,S-I,43,S_02,False,-0.004430728881867667
resnet,5,macro_auroc,S-I,43,S_03,False,0.001750236459102254
resnet,5,macro_auroc,S-I,43,S_04,False,0.000838557015897042
resnet,5,macro_f1,E-I,17,S_00,True,-0.025852722492039182
resnet,5,macro_f1,E-I,17,S_01,True,-0.025852722492039182
resnet,5,macro_f1,E-I,17,S_02,True,-0.025852722492039182
resnet,5,macro_f1,E-I,17,S_03,True,-0.025852722492039182
resnet,5,macro_f1,E-I,17,S_04,True,-0.025852722492039182
resnet,5,macro_f1,E-I,29,S_00,True,-0.031030588173127704
resnet,5,macro_f1,E-I,29,S_01,True,-0.031030588173127704
resnet,5,macro_f1,E-I,29,S_02,True,-0.031030588173127704
resnet,5,macro_f1,E-I,29,S_03,True,-0.031030588173127704
resnet,5,macro_f1,E-I,29,S_04,True,-0.031030588173127704
