epoch,train_loss,val_loss,val_macro_auroc,val_macro_ap,val_macro_auroc_defined_classes,val_macro_ap_defined_classes,auroc_class_count,selection_metric,selection_score,epoch_compute_seconds,elapsed_seconds
1,0.4509071538448334,0.3780941083431244,0.8577456896285314,0.680214592170505,0.8577456896285314,0.680214592170505,5,macro_auroc,0.8577456896285314,12.360847300034948,12.401867900043726
2,0.34087368750572206,0.3459631249904633,0.8804762691056187,0.7307193298512686,0.8804762691056187,0.7307193298512686,5,macro_auroc,0.8804762691056187,12.355457999976352,24.81896169995889
3,0.3000076096057892,0.33713724780082704,0.8840912880535956,0.7281183006544252,0.8840912880535956,0.7281183006544252,5,macro_auroc,0.8840912880535956,12.345206899917684,37.22375939995982
4,0.26735626685619357,0.35498524403572085,0.8853685615879197,0.7295010846213259,0.8853685615879197,0.7295010846213259,5,macro_auroc,0.8853685615879197,12.38078140001744,49.66081510006916
5,0.23343480026721955,0.3715622229576111,0.8817207355236072,0.7311094582562802,0.8817207355236072,0.7311094582562802,5,macro_auroc,0.8817207355236072,12.370900799985975,62.095082100015134
6,0.20206919169425963,0.5987413041591644,0.8771949163464091,0.7174865359935978,0.8771949163464091,0.7174865359935978,5,macro_auroc,0.8771949163464091,12.476656899903901,74.61193879996426
7,0.1732378125190735,0.43175784158706665,0.8671822458537239,0.7080798454522335,0.8671822458537239,0.7080798454522335,5,macro_auroc,0.8671822458537239,12.439734200015664,87.08715000003576
8,0.13327369064092637,0.4474393193721771,0.8691156800978774,0.6987081099642806,0.8691156800978774,0.6987081099642806,5,macro_auroc,0.8691156800978774,12.404405100038275,99.52393570006825
9,0.09860715782642364,0.48255367183685305,0.8558268008483803,0.6855124703864759,0.8558268008483803,0.6855124703864759,5,macro_auroc,0.8558268008483803,12.42300409998279,112.00569410005119
10,0.08034863239526749,0.48483800125122073,0.8687964942811075,0.7054009679901373,0.8687964942811075,0.7054009679901373,5,macro_auroc,0.8687964942811075,12.35447329992894,124.3901460999623
11,0.05845575907826424,0.5289999387264251,0.8638483953138796,0.704335837313082,0.8638483953138796,0.704335837313082,5,macro_auroc,0.8638483953138796,12.366059700027108,136.7849647999974
12,0.046297192513942716,0.5628895683288574,0.8495225502096314,0.6699255495266003,0.8495225502096314,0.6699255495266003,5,macro_auroc,0.8495225502096314,12.380698200082406,149.19389920006506
13,0.04468794357776642,0.5587125191688538,0.8510246520051543,0.6718718091387926,0.8510246520051543,0.6718718091387926,5,macro_auroc,0.8510246520051543,12.416438800049946,161.64416659995914
14,0.040212864100933075,0.5898351473808289,0.8608279343097994,0.6915086192987943,0.8608279343097994,0.6915086192987943,5,macro_auroc,0.8608279343097994,12.376652400009334,174.05796450003982
15,0.03105331289768219,0.6318614702224732,0.86728019425181,0.7063810173370209,0.86728019425181,0.7063810173370209,5,macro_auroc,0.86728019425181,12.359479999984615,186.45422469999176
