kind,condition,frequency,power
bandpass,independent,0.0,1.1708439801849812e-05
bandpass,independent,0.390625,6.301859928545558e-05
bandpass,independent,0.78125,0.00012439772809134226
bandpass,independent,1.171875,0.0001347423093498422
bandpass,independent,1.5625,0.00013395117057919318
bandpass,independent,1.953125,0.0001362670269477215
bandpass,independent,2.34375,0.0001306982884510622
bandpass,independent,2.734375,0.00013031897341845737
bandpass,independent,3.125,0.00013575558060067658
bandpass,independent,3.515625,0.00013377269043077423
bandpass,independent,3.90625,0.00013151308358014838
bandpass,independent,4.296875,0.00013284026407810997
bandpass,independent,4.6875,0.00013226878249887887
bandpass,independent,5.078125,0.00013396534715085783
bandpass,independent,5.46875,0.00013571600361919612
bandpass,independent,5.859375,0.00013226822495314325
bandpass,independent,6.25,0.00013002370760145494
bandpass,independent,6.640625,0.00013170526036963002
bandpass,independent,7.03125,0.00013195273119814965
bandpass,independent,7.421875,0.00013207006210660328
bandpass,independent,7.8125,0.00013311800283520838
bandpass,independent,8.203125,0.00013175542442006344
bandpass,independent,8.59375,0.00013278817714333622
bandpass,independent,8.984375,0.00013203846579917957
bandpass,independent,9.375,0.00012888254482839063
bandpass,independent,9.765625,0.00013163509399318293
bandpass,independent,10.15625,0.00013248772220997057
bandpass,independent,10.546875,0.0001364923908000536
bandpass,independent,10.9375,0.0001346808239427909
bandpass,independent,11.328125,0.0001315409897241403
bandpass,independent,11.71875,0.00013297271347161493
bandpass,independent,12.109375,0.00013404766052583207
bandpass,independent,12.5,0.00013514837590755853
bandpass,independent,12.890625,0.00013281861599947014
bandpass,independent,13.28125,0.00013261157646951623
bandpass,independent,13.671875,0.00013236983241060683
bandpass,independent,14.0625,0.0001307437833219444
bandpass,independent,14.453125,0.00013111889166272128
bandpass,independent,14.84375,0.00013268807263678296
bandpass,independent,15.234375,0.0001329777549796491
bandpass,independent,15.625,0.00013385728649591835
bandpass,independent,16.015625,0.0001363806163211193
bandpass,independent,16.40625,0.00013539357123475715
bandpass,independent,16.796875,0.00013378410562721476
bandpass,independent,17.1875,0.00013435756488734912
bandpass,independent,17.578125,0.00013451725374422015
bandpass,independent,17.96875,0.00013069140949593103
bandpass,independent,18.359375,0.0001330128987116352
bandpass,independent,18.75,0.00013027063188516744
bandpass,independent,19.140625,0.00013411309187245522
bandpass,independent,19.53125,0.00013419455958929327
bandpass,independent,19.921875,0.00013215050568614008
bandpass,independent,20.3125,0.0001326019375361882
bandpass,independent,20.703125,0.00013291904426552097
bandpass,independent,21.09375,0.00013473514319447218
bandpass,independent,21.484375,0.00013321265259813074
bandpass,independent,21.875,0.00013391981913666033
bandpass,independent,22.265625,0.0001360170824641513
bandpass,independent,22.65625,0.00013436405176701422
bandpass,independent,23.046875,0.00013332797583792534
bandpass,independent,23.4375,0.00013188848615863606
bandpass,independent,23.828125,0.00013257272955278853
bandpass,independent,24.21875,0.00013328494046263822
bandpass,independent,24.609375,0.00013312965039726638
bandpass,independent,25.0,0.00013305525488736645
bandpass,independent,25.390625,0.0001312730600264816
bandpass,independent,25.78125,0.0001348650297078433
bandpass,independent,26.171875,0.0001339178859353927
bandpass,independent,26.5625,0.00013271089622120464
bandpass,independent,26.953125,0.0001319356999223936
bandpass,independent,27.34375,0.00013181775724010938
bandpass,independent,27.734375,0.00013276026712112898
bandpass,independent,28.125,0.00013372215950433923
bandpass,independent,28.515625,0.0001375143491158727
bandpass,independent,28.90625,0.00013570441817554863
bandpass,independent,29.296875,0.0001328065571987939
bandpass,independent,29.6875,0.00013313180605166997
bandpass,independent,30.078125,0.0001359267741278567
