model,kind,snr,condition,active,metric,mean,n_seeds,rank,n_models,interpretation
tcn,bandpass,10,independent_rms,all,macro_auroc,0.9164176710793702,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,independent_rms,all,macro_f1,0.6961078231855319,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,independent_rms,all,macro_f1,0.7298138591606488,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,20,covariance,all,macro_ap,0.7847936359077595,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,20,covariance,all,macro_ap,0.8088394133415987,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,20,covariance,all,macro_auroc,0.9067842233174627,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,20,covariance,all,macro_auroc,0.9187297394478419,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,20,covariance,all,macro_f1,0.7172669039658729,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,20,covariance,all,macro_f1,0.7399045284186324,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,20,electrode,all,macro_ap,0.7835116570406574,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,20,electrode,all,macro_ap,0.8085369548310265,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,20,electrode,all,macro_auroc,0.9063889143258924,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,20,electrode,all,macro_auroc,0.9186039256995873,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,20,electrode,all,macro_f1,0.7156472681788847,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,20,electrode,all,macro_f1,0.7390915086913988,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,20,independent,all,macro_ap,0.784414734624801,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,20,independent,all,macro_ap,0.80873710923042,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,20,independent,all,macro_auroc,0.9069561861042952,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,20,independent,all,macro_auroc,0.918678843891256,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,20,independent,all,macro_f1,0.7167358455979226,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,20,independent,all,macro_f1,0.7386852045675799,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,20,independent_rms,all,macro_ap,0.7843113948928937,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,20,independent_rms,all,macro_ap,0.8087382650175378,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,20,independent_rms,all,macro_auroc,0.9069156054003056,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,20,independent_rms,all,macro_auroc,0.918666933737363,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,20,independent_rms,all,macro_f1,0.7165456547491195,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,20,independent_rms,all,macro_f1,0.7388570433326135,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bw,0,covariance,all,macro_ap,0.7502932473355303,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bw,0,covariance,all,macro_ap,0.7648716599889873,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bw,0,covariance,all,macro_auroc,0.8842252238866419,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bw,0,covariance,all,macro_auroc,0.8943503096174826,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bw,0,covariance,all,macro_f1,0.6797709254661007,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bw,0,covariance,all,macro_f1,0.6893215133826871,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bw,0,electrode,all,macro_ap,0.7466233812424902,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bw,0,electrode,all,macro_ap,0.7621969179782204,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bw,0,electrode,all,macro_auroc,0.8837752765261898,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bw,0,electrode,all,macro_auroc,0.8948398798156622,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bw,0,electrode,all,macro_f1,0.6774252801404894,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bw,0,electrode,all,macro_f1,0.6865372775022959,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bw,0,independent,all,macro_ap,0.7490317205907965,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bw,0,independent,all,macro_ap,0.759781559849611,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bw,0,independent,all,macro_auroc,0.884067189931776,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bw,0,independent,all,macro_auroc,0.8933272658728272,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bw,0,independent,all,macro_f1,0.6757787850769269,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bw,0,independent,all,macro_f1,0.6828766693474818,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bw,0,independent_rms,all,macro_ap,0.7499847490998933,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bw,0,independent_rms,all,macro_ap,0.7596905295050317,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bw,0,independent_rms,all,macro_auroc,0.8846325075883547,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bw,0,independent_rms,all,macro_auroc,0.8926598621372673,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bw,0,independent_rms,all,macro_f1,0.6716462955063864,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bw,0,independent_rms,all,macro_f1,0.6778899480411602,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bw,10,covariance,all,macro_ap,0.7841728317182013,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bw,10,covariance,all,macro_ap,0.8061052658670218,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bw,10,covariance,all,macro_auroc,0.90578968576864,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bw,10,covariance,all,macro_auroc,0.9163518181795663,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bw,10,covariance,all,macro_f1,0.711052347992927,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bw,10,covariance,all,macro_f1,0.7350208861040484,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bw,10,electrode,all,macro_ap,0.7814837383111154,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bw,10,electrode,all,macro_ap,0.8043220729674032,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bw,10,electrode,all,macro_auroc,0.9050890732139449,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bw,10,electrode,all,macro_auroc,0.915741256936157,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bw,10,electrode,all,macro_f1,0.7122181604668785,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bw,10,electrode,all,macro_f1,0.7334263307013617,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bw,10,independent,all,macro_ap,0.7818421047992916,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bw,10,independent,all,macro_ap,0.8070594854260656,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bw,10,independent,all,macro_auroc,0.904795153944104,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bw,10,independent,all,macro_auroc,0.9171112947262285,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bw,10,independent,all,macro_f1,0.7127328493668365,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bw,10,independent,all,macro_f1,0.7376494543083933,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bw,10,independent_rms,all,macro_ap,0.7823570192609152,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bw,10,independent_rms,all,macro_ap,0.8065819725244818,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bw,10,independent_rms,all,macro_auroc,0.9050398947875767,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bw,10,independent_rms,all,macro_auroc,0.9165912110086883,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bw,10,independent_rms,all,macro_f1,0.7121480499444303,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bw,10,independent_rms,all,macro_f1,0.7360484706592514,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bw,20,covariance,all,macro_ap,0.7861355828582272,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bw,20,covariance,all,macro_ap,0.8090911430511407,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bw,20,covariance,all,macro_auroc,0.9077580767491912,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bw,20,covariance,all,macro_auroc,0.9187267921554633,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bw,20,covariance,all,macro_f1,0.7166444919118153,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bw,20,covariance,all,macro_f1,0.7413565107249473,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bw,20,electrode,all,macro_ap,0.7856692789612993,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bw,20,electrode,all,macro_ap,0.8085977882394143,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bw,20,electrode,all,macro_auroc,0.9077523291925925,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bw,20,electrode,all,macro_auroc,0.9186301763258692,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bw,20,electrode,all,macro_f1,0.7168666907612332,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bw,20,electrode,all,macro_f1,0.7394679218750131,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bw,20,independent,all,macro_ap,0.7854459987274559,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bw,20,independent,all,macro_ap,0.8093909072184737,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bw,20,independent,all,macro_auroc,0.9073745134330004,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bw,20,independent,all,macro_auroc,0.9189152754762636,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bw,20,independent,all,macro_f1,0.7170250707875748,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bw,20,independent,all,macro_f1,0.7407524582413214,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bw,20,independent_rms,all,macro_ap,0.7854432839158173,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bw,20,independent_rms,all,macro_ap,0.8091567388757968,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bw,20,independent_rms,all,macro_auroc,0.9074546475206632,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bw,20,independent_rms,all,macro_auroc,0.9187109059293138,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bw,20,independent_rms,all,macro_f1,0.7167091245980624,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bw,20,independent_rms,all,macro_f1,0.7398385945045666,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,clean,100,clean,all,macro_ap,0.7860689412183332,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,clean,100,clean,all,macro_ap,0.8089576676506129,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,clean,100,clean,all,macro_auroc,0.9078346884220357,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,clean,100,clean,all,macro_auroc,0.918860668598997,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,clean,100,clean,all,macro_f1,0.7177358305257698,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,clean,100,clean,all,macro_f1,0.7405847289575919,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,em,0,covariance,all,macro_ap,0.6858788496965248,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,em,0,covariance,all,macro_ap,0.7323207536784501,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,em,0,covariance,all,macro_auroc,0.8456732470221549,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,em,0,covariance,all,macro_auroc,0.8737045397895425,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,em,0,covariance,all,macro_f1,0.5802556535428659,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,em,0,covariance,all,macro_f1,0.590738355623957,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,em,0,electrode,all,macro_ap,0.6860046720805993,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,em,0,electrode,all,macro_ap,0.724179975658072,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,em,0,electrode,all,macro_auroc,0.8444358575038549,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,em,0,electrode,all,macro_auroc,0.8671655670293289,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,em,0,electrode,all,macro_f1,0.568977357747575,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,em,0,electrode,all,macro_f1,0.565183042964191,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,em,0,independent,all,macro_ap,0.7142383620697558,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,em,0,independent,all,macro_ap,0.7534785045269551,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,em,0,independent,all,macro_auroc,0.862458303533499,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,em,0,independent,all,macro_auroc,0.887978151942222,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,em,0,independent,all,macro_f1,0.6148058960243543,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,em,0,independent,all,macro_f1,0.6352794840402942,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,em,0,independent_rms,all,macro_ap,0.7195184967359616,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,em,0,independent_rms,all,macro_ap,0.7563556886415301,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,em,0,independent_rms,all,macro_auroc,0.8670013255624935,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,em,0,independent_rms,all,macro_auroc,0.8887296033667189,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,em,0,independent_rms,all,macro_f1,0.6339894478928606,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,em,0,independent_rms,all,macro_f1,0.6526059065296452,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,em,10,covariance,all,macro_ap,0.7727196964996125,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,em,10,covariance,all,macro_ap,0.8042818187869494,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,em,10,covariance,all,macro_auroc,0.8997739974221542,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,em,10,covariance,all,macro_auroc,0.9152461094074459,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,em,10,covariance,all,macro_f1,0.7013474873662185,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,em,10,covariance,all,macro_f1,0.7319704498428753,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,em,10,electrode,all,macro_ap,0.7730069316638498,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,em,10,electrode,all,macro_ap,0.8042500925384458,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,em,10,electrode,all,macro_auroc,0.8992837304759845,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,em,10,electrode,all,macro_auroc,0.9146558830527237,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,em,10,electrode,all,macro_f1,0.7047447194111433,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,em,10,electrode,all,macro_f1,0.7276467915387433,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,em,10,independent,all,macro_ap,0.7785906477475022,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,em,10,independent,all,macro_ap,0.8061018037866275,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,em,10,independent,all,macro_auroc,0.9025507546000887,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,em,10,independent,all,macro_auroc,0.9163849265014449,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,em,10,independent,all,macro_f1,0.7104623738119908,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,em,10,independent,all,macro_f1,0.734943849917635,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,em,10,independent_rms,all,macro_ap,0.7783377523804175,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,em,10,independent_rms,all,macro_ap,0.8057302226781499,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,em,10,independent_rms,all,macro_auroc,0.9028525083864755,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,em,10,independent_rms,all,macro_auroc,0.9162170070041955,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,em,10,independent_rms,all,macro_f1,0.709555687874239,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,em,10,independent_rms,all,macro_f1,0.7343611790833505,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,em,20,covariance,all,macro_ap,0.7838383987611408,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,em,20,covariance,all,macro_ap,0.8089970029650418,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,em,20,covariance,all,macro_auroc,0.9066496341094403,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,em,20,covariance,all,macro_auroc,0.9186773931975764,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,em,20,covariance,all,macro_f1,0.7155478062404196,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,em,20,covariance,all,macro_f1,0.7406350334709059,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,em,20,electrode,all,macro_ap,0.7847520116855614,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,em,20,electrode,all,macro_ap,0.8090148163891114,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,em,20,electrode,all,macro_auroc,0.9069729874784785,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,em,20,electrode,all,macro_auroc,0.9186769398448145,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,em,20,electrode,all,macro_f1,0.7167768769635364,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,em,20,electrode,all,macro_f1,0.739407736381716,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,em,20,independent,all,macro_ap,0.7854754334378082,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,em,20,independent,all,macro_ap,0.8089384439354431,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,em,20,independent,all,macro_auroc,0.9074819495338952,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,em,20,independent,all,macro_auroc,0.9187130606506403,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,em,20,independent,all,macro_f1,0.7182747592663778,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,em,20,independent,all,macro_f1,0.7398978545121716,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,em,20,independent_rms,all,macro_ap,0.7856004258894886,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,em,20,independent_rms,all,macro_ap,0.8088386005780016,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,em,20,independent_rms,all,macro_auroc,0.9075991512057348,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,em,20,independent_rms,all,macro_auroc,0.9186848851565603,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,em,20,independent_rms,all,macro_f1,0.7172078008549585,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,em,20,independent_rms,all,macro_f1,0.7393162806608293,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,ma,0,covariance,all,macro_ap,0.7363629294038163,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,ma,0,covariance,all,macro_ap,0.7697223040560942,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,ma,0,covariance,all,macro_auroc,0.8770277141294632,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,ma,0,covariance,all,macro_auroc,0.896886856875212,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,ma,0,covariance,all,macro_f1,0.6626493052793015,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,ma,0,covariance,all,macro_f1,0.678070999660525,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,ma,0,electrode,all,macro_ap,0.7336568389905261,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,ma,0,electrode,all,macro_ap,0.7638382547308705,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,ma,0,electrode,all,macro_auroc,0.8744924651744558,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,ma,0,electrode,all,macro_auroc,0.894810022656606,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,ma,0,electrode,all,macro_f1,0.6599171146076822,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,ma,0,electrode,all,macro_f1,0.676833745027467,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,ma,0,independent,all,macro_ap,0.7373576461129243,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,ma,0,independent,all,macro_ap,0.767725571245911,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,ma,0,independent,all,macro_auroc,0.8780554213859038,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,ma,0,independent,all,macro_auroc,0.8962723019144212,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,ma,0,independent,all,macro_f1,0.661851872558758,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,ma,0,independent,all,macro_f1,0.6804894883561249,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,ma,0,independent_rms,all,macro_ap,0.7286737787236248,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,ma,0,independent_rms,all,macro_ap,0.7685091380078481,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,ma,0,independent_rms,all,macro_auroc,0.8733924848142482,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,ma,0,independent_rms,all,macro_auroc,0.8961414624733529,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,ma,0,independent_rms,all,macro_f1,0.6505664011261049,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,ma,0,independent_rms,all,macro_f1,0.673127486721889,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,ma,10,covariance,all,macro_ap,0.7801911997376828,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,ma,10,covariance,all,macro_ap,0.8072814888660943,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,ma,10,covariance,all,macro_auroc,0.903785499064484,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,ma,10,covariance,all,macro_auroc,0.91678602614246,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,ma,10,covariance,all,macro_f1,0.7106733741356067,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,ma,10,covariance,all,macro_f1,0.7353555918234947,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,ma,10,electrode,all,macro_ap,0.7791160913623253,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,ma,10,electrode,all,macro_ap,0.8052317460021731,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,ma,10,electrode,all,macro_auroc,0.9036215697307558,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,ma,10,electrode,all,macro_auroc,0.916092488788983,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,ma,10,electrode,all,macro_f1,0.7091619677601714,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,ma,10,electrode,all,macro_f1,0.7329935415925082,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,ma,10,independent,all,macro_ap,0.779733673296905,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,ma,10,independent,all,macro_ap,0.8066906848232097,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,ma,10,independent,all,macro_auroc,0.9039483628222488,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,ma,10,independent,all,macro_auroc,0.9168705530789781,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,ma,10,independent,all,macro_f1,0.7085725476031421,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,ma,10,independent,all,macro_f1,0.734772992296536,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,ma,10,independent_rms,all,macro_ap,0.7795603635224255,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
