model,kind,snr,condition,active,metric,mean,n_seeds,rank,n_models,interpretation
resnet,bandpass,10,covariance,V2,macro_ap,0.7740254356581194,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,covariance,V2,macro_ap,0.8076666676198482,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,covariance,V2,macro_auroc,0.9003878257905015,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,covariance,V2,macro_auroc,0.9174970951974544,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,covariance,V2,macro_f1,0.7008915222840436,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,covariance,V2,macro_f1,0.7352915320272825,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,covariance,V3,macro_ap,0.7747945402334193,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,covariance,V3,macro_ap,0.8077480260254465,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,covariance,V3,macro_auroc,0.90110594358584,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,covariance,V3,macro_auroc,0.9175474873205101,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,covariance,V3,macro_f1,0.7036719832525354,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,covariance,V3,macro_f1,0.7366399680040873,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,covariance,V4,macro_ap,0.7755437020161354,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,covariance,V4,macro_ap,0.8075514951254471,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,covariance,V4,macro_auroc,0.9018516191636078,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,covariance,V4,macro_auroc,0.9175374013257703,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,covariance,V4,macro_f1,0.7051162989092572,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,covariance,V4,macro_f1,0.7361366415521765,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,covariance,V5,macro_ap,0.7714470090210327,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,covariance,V5,macro_ap,0.807658462118867,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,covariance,V5,macro_auroc,0.8994478122869413,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,covariance,V5,macro_auroc,0.9173775144269273,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,covariance,V5,macro_f1,0.6996576022190052,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,covariance,V5,macro_f1,0.7349965499894417,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,covariance,V6,macro_ap,0.7729053256310401,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,covariance,V6,macro_ap,0.8071661148217791,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,covariance,V6,macro_auroc,0.8995674359496789,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,covariance,V6,macro_auroc,0.9169785572216425,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,covariance,V6,macro_f1,0.6995394542806253,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,covariance,V6,macro_f1,0.7319045443654059,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,covariance,all,macro_ap,0.7673371379344229,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,covariance,all,macro_ap,0.803911488606874,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,covariance,all,macro_auroc,0.896042831223764,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,covariance,all,macro_auroc,0.915449609275805,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,covariance,all,macro_f1,0.6902779684777829,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,covariance,all,macro_f1,0.724091872547318,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,electrode,LA,macro_ap,0.7670055876221077,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,electrode,LA,macro_ap,0.8027853964245016,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,electrode,LA,macro_auroc,0.8963803252116046,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,electrode,LA,macro_auroc,0.9142413812374933,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,electrode,LA,macro_f1,0.688207003576348,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,electrode,LA,macro_f1,0.7152069054302362,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,electrode,LL,macro_ap,0.7573590439216273,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,electrode,LL,macro_ap,0.801658215110623,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,electrode,LL,macro_auroc,0.8905392341248547,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,electrode,LL,macro_auroc,0.9143463006756957,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,electrode,LL,macro_f1,0.671317977752193,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,electrode,LL,macro_f1,0.7181657087407377,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,electrode,RA,macro_ap,0.7648197719860587,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
