model,kind,snr,condition,active,metric,n_seeds,mean,std,ci95_low,ci95_high
resnet,bandpass,0,electrode,all,f1_NORM,3,0.35030519598823656,0.12046981975659447,0.05104157360682382,0.6495688183696493
resnet,bandpass,0,electrode,all,f1_MI,3,0.45852523257381766,0.009697943820203957,0.4344342046039115,0.4826162605437238
resnet,bandpass,0,electrode,all,f1_STTC,3,0.5199911072047206,0.01812512390805064,0.4749658033751425,0.5650164110342988
resnet,bandpass,0,electrode,all,f1_CD,3,0.5865794077256213,0.03552765755788166,0.49832381377702956,0.6748350016742131
resnet,bandpass,0,electrode,all,f1_HYP,3,0.5140468456444913,0.004664024762989876,0.5024607658423543,0.5256329254466283
resnet,bandpass,0,independent,all,macro_auroc,3,0.8368714365464474,0.015198694593145878,0.7991157861387057,0.874627086954189
resnet,bandpass,0,independent,all,macro_ap,3,0.6700134797567673,0.02066295468778173,0.6186838547812965,0.7213431047322381
resnet,bandpass,0,independent,all,macro_f1,3,0.5487236211852968,0.023539395512286634,0.4902485210821438,0.6071987212884499
resnet,bandpass,0,independent,all,micro_auroc,3,0.7891063396818643,0.03693028811588973,0.6973664182685144,0.8808462610952141
resnet,bandpass,0,independent,all,micro_ap,3,0.577590197507493,0.07246025266845257,0.3975889512530631,0.7575914437619229
resnet,bandpass,0,independent,all,micro_f1,3,0.5454719550573718,0.027208325759794157,0.47788272696471673,0.6130611831500268
resnet,bandpass,0,independent,all,brier,3,0.1561069289843241,0.01786593894029409,0.11172547630746081,0.20048838166118738
resnet,bandpass,0,independent,all,ece,3,0.13530929266214184,0.0082121727661523,0.1149091245985867,0.155709460725697
resnet,bandpass,0,independent,all,mean_loss,3,0.47408407598440644,0.04155230326907477,0.3708624324248904,0.5773057195439224
resnet,bandpass,0,independent,all,mean_confidence,3,0.7835316061973572,0.024861148961372453,0.7217730885057346,0.8452901238889797
resnet,bandpass,0,independent,all,mean_entropy,3,0.45838706431437926,0.0379435430249977,0.3641300781697293,0.5526440504590292
resnet,bandpass,0,independent,all,clean_agreement,3,0.7755329008341056,0.04163509695096326,0.6721055863671184,0.8789602153010929
resnet,bandpass,0,independent,all,probability_shift,3,0.19063392778237656,0.010102982715093526,0.165536727418962,0.21573112814579112
resnet,bandpass,0,independent,all,auroc_NORM,3,0.8754893398853826,0.007987420204048098,0.8556474881371561,0.8953311916336091
resnet,bandpass,0,independent,all,auroc_MI,3,0.7727894617819991,0.03706477935685814,0.6807154456050637,0.8648634779589346
resnet,bandpass,0,independent,all,auroc_STTC,3,0.8390107835010205,0.026267643160797476,0.7737583405272915,0.9042632264747495
