kind,snr,condition,active,n_records,actual_snr_mean,actual_snr_max_error,offdiag_abs_corr_mean,covariance_relative_error_mean,correlation_mae_mean,rms_relative_error_max,psd_band_relative_error
bandpass,20,independent,all,128,20.0,3.552713678800501e-15,0.028542235144225728,0.7719781135569914,0.1871172834461056,0.20239071632962669,0.023677411259843073
bandpass,10,independent,all,128,10.0,3.552713678800501e-15,0.028542235144225728,0.7719781135569914,0.1871172834461056,0.20239071632962669,0.023677411259843073
bandpass,0,independent,all,128,0.0,3.552713678800501e-15,0.028542235144225728,0.7719781135569914,0.1871172834461056,0.20239071632962669,0.023677411259843073
bandpass,20,independent_rms,all,128,20.0,3.552713678800501e-15,0.028542235144225728,0.762491264504901,0.1871172834461056,2.547786190300837e-16,0.02400021236188862
bandpass,10,independent_rms,all,128,10.0,3.552713678800501e-15,0.028542235144225728,0.762491264504901,0.1871172834461056,2.547786190300837e-16,0.02400021236188862
bandpass,0,independent_rms,all,128,0.0,3.552713678800501e-15,0.028542235144225728,0.762491264504901,0.1871172834461056,2.547786190300837e-16,0.02400021236188862
bandpass,20,electrode,all,128,20.0,1.7763568394002505e-15,0.19747054714490442,0.0,0.0,0.0,0.0
bandpass,10,electrode,all,128,10.0,1.7763568394002505e-15,0.19747054714490442,0.0,0.0,0.0,0.0
bandpass,0,electrode,all,128,0.0,1.7763568394002505e-15,0.19747054714490442,0.0,0.0,0.0,0.0
bandpass,20,covariance,all,128,20.0,7.105427357601002e-15,0.19747054714490442,1.3570348411574126e-15,3.174275269337816e-16,2.3893923473583402e-15,0.029563438196292802
bandpass,10,covariance,all,128,10.0,7.105427357601002e-15,0.19747054714490442,1.3570348411574126e-15,3.174275269337816e-16,2.3893923473583402e-15,0.029563438196292802
bandpass,0,covariance,all,128,0.0,7.105427357601002e-15,0.19747054714490442,1.3570348411574126e-15,3.174275269337816e-16,2.3893923473583402e-15,0.029563438196292802
bw,20,independent,all,128,20.0,1.7763568394002505e-15,0.4053200259882791,1.271467309108028,0.5619899886327915,12.241669527746863,0.04059752380655581
bw,10,independent,all,128,10.0,1.7763568394002505e-15,0.4053200259882791,1.271467309108028,0.5619899886327915,12.241669527746863,0.04059752380655581
bw,0,independent,all,128,0.0,1.7763568394002505e-15,0.4053200259882791,1.271467309108028,0.5619899886327915,12.241669527746863,0.04059752380655581
bw,20,independent_rms,all,128,20.0,3.552713678800501e-15,0.4053200259882791,1.0081625132319298,0.5619899886327915,3.566514919642443e-16,0.18165626629086545
bw,10,independent_rms,all,128,10.0,3.552713678800501e-15,0.4053200259882791,1.0081625132319298,0.5619899886327915,3.566514919642443e-16,0.18165626629086545
bw,0,independent_rms,all,128,0.0,3.552713678800501e-15,0.4053200259882791,1.0081625132319298,0.5619899886327915,3.566514919642443e-16,0.18165626629086545
bw,20,electrode,all,128,20.0,1.7763568394002505e-15,0.49803418789874093,0.0,0.0,0.0,0.0
bw,10,electrode,all,128,10.0,1.7763568394002505e-15,0.49803418789874093,0.0,0.0,0.0,0.0
bw,0,electrode,all,128,0.0,1.7763568394002505e-15,0.49803418789874093,0.0,0.0,0.0,0.0
bw,20,covariance,all,128,20.0,1.0658141036401503e-14,0.4980341878987409,1.3731569281752655e-15,7.018879607457713e-16,2.2116067373848087e-14,0.03353624648039464
