kind,snr,condition,active,metric,n_models,spearman,kendall,spearman_p_value,kendall_p_value,interpretation
bandpass,10,electrode,RA,macro_f1,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,10,electrode,V1,macro_ap,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,10,electrode,V1,macro_auroc,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,10,electrode,V1,macro_f1,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,10,electrode,V2,macro_ap,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,10,electrode,V2,macro_auroc,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,10,electrode,V2,macro_f1,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,10,electrode,V3,macro_ap,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,10,electrode,V3,macro_auroc,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,10,electrode,V3,macro_f1,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,10,electrode,V4,macro_ap,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,10,electrode,V4,macro_auroc,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,10,electrode,V4,macro_f1,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,10,electrode,V5,macro_ap,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,10,electrode,V5,macro_auroc,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,10,electrode,V5,macro_f1,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,10,electrode,V6,macro_ap,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,10,electrode,V6,macro_auroc,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
bandpass,10,electrode,V6,macro_f1,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
