model,kind,snr,active,comparison,condition,outcome,mean_difference,ci95_low,ci95_high,p_value,p_holm,standardized_effect,n_patients,n_records,n_seeds,inference_unit,bootstrap_seed,bootstrap_count,permutation_seed,permutation_count,permutation_method,holm_family,status,patient_median,patient_fraction_positive,mean_without_largest_1pct_abs,mean_without_largest_5pct_abs
resnet,bandpass,0,all,noisy_minus_clean,covariance,mean_probability,0.03238761946827168,0.030170443640096023,0.03452999601218319,9.999000099990002e-05,,0.6721329015892837,1877,2158,3,patient,11786054895528304273,2000,16669587449240761450,10000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.04195405524224043,0.8300479488545551,0.03428107192013756,0.035045700519880166
resnet,bandpass,0,all,noisy_minus_clean,covariance,probability_shift,0.22296556371502937,0.2197163089260044,0.22652632009107812,9.999000099990002e-05,,2.958545832500359,1877,2158,3,patient,13156505543974562442,2000,998319138317673507,10000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.22665460966915515,1.0,0.22124982435419224,0.2157209816722113
resnet,bandpass,0,all,noisy_minus_clean,covariance,macro_auroc,-0.09348919906902826,-0.13094680447705742,-0.05603159366099911,,,,1877,2158,3,training_seed,,0,,0,not_tested,not_tested,seed_t_interval_fragile_with_few_seeds,,,,
resnet,bandpass,0,all,noisy_minus_clean,covariance,macro_ap,-0.14980623835881443,-0.19420210228887969,-0.10541037442874918,,,,1877,2158,3,training_seed,,0,,0,not_tested,not_tested,seed_t_interval_fragile_with_few_seeds,,,,
resnet,bandpass,0,all,noisy_minus_clean,covariance,macro_f1,-0.23391816163969512,-0.2959579199213986,-0.17187840335799168,,,,1877,2158,3,training_seed,,0,,0,not_tested,not_tested,seed_t_interval_fragile_with_few_seeds,,,,
resnet,bandpass,0,all,noisy_minus_clean,electrode,loss,0.21839356212326455,0.2044991593491629,0.23147539142165507,9.999000099990002e-05,,0.7186019563651997,1877,2158,3,patient,17775965010122247451,2000,572769011694434675,10000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.2547600745055932,0.8129994672349494,0.2261771174933448,0.22069092252870356
resnet,bandpass,0,all,noisy_minus_clean,electrode,mean_probability,0.03186487145387923,0.029551854832887612,0.03404266221337935,9.999000099990002e-05,,0.6718619212012239,1877,2158,3,patient,16641523116242918362,2000,5202044800686202539,10000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.04198430569764847,0.8311134789557805,0.03379374726190642,0.0352185073183591
resnet,bandpass,0,all,noisy_minus_clean,electrode,probability_shift,0.22182136230498495,0.21839082187009304,0.2253235715035619,9.999000099990002e-05,,2.9318861855990663,1877,2158,3,patient,14326592118275785250,2000,10337639752632603083,10000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.22757176589220762,1.0,0.22019417303016087,0.21473316256479857
resnet,bandpass,0,all,noisy_minus_clean,electrode,macro_auroc,-0.09257961493107796,-0.1290101084677509,-0.05614912139440501,,,,1877,2158,3,training_seed,,0,,0,not_tested,not_tested,seed_t_interval_fragile_with_few_seeds,,,,
resnet,bandpass,0,all,noisy_minus_clean,electrode,macro_ap,-0.1478128868253303,-0.1890537556357168,-0.10657201801494381,,,,1877,2158,3,training_seed,,0,,0,not_tested,not_tested,seed_t_interval_fragile_with_few_seeds,,,,
resnet,bandpass,0,all,noisy_minus_clean,electrode,macro_f1,-0.2318462726983924,-0.3043341369279754,-0.1593584084688094,,,,1877,2158,3,training_seed,,0,,0,not_tested,not_tested,seed_t_interval_fragile_with_few_seeds,,,,
resnet,bandpass,0,all,noisy_minus_clean,independent,loss,0.16275841932158205,0.14970635682888375,0.17473240083663988,9.999000099990002e-05,,0.6046720125778804,1877,2158,3,patient,14746969288686955040,2000,14010340980814512766,10000,monte_carlo_sign_flip_plus_one,exploratory_uncorrected,ok,0.2024280115981938,0.8002131060202451,0.17256659253837459,0.17306805765842714
