model,kind,snr,condition,active,metric,n_seeds,mean,std,ci95_low,ci95_high
resnet,bandpass,0,electrode,all,auroc_CD_clean_drop,3,0.07249047332531082,0.01553516243057108,0.03389899047384052,0.11108195617678113
resnet,bandpass,0,electrode,all,auroc_CD_normalized_robustness,3,0.91934547473421,0.016948434929831138,0.8772432283703917,0.9614477210980283
resnet,bandpass,0,electrode,all,auroc_HYP_clean_drop,3,0.04185321179716776,0.010652047933913535,0.015392057817488876,0.06831436577684663
resnet,bandpass,0,electrode,all,auroc_HYP_normalized_robustness,3,0.9531214008799224,0.011964420742738902,0.9234001321140051,0.9828426696458397
resnet,bandpass,0,electrode,all,auroc_MI_clean_drop,3,0.15013474295190718,0.038974386094861604,0.05331700066254358,0.24695248524127078
resnet,bandpass,0,electrode,all,auroc_MI_normalized_robustness,3,0.8312294315257822,0.044687640630408205,0.7202191781880146,0.9422396848635498
resnet,bandpass,0,electrode,all,auroc_NORM_clean_drop,3,0.08302825172961636,0.020922507062502493,0.031053862911935383,0.13500264054729735
resnet,bandpass,0,electrode,all,auroc_NORM_normalized_robustness,3,0.9110381833935252,0.022588458074184414,0.8549253428418477,0.9671510239452026
resnet,bandpass,0,electrode,all,auroc_STTC_clean_drop,3,0.11539139485138734,0.01948563583276199,0.0669863920423896,0.1637963976603851
resnet,bandpass,0,electrode,all,auroc_STTC_normalized_robustness,3,0.8750649092552658,0.02168567300571832,0.8211947111377423,0.9289351073727893
resnet,bandpass,0,electrode,all,f1_CD_clean_drop,3,0.12232369584921843,0.03256627890400324,0.041424574293407304,0.20322281740502957
resnet,bandpass,0,electrode,all,f1_CD_normalized_robustness,3,0.8273183523465301,0.04652332708412763,0.7117480010621853,0.9428887036308748
resnet,bandpass,0,electrode,all,f1_HYP_clean_drop,3,0.08751236150562798,0.027565605308590157,0.019035601812182668,0.1559891211990733
resnet,bandpass,0,electrode,all,f1_HYP_normalized_robustness,3,0.8558016339051173,0.03844401286808865,0.7603014117496668,0.9513018560605678
resnet,bandpass,0,electrode,all,f1_MI_clean_drop,3,0.22630374988193733,0.011893879156572038,0.19675771613046167,0.255849783633413
resnet,bandpass,0,electrode,all,f1_MI_normalized_robustness,3,0.669621043442579,0.013723793068374367,0.635529251533595,0.703712835351563
resnet,bandpass,0,electrode,all,f1_NORM_clean_drop,3,0.4965275504140938,0.12165793100464421,0.19431249607568252,0.798742604752505
resnet,bandpass,0,electrode,all,f1_NORM_normalized_robustness,3,0.4137986961277999,0.14293656108132327,0.05872459436218047,0.7688727978934193
resnet,bandpass,0,electrode,all,f1_STTC_clean_drop,3,0.2265640058410843,0.03397734527115363,0.1421596011088958,0.3109684105732728
resnet,bandpass,0,electrode,all,f1_STTC_normalized_robustness,3,0.6970776468525139,0.03914933126771246,0.5998253166617883,0.7943299770432396
resnet,bandpass,0,electrode,all,macro_ap_clean_drop,3,0.1478128868253303,0.01660168380191738,0.10657201801494381,0.1890537556357168
resnet,bandpass,0,electrode,all,macro_ap_normalized_robustness,3,0.811903950344894,0.021878010972260647,0.7575559582312874,0.8662519424585007
resnet,bandpass,0,electrode,all,macro_auroc_clean_drop,3,0.09257961493107796,0.014665247165969465,0.05614912139440501,0.1290101084677509
resnet,bandpass,0,electrode,all,macro_auroc_normalized_robustness,3,0.8980106822723884,0.01625794943375622,0.8576236969687652,0.9383976675760117
resnet,bandpass,0,electrode,all,macro_f1_clean_drop,3,0.2318462726983924,0.0291802921744649,0.1593584084688094,0.3043341369279754
resnet,bandpass,0,electrode,all,macro_f1_normalized_robustness,3,0.6769719266701748,0.040518786884371084,0.5763176801375813,0.7776261732027683
resnet,bandpass,0,independent,all,ap_CD_clean_drop,3,0.0835852757527535,0.015178870148434949,0.04587887199573218,0.12129167950977482
resnet,bandpass,0,independent,all,ap_CD_normalized_robustness,3,0.8964514686803128,0.018133754111691873,0.8514047262364096,0.941498211124216
resnet,bandpass,0,independent,all,ap_HYP_clean_drop,3,0.08622817139609636,0.018000304671155327,0.04151293574003791,0.1309434070521548
resnet,bandpass,0,independent,all,ap_HYP_normalized_robustness,3,0.8657478386308743,0.02717853111308054,0.798232624543728,0.9332630527180207
resnet,bandpass,0,independent,all,ap_MI_clean_drop,3,0.18349294434498595,0.03125973271235783,0.10583946345594475,0.26114642523402715
resnet,bandpass,0,independent,all,ap_MI_normalized_robustness,3,0.7588789372746078,0.04642092499433498,0.6435629668832759,0.8741949076659397
resnet,bandpass,0,independent,all,ap_NORM_clean_drop,3,0.07375809484277988,0.001871849614025209,0.06910816262591218,0.07840802705964758
resnet,bandpass,0,independent,all,ap_NORM_normalized_robustness,3,0.9186749437455878,0.002515513601194716,0.9124260615445166,0.924923825946659
resnet,bandpass,0,independent,all,ap_STTC_clean_drop,3,0.15321282097121328,0.028937890531266972,0.08132711580488103,0.22509852613754552
resnet,bandpass,0,independent,all,ap_STTC_normalized_robustness,3,0.8110095680519979,0.0379187427768966,0.7168141891389159,0.9052049469650798
resnet,bandpass,0,independent,all,auroc_CD_clean_drop,3,0.051778851752649326,0.014560884698262796,0.015607608957694634,0.08795009454760402
resnet,bandpass,0,independent,all,auroc_CD_normalized_robustness,3,0.9424059193317316,0.015907726864763622,0.9028889351192382,0.981922903544225
resnet,bandpass,0,independent,all,auroc_HYP_clean_drop,3,0.04225180103284273,0.010417270452298986,0.016373866649105086,0.06812973541658036
resnet,bandpass,0,independent,all,auroc_HYP_normalized_robustness,3,0.9526835656965882,0.011655814662700893,0.9237289169321593,0.9816382144610171
resnet,bandpass,0,independent,all,auroc_MI_clean_drop,3,0.1176251319161767,0.03195701514346503,0.038239505444302616,0.19701075838805077
resnet,bandpass,0,independent,all,auroc_MI_normalized_robustness,3,0.8677621605546618,0.036626432343619605,0.7767770587241318,0.9587472623851918
resnet,bandpass,0,independent,all,auroc_NORM_clean_drop,3,0.058084119390966284,0.006414374872385159,0.04214992887336806,0.0740183099085645
resnet,bandpass,0,independent,all,auroc_NORM_normalized_robustness,3,0.9377753952010709,0.006979872407549772,0.9204364309304858,0.955114359471656
resnet,bandpass,0,independent,all,auroc_STTC_clean_drop,3,0.08507635528530684,0.022181543744173717,0.029974345966248137,0.14017836460436556
resnet,bandpass,0,independent,all,auroc_STTC_normalized_robustness,3,0.9078627293325837,0.024452802235531434,0.84711860114208,0.9686068575230874
resnet,bandpass,0,independent,all,f1_CD_clean_drop,3,0.08847716772041454,0.014598544913848023,0.0522123717636931,0.12474196367713598
resnet,bandpass,0,independent,all,f1_CD_normalized_robustness,3,0.8751234323420256,0.02121319247316361,0.8224269409334747,0.9278199237505765
resnet,bandpass,0,independent,all,f1_HYP_clean_drop,3,0.08286461149448188,0.011451861721579054,0.05441660992250982,0.11131261306645393
resnet,bandpass,0,independent,all,f1_HYP_normalized_robustness,3,0.8625418454086885,0.013409172607576968,0.8292316140512498,0.8958520767661272
resnet,bandpass,0,independent,all,f1_MI_clean_drop,3,0.18918401438180524,0.02567401189871167,0.12540623321307925,0.2529617955505312
resnet,bandpass,0,independent,all,f1_MI_normalized_robustness,3,0.7239294701394504,0.03517501540186473,0.6365498878693624,0.8113090524095384
resnet,bandpass,0,independent,all,f1_NORM_clean_drop,3,0.3184088713977467,0.12318931219592301,0.012389655291061785,0.6244280875044317
resnet,bandpass,0,independent,all,f1_NORM_normalized_robustness,3,0.6241177135176925,0.14514209585107762,0.26356475965601756,0.9846706673793675
resnet,bandpass,0,independent,all,f1_STTC_clean_drop,3,0.16612638170791658,0.010525032927568357,0.13998075049545405,0.1922720129203791
resnet,bandpass,0,independent,all,f1_STTC_normalized_robustness,3,0.7776058815972502,0.009315654957177328,0.7544645118087588,0.8007472513857415
resnet,bandpass,0,independent,all,macro_ap_clean_drop,3,0.11605546146156583,0.016398598563320085,0.07531908435107244,0.1567918385720592
resnet,bandpass,0,independent,all,macro_ap_normalized_robustness,3,0.8522841114494929,0.021706729541938894,0.7983616059962657,0.9062066169027201
resnet,bandpass,0,independent,all,macro_auroc_clean_drop,3,0.07096325187558843,0.014311180922302293,0.03541230764725599,0.10651419610392086
resnet,bandpass,0,independent,all,macro_auroc_normalized_robustness,3,0.9218220927619755,0.015845882039202477,0.8824587396129332,0.9611854459110177
resnet,bandpass,0,independent,all,macro_f1_clean_drop,3,0.16901220934047298,0.023436551087812726,0.11079258895059564,0.22723182973035033
resnet,bandpass,0,independent,all,macro_f1_normalized_robustness,3,0.7645263302620959,0.03244306938878362,0.6839332781094846,0.8451193824147073
resnet,bandpass,0,independent_rms,all,ap_CD_clean_drop,3,0.08516856798854329,0.015844783918116757,0.04580794272350207,0.12452919325358451
resnet,bandpass,0,independent_rms,all,ap_CD_normalized_robustness,3,0.894487608897678,0.01899988665261188,0.847289273945528,0.941685943849828
resnet,bandpass,0,independent_rms,all,ap_HYP_clean_drop,3,0.08780752400234741,0.01966923942427268,0.0389464245876708,0.13666862341702402
resnet,bandpass,0,independent_rms,all,ap_HYP_normalized_robustness,3,0.8632637551760086,0.03009080566356234,0.7885140500511293,0.938013460300888
resnet,bandpass,0,independent_rms,all,ap_MI_clean_drop,3,0.18483223113419558,0.03186533430045428,0.10567435250188673,0.26399010976650444
resnet,bandpass,0,independent_rms,all,ap_MI_normalized_robustness,3,0.7571032209391383,0.04728069785132538,0.6396514563702436,0.874554985508033
resnet,bandpass,0,independent_rms,all,ap_NORM_clean_drop,3,0.07459095017535922,0.0022757652039611517,0.0689376360091802,0.08024426434153824
resnet,bandpass,0,independent_rms,all,ap_NORM_normalized_robustness,3,0.9177544445852438,0.002995396305494703,0.910313467661219,0.9251954215092686
resnet,bandpass,0,independent_rms,all,ap_STTC_clean_drop,3,0.15780268908899675,0.02938451073292335,0.0848075178369141,0.2307978603410794
resnet,bandpass,0,independent_rms,all,ap_STTC_normalized_robustness,3,0.8053507488623918,0.03853033226588643,0.7096360974356188,0.9010654002891647
resnet,bandpass,0,independent_rms,all,auroc_CD_clean_drop,3,0.05262456652821438,0.015580445196887222,0.01392059504924717,0.09132853800718159
resnet,bandpass,0,independent_rms,all,auroc_CD_normalized_robustness,3,0.9414663467478451,0.01705335191056495,0.8991034721555862,0.9838292213401041
resnet,bandpass,0,independent_rms,all,auroc_HYP_clean_drop,3,0.04256517001105853,0.010421068495469473,0.016677800765050342,0.06845253925706671
resnet,bandpass,0,independent_rms,all,auroc_HYP_normalized_robustness,3,0.9523298407390782,0.011675326946752385,0.9233267207739952,0.9813329607041612
resnet,bandpass,0,independent_rms,all,auroc_MI_clean_drop,3,0.11832164932911197,0.03166625415088081,0.03965831320401335,0.19698498545421061
resnet,bandpass,0,independent_rms,all,auroc_MI_normalized_robustness,3,0.8669802753902692,0.03630634190642296,0.7767903222859402,0.9571702284945982
resnet,bandpass,0,independent_rms,all,auroc_NORM_clean_drop,3,0.05941480525612216,0.007470083303117046,0.0408580896131626,0.07797152089908171
resnet,bandpass,0,independent_rms,all,auroc_NORM_normalized_robustness,3,0.9363486145620158,0.00811643677780521,0.9161862678774824,0.9565109612465492
resnet,bandpass,0,independent_rms,all,auroc_STTC_clean_drop,3,0.08620117555051891,0.022337556288249467,0.030711609587220336,0.1416907415138175
resnet,bandpass,0,independent_rms,all,auroc_STTC_normalized_robustness,3,0.906645127433796,0.02462555642991933,0.8454718540341557,0.9678184008334363
resnet,bandpass,0,independent_rms,all,f1_CD_clean_drop,3,0.08859330233642822,0.01501427456420133,0.05129577667738414,0.1258908279954723
resnet,bandpass,0,independent_rms,all,f1_CD_normalized_robustness,3,0.874957667437374,0.02180105423322242,0.8208008464613832,0.9291144884133649
resnet,bandpass,0,independent_rms,all,f1_HYP_clean_drop,3,0.07881914042646183,0.003350717257374016,0.07049549732610955,0.08714278352681412
resnet,bandpass,0,independent_rms,all,f1_HYP_normalized_robustness,3,0.8689359695197156,0.0016986157552671749,0.8647163740643354,0.8731555649750958
resnet,bandpass,0,independent_rms,all,f1_MI_clean_drop,3,0.18865829604132567,0.027034066442401954,0.12150195209062312,0.25581463999202825
resnet,bandpass,0,independent_rms,all,f1_MI_normalized_robustness,3,0.7246508918478596,0.037921616377937103,0.6304483745140644,0.8188534091816547
resnet,bandpass,0,independent_rms,all,f1_NORM_clean_drop,3,0.3264863960932145,0.12651239596417158,0.012212182278620198,0.6407606099078088
resnet,bandpass,0,independent_rms,all,f1_NORM_normalized_robustness,3,0.6145887107686957,0.14902494433793778,0.24439022655191828,0.9847871949854732
resnet,bandpass,0,independent_rms,all,f1_STTC_clean_drop,3,0.16869121571420986,0.016001323244086138,0.12894172520616093,0.2084407062222588
resnet,bandpass,0,independent_rms,all,f1_STTC_normalized_robustness,3,0.7742529504011096,0.01683659310022447,0.732428534543965,0.8160773662582543
resnet,bandpass,0,independent_rms,all,macro_ap_clean_drop,3,0.11804039247788849,0.01685958840241241,0.07615885312338633,0.15992193183239065
resnet,bandpass,0,independent_rms,all,macro_ap_normalized_robustness,3,0.8497584719884917,0.022292356795177683,0.7943811877904834,0.9051357561865001
