kind,condition,lead_i,lead_j,covariance
bandpass,covariance,V2,III,-2.192215630247661e-06
bandpass,covariance,V2,aVR,3.3692017258892996e-06
bandpass,covariance,V2,aVL,-4.0439140258947674e-08
bandpass,covariance,V2,aVF,-3.328762585630221e-06
bandpass,covariance,V2,V1,0.0011419656363581394
bandpass,covariance,V2,V2,0.004540275721078828
bandpass,covariance,V2,V3,0.0011401006657288171
bandpass,covariance,V2,V4,0.0011644585360969626
bandpass,covariance,V2,V5,0.0011373077008591916
bandpass,covariance,V2,V6,0.0011284843751625238
bandpass,covariance,V3,I,-1.879526029094566e-05
bandpass,covariance,V3,II,-3.792132778141664e-05
bandpass,covariance,V3,III,-1.912606749047093e-05
bandpass,covariance,V3,aVR,2.83582940361812e-05
bandpass,covariance,V3,aVL,1.6540359976281317e-07
bandpass,covariance,V3,aVF,-2.8523697635943854e-05
bandpass,covariance,V3,V1,0.0011204393826104227
bandpass,covariance,V3,V2,0.0011401006657288171
bandpass,covariance,V3,V3,0.004508850333487779
bandpass,covariance,V3,V4,0.0011280809473554708
bandpass,covariance,V3,V5,0.0011384937010275945
bandpass,covariance,V3,V6,0.0011343940883748994
bandpass,covariance,V4,I,-7.894728985727202e-06
bandpass,covariance,V4,II,5.834067557922253e-06
bandpass,covariance,V4,III,1.3728796543649517e-05
bandpass,covariance,V4,aVR,1.030330713902659e-06
bandpass,covariance,V4,aVL,-1.0811762764688165e-05
bandpass,covariance,V4,aVF,9.781432050785722e-06
bandpass,covariance,V4,V1,0.001176110196088121
bandpass,covariance,V4,V2,0.0011644585360969626
bandpass,covariance,V4,V3,0.0011280809473554708
bandpass,covariance,V4,V4,0.004538422648148453
bandpass,covariance,V4,V5,0.0011463525792761746
bandpass,covariance,V4,V6,0.001142366397766679
bandpass,covariance,V5,I,-3.210005067124947e-05
bandpass,covariance,V5,II,-1.0251939423415676e-05
bandpass,covariance,V5,III,2.1848111247833934e-05
bandpass,covariance,V5,aVR,2.1175995047332548e-05
bandpass,covariance,V5,aVL,-2.6974080959541584e-05
bandpass,covariance,V5,aVF,5.798085912209147e-06
bandpass,covariance,V5,V1,0.0011418175174033446
bandpass,covariance,V5,V2,0.0011373077008591916
bandpass,covariance,V5,V3,0.0011384937010275945
bandpass,covariance,V5,V4,0.0011463525792761746
bandpass,covariance,V5,V5,0.0045702220410553706
bandpass,covariance,V5,V6,0.0011259433565582375
bandpass,covariance,V6,I,-8.457903128094886e-06
bandpass,covariance,V6,II,1.0841014098044965e-05
bandpass,covariance,V6,III,1.9298917226139998e-05
bandpass,covariance,V6,aVR,-1.1915554849750978e-06
bandpass,covariance,V6,aVL,-1.3878410177117416e-05
bandpass,covariance,V6,aVF,1.5069965662092389e-05
bandpass,covariance,V6,V1,0.0011314978389216125
bandpass,covariance,V6,V2,0.0011284843751625238
bandpass,covariance,V6,V3,0.0011343940883748994
bandpass,covariance,V6,V4,0.001142366397766679
bandpass,covariance,V6,V5,0.0011259433565582375
bandpass,covariance,V6,V6,0.004551776702068673
bw,independent,I,I,0.004566995533854835
bw,independent,I,II,0.0002549043225964853
bw,independent,I,III,0.00018527980950865263
bw,independent,I,aVR,-0.0003303311955035173
bw,independent,I,aVL,-0.00014893666122919617
bw,independent,I,aVF,0.00011839327792202809
bw,independent,I,V1,0.00018633958215817268
bw,independent,I,V2,7.612827938725904e-05
bw,independent,I,V3,-5.897609650473277e-06
bw,independent,I,V4,0.000307064518689047
bw,independent,I,V5,-0.00031297656456740955
bw,independent,I,V6,0.000388192261308755
bw,independent,II,I,0.0002549043225964853
bw,independent,II,II,0.00572314306133657
bw,independent,II,III,-0.00030180104245866867
bw,independent,II,aVR,0.00034156031189414536
bw,independent,II,aVL,-0.00011984170938971501
bw,independent,II,aVF,-2.5429546278690072e-05
bw,independent,II,V1,-1.3957668746567477e-05
bw,independent,II,V2,-0.00018670985463251912
bw,independent,II,V3,-0.00011467526107867641
bw,independent,II,V4,0.0005156666043163067
bw,independent,II,V5,-2.8892585370045656e-05
bw,independent,II,V6,4.8618525350122956e-05
bw,independent,III,I,0.00018527980950865263
bw,independent,III,II,-0.00030180104245866867
bw,independent,III,III,0.005931448941336753
bw,independent,III,aVR,0.0005636275500493201
bw,independent,III,aVL,-0.000135959694574148
bw,independent,III,aVF,9.219890469574756e-06
bw,independent,III,V1,0.00011541194126151433
bw,independent,III,V2,0.00022118317800755275
bw,independent,III,V3,-5.138817544437548e-05
bw,independent,III,V4,-0.0003099857110145528
bw,independent,III,V5,0.00030578101310970097
bw,independent,III,V6,-3.604004527704068e-05
bw,independent,aVR,I,-0.0003303311955035173
bw,independent,aVR,II,0.00034156031189414536
bw,independent,aVR,III,0.0005636275500493201
bw,independent,aVR,aVR,0.005460307634088513
bw,independent,aVR,aVL,-5.061606255981235e-05
bw,independent,aVR,aVF,1.620298358039518e-05
bw,independent,aVR,V1,2.172815541211641e-05
bw,independent,aVR,V2,0.00039470875866033883
bw,independent,aVR,V3,-0.00023068157858393244
bw,independent,aVR,V4,-0.00029821450453275774
bw,independent,aVR,V5,-0.0005508606242533898
bw,independent,aVR,V6,3.0914148246195846e-05
bw,independent,aVL,I,-0.00014893666122919617
bw,independent,aVL,II,-0.00011984170938971501
bw,independent,aVL,III,-0.000135959694574148
bw,independent,aVL,aVR,-5.061606255981235e-05
bw,independent,aVL,aVL,0.005056053396145564
bw,independent,aVL,aVF,5.627669022858655e-05
bw,independent,aVL,V1,-0.0001209579789516575
bw,independent,aVL,V2,0.00027651538287346017
bw,independent,aVL,V3,-0.0004229929794907807
bw,independent,aVL,V4,-0.00030262056156608137
bw,independent,aVL,V5,0.00018255199158724293
bw,independent,aVL,V6,3.756766272188313e-05
bw,independent,aVF,I,0.00011839327792202809
bw,independent,aVF,II,-2.5429546278690072e-05
bw,independent,aVF,III,9.219890469574756e-06
bw,independent,aVF,aVR,1.620298358039518e-05
bw,independent,aVF,aVL,5.627669022858655e-05
bw,independent,aVF,aVF,0.004383278197937741
bw,independent,aVF,V1,-0.0001463868408501765
bw,independent,aVF,V2,0.00015653975593678466
bw,independent,aVF,V3,-0.0004257617460545632
bw,independent,aVF,V4,0.00010986189064632565
bw,independent,aVF,V5,-0.0001177842214967722
bw,independent,aVF,V6,0.000238617805764559
bw,independent,V1,I,0.00018633958215817268
bw,independent,V1,II,-1.3957668746567477e-05
bw,independent,V1,III,0.00011541194126151433
bw,independent,V1,aVR,2.172815541211641e-05
bw,independent,V1,aVL,-0.0001209579789516575
bw,independent,V1,aVF,-0.0001463868408501765
bw,independent,V1,V1,0.00467828011178722
bw,independent,V1,V2,0.00018580707525588355
bw,independent,V1,V3,0.0004591245798398576
bw,independent,V1,V4,-1.004564932476014e-05
bw,independent,V1,V5,-0.000618381526504165
bw,independent,V1,V6,0.00042347521643677376
bw,independent,V2,I,7.612827938725904e-05
bw,independent,V2,II,-0.00018670985463251912
bw,independent,V2,III,0.00022118317800755275
bw,independent,V2,aVR,0.00039470875866033883
bw,independent,V2,aVL,0.00027651538287346017
bw,independent,V2,aVF,0.00015653975593678466
bw,independent,V2,V1,0.00018580707525588355
bw,independent,V2,V2,0.005308515063499752
bw,independent,V2,V3,-0.00023408985130024478
bw,independent,V2,V4,-0.00028994635214696693
bw,independent,V2,V5,0.0001341865872245037
bw,independent,V2,V6,0.0002518705209342233
bw,independent,V3,I,-5.897609650473277e-06
bw,independent,V3,II,-0.00011467526107867641
bw,independent,V3,III,-5.138817544437548e-05
bw,independent,V3,aVR,-0.00023068157858393244
bw,independent,V3,aVL,-0.0004229929794907807
bw,independent,V3,aVF,-0.0004257617460545632
bw,independent,V3,V1,0.0004591245798398576
bw,independent,V3,V2,-0.00023408985130024478
bw,independent,V3,V3,0.004861770484291543
bw,independent,V3,V4,0.00030483510830349697
bw,independent,V3,V5,0.00038646996455185675
bw,independent,V3,V6,-0.00027519953559048847
bw,independent,V4,I,0.000307064518689047
bw,independent,V4,II,0.0005156666043163067
bw,independent,V4,III,-0.0003099857110145528
bw,independent,V4,aVR,-0.00029821450453275774
bw,independent,V4,aVL,-0.00030262056156608137
bw,independent,V4,aVF,0.00010986189064632565
bw,independent,V4,V1,-1.004564932476014e-05
bw,independent,V4,V2,-0.00028994635214696693
bw,independent,V4,V3,0.00030483510830349697
bw,independent,V4,V4,0.006020038236917609
bw,independent,V4,V5,4.567055361738869e-05
bw,independent,V4,V6,-0.00028705913292562167
bw,independent,V5,I,-0.00031297656456740955
bw,independent,V5,II,-2.8892585370045656e-05
bw,independent,V5,III,0.00030578101310970097
bw,independent,V5,aVR,-0.0005508606242533898
bw,independent,V5,aVL,0.00018255199158724293
bw,independent,V5,aVF,-0.0001177842214967722
bw,independent,V5,V1,-0.000618381526504165
bw,independent,V5,V2,0.0001341865872245037
bw,independent,V5,V3,0.00038646996455185675
bw,independent,V5,V4,4.567055361738869e-05
bw,independent,V5,V5,0.006827082158878928
bw,independent,V5,V6,-0.0006267645761632561
bw,independent,V6,I,0.000388192261308755
bw,independent,V6,II,4.8618525350122956e-05
bw,independent,V6,III,-3.604004527704068e-05
bw,independent,V6,aVR,3.0914148246195846e-05
bw,independent,V6,aVL,3.756766272188313e-05
bw,independent,V6,aVF,0.000238617805764559
bw,independent,V6,V1,0.00042347521643677376
bw,independent,V6,V2,0.0002518705209342233
bw,independent,V6,V3,-0.00027519953559048847
bw,independent,V6,V4,-0.00028705913292562167
bw,independent,V6,V5,-0.0006267645761632561
bw,independent,V6,V6,0.004400529565032585
bw,independent_rms,I,I,0.005547742401331276
bw,independent_rms,I,II,-0.00017315141405516664
bw,independent_rms,I,III,0.0004208510218499496
bw,independent_rms,I,aVR,0.00025842089559692814
bw,independent_rms,I,aVL,-0.00012203957575882469
bw,independent_rms,I,aVF,0.00034933130633083096
bw,independent_rms,I,V1,5.718062575637023e-05
bw,independent_rms,I,V2,0.00035872557110758847
bw,independent_rms,I,V3,-0.00023081229444389488
bw,independent_rms,I,V4,0.00015891530489971892
bw,independent_rms,I,V5,-0.00013846994083551947
bw,independent_rms,I,V6,0.00018918499091585033
bw,independent_rms,II,I,-0.00017315141405516664
bw,independent_rms,II,II,0.005694032330869358
bw,independent_rms,II,III,-0.00040830169997110985
bw,independent_rms,II,aVR,4.842436116565807e-05
bw,independent_rms,II,aVL,-0.0002454295674439513
bw,independent_rms,II,aVF,-0.00020973002902318022
bw,independent_rms,II,V1,0.00031527237665069394
bw,independent_rms,II,V2,-0.00018482757667759563
bw,independent_rms,II,V3,0.0002477568612003946
bw,independent_rms,II,V4,0.0004637464901823718
bw,independent_rms,II,V5,9.736316077856828e-05
bw,independent_rms,II,V6,0.00010705286341982957
bw,independent_rms,III,I,0.0004208510218499496
bw,independent_rms,III,II,-0.00040830169997110985
bw,independent_rms,III,III,0.006242135113865187
bw,independent_rms,III,aVR,0.000620139699365064
bw,independent_rms,III,aVL,-0.0003996589732635926
bw,independent_rms,III,aVF,-0.00017992791139894386
bw,independent_rms,III,V1,-1.1445110219859315e-05
bw,independent_rms,III,V2,-7.022665222467306e-05
bw,independent_rms,III,V3,-0.00018460256341084073
bw,independent_rms,III,V4,-0.00034804337583340967
bw,independent_rms,III,V5,-0.000255142933169969
bw,independent_rms,III,V6,-2.248430187577487e-05
bw,independent_rms,aVR,I,0.00025842089559692814
bw,independent_rms,aVR,II,4.842436116565807e-05
bw,independent_rms,aVR,III,0.000620139699365064
bw,independent_rms,aVR,aVR,0.0040603535876340205
bw,independent_rms,aVR,aVL,0.00015201061911220703
bw,independent_rms,aVR,aVF,-0.00011655877951863271
bw,independent_rms,aVR,V1,0.0001485441718228889
bw,independent_rms,aVR,V2,0.00018546999743488608
bw,independent_rms,aVR,V3,-0.0005348020971250414
bw,independent_rms,aVR,V4,-0.00026844388007571244
bw,independent_rms,aVR,V5,-0.0006603959869750855
bw,independent_rms,aVR,V6,0.0002546517020501698
bw,independent_rms,aVL,I,-0.00012203957575882469
bw,independent_rms,aVL,II,-0.0002454295674439513
bw,independent_rms,aVL,III,-0.0003996589732635926
bw,independent_rms,aVL,aVR,0.00015201061911220703
bw,independent_rms,aVL,aVL,0.004471430674880891
bw,independent_rms,aVL,aVF,-6.217876782972007e-05
bw,independent_rms,aVL,V1,-8.43876974249991e-05
bw,independent_rms,aVL,V2,0.00033561043536242295
bw,independent_rms,aVL,V3,-7.35858376362466e-05
bw,independent_rms,aVL,V4,-0.0003088292868224393
bw,independent_rms,aVL,V5,0.00031469171206842595
bw,independent_rms,aVL,V6,-3.234407651232311e-05
bw,independent_rms,aVF,I,0.00034933130633083096
bw,independent_rms,aVF,II,-0.00020973002902318022
bw,independent_rms,aVF,III,-0.00017992791139894386
bw,independent_rms,aVF,aVR,-0.00011655877951863271
bw,independent_rms,aVF,aVL,-6.217876782972007e-05
bw,independent_rms,aVF,aVF,0.004581148122034452
bw,independent_rms,aVF,V1,-0.00019630999830650667
bw,independent_rms,aVF,V2,0.00011427667685321863
bw,independent_rms,aVF,V3,-0.0008137760128763894
bw,independent_rms,aVF,V4,0.0001472042444919792
bw,independent_rms,aVF,V5,-0.0005693342448438981
bw,independent_rms,aVF,V6,-4.120393650584029e-05
bw,independent_rms,V1,I,5.718062575637023e-05
bw,independent_rms,V1,II,0.00031527237665069394
bw,independent_rms,V1,III,-1.1445110219859315e-05
bw,independent_rms,V1,aVR,0.0001485441718228889
bw,independent_rms,V1,aVL,-8.43876974249991e-05
bw,independent_rms,V1,aVF,-0.00019630999830650667
bw,independent_rms,V1,V1,0.0041737331445715654
bw,independent_rms,V1,V2,0.00021084336794313497
bw,independent_rms,V1,V3,0.00017397636399270867
bw,independent_rms,V1,V4,0.00010436413013663792
bw,independent_rms,V1,V5,7.161839753684893e-05
bw,independent_rms,V1,V6,0.00037654087343178845
bw,independent_rms,V2,I,0.00035872557110758847
bw,independent_rms,V2,II,-0.00018482757667759563
bw,independent_rms,V2,III,-7.022665222467306e-05
bw,independent_rms,V2,aVR,0.00018546999743488608
bw,independent_rms,V2,aVL,0.00033561043536242295
bw,independent_rms,V2,aVF,0.00011427667685321863
bw,independent_rms,V2,V1,0.00021084336794313497
bw,independent_rms,V2,V2,0.006091885752926791
bw,independent_rms,V2,V3,-0.00032843620196576945
bw,independent_rms,V2,V4,0.00016752750868054156
bw,independent_rms,V2,V5,5.6634861088334805e-05
bw,independent_rms,V2,V6,-9.035700002602652e-06
bw,independent_rms,V3,I,-0.00023081229444389488
bw,independent_rms,V3,II,0.0002477568612003946
bw,independent_rms,V3,III,-0.00018460256341084073
bw,independent_rms,V3,aVR,-0.0005348020971250414
bw,independent_rms,V3,aVL,-7.35858376362466e-05
bw,independent_rms,V3,aVF,-0.0008137760128763894
bw,independent_rms,V3,V1,0.00017397636399270867
bw,independent_rms,V3,V2,-0.00032843620196576945
bw,independent_rms,V3,V3,0.006047077134769388
bw,independent_rms,V3,V4,0.0001322229462238914
bw,independent_rms,V3,V5,0.0004801715380280508
bw,independent_rms,V3,V6,-6.795184017005465e-06
bw,independent_rms,V4,I,0.00015891530489971892
bw,independent_rms,V4,II,0.0004637464901823718
bw,independent_rms,V4,III,-0.00034804337583340967
bw,independent_rms,V4,aVR,-0.00026844388007571244
bw,independent_rms,V4,aVL,-0.0003088292868224393
bw,independent_rms,V4,aVF,0.0001472042444919792
bw,independent_rms,V4,V1,0.00010436413013663792
bw,independent_rms,V4,V2,0.00016752750868054156
bw,independent_rms,V4,V3,0.0001322229462238914
bw,independent_rms,V4,V4,0.005315191114374507
bw,independent_rms,V4,V5,-4.3813616736660686e-05
bw,independent_rms,V4,V6,-0.0006580868701197142
bw,independent_rms,V5,I,-0.00013846994083551947
bw,independent_rms,V5,II,9.736316077856828e-05
bw,independent_rms,V5,III,-0.000255142933169969
bw,independent_rms,V5,aVR,-0.0006603959869750855
bw,independent_rms,V5,aVL,0.00031469171206842595
bw,independent_rms,V5,aVF,-0.0005693342448438981
bw,independent_rms,V5,V1,7.161839753684893e-05
bw,independent_rms,V5,V2,5.6634861088334805e-05
bw,independent_rms,V5,V3,0.0004801715380280508
bw,independent_rms,V5,V4,-4.3813616736660686e-05
bw,independent_rms,V5,V5,0.006306053651264901
bw,independent_rms,V5,V6,-0.00041431333440942916
bw,independent_rms,V6,I,0.00018918499091585033
bw,independent_rms,V6,II,0.00010705286341982957
bw,independent_rms,V6,III,-2.248430187577487e-05
bw,independent_rms,V6,aVR,0.0002546517020501698
bw,independent_rms,V6,aVL,-3.234407651232311e-05
bw,independent_rms,V6,aVF,-4.120393650584029e-05
bw,independent_rms,V6,V1,0.00037654087343178845
bw,independent_rms,V6,V2,-9.035700002602652e-06
bw,independent_rms,V6,V3,-6.795184017005465e-06
bw,independent_rms,V6,V4,-0.0006580868701197142
bw,independent_rms,V6,V5,-0.00041431333440942916
bw,independent_rms,V6,V6,0.004686659356585283
bw,electrode,I,I,0.005547742401331277
bw,electrode,I,II,0.0024998198091677236
bw,electrode,I,III,-0.0030479225921635506
bw,electrode,I,aVR,-0.004023781105249501
bw,electrode,I,aVL,0.004297832496747414
bw,electrode,I,aVF,-0.0002740513914979134
bw,electrode,I,V1,0.0001656513948519373
bw,electrode,I,V2,-0.0002081984179879866
bw,electrode,I,V3,2.381326777383869e-05
bw,electrode,I,V4,-7.843358248718195e-05
bw,electrode,I,V5,0.00039900832275189906
bw,electrode,I,V6,-3.337890107221358e-06
bw,electrode,II,I,0.0024998198091677236
bw,electrode,II,II,0.005694032330869358
bw,electrode,II,III,0.003194212521701634
bw,electrode,II,aVR,-0.004096926070018541
bw,electrode,II,aVL,-0.00034719635626695455
bw,electrode,II,aVF,0.004444122426285496
bw,electrode,II,V1,-0.0001502096531504179
bw,electrode,II,V2,-0.00012575157970996683
bw,electrode,II,V3,-0.00031269504155125624
bw,electrode,II,V4,-0.0001629955899903952
bw,electrode,II,V5,0.0001919927352336206
bw,electrode,II,V6,-0.00026719480736469686
bw,electrode,III,I,-0.0030479225921635506
bw,electrode,III,II,0.003194212521701634
bw,electrode,III,III,0.006242135113865186
bw,electrode,III,aVR,-7.314496476904114e-05
bw,electrode,III,aVL,-0.004645028853014369
bw,electrode,III,aVF,0.004718173817783406
bw,electrode,III,V1,-0.00031586104800235574
bw,electrode,III,V2,8.2446838278019e-05
bw,electrode,III,V3,-0.00033650830932509533
bw,electrode,III,V4,-8.456200750321308e-05
bw,electrode,III,V5,-0.0002070155875182784
bw,electrode,III,V6,-0.00026385691725747525
bw,electrode,aVR,I,-0.004023781105249501
bw,electrode,aVR,II,-0.004096926070018541
bw,electrode,aVR,III,-7.314496476904114e-05
bw,electrode,aVR,aVR,0.004060353587634022
bw,electrode,aVR,aVL,-0.0019753180702402288
bw,electrode,aVR,aVF,-0.0020850355173937917
bw,electrode,aVR,V1,-7.720870850759657e-06
bw,electrode,aVR,V2,0.00016697499884897675
bw,electrode,aVR,V3,0.00014444088688870865
bw,electrode,aVR,V4,0.00012071458623878847
bw,electrode,aVR,V5,-0.00029550052899276005
bw,electrode,aVR,V6,0.00013526634873595883
bw,electrode,aVL,I,0.004297832496747414
bw,electrode,aVL,II,-0.00034719635626695455
bw,electrode,aVL,III,-0.004645028853014369
bw,electrode,aVL,aVR,-0.0019753180702402288
bw,electrode,aVL,aVL,0.00447143067488089
bw,electrode,aVL,aVF,-0.0024961126046406617
bw,electrode,aVL,V1,0.00024075622142714695
bw,electrode,aVL,V2,-0.0001453226281330031
bw,electrode,aVL,V3,0.0001801607885494668
bw,electrode,aVL,V4,3.0642125080157073e-06
bw,electrode,aVL,V5,0.00030301195513508865
bw,electrode,aVL,V6,0.00013025951357512744
bw,electrode,aVF,I,-0.0002740513914979134
bw,electrode,aVF,II,0.004444122426285496
bw,electrode,aVF,III,0.004718173817783406
bw,electrode,aVF,aVR,-0.0020850355173937917
bw,electrode,aVF,aVL,-0.0024961126046406617
bw,electrode,aVF,aVF,0.00458114812203445
bw,electrode,aVF,V1,-0.00023303535057638705
bw,electrode,aVF,V2,-2.1652370715974122e-05
bw,electrode,aVF,V3,-0.0003246016754381755
bw,electrode,aVF,V4,-0.00012377879874680406
bw,electrode,aVF,V5,-7.511426142329011e-06
bw,electrode,aVF,V6,-0.0002655258623110863
bw,electrode,V1,I,0.0001656513948519373
bw,electrode,V1,II,-0.0001502096531504179
bw,electrode,V1,III,-0.00031586104800235574
bw,electrode,V1,aVR,-7.720870850759657e-06
bw,electrode,V1,aVL,0.00024075622142714695
bw,electrode,V1,aVF,-0.00023303535057638705
bw,electrode,V1,V1,0.004173733144571565
bw,electrode,V1,V2,0.0011720506796781929
bw,electrode,V1,V3,0.001274055136579161
bw,electrode,V1,V4,0.001153659515735174
bw,electrode,V1,V5,0.0011372378162041298
bw,electrode,V1,V6,0.0011945010713295015
bw,electrode,V2,I,-0.0002081984179879866
bw,electrode,V2,II,-0.00012575157970996683
bw,electrode,V2,III,8.2446838278019e-05
bw,electrode,V2,aVR,0.00016697499884897675
bw,electrode,V2,aVL,-0.0001453226281330031
bw,electrode,V2,aVF,-2.1652370715974122e-05
bw,electrode,V2,V1,0.0011720506796781929
bw,electrode,V2,V2,0.006091885752926791
bw,electrode,V2,V3,0.0013334855624685697
bw,electrode,V2,V4,0.0008341000530959048
bw,electrode,V2,V5,0.0008857986298449901
bw,electrode,V2,V6,0.0006479605680076451
bw,electrode,V3,I,2.381326777383869e-05
bw,electrode,V3,II,-0.00031269504155125624
bw,electrode,V3,III,-0.00033650830932509533
bw,electrode,V3,aVR,0.00014444088688870865
bw,electrode,V3,aVL,0.0001801607885494668
bw,electrode,V3,aVF,-0.0003246016754381755
bw,electrode,V3,V1,0.001274055136579161
bw,electrode,V3,V2,0.0013334855624685697
bw,electrode,V3,V3,0.006047077134769388
bw,electrode,V3,V4,0.001211812377987866
bw,electrode,V3,V5,0.0016643065410729772
bw,electrode,V3,V6,0.0013713170156628722
bw,electrode,V4,I,-7.843358248718195e-05
bw,electrode,V4,II,-0.0001629955899903952
bw,electrode,V4,III,-8.456200750321308e-05
bw,electrode,V4,aVR,0.00012071458623878847
bw,electrode,V4,aVL,3.0642125080157073e-06
bw,electrode,V4,aVF,-0.00012377879874680406
bw,electrode,V4,V1,0.001153659515735174
bw,electrode,V4,V2,0.0008341000530959048
bw,electrode,V4,V3,0.001211812377987866
bw,electrode,V4,V4,0.005315191114374505
bw,electrode,V4,V5,0.0008372136673347565
bw,electrode,V4,V6,0.0004399435030077558
bw,electrode,V5,I,0.00039900832275189906
bw,electrode,V5,II,0.0001919927352336206
bw,electrode,V5,III,-0.0002070155875182784
bw,electrode,V5,aVR,-0.00029550052899276005
bw,electrode,V5,aVL,0.00030301195513508865
bw,electrode,V5,aVF,-7.511426142329011e-06
bw,electrode,V5,V1,0.0011372378162041298
bw,electrode,V5,V2,0.0008857986298449901
bw,electrode,V5,V3,0.0016643065410729772
bw,electrode,V5,V4,0.0008372136673347565
bw,electrode,V5,V5,0.006306053651264901
bw,electrode,V5,V6,0.0011956172590279494
bw,electrode,V6,I,-3.337890107221358e-06
bw,electrode,V6,II,-0.00026719480736469686
bw,electrode,V6,III,-0.00026385691725747525
bw,electrode,V6,aVR,0.00013526634873595883
bw,electrode,V6,aVL,0.00013025951357512744
bw,electrode,V6,aVF,-0.0002655258623110863
bw,electrode,V6,V1,0.0011945010713295015
bw,electrode,V6,V2,0.0006479605680076451
bw,electrode,V6,V3,0.0013713170156628722
bw,electrode,V6,V4,0.0004399435030077558
bw,electrode,V6,V5,0.0011956172590279494
bw,electrode,V6,V6,0.004686659356585283
bw,covariance,I,I,0.005547742401331279
bw,covariance,I,II,0.0024998198091677236
bw,covariance,I,III,-0.003047922592163552
bw,covariance,I,aVR,-0.0040237811052495015
bw,covariance,I,aVL,0.004297832496747413
bw,covariance,I,aVF,-0.0002740513914979134
bw,covariance,I,V1,0.00016565139485193753
bw,covariance,I,V2,-0.00020819841798798704
bw,covariance,I,V3,2.3813267773838304e-05
bw,covariance,I,V4,-7.843358248718239e-05
bw,covariance,I,V5,0.00039900832275189933
bw,covariance,I,V6,-3.3378901072213514e-06
bw,covariance,II,I,0.0024998198091677236
bw,covariance,II,II,0.005694032330869358
bw,covariance,II,III,0.003194212521701633
bw,covariance,II,aVR,-0.004096926070018539
bw,covariance,II,aVL,-0.00034719635626695504
bw,covariance,II,aVF,0.004444122426285496
bw,covariance,II,V1,-0.00015020965315041805
bw,covariance,II,V2,-0.00012575157970996589
bw,covariance,II,V3,-0.0003126950415512553
bw,covariance,II,V4,-0.00016299558999039433
bw,covariance,II,V5,0.00019199273523362134
bw,covariance,II,V6,-0.00026719480736469664
bw,covariance,III,I,-0.003047922592163552
bw,covariance,III,II,0.003194212521701633
bw,covariance,III,III,0.006242135113865183
bw,covariance,III,aVR,-7.314496476904016e-05
bw,covariance,III,aVL,-0.004645028853014369
bw,covariance,III,aVF,0.004718173817783405
bw,covariance,III,V1,-0.0003158610480023561
bw,covariance,III,V2,8.24468382780187e-05
bw,covariance,III,V3,-0.0003365083093250943
bw,covariance,III,V4,-8.456200750321252e-05
bw,covariance,III,V5,-0.0002070155875182779
bw,covariance,III,V6,-0.00026385691725747573
bw,covariance,aVR,I,-0.0040237811052495015
bw,covariance,aVR,II,-0.004096926070018539
bw,covariance,aVR,III,-7.314496476904016e-05
bw,covariance,aVR,aVR,0.0040603535876340205
bw,covariance,aVR,aVL,-0.0019753180702402296
bw,covariance,aVR,aVF,-0.0020850355173937913
bw,covariance,aVR,V1,-7.720870850759898e-06
bw,covariance,aVR,V2,0.00016697499884897688
bw,covariance,aVR,V3,0.00014444088688870827
bw,covariance,aVR,V4,0.00012071458623878811
bw,covariance,aVR,V5,-0.00029550052899276097
bw,covariance,aVR,V6,0.0001352663487359585
bw,covariance,aVL,I,0.004297832496747413
bw,covariance,aVL,II,-0.00034719635626695504
bw,covariance,aVL,III,-0.004645028853014369
bw,covariance,aVL,aVR,-0.0019753180702402296
bw,covariance,aVL,aVL,0.00447143067488089
bw,covariance,aVL,aVF,-0.0024961126046406613
bw,covariance,aVL,V1,0.00024075622142714678
bw,covariance,aVL,V2,-0.00014532262813300316
bw,covariance,aVL,V3,0.00018016078854946638
bw,covariance,aVL,V4,3.0642125080154023e-06
bw,covariance,aVL,V5,0.00030301195513508886
bw,covariance,aVL,V6,0.00013025951357512768
bw,covariance,aVF,I,-0.0002740513914979134
bw,covariance,aVF,II,0.004444122426285496
bw,covariance,aVF,III,0.004718173817783405
bw,covariance,aVF,aVR,-0.0020850355173937913
bw,covariance,aVF,aVL,-0.0024961126046406613
bw,covariance,aVF,aVF,0.004581148122034451
bw,covariance,aVF,V1,-0.00023303535057638724
bw,covariance,aVF,V2,-2.1652370715974095e-05
bw,covariance,aVF,V3,-0.00032460167543817505
bw,covariance,aVF,V4,-0.00012377879874680354
bw,covariance,aVF,V5,-7.511426142328333e-06
bw,covariance,aVF,V6,-0.0002655258623110862
bw,covariance,V1,I,0.00016565139485193753
bw,covariance,V1,II,-0.00015020965315041805
bw,covariance,V1,III,-0.0003158610480023561
bw,covariance,V1,aVR,-7.720870850759898e-06
bw,covariance,V1,aVL,0.00024075622142714678
bw,covariance,V1,aVF,-0.00023303535057638724
bw,covariance,V1,V1,0.0041737331445715654
bw,covariance,V1,V2,0.0011720506796781926
bw,covariance,V1,V3,0.0012740551365791606
bw,covariance,V1,V4,0.001153659515735174
bw,covariance,V1,V5,0.0011372378162041294
bw,covariance,V1,V6,0.0011945010713295026
bw,covariance,V2,I,-0.00020819841798798704
bw,covariance,V2,II,-0.00012575157970996589
bw,covariance,V2,III,8.24468382780187e-05
bw,covariance,V2,aVR,0.00016697499884897688
bw,covariance,V2,aVL,-0.00014532262813300316
bw,covariance,V2,aVF,-2.1652370715974095e-05
bw,covariance,V2,V1,0.0011720506796781926
