architecture,snr_db,train_seed,combo_id,noise_seed,combo_set,metric,unit,M_EE,M_IE,M_EI,M_II,g_E,g_I,gamma
resnet,5,17,LL,20001,heldout,absolute macro-AUROC,fraction,0.8868923762564448,0.8778982584956314,0.8975366004344906,0.8982038458193969,0.00899411776081338,-0.0006672453849063675,0.009661363145719748
resnet,5,17,LL,20002,heldout,absolute macro-AUROC,fraction,0.8855008097987234,0.8791419745703356,0.8967133109990074,0.8963596686375341,0.00635883522838776,0.0003536423614732831,0.006005192866914477
resnet,5,17,LL,20003,heldout,absolute macro-AUROC,fraction,0.8845798034549338,0.8801868487175051,0.8954708117617489,0.8974439681121936,0.004392954737428734,-0.0019731563504447047,0.006366111087873438
resnet,5,17,LL,20004,heldout,absolute macro-AUROC,fraction,0.8867648567452845,0.8793820552883543,0.8974846870022904,0.8993930814214324,0.007382801456930155,-0.0019083944191419233,0.009291195876072078
resnet,5,17,LL,20005,heldout,absolute macro-AUROC,fraction,0.8878390112093311,0.8807814807463931,0.8978880497411333,0.8987150171081971,0.007057530462938,-0.00082696736706378,0.00788449783000178
resnet,5,17,LL_V1_V4,20001,heldout,absolute macro-AUROC,fraction,0.8903438083644012,0.8864176669690152,0.8987242577198401,0.899689231192099,0.00392614139538594,-0.0009649734722588788,0.004891114867644819
resnet,5,17,LL_V1_V4,20002,heldout,absolute macro-AUROC,fraction,0.8895488879769399,0.8863939347170746,0.8969582016101931,0.8963506548025725,0.0031549532598652563,0.0006075468076206514,0.002547406452244605
resnet,5,17,LL_V1_V4,20003,heldout,absolute macro-AUROC,fraction,0.8888592854156055,0.8864219951347796,0.8964567501834514,0.8988983889876987,0.0024372902808259544,-0.0024416388042473036,0.004878929085073258
resnet,5,17,LL_V1_V4,20004,heldout,absolute macro-AUROC,fraction,0.8922806162893039,0.8878691841115934,0.8983356540500811,0.8994714306335758,0.00441143217771045,-0.0011357765834947298,0.00554720876120518
resnet,5,17,LL_V1_V4,20005,heldout,absolute macro-AUROC,fraction,0.8937451395424064,0.8883509907615224,0.8979181248552861,0.8982955799441568,0.005394148780884067,-0.0003774550888706596,0.005771603869754727
resnet,5,17,LL_V4,20001,heldout,absolute macro-AUROC,fraction,0.8896115368636266,0.8840301332644771,0.8989337020728027,0.8996319587391713,0.005581403599149493,-0.0006982566663686907,0.006279660265518183
resnet,5,17,LL_V4,20002,heldout,absolute macro-AUROC,fraction,0.8886765550287808,0.88485185570116,0.8976441427841287,0.8976912367487573,0.003824699327620862,-4.709396462854176e-05,0.0038717932922494036
resnet,5,17,LL_V4,20003,heldout,absolute macro-AUROC,fraction,0.8874425480751708,0.8839200749390587,0.8963371147522932,0.8982283439411238,0.003522473136112092,-0.0018912291888306676,0.00541370232494276
resnet,5,17,LL_V4,20004,heldout,absolute macro-AUROC,fraction,0.8911924041323799,0.8856695188603322,0.8979832227618643,0.9000191793181493,0.005522885272047695,-0.002035956556285079,0.007558841828332774
resnet,5,17,LL_V4,20005,heldout,absolute macro-AUROC,fraction,0.8927418001240823,0.8858519537991872,0.8984487534801351,0.8992305945121416,0.006889846324895088,-0.0007818410320065139,0.007671687356901602
resnet,5,17,RA,20001,heldout,absolute macro-AUROC,fraction,0.8893654208379221,0.8894302221826245,0.8993235834051749,0.8980568232163229,-6.480134470232546e-05,0.0012667601888520785,-0.001331561533554404
resnet,5,17,RA,20002,heldout,absolute macro-AUROC,fraction,0.8931586447183003,0.8915908230939559,0.8973894774270201,0.8976576634889402,0.0015678216243444343,-0.00026818606192002825,0.0018360076862644625
