architecture,snr_db,combo_set,metric,unit,n_records,n_patients,n_heldout_combinations,n_noise_bases,M_EE,M_IE,M_EI,M_II,g_E,g_I,gamma,seed_values,seed_sd,patient_ci_low,patient_ci_high,n_draws,n_valid_draws,n_invalid_draws,source_status
resnet,5,heldout,absolute macro-AUROC,fraction,2158,1877,10,5,0.8940362048955487,0.8909931679488754,0.8983538446419143,0.8974950668710848,0.0030430369466736135,0.0008587777708296392,0.002184259175843975,"{""17"": 0.0025496570992823765, ""29"": 0.004644888020896913, ""43"": 0.0023123724095943567, ""101"": 0.0008542792458480686, ""202"": 0.0005600991035981573}",0.0016287545480129203,0.0016373228961753883,0.002730181130104318,2000,2000,0,P0-COMPLETE
resnet,15,heldout,absolute macro-AUROC,fraction,2158,1877,10,5,0.9080303132339586,0.9069865422179632,0.9082452685239168,0.9075462683714205,0.001043771015995476,0.000699000152496152,0.0003447708634993241,"{""17"": 0.0006811641467095697, ""29"": 0.0005612454425083735, ""43"": 0.0004513030034388077, ""101"": 8.15195719442796e-05, ""202"": -5.137784710441018e-05}",0.00031527996471572675,0.000161212210573539,0.0005511029658474931,2000,2000,0,P0-COMPLETE
tcn,5,heldout,absolute macro-AUROC,fraction,2158,1877,10,5,0.908441598558724,0.9068486174118483,0.9115717494113055,0.9123829867803976,0.0015929811468755467,-0.0008112373690922143,0.0024042185159677608,"{""17"": 0.0015578764462434137, ""29"": 0.0026831484854912247, ""43"": 0.002012593428681464, ""101"": 0.002689549559606268, ""202"": 0.0030779246598164355}",0.0006088433313667282,0.0019799043859699025,0.0028665551942264112,2000,2000,0,P0-COMPLETE
tcn,15,heldout,absolute macro-AUROC,fraction,2158,1877,10,5,0.9164258385272849,0.9169408367150351,0.9166572943117636,0.9172113444067318,-0.0005149981877504456,-0.0005540500949681459,3.9051907217700245e-05,"{""17"": 0.00010094183886953934, ""29"": 0.00010296127745744065, ""43"": 8.00451815251857e-05, ""101"": -7.651997710724112e-05, ""202"": -1.2168784656423348e-05}",7.99619276675466e-05,-4.7287617519060886e-05,0.00012587447104437074,2000,2000,0,P0-COMPLETE
