model,strategy,group_id,kind,combo_set,combo_id,condition,snr,metric,outcome,n_seeds,mean,std,ci95_low,ci95_high,n_expected,n_undefined
resnet,clean_only,clean,clean,clean,none,clean,100,auroc_STTC,retention,5,0.999999999998916,5.551115123125783e-15,0.9999999999989092,0.999999999998923,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,brier,absolute,5,0.0961674273014068,0.002419581613015,0.0931631199218102,0.0991717346810034,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,clean_agreement,absolute,5,1.0,0.0,1.0,1.0,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,ece,absolute,5,0.0447813675974851,0.0076459322506754,0.0352876887891164,0.0542750464058539,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,f1_CD,absolute,5,0.7073875457189718,0.005572476061204,0.7004684028129223,0.7143066886250212,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,f1_CD,clean_cost,5,0.0,0.0,0.0,0.0,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,f1_CD,drop,5,0.0,0.0,0.0,0.0,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,f1_CD,retention,5,0.9999999999985864,1.1192210017277948e-14,0.9999999999985724,0.9999999999986002,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,f1_HYP,absolute,5,0.5950397397467462,0.0235785614485202,0.5657630888666834,0.624316390626809,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,f1_HYP,clean_cost,5,0.0,0.0,0.0,0.0,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,f1_HYP,drop,5,0.0,0.0,0.0,0.0,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,f1_HYP,retention,5,0.9999999999983176,6.441051953433183e-14,0.9999999999982376,0.9999999999983974,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,f1_MI,absolute,5,0.6891739070250942,0.0139179111460499,0.671892537824845,0.7064552762253433,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,f1_MI,clean_cost,5,0.0,0.0,0.0,0.0,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,f1_MI,drop,5,0.0,0.0,0.0,0.0,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,f1_MI,retention,5,0.9999999999985484,2.9096899475526534e-14,0.9999999999985124,0.9999999999985846,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,f1_NORM,absolute,5,0.8442260829092378,0.0039342755426083,0.8393410346089674,0.8491111312095083,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,f1_NORM,clean_cost,5,0.0,0.0,0.0,0.0,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,f1_NORM,drop,5,0.0,0.0,0.0,0.0,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,f1_NORM,retention,5,0.9999999999988156,5.5305378585432655e-15,0.9999999999988086,0.9999999999988224,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,f1_STTC,absolute,5,0.7437628618495363,0.0151868669832346,0.7249058758709443,0.7626198478281283,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,f1_STTC,clean_cost,5,0.0,0.0,0.0,0.0,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,f1_STTC,drop,5,0.0,0.0,0.0,0.0,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,f1_STTC,retention,5,0.999999999998655,2.7420373580842308e-14,0.9999999999986208,0.999999999998689,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,macro_ap,absolute,5,0.7836476566774796,0.0060085495073421,0.7761870570727879,0.7911082562821713,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,macro_ap,clean_cost,5,0.0,0.0,0.0,0.0,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,macro_ap,drop,5,0.0,0.0,0.0,0.0,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,macro_ap,retention,5,0.999999999998724,9.800666287267984e-15,0.9999999999987116,0.999999999998736,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,macro_auroc,absolute,5,0.9071515636485158,0.0019141409616692,0.904774843728924,0.9095282835681076,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,macro_auroc,clean_cost,5,0.0,0.0,0.0,0.0,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,macro_auroc,drop,5,0.0,0.0,0.0,0.0,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,macro_auroc,retention,5,0.9999999999988975,2.329484966962757e-15,0.9999999999988948,0.9999999999989004,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,macro_f1,absolute,5,0.7159180274499172,0.004825756069951,0.7099260598737456,0.7219099950260888,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,macro_f1,clean_cost,5,0.0,0.0,0.0,0.0,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,macro_f1,drop,5,0.0,0.0,0.0,0.0,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,macro_f1,retention,5,0.9999999999986032,9.366756311688131e-15,0.9999999999985916,0.9999999999986148,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,macro_npv,absolute,5,0.9193067707562323,0.0029701284725018,0.915618869161887,0.922994672350578,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,macro_npv,clean_cost,5,0.0,0.0,0.0,0.0,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,macro_npv,drop,5,0.0,0.0,0.0,0.0,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,macro_npv,retention,5,0.9999999999989124,3.5379378025286878e-15,0.999999999998908,0.9999999999989168,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,macro_ppv,absolute,5,0.7022056316125092,0.0089385748696954,0.6911069250015593,0.713304338223459,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,macro_ppv,clean_cost,5,0.0,0.0,0.0,0.0,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,macro_ppv,drop,5,0.0,0.0,0.0,0.0,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,macro_ppv,retention,5,0.9999999999985756,1.8158511294451943e-14,0.9999999999985532,0.9999999999985982,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,macro_sensitivity,absolute,5,0.7380522618938418,0.0123052835610623,0.722773234308382,0.7533312894793015,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,macro_sensitivity,clean_cost,5,0.0,0.0,0.0,0.0,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,macro_sensitivity,drop,5,0.0,0.0,0.0,0.0,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,macro_sensitivity,retention,5,0.9999999999986448,2.2647325158560438e-14,0.9999999999986168,0.999999999998673,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,macro_specificity,absolute,5,0.8891568500993028,0.002943653210598,0.8855018218845063,0.8928118783140992,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,macro_specificity,clean_cost,5,0.0,0.0,0.0,0.0,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,macro_specificity,drop,5,0.0,0.0,0.0,0.0,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,macro_specificity,retention,5,0.9999999999988752,3.730828446079427e-15,0.9999999999988708,0.99999999999888,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,micro_ap,absolute,5,0.8171883724078137,0.0068945098635661,0.8086277077249628,0.8257490370906646,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,micro_ap,clean_cost,5,0.0,0.0,0.0,0.0,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,micro_ap,drop,5,0.0,0.0,0.0,0.0,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,micro_ap,retention,5,0.9999999999987764,1.036796143357058e-14,0.9999999999987634,0.9999999999987892,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,micro_auroc,absolute,5,0.916796194034182,0.00321896809587,0.9127993172381734,0.9207930708301904,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,micro_auroc,clean_cost,5,0.0,0.0,0.0,0.0,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,micro_auroc,drop,5,0.0,0.0,0.0,0.0,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,micro_auroc,retention,5,0.9999999999989092,3.842719098451748e-15,0.9999999999989044,0.999999999998914,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,micro_f1,absolute,5,0.7490361344002492,0.0045290893797667,0.7434125271727458,0.7546597416277526,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,micro_f1,clean_cost,5,0.0,0.0,0.0,0.0,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,micro_f1,drop,5,0.0,0.0,0.0,0.0,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,micro_f1,retention,5,0.9999999999986648,8.047968340004855e-15,0.9999999999986549,0.9999999999986748,5,0
resnet,clean_only,clean,clean,clean,none,clean,100,probability_shift,absolute,5,0.0,0.0,0.0,0.0,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,ap_CD,absolute,5,0.7866035377870646,0.0063302020662515,0.7787435537800449,0.7944635217940843,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,ap_CD,clean_cost,5,0.0,0.0,0.0,0.0,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,ap_CD,drop,5,0.01961074996992,0.006017241506513,0.0121393578227854,0.0270821421170547,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,ap_CD,retention,5,0.9756928715812409,0.0073712692075918,0.966540231985106,0.9848455111773756,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,ap_HYP,absolute,5,0.6187047132084281,0.0208503150836133,0.5928156276179004,0.6445937987989558,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,ap_HYP,clean_cost,5,0.0,0.0,0.0,0.0,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,ap_HYP,drop,5,0.0212943145562514,0.0119154568673217,0.0064993207419482,0.0360893083705546,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,ap_HYP,retention,5,0.9666624377739153,0.0188560971733105,0.9432495007671838,0.9900753747806468,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,ap_MI,absolute,5,0.7235839634514131,0.0250323853653493,0.6925021517540959,0.7546657751487302,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,ap_MI,clean_cost,5,0.0,0.0,0.0,0.0,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,ap_MI,drop,5,0.0395856252010318,0.0101010990397311,0.027043454181107,0.0521277962209566,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,ap_MI,retention,5,0.947962763096808,0.0141567988262033,0.930384775664498,0.965540750529118,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,ap_NORM,absolute,5,0.8816745658614529,0.0085642173345593,0.8710406855243379,0.8923084461985679,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,ap_NORM,clean_cost,5,0.0,0.0,0.0,0.0,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,ap_NORM,drop,5,0.0225538421034535,0.0046016898494137,0.0168400894865367,0.0282675947203702,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,ap_NORM,retention,5,0.975051740369036,0.0051273045484978,0.9686853509033398,0.981418129834732,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,ap_STTC,absolute,5,0.7633927858167657,0.0150432193218425,0.7447141619677505,0.7820714096657809,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,ap_STTC,clean_cost,5,0.0,0.0,0.0,0.0,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,ap_STTC,drop,5,0.0412341854316159,0.0062529559707074,0.0334701151204352,0.0489982557427966,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,ap_STTC,retention,5,0.9487507211113286,0.0077622155966336,0.9391126574586928,0.9583887847639644,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,auroc_CD,absolute,5,0.8857398914541361,0.003304127599365,0.8816372751685331,0.8898425077397392,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,auroc_CD,clean_cost,5,0.0,0.0,0.0,0.0,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,auroc_CD,drop,5,0.013073479533015,0.0047351577828766,0.0071940045882027,0.0189529544778272,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,auroc_CD,retention,5,0.9854661384516012,0.0052133903636175,0.978992859328515,0.9919394175746876,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,auroc_HYP,absolute,5,0.8802289089928174,0.0060593315649829,0.8727052551353983,0.8877525628502364,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,auroc_HYP,clean_cost,5,0.0,0.0,0.0,0.0,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,auroc_HYP,drop,5,0.0129028750764968,0.0051969382592564,0.0064500239390903,0.0193557262139033,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,auroc_HYP,retention,5,0.9855533888359632,0.0058298383333608,0.9783146884620808,0.9927920892098456,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,auroc_MI,absolute,5,0.8640566802351877,0.0153273281075376,0.8450252887354015,0.8830880717349738,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,auroc_MI,clean_cost,5,0.0,0.0,0.0,0.0,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,auroc_MI,drop,5,0.0254439981908638,0.008062624875768,0.0154329271516006,0.0354550692301271,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,auroc_MI,retention,5,0.9713662484098412,0.0091797535589736,0.9599680789032808,0.9827644179164016,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,auroc_NORM,absolute,5,0.9168610930799412,0.0036072413304102,0.9123821113871382,0.9213400747727444,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,auroc_NORM,clean_cost,5,0.0,0.0,0.0,0.0,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,auroc_NORM,drop,5,0.0148653371394308,0.0021059679828159,0.0122504325137984,0.0174802417650632,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,auroc_NORM,retention,5,0.9840459076810824,0.0022560884455769,0.981244603881446,0.9868472114807187,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,auroc_STTC,absolute,5,0.9004840088312852,0.0072871946130936,0.8914357616323024,0.909532256030268,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,auroc_STTC,clean_cost,5,0.0,0.0,0.0,0.0,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,auroc_STTC,drop,5,0.0221015457094045,0.0057102974448144,0.0150112749531435,0.0291918164656656,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,auroc_STTC,retention,5,0.9760442831103436,0.0062101296076467,0.9683333887523492,0.983755177468338,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,brier,absolute,5,0.1124463331848382,0.0076322617824276,0.1029696285047312,0.1219230378649452,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,clean_agreement,absolute,5,0.9114559777571826,0.0121228881880507,0.8964034239398303,0.9265085315745348,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,ece,absolute,5,0.0707601983316223,0.0145049808064424,0.052749885869626,0.0887705107936185,5,0
resnet,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,f1_CD,absolute,5,0.6906354438888725,0.0054154522169198,0.6839112718371304,0.6973596159406147,5,0
