model,strategy,group_id,kind,combo_set,combo_id,condition,snr,seed,noise_seed,outcome,metric,value
resnet,independent_rms,primary_joint,bandpass,heldout,aggregate,electrode,-1,17,20003,retention,macro_auroc,0.9889781421854489
resnet,independent_rms,primary_joint,bandpass,heldout,aggregate,electrode,-1,17,20004,retention,macro_auroc,0.9881643590571249
resnet,independent_rms,primary_joint,bandpass,heldout,aggregate,electrode,-1,17,20005,retention,macro_auroc,0.9893938987106933
resnet,independent_rms,primary_joint,bandpass,heldout,aggregate,electrode,-1,29,20001,retention,macro_auroc,0.9876735876395121
resnet,independent_rms,primary_joint,bandpass,heldout,aggregate,electrode,-1,29,20002,retention,macro_auroc,0.9871680926067764
resnet,independent_rms,primary_joint,bandpass,heldout,aggregate,electrode,-1,29,20003,retention,macro_auroc,0.9877874190513746
resnet,independent_rms,primary_joint,bandpass,heldout,aggregate,electrode,-1,29,20004,retention,macro_auroc,0.988806211322436
resnet,independent_rms,primary_joint,bandpass,heldout,aggregate,electrode,-1,29,20005,retention,macro_auroc,0.9883747022948778
resnet,independent_rms,primary_joint,bandpass,heldout,aggregate,electrode,-1,43,20001,retention,macro_auroc,0.9904112263364515
resnet,independent_rms,primary_joint,bandpass,heldout,aggregate,electrode,-1,43,20002,retention,macro_auroc,0.9901150750279077
resnet,independent_rms,primary_joint,bandpass,heldout,aggregate,electrode,-1,43,20003,retention,macro_auroc,0.9896564951460101
resnet,independent_rms,primary_joint,bandpass,heldout,aggregate,electrode,-1,43,20004,retention,macro_auroc,0.9899743998194876
resnet,independent_rms,primary_joint,bandpass,heldout,aggregate,electrode,-1,43,20005,retention,macro_auroc,0.9901336043953165
resnet,independent_rms,primary_joint,bandpass,heldout,aggregate,electrode,-1,101,20001,retention,macro_auroc,0.9900764229097908
resnet,independent_rms,primary_joint,bandpass,heldout,aggregate,electrode,-1,101,20002,retention,macro_auroc,0.9914416866876953
resnet,independent_rms,primary_joint,bandpass,heldout,aggregate,electrode,-1,101,20003,retention,macro_auroc,0.9903572731319171
resnet,independent_rms,primary_joint,bandpass,heldout,aggregate,electrode,-1,101,20004,retention,macro_auroc,0.9905885664076693
resnet,independent_rms,primary_joint,bandpass,heldout,aggregate,electrode,-1,101,20005,retention,macro_auroc,0.990247844286384
resnet,independent_rms,primary_joint,bandpass,heldout,aggregate,electrode,-1,202,20001,retention,macro_auroc,0.9896629086663481
resnet,independent_rms,primary_joint,bandpass,heldout,aggregate,electrode,-1,202,20002,retention,macro_auroc,0.9898607119156401
resnet,independent_rms,primary_joint,bandpass,heldout,aggregate,electrode,-1,202,20003,retention,macro_auroc,0.9900999223786019
resnet,independent_rms,primary_joint,bandpass,heldout,aggregate,electrode,-1,202,20004,retention,macro_auroc,0.9905514093385653
resnet,independent_rms,primary_joint,bandpass,heldout,aggregate,electrode,-1,202,20005,retention,macro_auroc,0.9907603626741865
resnet,mixed,primary_joint,bandpass,heldout,aggregate,electrode,-1,17,20001,retention,macro_auroc,0.9930246983172514
resnet,mixed,primary_joint,bandpass,heldout,aggregate,electrode,-1,17,20002,retention,macro_auroc,0.9935873171152207
resnet,mixed,primary_joint,bandpass,heldout,aggregate,electrode,-1,17,20003,retention,macro_auroc,0.9936827690092112
resnet,mixed,primary_joint,bandpass,heldout,aggregate,electrode,-1,17,20004,retention,macro_auroc,0.9941992036441877
resnet,mixed,primary_joint,bandpass,heldout,aggregate,electrode,-1,17,20005,retention,macro_auroc,0.9939041768594942
resnet,mixed,primary_joint,bandpass,heldout,aggregate,electrode,-1,29,20001,retention,macro_auroc,0.9891903617025706
resnet,mixed,primary_joint,bandpass,heldout,aggregate,electrode,-1,29,20002,retention,macro_auroc,0.9883499148556071
resnet,mixed,primary_joint,bandpass,heldout,aggregate,electrode,-1,29,20003,retention,macro_auroc,0.9887265036681203
resnet,mixed,primary_joint,bandpass,heldout,aggregate,electrode,-1,29,20004,retention,macro_auroc,0.9890488683556226
resnet,mixed,primary_joint,bandpass,heldout,aggregate,electrode,-1,29,20005,retention,macro_auroc,0.9895659397493859
resnet,mixed,primary_joint,bandpass,heldout,aggregate,electrode,-1,43,20001,retention,macro_auroc,0.9919239018698717
resnet,mixed,primary_joint,bandpass,heldout,aggregate,electrode,-1,43,20002,retention,macro_auroc,0.9909176734916473
resnet,mixed,primary_joint,bandpass,heldout,aggregate,electrode,-1,43,20003,retention,macro_auroc,0.9913850807103278
resnet,mixed,primary_joint,bandpass,heldout,aggregate,electrode,-1,43,20004,retention,macro_auroc,0.9910510100258991
resnet,mixed,primary_joint,bandpass,heldout,aggregate,electrode,-1,43,20005,retention,macro_auroc,0.991743382206691
resnet,mixed,primary_joint,bandpass,heldout,aggregate,electrode,-1,101,20001,retention,macro_auroc,0.9892821840643332
resnet,mixed,primary_joint,bandpass,heldout,aggregate,electrode,-1,101,20002,retention,macro_auroc,0.9900594894645393
resnet,mixed,primary_joint,bandpass,heldout,aggregate,electrode,-1,101,20003,retention,macro_auroc,0.9892968922486526
resnet,mixed,primary_joint,bandpass,heldout,aggregate,electrode,-1,101,20004,retention,macro_auroc,0.9899269347804632
resnet,mixed,primary_joint,bandpass,heldout,aggregate,electrode,-1,101,20005,retention,macro_auroc,0.9895743880521993
resnet,mixed,primary_joint,bandpass,heldout,aggregate,electrode,-1,202,20001,retention,macro_auroc,0.9914914773085491
resnet,mixed,primary_joint,bandpass,heldout,aggregate,electrode,-1,202,20002,retention,macro_auroc,0.9914055368145263
resnet,mixed,primary_joint,bandpass,heldout,aggregate,electrode,-1,202,20003,retention,macro_auroc,0.9915665101327096
resnet,mixed,primary_joint,bandpass,heldout,aggregate,electrode,-1,202,20004,retention,macro_auroc,0.9913157749704395
resnet,mixed,primary_joint,bandpass,heldout,aggregate,electrode,-1,202,20005,retention,macro_auroc,0.9923868374368358
tcn,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,17,20001,retention,macro_auroc,0.9929787371216018
tcn,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,17,20002,retention,macro_auroc,0.9930139771254524
tcn,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,17,20003,retention,macro_auroc,0.9931057351496189
tcn,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,17,20004,retention,macro_auroc,0.993030617731918
tcn,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,17,20005,retention,macro_auroc,0.9926705610575293
tcn,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,29,20001,retention,macro_auroc,0.9897932625836124
tcn,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,29,20002,retention,macro_auroc,0.9894583074815974
tcn,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,29,20003,retention,macro_auroc,0.989814606314874
tcn,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,29,20004,retention,macro_auroc,0.9895756633126227
tcn,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,29,20005,retention,macro_auroc,0.9898898524184637
tcn,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,43,20001,retention,macro_auroc,0.9930587602159121
tcn,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,43,20002,retention,macro_auroc,0.9931730011939449
tcn,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,43,20003,retention,macro_auroc,0.9930631526169708
tcn,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,43,20004,retention,macro_auroc,0.9929265309378255
tcn,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,43,20005,retention,macro_auroc,0.9926666680024782
tcn,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,101,20001,retention,macro_auroc,0.9895594468154661
tcn,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,101,20002,retention,macro_auroc,0.989897069409004
tcn,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,101,20003,retention,macro_auroc,0.9897745968387835
tcn,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,101,20004,retention,macro_auroc,0.9898307722272207
tcn,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,101,20005,retention,macro_auroc,0.9894895051906575
tcn,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,202,20001,retention,macro_auroc,0.99195232236384
tcn,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,202,20002,retention,macro_auroc,0.9920157728152856
tcn,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,202,20003,retention,macro_auroc,0.9920749607832832
tcn,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,202,20004,retention,macro_auroc,0.9920452285137203
tcn,clean_only,primary_joint,bandpass,heldout,aggregate,electrode,-1,202,20005,retention,macro_auroc,0.9919555091597021
tcn,electrode,primary_joint,bandpass,heldout,aggregate,electrode,-1,17,20001,retention,macro_auroc,0.995420639355001
tcn,electrode,primary_joint,bandpass,heldout,aggregate,electrode,-1,17,20002,retention,macro_auroc,0.9955068579168966
tcn,electrode,primary_joint,bandpass,heldout,aggregate,electrode,-1,17,20003,retention,macro_auroc,0.9956437440130395
tcn,electrode,primary_joint,bandpass,heldout,aggregate,electrode,-1,17,20004,retention,macro_auroc,0.9954533664858688
tcn,electrode,primary_joint,bandpass,heldout,aggregate,electrode,-1,17,20005,retention,macro_auroc,0.9951268678242806
tcn,electrode,primary_joint,bandpass,heldout,aggregate,electrode,-1,29,20001,retention,macro_auroc,0.994524638240081
tcn,electrode,primary_joint,bandpass,heldout,aggregate,electrode,-1,29,20002,retention,macro_auroc,0.9942483009472339
tcn,electrode,primary_joint,bandpass,heldout,aggregate,electrode,-1,29,20003,retention,macro_auroc,0.994314370740321
tcn,electrode,primary_joint,bandpass,heldout,aggregate,electrode,-1,29,20004,retention,macro_auroc,0.9941604872774935
tcn,electrode,primary_joint,bandpass,heldout,aggregate,electrode,-1,29,20005,retention,macro_auroc,0.9944269175231165
tcn,electrode,primary_joint,bandpass,heldout,aggregate,electrode,-1,43,20001,retention,macro_auroc,0.9949659377205687
tcn,electrode,primary_joint,bandpass,heldout,aggregate,electrode,-1,43,20002,retention,macro_auroc,0.9948867441684105
tcn,electrode,primary_joint,bandpass,heldout,aggregate,electrode,-1,43,20003,retention,macro_auroc,0.9949418105280704
tcn,electrode,primary_joint,bandpass,heldout,aggregate,electrode,-1,43,20004,retention,macro_auroc,0.9946691060812106
tcn,electrode,primary_joint,bandpass,heldout,aggregate,electrode,-1,43,20005,retention,macro_auroc,0.9945176426633925
tcn,electrode,primary_joint,bandpass,heldout,aggregate,electrode,-1,101,20001,retention,macro_auroc,0.9950950089016534
tcn,electrode,primary_joint,bandpass,heldout,aggregate,electrode,-1,101,20002,retention,macro_auroc,0.9955202259587931
tcn,electrode,primary_joint,bandpass,heldout,aggregate,electrode,-1,101,20003,retention,macro_auroc,0.9956268315986055
tcn,electrode,primary_joint,bandpass,heldout,aggregate,electrode,-1,101,20004,retention,macro_auroc,0.9955164461718995
tcn,electrode,primary_joint,bandpass,heldout,aggregate,electrode,-1,101,20005,retention,macro_auroc,0.9950202996869167
tcn,electrode,primary_joint,bandpass,heldout,aggregate,electrode,-1,202,20001,retention,macro_auroc,0.9957509232801658
tcn,electrode,primary_joint,bandpass,heldout,aggregate,electrode,-1,202,20002,retention,macro_auroc,0.9958917325870602
tcn,electrode,primary_joint,bandpass,heldout,aggregate,electrode,-1,202,20003,retention,macro_auroc,0.9959350442810319
tcn,electrode,primary_joint,bandpass,heldout,aggregate,electrode,-1,202,20004,retention,macro_auroc,0.9956981498039269
tcn,electrode,primary_joint,bandpass,heldout,aggregate,electrode,-1,202,20005,retention,macro_auroc,0.9956146000690383
tcn,independent_rms,primary_joint,bandpass,heldout,aggregate,electrode,-1,17,20001,retention,macro_auroc,0.9948872981474416
tcn,independent_rms,primary_joint,bandpass,heldout,aggregate,electrode,-1,17,20002,retention,macro_auroc,0.9950149447317613
tcn,independent_rms,primary_joint,bandpass,heldout,aggregate,electrode,-1,17,20003,retention,macro_auroc,0.9951447671411557
