model,lhs,rhs,group_id,metric,outcome,level,seed,noise_seed,point,positive_seed_count,n_training_seeds,n_undefined,std,min,max,n_noise_seeds,positive_noise_count,negative_noise_count,zero_noise_count
resnet,electrode,independent_rms,primary_joint,macro_auroc,retention,seed_noise,101.0,20003.0,0.001157804729527978,,,,,,,,,,
resnet,electrode,independent_rms,primary_joint,macro_auroc,retention,seed_noise,101.0,20004.0,0.0012338296819847105,,,,,,,,,,
resnet,electrode,independent_rms,primary_joint,macro_auroc,retention,seed_noise,101.0,20005.0,0.0016662445055999342,,,,,,,,,,
resnet,electrode,independent_rms,primary_joint,macro_auroc,retention,seed_noise,202.0,20001.0,-0.0001358245001350511,,,,,,,,,,
resnet,electrode,independent_rms,primary_joint,macro_auroc,retention,seed_noise,202.0,20002.0,0.0007426388736967438,,,,,,,,,,
resnet,electrode,independent_rms,primary_joint,macro_auroc,retention,seed_noise,202.0,20003.0,-0.0007401945404216237,,,,,,,,,,
resnet,electrode,independent_rms,primary_joint,macro_auroc,retention,seed_noise,202.0,20004.0,7.933417601435622e-05,,,,,,,,,,
resnet,electrode,independent_rms,primary_joint,macro_auroc,retention,seed_noise,202.0,20005.0,0.0003989623021096733,,,,,,,,,,
resnet,electrode,independent_rms,primary_joint,macro_auroc,retention,noise,,20001.0,0.0014438811107512662,4.0,5.0,0.0,,,,,,,
resnet,electrode,independent_rms,primary_joint,macro_auroc,retention,noise,,20002.0,0.0013538570752944957,5.0,5.0,0.0,,,,,,,
resnet,electrode,independent_rms,primary_joint,macro_auroc,retention,noise,,20003.0,0.001025200059345921,4.0,5.0,0.0,,,,,,,
resnet,electrode,independent_rms,primary_joint,macro_auroc,retention,noise,,20004.0,0.0013762071561446154,5.0,5.0,0.0,,,,,,,
resnet,electrode,independent_rms,primary_joint,macro_auroc,retention,noise,,20005.0,0.001660802689313634,5.0,5.0,0.0,,,,,,,
resnet,electrode,independent_rms,primary_joint,macro_auroc,retention,summary,,,0.0013719896181699864,,,0.0,0.00022868698673956,0.001025200059345921,0.001660802689313634,5.0,5.0,0.0,0.0
resnet,mixed,electrode,primary_joint,macro_auroc,retention,seed_noise,17.0,20001.0,0.0034183501262443627,,,,,,,,,,
resnet,mixed,electrode,primary_joint,macro_auroc,retention,seed_noise,17.0,20002.0,0.00437010025909923,,,,,,,,,,
resnet,mixed,electrode,primary_joint,macro_auroc,retention,seed_noise,17.0,20003.0,0.004402512376823542,,,,,,,,,,
resnet,mixed,electrode,primary_joint,macro_auroc,retention,seed_noise,17.0,20004.0,0.00441507617144854,,,,,,,,,,
resnet,mixed,electrode,primary_joint,macro_auroc,retention,seed_noise,17.0,20005.0,0.0036643749512428325,,,,,,,,,,
resnet,mixed,electrode,primary_joint,macro_auroc,retention,seed_noise,29.0,20001.0,-0.0008073445267027246,,,,,,,,,,
resnet,mixed,electrode,primary_joint,macro_auroc,retention,seed_noise,29.0,20002.0,-0.0014984868113067096,,,,,,,,,,
resnet,mixed,electrode,primary_joint,macro_auroc,retention,seed_noise,29.0,20003.0,-0.0012169868623126412,,,,,,,,,,
resnet,mixed,electrode,primary_joint,macro_auroc,retention,seed_noise,29.0,20004.0,-0.0011245687247390945,,,,,,,,,,
resnet,mixed,electrode,primary_joint,macro_auroc,retention,seed_noise,29.0,20005.0,-0.0013008811118000452,,,,,,,,,,
resnet,mixed,electrode,primary_joint,macro_auroc,retention,seed_noise,43.0,20001.0,-0.0006182180406666404,,,,,,,,,,
resnet,mixed,electrode,primary_joint,macro_auroc,retention,seed_noise,43.0,20002.0,-0.00159028298863495,,,,,,,,,,
resnet,mixed,electrode,primary_joint,macro_auroc,retention,seed_noise,43.0,20003.0,-0.0005216186173083726,,,,,,,,,,
resnet,mixed,electrode,primary_joint,macro_auroc,retention,seed_noise,43.0,20004.0,-0.0015042675427725527,,,,,,,,,,
resnet,mixed,electrode,primary_joint,macro_auroc,retention,seed_noise,43.0,20005.0,-0.001291007063617844,,,,,,,,,,
resnet,mixed,electrode,primary_joint,macro_auroc,retention,seed_noise,101.0,20001.0,-0.002650818078901218,,,,,,,,,,
resnet,mixed,electrode,primary_joint,macro_auroc,retention,seed_noise,101.0,20002.0,-0.0021427252318192425,,,,,,,,,,
resnet,mixed,electrode,primary_joint,macro_auroc,retention,seed_noise,101.0,20003.0,-0.0022181856127925226,,,,,,,,,,
resnet,mixed,electrode,primary_joint,macro_auroc,retention,seed_noise,101.0,20004.0,-0.0018954613091908268,,,,,,,,,,
resnet,mixed,electrode,primary_joint,macro_auroc,retention,seed_noise,101.0,20005.0,-0.0023397007397846226,,,,,,,,,,
resnet,mixed,electrode,primary_joint,macro_auroc,retention,seed_noise,202.0,20001.0,0.001964393142336096,,,,,,,,,,
resnet,mixed,electrode,primary_joint,macro_auroc,retention,seed_noise,202.0,20002.0,0.0008021860251894442,,,,,,,,,,
resnet,mixed,electrode,primary_joint,macro_auroc,retention,seed_noise,202.0,20003.0,0.002206782294529308,,,,,,,,,,
resnet,mixed,electrode,primary_joint,macro_auroc,retention,seed_noise,202.0,20004.0,0.0006850314558598525,,,,,,,,,,
resnet,mixed,electrode,primary_joint,macro_auroc,retention,seed_noise,202.0,20005.0,0.0012275124605395371,,,,,,,,,,
resnet,mixed,electrode,primary_joint,macro_auroc,retention,noise,,20001.0,0.00026127252446197515,2.0,5.0,0.0,,,,,,,
resnet,mixed,electrode,primary_joint,macro_auroc,retention,noise,,20002.0,-1.1841749494445608e-05,2.0,5.0,0.0,,,,,,,
resnet,mixed,electrode,primary_joint,macro_auroc,retention,noise,,20003.0,0.0005305007157878627,2.0,5.0,0.0,,,,,,,
resnet,mixed,electrode,primary_joint,macro_auroc,retention,noise,,20004.0,0.00011516201012118366,2.0,5.0,0.0,,,,,,,
