model,group_id,kind,combo_set,combo_id,condition,snr,metric,outcome,lhs,rhs,n_seeds,point,sd,ci95_low,ci95_high,n_expected,n_undefined,positive_seed_count,negative_seed_count,zero_seed_count,dz,t_stat,p_raw,patient_ci95_low,patient_ci95_high
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_ap,retention,electrode,clean_only,5,0.08789324526971416,0.011241762651136565,0.07393475330944616,0.10185173722998217,5,0,5,0,0,7.818457656266918,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_ap,retention,mixed,clean_only,5,0.08932402146018219,0.026499156262520404,0.056420973146234725,0.12222706977412964,5,0,5,0,0,3.370825115157321,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_ap,retention,clean_only,independent_rms,5,-0.07420438698626546,0.015565444909201486,-0.09353143954604504,-0.054877334426485874,5,0,0,5,0,-4.767251268378436,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_ap,retention,electrode,independent_rms,5,0.013688858283448702,0.019618236524027124,-0.01067039971668198,0.03804811628357938,5,0,4,1,0,0.6977619148736172,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_ap,retention,mixed,independent_rms,5,0.015119634473916732,0.017795791717739626,-0.006976759421533328,0.03721602836936679,5,0,4,1,0,0.8496185341866423,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_ap,retention,mixed,electrode,5,0.0014307761904680306,0.024485102586623203,-0.028971494183667918,0.03183304656460398,5,0,2,3,0,0.058434559765728644,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_auroc,absolute,independent_rms,clean_only,5,0.041987525088650626,0.012022436589655674,0.02705969840458751,0.05691535177271374,5,0,5,0,0,3.492430571418232,,,0.0388336345023924,0.04547058595742439
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_auroc,absolute,electrode,clean_only,5,0.04944797263427612,0.010057693651271599,0.03695969652252959,0.061936248746022646,5,0,5,0,0,4.916432568815057,,,0.0452662755911903,0.053964737452289746
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_auroc,absolute,mixed,clean_only,5,0.048649918909724324,0.01711498257722032,0.027398861213705137,0.06990097660574351,5,0,5,0,0,2.842533943007125,,,0.04483872581741842,0.05285497218351148
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_auroc,absolute,clean_only,independent_rms,5,-0.041987525088650626,0.012022436589655674,-0.05691535177271374,-0.02705969840458751,5,0,0,5,0,-3.492430571418232,,,-0.04547058595742439,-0.0388336345023924
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_auroc,absolute,electrode,independent_rms,5,0.007460447545625493,0.006827939316871056,-0.0010175588860533158,0.0159384539773043,5,0,5,0,0,1.0926353031860698,,,0.0054822407828516275,0.009472632861124403
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_auroc,absolute,mixed,independent_rms,5,0.006662393821073698,0.008075013513980217,-0.0033640597442444256,0.01668884738639182,5,0,4,1,0,0.8250628694972634,,,0.0046523805177472845,0.0087934840742357
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_auroc,absolute,mixed,electrode,5,-0.0007980537245517949,0.008933012121612379,-0.011889853271475731,0.01029374582237214,5,0,2,3,0,-0.08933758442138427,,,-0.0026813340795497436,0.0010157956729489345
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_auroc,clean_cost,independent_rms,clean_only,5,-0.0013641168413217387,0.0011314152816524813,-0.002768954463567199,4.072078092372169e-05,5,0,0,5,0,-1.2056729862525692,,,-0.0026786064290873005,-1.1461742956368436e-06
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_auroc,clean_cost,electrode,clean_only,5,-0.0021684056865215904,0.0020839449585853182,-0.004755965115835219,0.0004191537427920382,5,0,0,5,0,-1.0405292508270507,,,-0.0037829514872234197,-0.0005739891166074151
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_auroc,clean_cost,mixed,clean_only,5,-0.0009681935738607983,0.0015849270125903136,-0.0029361403851748385,0.0009997532374532419,5,0,2,3,0,-0.6108758107910839,,,-0.0026568825400862407,0.0005306350351631704
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_auroc,clean_cost,clean_only,independent_rms,5,0.0013641168413217387,0.0011314152816524813,-4.072078092372169e-05,0.002768954463567199,5,0,5,0,0,1.2056729862525692,,,1.1461742956364635e-06,0.0026786064290873
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_auroc,clean_cost,electrode,independent_rms,5,-0.000804288845199852,0.0011024691600133346,-0.002173185110318357,0.000564607419918653,5,0,1,4,0,-0.7295340988859261,,,-0.0023436788277328155,0.0007233974629445087
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_auroc,clean_cost,mixed,independent_rms,5,0.0003959232674609403,0.0014670422251957056,-0.0014256502474093097,0.0022174967823311905,5,0,2,3,0,0.2698785765407151,,,-0.0011466594375088885,0.0017975624231568624
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_auroc,clean_cost,mixed,electrode,5,0.0012002121126607924,0.001922173899398594,-0.00118648201650939,0.0035869062418309745,5,0,4,1,0,0.6244035011797384,,,-0.00046000293995495376,0.0028271981982456334
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_auroc,drop,independent_rms,clean_only,5,-0.040623408247328886,0.011035235427369897,-0.054325462789196845,-0.026921353705460928,5,0,0,5,0,-3.681245272445532,,,-0.043854896704758735,-0.03749273499485441
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_auroc,drop,electrode,clean_only,5,-0.04727956694775452,0.008406971579743322,-0.057718200892244054,-0.03684093300326499,5,0,0,5,0,-5.623852358639476,,,-0.05160990102484321,-0.043241643604053345
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_auroc,drop,mixed,clean_only,5,-0.047681725335863526,0.01717868703903974,-0.06901188256864883,-0.02635156810307822,5,0,0,5,0,-2.7756326911075067,,,-0.05166271021192232,-0.0437532263093618
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_auroc,drop,clean_only,independent_rms,5,0.040623408247328886,0.011035235427369897,0.026921353705460928,0.054325462789196845,5,0,5,0,0,3.681245272445532,,,0.03749273499485441,0.043854896704758735
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_auroc,drop,electrode,independent_rms,5,-0.006656158700425641,0.006604535440135207,-0.014856772581302392,0.0015444551804511117,5,0,1,4,0,-1.0078163348139104,,,-0.008768559408441458,-0.004650645165296873
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_auroc,drop,mixed,independent_rms,5,-0.007058317088534638,0.00903056577260215,-0.01827124549178591,0.004154611314716634,5,0,1,4,0,-0.7816029766317498,,,-0.00913835233993025,-0.0048928253116362385
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_auroc,drop,mixed,electrode,5,-0.0004021583881089974,0.010750033627769622,-0.013750088123190366,0.012945771346972371,5,0,2,3,0,-0.03740996559025981,,,-0.0023987213984737457,0.0015785190523118762
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_auroc,retention,independent_rms,clean_only,5,0.04489284305065457,0.012307885214982491,0.029610585085186387,0.06017510101612276,5,0,5,0,0,3.6474863281960204,,,0.04144221050184508,0.048411611421021974
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_auroc,retention,electrode,clean_only,5,0.0522743619799088,0.009474824023642366,0.04050981410043592,0.06403890985938168,5,0,5,0,0,5.517185527611857,,,0.04780726323665457,0.05707724446621961
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_auroc,retention,mixed,clean_only,5,0.052650486839020336,0.019006580146231477,0.02905070054247023,0.07625027313557044,5,0,5,0,0,2.7701188974524484,,,0.048365505665544074,0.057008340622002995
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_auroc,retention,clean_only,independent_rms,5,-0.04489284305065457,0.012307885214982491,-0.06017510101612276,-0.029610585085186387,5,0,0,5,0,-3.6474863281960204,,,-0.048411611421021974,-0.04144221050184508
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_auroc,retention,electrode,independent_rms,5,0.0073815189292542275,0.007277601905935922,-0.0016548173506055214,0.016417855209113978,5,0,4,1,0,1.0142790200208047,,,0.005190848722954769,0.009661043234276913
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_auroc,retention,mixed,independent_rms,5,0.007757643788365765,0.009878207179353537,-0.004507770433035499,0.02002305800976703,5,0,4,1,0,0.7853291237482884,,,0.005410357831039406,0.009981333984002116
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_auroc,retention,mixed,electrode,5,0.00037612485911153737,0.0117188630527271,-0.01417476549333999,0.014927015211563064,5,0,3,2,0,0.032095678345179506,,,-0.0017464522992734406,0.002520908660918658
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_f1,absolute,independent_rms,clean_only,5,0.136407865332892,0.056558273755299315,0.06618149301038391,0.20663423765540012,5,0,5,0,0,2.411810974342389,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_f1,absolute,electrode,clean_only,5,0.15308364761245613,0.03740855647840755,0.10663478980844521,0.19953250541646705,5,0,5,0,0,4.092209430770657,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_f1,absolute,mixed,clean_only,5,0.16102186064023885,0.045837654733389376,0.1041068949956948,0.2179368262847829,5,0,5,0,0,3.5128730205942715,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_f1,absolute,clean_only,independent_rms,5,-0.136407865332892,0.056558273755299315,-0.20663423765540012,-0.06618149301038391,5,0,0,5,0,-2.411810974342389,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_f1,absolute,electrode,independent_rms,5,0.016675782279564122,0.0205115100742105,-0.008792621328376923,0.04214418588750517,5,0,4,1,0,0.8129963234901408,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_f1,absolute,mixed,independent_rms,5,0.024613995307346825,0.019308920008024786,0.0006388044891860664,0.04858918612550758,5,0,4,1,0,1.2747473860328413,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_f1,absolute,mixed,electrode,5,0.007938213027782703,0.019912612042863348,-0.016786560456039473,0.032662986511604875,5,0,3,2,0,0.39865252286817626,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_f1,clean_cost,independent_rms,clean_only,5,-0.0034594066400893244,0.0037038133513024917,-0.008058298334468068,0.0011394850542894193,5,0,0,5,0,-0.9340121415332069,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_f1,clean_cost,electrode,clean_only,5,-0.0046273747350235265,0.003025421163205599,-0.008383931272779682,-0.0008708181972673723,5,0,0,5,0,-1.5294977080548249,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_f1,clean_cost,mixed,clean_only,5,-0.0029015264970434274,0.0033746470504640446,-0.007091704246249161,0.0012886512521623054,5,0,1,4,0,-0.8598014706884506,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_f1,clean_cost,clean_only,independent_rms,5,0.0034594066400893244,0.0037038133513024917,-0.0011394850542894193,0.008058298334468068,5,0,5,0,0,0.9340121415332069,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_f1,clean_cost,electrode,independent_rms,5,-0.001167968094934202,0.0026522933122002813,-0.004461225213369914,0.0021252890235015096,5,0,2,3,0,-0.4403615880497329,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_f1,clean_cost,mixed,independent_rms,5,0.0005578801430458968,0.0029659048560105048,-0.003124777138760073,0.004240537424851866,5,0,3,2,0,0.18809778807143263,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_f1,clean_cost,mixed,electrode,5,0.0017258482379800988,0.0017153686920269684,-0.0004040633105556722,0.00385575978651587,5,0,5,0,0,1.00610920905916,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_f1,drop,independent_rms,clean_only,5,-0.1329484586928027,0.05493527788654546,-0.2011596154758457,-0.0647373019097597,5,0,0,5,0,-2.420092585448884,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_f1,drop,electrode,clean_only,5,-0.14845627287743263,0.03464247695213277,-0.19147058931749963,-0.10544195643736562,5,0,0,5,0,-4.285382742191387,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_f1,drop,mixed,clean_only,5,-0.15812033414319543,0.043120395220257596,-0.21166137647650707,-0.10457929180988379,5,0,0,5,0,-3.666950020646189,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_f1,drop,clean_only,independent_rms,5,0.1329484586928027,0.05493527788654546,0.0647373019097597,0.2011596154758457,5,0,5,0,0,2.420092585448884,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_f1,drop,electrode,independent_rms,5,-0.01550781418462992,0.021399438014958642,-0.042078725949597134,0.011063097580337296,5,0,1,4,0,-0.7246832451295985,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_f1,drop,mixed,independent_rms,5,-0.025171875450392723,0.020568270846196075,-0.05071075686541851,0.0003670059646330645,5,0,1,4,0,-1.2238206915214773,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_f1,drop,mixed,electrode,5,-0.009664061265762802,0.019985208031275882,-0.03447897457481083,0.015150852043285232,5,0,2,3,0,-0.4835607040286503,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_f1,retention,independent_rms,clean_only,5,0.18682792382603103,0.07798103591340744,0.09000167898971805,0.283654168662344,5,0,5,0,0,2.3958122848417984,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_f1,retention,electrode,clean_only,5,0.20850773550386265,0.05003627613955496,0.14637949281719512,0.2706359781905302,5,0,5,0,0,4.1671313613011245,,,,
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_f1,retention,mixed,clean_only,5,0.22168377580971388,0.06209519413931794,0.14458240878544926,0.2987851428339785,5,0,5,0,0,3.5700633339246837,,,,
