model,lhs,rhs,group_id,metric,outcome,n_seeds,point,sd,ci95_low,ci95_high,n_expected,n_undefined,positive_seed_count,negative_seed_count,zero_seed_count,dz,t_stat,p_raw,p_holm,patient_ci95_low,patient_ci95_high,patient_n_valid,patient_n_invalid,confirmatory,stage
resnet,electrode,clean_only,primary_joint,macro_auroc,retention,5,0.010375595201738096,0.004351072733562434,0.004973024834907573,0.01577816556856862,5,0,5,0,0,2.384606242434172,5.332141657653152,0.00595667286384193,0.02978336431920965,0.008877435471235044,0.011922971343079859,2000,0,True,full
resnet,electrode,independent_rms,primary_joint,macro_auroc,retention,5,0.0013719896181698886,0.000985152350795706,0.00014876141144105274,0.0025952178248987243,5,0,5,0,0,1.3926674560150363,3.1140991017013198,0.03572988941977677,0.10718966825933031,0.0006599079878401165,0.002098799685686395,2000,0,True,full
resnet,mixed,electrode,primary_joint,macro_auroc,retention,5,0.00017743064003872266,0.002543176357978328,-0.0029803398847459413,0.0033352011648233866,5,0,2,3,0,0.0697673362219242,0.15600450640130586,0.8835860961904086,0.8835860961904086,-0.0005750231739430733,0.0009128209770649477,2000,0,True,full
tcn,electrode,clean_only,primary_joint,macro_auroc,retention,5,0.0036664830577075812,0.0015570779027773726,0.0017331154834302931,0.005599850631984869,5,0,5,0,0,2.3547203715161875,5.2653148187137555,0.006231942684299229,0.02978336431920965,0.0027874788506459915,0.004629226158862687,2000,0,True,full
tcn,electrode,independent_rms,primary_joint,macro_auroc,retention,5,0.0011383999723737714,0.0004205346190051675,0.0006162372759567174,0.0016605626687908252,5,0,5,0,0,2.7070303393019417,6.053103855833463,0.003759059595875248,0.02255435757525149,0.0007503302836338905,0.0015584719298618428,2000,0,True,full
tcn,mixed,electrode,primary_joint,macro_auroc,retention,5,-0.0003336904013935049,0.00031719730146236307,-0.0007275428709467081,6.016206815969826e-05,5,0,1,4,0,-1.0519963437743773,-2.3523353367607456,0.07831533321151499,0.15663066642302997,-0.0004786850630037892,-0.00018741653406823274,2000,0,True,full
