kind,condition,frequency,power
bandpass,independent,0.0,1.1493850171088455e-05
bandpass,independent,0.390625,6.235898521001566e-05
bandpass,independent,0.78125,0.00012099463652472388
bandpass,independent,1.171875,0.00012914212622418237
bandpass,independent,1.5625,0.00012779715414406255
bandpass,independent,1.953125,0.00013104918712565397
bandpass,independent,2.34375,0.00012451693385219295
bandpass,independent,2.734375,0.00012601330991853454
bandpass,independent,3.125,0.00013036118054767252
bandpass,independent,3.515625,0.0001264271333657057
bandpass,independent,3.90625,0.00012564389828866664
bandpass,independent,4.296875,0.00012850141048245133
bandpass,independent,4.6875,0.00012759286026249613
bandpass,independent,5.078125,0.00012737784542425333
bandpass,independent,5.46875,0.00012673853191626984
bandpass,independent,5.859375,0.00012681926374058625
bandpass,independent,6.25,0.00012440088841576295
bandpass,independent,6.640625,0.00012489037708893268
bandpass,independent,7.03125,0.00012883439285229427
bandpass,independent,7.421875,0.00012988971428803015
bandpass,independent,7.8125,0.00012185951465731401
bandpass,independent,8.203125,0.00012224440477590396
bandpass,independent,8.59375,0.00012800055446894306
bandpass,independent,8.984375,0.00012602056246760403
bandpass,independent,9.375,0.00012479970839420572
bandpass,independent,9.765625,0.00012542117180033531
bandpass,independent,10.15625,0.00012496709780090097
bandpass,independent,10.546875,0.00012922483713190969
bandpass,independent,10.9375,0.0001294212191682518
bandpass,independent,11.328125,0.00012625119994098908
bandpass,independent,11.71875,0.00012789918915734864
bandpass,independent,12.109375,0.00013004626019203204
bandpass,independent,12.5,0.00012774923136943278
bandpass,independent,12.890625,0.00012443947556038025
bandpass,independent,13.28125,0.00012617351518125905
bandpass,independent,13.671875,0.00012641766781706668
bandpass,independent,14.0625,0.0001252375019140509
bandpass,independent,14.453125,0.00012684237305739935
bandpass,independent,14.84375,0.00012805671842664764
bandpass,independent,15.234375,0.00012857171414264472
bandpass,independent,15.625,0.00012905701089143594
bandpass,independent,16.015625,0.00013485613334111117
bandpass,independent,16.40625,0.00012950162708101298
bandpass,independent,16.796875,0.00012829250282116322
bandpass,independent,17.1875,0.00013108301978329438
bandpass,independent,17.578125,0.00013195892909862163
bandpass,independent,17.96875,0.0001261113057291168
bandpass,independent,18.359375,0.00012656212090393922
bandpass,independent,18.75,0.0001240943632425288
bandpass,independent,19.140625,0.0001280260452452461
bandpass,independent,19.53125,0.00012801799221528177
bandpass,independent,19.921875,0.00012713961927416078
bandpass,independent,20.3125,0.00012735725657313587
bandpass,independent,20.703125,0.00012401599738993407
bandpass,independent,21.09375,0.0001254188939569917
bandpass,independent,21.484375,0.00012839151584192326
bandpass,independent,21.875,0.00012671172754165236
bandpass,independent,22.265625,0.00012714732077478099
bandpass,independent,22.65625,0.00012630792183417744
bandpass,independent,23.046875,0.00012831597134909626
bandpass,independent,23.4375,0.00012585989446252827
bandpass,independent,23.828125,0.0001259841940897901
bandpass,independent,24.21875,0.00012662152024023993
bandpass,independent,24.609375,0.00012583701424061474
bandpass,independent,25.0,0.00012609820083685303
bandpass,independent,25.390625,0.00012202099927553888
bandpass,independent,25.78125,0.00013006736139008863
bandpass,independent,26.171875,0.0001286524812753172
bandpass,independent,26.5625,0.0001318440501368731
bandpass,independent,26.953125,0.00012845780951713817
bandpass,independent,27.34375,0.00012659650211172175
bandpass,independent,27.734375,0.0001278950608149674
bandpass,independent,28.125,0.0001264201139401337
bandpass,independent,28.515625,0.00012992845554347785
bandpass,independent,28.90625,0.00012665113577354356
bandpass,independent,29.296875,0.00012492636410853082
bandpass,independent,29.6875,0.00012389784872062396
bandpass,independent,30.078125,0.00012657001350076954
bandpass,independent,30.46875,0.0001272154588164767
bandpass,independent,30.859375,0.00012616030705108703
bandpass,independent,31.25,0.00012522017866714095
bandpass,independent,31.640625,0.00012614156441484523
bandpass,independent,32.03125,0.0001284347383822355
bandpass,independent,32.421875,0.00012893451157926968
bandpass,independent,32.8125,0.00012731523349408043
bandpass,independent,33.203125,0.00012509449386853056
bandpass,independent,33.59375,0.00012701142083437517
bandpass,independent,33.984375,0.0001268863694394654
bandpass,independent,34.375,0.0001266344054149165
bandpass,independent,34.765625,0.00012791033012211626
bandpass,independent,35.15625,0.00012620380050365555
bandpass,independent,35.546875,0.00013018599626612
bandpass,independent,35.9375,0.0001284835708569547
bandpass,independent,36.328125,0.0001229344255784129
bandpass,independent,36.71875,0.0001258859735923147
bandpass,independent,37.109375,0.00012931495472889046
bandpass,independent,37.5,0.00012811017476009959
bandpass,independent,37.890625,0.00013233787317848915
bandpass,independent,38.28125,0.00013296678495073396
bandpass,independent,38.671875,0.00012925482533690608
bandpass,independent,39.0625,0.0001246977644780081
bandpass,independent,39.453125,0.0001272403211405717
bandpass,independent,39.84375,0.00010520879013497805
bandpass,independent,40.234375,2.7575371142746818e-05
bandpass,independent,40.625,3.8272594811149305e-07
bandpass,independent,41.015625,1.3934479900906926e-08
bandpass,independent,41.40625,2.1178163846378226e-09
bandpass,independent,41.796875,5.522036624592371e-10
bandpass,independent,42.1875,1.9312363480946834e-10
bandpass,independent,42.578125,8.138318872883849e-11
bandpass,independent,42.96875,3.9032688938495174e-11
bandpass,independent,43.359375,2.0591878746844798e-11
bandpass,independent,43.75,1.1688187796876606e-11
bandpass,independent,44.140625,7.031095850806984e-12
bandpass,independent,44.53125,4.4345945163821405e-12
bandpass,independent,44.921875,2.909522023170619e-12
bandpass,independent,45.3125,1.9741700033196833e-12
bandpass,independent,45.703125,1.379280119831292e-12
bandpass,independent,46.09375,9.891319762607773e-13
bandpass,independent,46.484375,7.265529539557264e-13
bandpass,independent,46.875,5.460002736642819e-13
bandpass,independent,47.265625,4.1972617840279737e-13
bandpass,independent,47.65625,3.3036116107109616e-13
bandpass,independent,48.046875,2.667899294714347e-13
bandpass,independent,48.4375,2.2178538291593377e-13
bandpass,independent,48.828125,1.9061603951000916e-13
bandpass,independent,49.21875,1.702117967840628e-13
bandpass,independent,49.609375,1.5866228899320728e-13
bandpass,independent,50.0,7.746158673854136e-14
bandpass,independent_rms,0.0,1.1529251212638574e-05
bandpass,independent_rms,0.390625,6.204318301329536e-05
bandpass,independent_rms,0.78125,0.0001209493285079066
bandpass,independent_rms,1.171875,0.00012927847955975053
bandpass,independent_rms,1.5625,0.00012833072272695222
bandpass,independent_rms,1.953125,0.000131128870263389
bandpass,independent_rms,2.34375,0.00012462672590878075
bandpass,independent_rms,2.734375,0.00012574748980877427
bandpass,independent_rms,3.125,0.00013042040920184327
bandpass,independent_rms,3.515625,0.00012673453572787608
bandpass,independent_rms,3.90625,0.00012535976749408688
bandpass,independent_rms,4.296875,0.00012874060784720122
bandpass,independent_rms,4.6875,0.00012797370860156035
bandpass,independent_rms,5.078125,0.00012746886113379344
bandpass,independent_rms,5.46875,0.00012746976457267143
bandpass,independent_rms,5.859375,0.00012658355833297316
bandpass,independent_rms,6.25,0.00012405001537708077
bandpass,independent_rms,6.640625,0.00012434840927476386
bandpass,independent_rms,7.03125,0.00012866707529254646
bandpass,independent_rms,7.421875,0.0001301124443809966
bandpass,independent_rms,7.8125,0.0001233428553456897
bandpass,independent_rms,8.203125,0.00012273952884255023
bandpass,independent_rms,8.59375,0.00012733432942127178
bandpass,independent_rms,8.984375,0.0001265747663998126
bandpass,independent_rms,9.375,0.00012552086163585035
