condition,mode,snr_db,metric,n_rows,n_records,n_patients,n_noise_bases,n_finite,n_null,n_positive_inf,n_negative_inf,n_anomalous,unit,min,p05,p25,median,p75,p95,max,mean,sd
E,,0,snr_p_db,12948,2158,1877,6,12948,0,0,0,0,dB,-5.1718712414097856e-05,-1.331019719186147e-05,-7.561937067394584e-06,-5.20272835883502e-06,-3.3939673081825454e-06,-1.3430488396318198e-06,-9.924787328236077e-08,-5.933396494861024e-06,3.862872556365661e-06
E,,0,delta_p_db,12948,2158,1877,6,12948,0,0,0,0,dB,-5.170726790994568e-05,-1.3310281839148084e-05,-7.560525668506844e-06,-5.20011927589762e-06,-3.3961332616901936e-06,-1.3434812745055467e-06,-1.0837244751150677e-07,-5.933388757777156e-06,3.862876914288036e-06
E,,0,actual_total_snr_db,12948,2158,1877,6,12948,0,0,0,0,dB,-2.0396969081553673e-08,-9.110585968529682e-09,-3.681890504824369e-09,9.49187525327363e-12,3.6843676178805183e-09,8.82247513467238e-09,2.0284947403966542e-08,-7.745992749076509e-12,5.46617374659193e-09
E,,0,q_clean,12948,2158,1877,6,12948,0,0,0,0,fraction,2.4953678499437863e-08,3.0934794816011837e-07,7.819882769743013e-07,1.1973709964185677e-06,1.7408738552582284e-06,3.0648009587650653e-06,1.1905967552934596e-05,1.366211922271065e-06,8.894582045242073e-07
E,,0,q_noise,12948,2158,1877,6,12948,0,0,0,0,fraction,4.510720781465344e-16,5.224046520752341e-16,5.69860609111711e-16,6.102385202161597e-16,6.582210992206699e-16,7.463743565066085e-16,9.672573704302628e-16,6.188181742724523e-16,6.91008809755211e-17
E,,5,snr_p_db,12948,2158,1877,6,12948,0,0,0,0,dB,4.999948174945751,4.9999865809095985,4.999992331142581,4.999994686991798,4.9999964970401,4.999998542148581,4.999999788948878,4.999993954670837,3.8629310664922495e-06
E,,5,delta_p_db,12948,2158,1877,6,12948,0,0,0,0,dB,-5.170726790753483e-05,-1.3310281836761365e-05,-7.560525665613857e-06,-5.2001192742100445e-06,-3.396133259761537e-06,-1.3434812730590552e-06,-1.0837244654717928e-07,-5.933388755633036e-06,3.862876914153899e-06
E,,5,actual_total_snr_db,12948,2158,1877,6,12948,0,0,0,0,dB,4.999999856376079,4.999999876124707,4.999999883237758,4.9999998880344005,4.999999892994589,4.999999899937801,4.999999914293577,4.999999888059592,7.235262051384696e-09
E,,5,q_clean,12948,2158,1877,6,12948,0,0,0,0,fraction,2.4953678499437863e-08,3.0934794816011837e-07,7.819882769743013e-07,1.1973709964185677e-06,1.7408738552582284e-06,3.0648009587650653e-06,1.1905967552934596e-05,1.366211922271065e-06,8.894582045242073e-07
E,,5,q_noise,12948,2158,1877,6,12948,0,0,0,0,fraction,6.750835955539508e-16,8.502685878016534e-16,9.73393294581848e-16,1.0832420816036357e-15,1.2192602476799102e-15,1.471524986188182e-15,2.0352312620960148e-15,1.1120157202601585e-15,1.9304646745005107e-16
E,,10,snr_p_db,12948,2158,1877,6,12948,0,0,0,0,dB,9.99994834482213,9.999986749273594,9.99999249757461,9.999994856391853,9.999996666880557,9.99999871764976,9.999999961097613,9.999994125071074,3.8628601519971194e-06
E,,10,delta_p_db,12948,2158,1877,6,12948,0,0,0,0,dB,-5.1707267905123987e-05,-1.3310281833265668e-05,-7.5605256603100464e-06,-5.200119272040304e-06,-3.3961332568685526e-06,-1.3434812728902979e-06,-1.0837244654717928e-07,-5.9333887523845696e-06,3.862876913763135e-06
E,,10,actual_total_snr_db,12948,2158,1877,6,12948,0,0,0,0,dB,10.00000002584435,10.00000004365399,10.000000052437274,10.000000058437642,10.000000064523034,10.00000007344802,10.000000095244957,10.000000058459838,9.040611892840499e-09
E,,10,q_clean,12948,2158,1877,6,12948,0,0,0,0,fraction,2.4953678499437863e-08,3.0934794816011837e-07,7.819882769743013e-07,1.1973709964185677e-06,1.7408738552582284e-06,3.0648009587650653e-06,1.1905967552934596e-05,1.366211922271065e-06,8.894582045242073e-07
E,,10,q_noise,12948,2158,1877,6,12948,0,0,0,0,fraction,7.698426956492469e-16,1.1025587008374732e-15,1.4499371582659884e-15,1.7758953437727322e-15,2.166971741964862e-15,2.944325433749059e-15,5.052729370014466e-15,1.860287092004519e-15,5.709697590251771e-16
I,,0,snr_p_db,12948,2158,1877,6,12948,0,0,0,0,dB,1.7865219894229811,1.9374370476247191,1.9963560088484729,2.0370418098514067,2.078915112611334,2.137810743617657,2.256579287891636,2.037508439830863,0.06071421211595172
I,,0,delta_p_db,12948,2158,1877,6,12948,0,0,0,0,dB,1.7865219917075572,1.937437055487293,1.9963560130238076,2.0370418188621873,2.078915115190741,2.137810742912246,2.256579287393202,2.0375084398512984,0.06071421218080738
I,,0,actual_total_snr_db,12948,2158,1877,6,12948,0,0,0,0,dB,-2.1670931496185204e-08,-9.104356871138232e-09,-3.756108039696264e-09,-6.101950801965456e-11,3.6977440452395778e-09,8.98563452004135e-09,2.1826681362883316e-08,-2.0458146068532817e-11,5.522973588607077e-09
I,,0,q_clean,12948,2158,1877,6,12948,0,0,0,0,fraction,2.4953678499437863e-08,3.0934794816011837e-07,7.819882769743013e-07,1.1973709964185677e-06,1.7408738552582284e-06,3.0648009587650653e-06,1.1905967552934596e-05,1.366211922271065e-06,8.894582045242073e-07
I,,0,q_noise,12948,2158,1877,6,12948,0,0,0,0,fraction,0.3372542414396308,0.35988917714377866,0.36851361301746555,0.3744024704202312,0.3804049859012598,0.3887509881984857,0.4052409348791606,0.37440828138417737,0.008743831502443681
I,,5,snr_p_db,12948,2158,1877,6,12948,0,0,0,0,dB,6.78652187941712,6.937436943641947,6.996355900769594,7.0370417017201135,7.078915007377335,7.137810635938071,7.256579170398243,7.037508327955802,0.06071421221133268
I,,5,delta_p_db,12948,2158,1877,6,12948,0,0,0,0,dB,1.786521991176149,1.9374370543634625,1.9963560123459783,2.0370418185294414,2.07891511200493,2.137810746432984,2.2565792875689574,2.0375084398097503,0.06071421219777438
I,,5,actual_total_snr_db,12948,2158,1877,6,12948,0,0,0,0,dB,4.999999860192207,4.9999998761005084,4.999999883249228,4.999999888158026,4.999999893107754,4.999999900122134,4.999999917595478,4.999999888146034,7.265843597736401e-09
I,,5,q_clean,12948,2158,1877,6,12948,0,0,0,0,fraction,2.4953678499437863e-08,3.0934794816011837e-07,7.819882769743013e-07,1.1973709964185677e-06,1.7408738552582284e-06,3.0648009587650653e-06,1.1905967552934596e-05,1.366211922271065e-06,8.894582045242073e-07
I,,5,q_noise,12948,2158,1877,6,12948,0,0,0,0,fraction,0.3372542413585363,0.3598891769781361,0.36851361291890566,0.37440247037229923,0.3804049855414579,0.3887509886940128,0.40524093490322993,0.3744082813781589,0.008743831504850325
I,,10,snr_p_db,12948,2158,1877,6,12948,0,0,0,0,dB,11.78652205466484,11.937437101273996,11.996356066073814,12.037041880732374,12.078915161532734,12.137810795707942,12.256579334140598,12.03750849839816,0.060714212152068694
I,,10,delta_p_db,12948,2158,1877,6,12948,0,0,0,0,dB,1.7865219931184533,1.9374370497657847,1.9963560139685799,2.0370418231939635,2.0789151149730802,2.1378107424796764,2.2565792828213085,2.037508439939851,0.06071421211415634
I,,10,actual_total_snr_db,12948,2158,1877,6,12948,0,0,0,0,dB,10.000000023520709,10.000000043895575,10.000000052401068,10.000000058455226,10.000000064500778,10.000000073200646,10.000000092572769,10.000000058458312,8.922129544558979e-09
I,,10,q_clean,12948,2158,1877,6,12948,0,0,0,0,fraction,2.4953678499437863e-08,3.0934794816011837e-07,7.819882769743013e-07,1.1973709964185677e-06,1.7408738552582284e-06,3.0648009587650653e-06,1.1905967552934596e-05,1.366211922271065e-06,8.894582045242073e-07
I,,10,q_noise,12948,2158,1877,6,12948,0,0,0,0,fraction,0.33725424165493756,0.35988917630047995,0.3685136131548411,0.37440247104422164,0.3804049856294337,0.38875098813760356,0.40524093425304736,0.3744082813970685,0.008743831492426671
S_00,S_00,0,snr_p_db,12948,2158,1877,6,12948,0,0,0,0,dB,2.339936419194562,2.5027003999722885,2.5709960463321493,2.6195438622929563,2.6681343245360134,2.740448339918175,2.8942117193418184,2.6200132988368146,0.07220731128219807
S_00,S_00,0,delta_p_db,12948,2158,1877,6,12948,0,0,0,0,dB,2.3399364234353666,2.50270040300854,2.570996039063738,2.6195438686118875,2.6681343276210496,2.740448336396426,2.8942117206811444,2.620013298772889,0.07220731131048512
S_00,S_00,0,actual_total_snr_db,12948,2158,1877,6,12948,0,0,0,0,dB,-2.0869537758783277e-08,-9.005072607957304e-09,-3.726331536158381e-09,5.032583966045803e-11,3.842948617717245e-09,9.163141458719554e-09,2.3820347385997717e-08,6.38974350916661e-11,5.542513608867049e-09
S_00,S_00,0,q_clean,12948,2158,1877,6,12948,0,0,0,0,fraction,2.4953678499437863e-08,3.0934794816011837e-07,7.819882769743013e-07,1.1973709964185677e-06,1.7408738552582284e-06,3.0648009587650653e-06,1.1905967552934596e-05,1.366211922271065e-06,8.894582045242073e-07
S_00,S_00,0,q_noise,12948,2158,1877,6,12948,0,0,0,0,fraction,0.41654725163361866,0.4380088843998174,0.4467773884659419,0.4529270617234741,0.4590137701431667,0.4679472885644331,0.4864550079828823,0.4529108762723659,0.009092530726533436
S_00,S_00,5,snr_p_db,12948,2158,1877,6,12948,0,0,0,0,dB,7.339936308673808,7.502700293087251,7.570995935096472,7.619543747340259,7.668134220913466,7.740448234027032,7.8942116096184245,7.620013186785112,0.07220731127606453
S_00,S_00,5,delta_p_db,12948,2158,1877,6,12948,0,0,0,0,dB,2.3399364203991775,2.50270040401822,2.570996044342253,2.6195438617658935,2.668134328083454,2.7404483342880197,2.89421172391663,2.620013298707382,0.07220731119825713
S_00,S_00,5,actual_total_snr_db,12948,2158,1877,6,12948,0,0,0,0,dB,4.999999857140092,4.999999876135296,4.999999883154622,4.999999888022042,4.999999893027514,4.999999900114651,4.999999913837516,4.999999888077706,7.300951787791648e-09
S_00,S_00,5,q_clean,12948,2158,1877,6,12948,0,0,0,0,fraction,2.4953678499437863e-08,3.0934794816011837e-07,7.819882769743013e-07,1.1973709964185677e-06,1.7408738552582284e-06,3.0648009587650653e-06,1.1905967552934596e-05,1.366211922271065e-06,8.894582045242073e-07
