epoch,train_loss,val_loss,val_macro_auroc,val_macro_ap,val_macro_auroc_defined_classes,val_macro_ap_defined_classes,auroc_class_count,selection_metric,selection_score,epoch_compute_seconds,elapsed_seconds
1,0.35096482378178806,0.33160851150056747,0.8973744263660646,0.7552460420858009,0.8973744263660646,0.7552460420858009,5,macro_auroc,0.8973744263660646,52.75878489995375,52.795112299965695
2,0.29407518101475383,0.31303587572550173,0.9032830113042613,0.7702753890079177,0.9032830113042613,0.7702753890079177,5,macro_auroc,0.9032830113042613,57.39967880002223,110.26480659993831
3,0.27499161013477275,0.3025127670416072,0.9092826836004951,0.7792405011285274,0.9092826836004951,0.7792405011285274,5,macro_auroc,0.9092826836004951,52.784788899938576,163.13029939995613
4,0.2601760491725294,0.29742338653490685,0.9143160770785311,0.7935836422011,0.9143160770785311,0.7935836422011,5,macro_auroc,0.9143160770785311,52.84683449997101,216.0615946999751
5,0.24758530518568195,0.30694852176383625,0.911862367487644,0.7912585348153416,0.911862367487644,0.7912585348153416,5,macro_auroc,0.911862367487644,52.76023380004335,268.9213589000283
6,0.23615050370284027,0.31726403774664097,0.911017755638291,0.783434418102999,0.911017755638291,0.783434418102999,5,macro_auroc,0.911017755638291,52.7455362000037,321.70507080003154
7,0.2217596884397343,0.36404941346971986,0.9006036617929324,0.7712750099096939,0.9006036617929324,0.7712750099096939,5,macro_auroc,0.9006036617929324,52.8600345000159,374.60341720003635
8,0.20829001489483315,0.33813627465573404,0.9024635395303356,0.774714830718299,0.9024635395303356,0.774714830718299,5,macro_auroc,0.9024635395303356,52.74092200002633,427.37635839998256
9,0.19517586496249767,0.3535623381822218,0.8998160343337176,0.7650390543643819,0.8998160343337176,0.7650390543643819,5,macro_auroc,0.8998160343337176,52.924427399993874,480.33421500003897
10,0.1816723386693185,0.3678405702891799,0.9055193750980992,0.7775919287458564,0.9055193750980992,0.7775919287458564,5,macro_auroc,0.9055193750980992,52.72339589998592,533.0906637000153
11,0.15680443356478696,0.41520142421917944,0.9009542241987024,0.7541412724379765,0.9009542241987024,0.7541412724379765,5,macro_auroc,0.9009542241987024,52.75186429999303,585.8775038999738
12,0.14576448677393347,0.3848882474192702,0.8960756444592046,0.7514032615012939,0.8960756444592046,0.7514032615012939,5,macro_auroc,0.8960756444592046,52.77744259999599,638.6925285999896
13,0.12781873161509175,0.5234365332159947,0.8934270140048033,0.7505250669258207,0.8934270140048033,0.7505250669258207,5,macro_auroc,0.8934270140048033,52.790153899928555,691.514456099947
14,0.11020372083157239,0.471571073588765,0.8901237726197593,0.7473403884094798,0.8901237726197593,0.7473403884094798,5,macro_auroc,0.8901237726197593,52.74199749995023,744.296371000004
15,0.09442278909385972,0.5299361330654059,0.8880677254155218,0.7375762352227498,0.8880677254155218,0.7375762352227498,5,macro_auroc,0.8880677254155218,52.72605970001314,797.0533595000161
16,0.08667235677044388,0.5477145586409307,0.887888135103076,0.7408857695107898,0.887888135103076,0.7408857695107898,5,macro_auroc,0.887888135103076,52.82545880007092,849.9152584000258
17,0.07107155285627383,0.7047622962077977,0.8872672892601455,0.7405406092969766,0.8872672892601455,0.7405406092969766,5,macro_auroc,0.8872672892601455,52.724208100000396,902.6825502000283
18,0.06038435894818865,0.5755241302719543,0.8912369511341502,0.7484454258266356,0.8912369511341502,0.7484454258266356,5,macro_auroc,0.8912369511341502,52.682972299982794,955.4034354999894
19,0.05286164752383669,0.7114200868122176,0.8910379826652013,0.7498287671780736,0.8910379826652013,0.7498287671780736,5,macro_auroc,0.8910379826652013,52.72980340011418,1008.1669900999404
20,0.055437328363261776,0.6411850882376451,0.8758299667829211,0.7190251385426455,0.8758299667829211,0.7190251385426455,5,macro_auroc,0.8758299667829211,52.70169559994247,1060.911504299962
21,0.049561272731809256,0.6455911851218118,0.8892593583033801,0.737330970061753,0.8892593583033801,0.737330970061753,5,macro_auroc,0.8892593583033801,52.701148799969815,1113.650636299979
22,0.04168825934210836,0.7599252566264705,0.8807853931280546,0.7285257972735975,0.8807853931280546,0.7285257972735975,5,macro_auroc,0.8807853931280546,52.687985499971546,1166.3793366999598
23,0.04179962441147253,0.6449397739581937,0.8908107014548884,0.7479896291546896,0.8908107014548884,0.7479896291546896,5,macro_auroc,0.8908107014548884,52.669801499927416,1219.0911160999676
24,0.041293517665711196,0.6362086948344114,0.8928393608710209,0.746079055658006,0.8928393608710209,0.746079055658006,5,macro_auroc,0.8928393608710209,52.745925599941984,1271.8706392999738
25,0.03926049664641007,0.7111776397257127,0.8862107618479339,0.7415743003338057,0.8862107618479339,0.7415743003338057,5,macro_auroc,0.8862107618479339,52.717128599993885,1324.621509999968
