strategy,model,seed,clean_auroc,primary_auroc,retention
clean_only,resnet,17,0.8696277527709938,0.846531849259174,0.9734416209243552
independent_rms,resnet,17,0.8713975680256875,0.8542863960609797,0.9803635302718865
electrode,resnet,17,0.8780248308647153,0.8621216541088523,0.9818875546592655
mixed,resnet,17,0.871764579381348,0.8528938282417364,0.9783533862387692
clean_only,tcn,17,0.8577932097985002,0.8549537565714105,0.9966898161518982
independent_rms,tcn,17,0.8561395100429335,0.8528842241902757,0.9961977156579412
electrode,tcn,17,0.8565363706472988,0.8553630362771996,0.9986301406323106
mixed,tcn,17,0.857170426525314,0.8558307117425077,0.9984370496900651
