model,strategy,seed,group_id,class_name,bin_id,count,probability_sum,target_sum
resnet,clean_only,17,primary_joint,NORM,6,78,33.945517897605896,34.0
resnet,clean_only,17,primary_joint,NORM,7,84,41.86420714855194,36.0
resnet,clean_only,17,primary_joint,NORM,8,73,41.45171105861664,41.0
resnet,clean_only,17,primary_joint,NORM,9,89,56.31972748041153,50.0
resnet,clean_only,17,primary_joint,NORM,10,81,56.73472583293915,47.0
resnet,clean_only,17,primary_joint,NORM,11,132,101.15949189662933,94.0
resnet,clean_only,17,primary_joint,NORM,12,159,132.8100022673607,115.0
resnet,clean_only,17,primary_joint,NORM,13,253,228.64865416288376,207.0
resnet,clean_only,17,primary_joint,NORM,14,278,268.4072931408882,243.0
resnet,clean_only,17,primary_joint,MI,0,1417,28.157618323068164,174.0
resnet,clean_only,17,primary_joint,MI,1,229,22.20548839122057,90.0
resnet,clean_only,17,primary_joint,MI,2,122,20.11264555156231,51.0
resnet,clean_only,17,primary_joint,MI,3,73,16.82103554904461,31.0
resnet,clean_only,17,primary_joint,MI,4,41,11.98269522190094,28.0
resnet,clean_only,17,primary_joint,MI,5,32,11.819798439741135,23.0
resnet,clean_only,17,primary_joint,MI,6,23,9.797236293554306,16.0
resnet,clean_only,17,primary_joint,MI,7,16,7.997460037469864,14.0
resnet,clean_only,17,primary_joint,MI,8,11,6.142485082149506,9.0
resnet,clean_only,17,primary_joint,MI,9,9,5.705566167831421,9.0
resnet,clean_only,17,primary_joint,MI,10,6,4.2604270577430725,3.0
resnet,clean_only,17,primary_joint,MI,11,10,7.667092025279999,7.0
resnet,clean_only,17,primary_joint,MI,12,5,4.144056439399719,5.0
resnet,clean_only,17,primary_joint,MI,13,3,2.64805006980896,3.0
resnet,clean_only,17,primary_joint,MI,14,3,2.854224145412445,3.0
resnet,clean_only,17,primary_joint,STTC,0,553,19.998726380523294,13.0
resnet,clean_only,17,primary_joint,STTC,1,389,37.73671320825815,30.0
resnet,clean_only,17,primary_joint,STTC,2,222,37.023229256272316,33.0
resnet,clean_only,17,primary_joint,STTC,3,179,41.562183171510696,42.0
resnet,clean_only,17,primary_joint,STTC,4,122,36.29895502328873,41.0
resnet,clean_only,17,primary_joint,STTC,5,101,36.95530641078949,42.0
resnet,clean_only,17,primary_joint,STTC,6,98,42.50121545791626,46.0
resnet,clean_only,17,primary_joint,STTC,7,98,48.66108712553978,58.0
resnet,clean_only,17,primary_joint,STTC,8,63,35.458729445934296,40.0
resnet,clean_only,17,primary_joint,STTC,9,43,27.302820920944214,30.0
resnet,clean_only,17,primary_joint,STTC,10,40,27.9751837849617,30.0
resnet,clean_only,17,primary_joint,STTC,11,45,34.49340909719467,38.0
resnet,clean_only,17,primary_joint,STTC,12,22,18.436305224895477,20.0
resnet,clean_only,17,primary_joint,STTC,13,12,10.7859947681427,12.0
resnet,clean_only,17,primary_joint,STTC,14,13,12.460947751998901,13.0
resnet,clean_only,17,primary_joint,CD,0,276,12.16027345508337,16.0
resnet,clean_only,17,primary_joint,CD,1,444,43.46273744851351,23.0
resnet,clean_only,17,primary_joint,CD,2,274,45.1118293851614,19.0
resnet,clean_only,17,primary_joint,CD,3,212,48.82523177564144,27.0
resnet,clean_only,17,primary_joint,CD,4,143,42.78041046857834,26.0
resnet,clean_only,17,primary_joint,CD,5,116,42.599367558956146,24.0
resnet,clean_only,17,primary_joint,CD,6,89,38.69766253232956,17.0
resnet,clean_only,17,primary_joint,CD,7,60,29.75271275639534,19.0
resnet,clean_only,17,primary_joint,CD,8,45,25.50169962644577,17.0
resnet,clean_only,17,primary_joint,CD,9,40,25.19717848300934,16.0
resnet,clean_only,17,primary_joint,CD,10,49,34.23738348484039,19.0
resnet,clean_only,17,primary_joint,CD,11,44,34.118575513362885,22.0
resnet,clean_only,17,primary_joint,CD,12,56,46.548923552036285,37.0
resnet,clean_only,17,primary_joint,CD,13,53,47.693905889987946,39.0
resnet,clean_only,17,primary_joint,CD,14,99,96.81174957752228,89.0
resnet,clean_only,17,primary_joint,HYP,0,1280,28.95257114712149,48.0
resnet,clean_only,17,primary_joint,HYP,1,269,25.383503906428814,33.0
resnet,clean_only,17,primary_joint,HYP,2,111,17.9615099132061,31.0
resnet,clean_only,17,primary_joint,HYP,3,82,19.07641364634037,21.0
resnet,clean_only,17,primary_joint,HYP,4,68,20.144497960805893,24.0
resnet,clean_only,17,primary_joint,HYP,5,45,16.418750643730164,19.0
resnet,clean_only,17,primary_joint,HYP,6,31,13.35063424706459,17.0
resnet,clean_only,17,primary_joint,HYP,7,19,9.41226601600647,9.0
resnet,clean_only,17,primary_joint,HYP,8,21,11.931037306785583,8.0
resnet,clean_only,17,primary_joint,HYP,9,14,8.789445698261261,10.0
resnet,clean_only,17,primary_joint,HYP,10,12,8.203812599182129,10.0
resnet,clean_only,17,primary_joint,HYP,11,13,9.900522112846375,12.0
resnet,clean_only,17,primary_joint,HYP,12,12,10.010976374149323,9.0
resnet,clean_only,17,primary_joint,HYP,13,11,10.067318737506866,10.0
resnet,clean_only,17,primary_joint,HYP,14,12,11.587543249130249,11.0
resnet,independent_rms,17,clean,NORM,0,264,5.001052041446428,5.0
resnet,independent_rms,17,clean,NORM,1,68,6.82216789573431,9.0
resnet,independent_rms,17,clean,NORM,2,37,6.331015795469284,5.0
resnet,independent_rms,17,clean,NORM,3,29,6.650304317474365,9.0
resnet,independent_rms,17,clean,NORM,4,20,5.955012619495392,9.0
resnet,independent_rms,17,clean,NORM,5,27,9.979498893022537,9.0
resnet,independent_rms,17,clean,NORM,6,25,10.883675754070282,8.0
resnet,independent_rms,17,clean,NORM,7,30,15.102421760559082,14.0
resnet,independent_rms,17,clean,NORM,8,20,11.342108488082886,11.0
resnet,independent_rms,17,clean,NORM,9,25,15.982968032360077,18.0
resnet,independent_rms,17,clean,NORM,10,29,20.280458688735962,20.0
resnet,independent_rms,17,clean,NORM,11,37,28.37003129720688,24.0
resnet,independent_rms,17,clean,NORM,12,48,40.05780327320099,34.0
resnet,independent_rms,17,clean,NORM,13,94,84.7290945649147,74.0
resnet,independent_rms,17,clean,NORM,14,247,240.52887481451035,222.0
resnet,independent_rms,17,clean,MI,0,582,10.225012827009778,44.0
resnet,independent_rms,17,clean,MI,1,108,10.426488399505615,19.0
resnet,independent_rms,17,clean,MI,2,71,11.418770745396614,29.0
resnet,independent_rms,17,clean,MI,3,55,13.010577112436295,23.0
resnet,independent_rms,17,clean,MI,4,32,9.542145401239395,18.0
resnet,independent_rms,17,clean,MI,5,28,10.255745112895966,16.0
resnet,independent_rms,17,clean,MI,6,36,15.571670174598694,19.0
resnet,independent_rms,17,clean,MI,7,16,8.072833359241486,9.0
resnet,independent_rms,17,clean,MI,8,11,6.235231816768646,7.0
resnet,independent_rms,17,clean,MI,9,19,11.957958340644836,15.0
resnet,independent_rms,17,clean,MI,10,14,9.731233060359955,10.0
resnet,independent_rms,17,clean,MI,11,9,6.845874845981598,5.0
resnet,independent_rms,17,clean,MI,12,12,10.008559703826904,12.0
resnet,independent_rms,17,clean,MI,13,2,1.8079590201377869,2.0
resnet,independent_rms,17,clean,MI,14,5,4.7988903522491455,5.0
resnet,independent_rms,17,clean,STTC,0,450,10.099228835082613,11.0
resnet,independent_rms,17,clean,STTC,1,108,10.450827784836292,13.0
resnet,independent_rms,17,clean,STTC,2,63,10.065142646431923,8.0
resnet,independent_rms,17,clean,STTC,3,58,13.377959206700325,12.0
resnet,independent_rms,17,clean,STTC,4,44,13.25972792506218,12.0
resnet,independent_rms,17,clean,STTC,5,52,19.283114403486252,23.0
resnet,independent_rms,17,clean,STTC,6,34,14.755362272262573,19.0
resnet,independent_rms,17,clean,STTC,7,34,17.202674984931946,22.0
resnet,independent_rms,17,clean,STTC,8,23,12.959829092025757,13.0
resnet,independent_rms,17,clean,STTC,9,15,9.369848251342773,10.0
resnet,independent_rms,17,clean,STTC,10,32,22.2362140417099,24.0
resnet,independent_rms,17,clean,STTC,11,29,22.172320663928986,23.0
resnet,independent_rms,17,clean,STTC,12,31,25.716688871383667,30.0
resnet,independent_rms,17,clean,STTC,13,17,15.212335169315338,14.0
resnet,independent_rms,17,clean,STTC,14,10,9.4636589884758,10.0
resnet,independent_rms,17,clean,CD,0,314,9.929697925690562,15.0
resnet,independent_rms,17,clean,CD,1,155,14.893759526312351,15.0
resnet,independent_rms,17,clean,CD,2,98,16.056752786040306,13.0
resnet,independent_rms,17,clean,CD,3,59,13.674054980278015,1.0
resnet,independent_rms,17,clean,CD,4,54,16.079776495695114,7.0
resnet,independent_rms,17,clean,CD,5,33,12.162602633237839,8.0
resnet,independent_rms,17,clean,CD,6,35,15.189143419265747,4.0
resnet,independent_rms,17,clean,CD,7,24,12.146668553352356,2.0
resnet,independent_rms,17,clean,CD,8,21,11.954790592193604,7.0
resnet,independent_rms,17,clean,CD,9,28,17.796862840652466,12.0
resnet,independent_rms,17,clean,CD,10,16,11.341486811637878,4.0
resnet,independent_rms,17,clean,CD,11,24,18.240880727767944,14.0
resnet,independent_rms,17,clean,CD,12,18,14.962463974952698,5.0
resnet,independent_rms,17,clean,CD,13,30,27.138088047504425,19.0
resnet,independent_rms,17,clean,CD,14,91,88.95275217294693,79.0
resnet,independent_rms,17,clean,HYP,0,653,11.787722975044744,27.0
resnet,independent_rms,17,clean,HYP,1,122,11.376568675041199,15.0
resnet,independent_rms,17,clean,HYP,2,56,9.104259476065636,12.0
resnet,independent_rms,17,clean,HYP,3,49,11.075502395629883,17.0
resnet,independent_rms,17,clean,HYP,4,31,9.170706510543823,8.0
resnet,independent_rms,17,clean,HYP,5,9,3.22751185297966,3.0
resnet,independent_rms,17,clean,HYP,6,18,7.822095572948456,10.0
resnet,independent_rms,17,clean,HYP,7,11,5.458376079797745,6.0
resnet,independent_rms,17,clean,HYP,8,6,3.4147071838378906,3.0
resnet,independent_rms,17,clean,HYP,9,8,5.1028525829315186,3.0
resnet,independent_rms,17,clean,HYP,10,4,2.7967981100082397,3.0
resnet,independent_rms,17,clean,HYP,11,4,3.07590913772583,4.0
resnet,independent_rms,17,clean,HYP,12,10,8.25961023569107,8.0
resnet,independent_rms,17,clean,HYP,13,7,6.342717468738556,6.0
resnet,independent_rms,17,clean,HYP,14,12,11.59457790851593,11.0
resnet,independent_rms,17,primary_joint,NORM,0,382,9.085633661862971,8.0
resnet,independent_rms,17,primary_joint,NORM,1,138,13.766871750354767,8.0
resnet,independent_rms,17,primary_joint,NORM,2,107,17.6253369897604,19.0
resnet,independent_rms,17,primary_joint,NORM,3,83,19.18521909415722,15.0
resnet,independent_rms,17,primary_joint,NORM,4,86,26.234626412391663,21.0
resnet,independent_rms,17,primary_joint,NORM,5,75,27.381149351596832,33.0
resnet,independent_rms,17,primary_joint,NORM,6,58,24.932940363883972,29.0
resnet,independent_rms,17,primary_joint,NORM,7,67,33.575890094041824,33.0
resnet,independent_rms,17,primary_joint,NORM,8,90,50.89304494857788,54.0
resnet,independent_rms,17,primary_joint,NORM,9,75,47.36877244710922,43.0
resnet,independent_rms,17,primary_joint,NORM,10,102,71.44293373823166,63.0
resnet,independent_rms,17,primary_joint,NORM,11,91,69.7905690073967,66.0
resnet,independent_rms,17,primary_joint,NORM,12,151,125.88709259033203,114.0
resnet,independent_rms,17,primary_joint,NORM,13,204,183.85777747631073,176.0
resnet,independent_rms,17,primary_joint,NORM,14,291,280.1339079737663,260.0
resnet,independent_rms,17,primary_joint,MI,0,1222,25.997980065090815,103.0
resnet,independent_rms,17,primary_joint,MI,1,316,31.31310498714447,101.0
resnet,independent_rms,17,primary_joint,MI,2,148,24.35176357626915,63.0
resnet,independent_rms,17,primary_joint,MI,3,91,20.80960564315319,47.0
resnet,independent_rms,17,primary_joint,MI,4,61,18.319139808416367,33.0
resnet,independent_rms,17,primary_joint,MI,5,48,17.51653230190277,31.0
resnet,independent_rms,17,primary_joint,MI,6,34,14.761159390211105,25.0
resnet,independent_rms,17,primary_joint,MI,7,32,16.016583055257797,24.0
resnet,independent_rms,17,primary_joint,MI,8,8,4.630774259567261,7.0
resnet,independent_rms,17,primary_joint,MI,9,13,8.302604675292969,12.0
resnet,independent_rms,17,primary_joint,MI,10,6,4.238978266716003,3.0
resnet,independent_rms,17,primary_joint,MI,11,7,5.398133814334869,4.0
resnet,independent_rms,17,primary_joint,MI,12,7,5.84300822019577,6.0
resnet,independent_rms,17,primary_joint,MI,13,5,4.527676463127136,5.0
resnet,independent_rms,17,primary_joint,MI,14,2,1.8890860080718994,2.0
resnet,independent_rms,17,primary_joint,STTC,0,498,18.18210136401467,14.0
resnet,independent_rms,17,primary_joint,STTC,1,338,32.65377647429705,11.0
resnet,independent_rms,17,primary_joint,STTC,2,221,37.0218091160059,31.0
resnet,independent_rms,17,primary_joint,STTC,3,188,43.506926000118256,35.0
resnet,independent_rms,17,primary_joint,STTC,4,140,42.07733064889908,32.0
resnet,independent_rms,17,primary_joint,STTC,5,118,43.31766727566719,40.0
resnet,independent_rms,17,primary_joint,STTC,6,103,44.14919739961624,37.0
resnet,independent_rms,17,primary_joint,STTC,7,80,39.8748254776001,46.0
resnet,independent_rms,17,primary_joint,STTC,8,74,41.774023950099945,53.0
resnet,independent_rms,17,primary_joint,STTC,9,55,34.83890575170517,39.0
resnet,independent_rms,17,primary_joint,STTC,10,71,49.82606828212738,50.0
resnet,independent_rms,17,primary_joint,STTC,11,54,41.61059617996216,44.0
resnet,independent_rms,17,primary_joint,STTC,12,38,31.673271119594574,34.0
resnet,independent_rms,17,primary_joint,STTC,13,16,14.428237855434418,16.0
resnet,independent_rms,17,primary_joint,STTC,14,6,5.680172622203827,6.0
resnet,independent_rms,17,primary_joint,CD,0,434,17.53632181417197,20.0
resnet,independent_rms,17,primary_joint,CD,1,371,36.2980090752244,33.0
resnet,independent_rms,17,primary_joint,CD,2,288,47.37473402917385,25.0
resnet,independent_rms,17,primary_joint,CD,3,160,36.71934662759304,11.0
resnet,independent_rms,17,primary_joint,CD,4,118,35.10868865251541,18.0
resnet,independent_rms,17,primary_joint,CD,5,87,31.565095096826553,20.0
resnet,independent_rms,17,primary_joint,CD,6,71,30.432716995477676,19.0
resnet,independent_rms,17,primary_joint,CD,7,61,30.412368297576904,12.0
resnet,independent_rms,17,primary_joint,CD,8,46,26.031168282032013,13.0
resnet,independent_rms,17,primary_joint,CD,9,49,30.946576595306396,21.0
resnet,independent_rms,17,primary_joint,CD,10,44,30.665257394313812,17.0
resnet,independent_rms,17,primary_joint,CD,11,48,36.81617033481598,29.0
resnet,independent_rms,17,primary_joint,CD,12,44,36.79020941257477,22.0
resnet,independent_rms,17,primary_joint,CD,13,59,53.24046677350998,42.0
