model,group_id,kind,combo_set,combo_id,condition,snr,metric,outcome,lhs,rhs,n_seeds,point,sd,ci95_low,ci95_high,n_expected,n_undefined,positive_seed_count,negative_seed_count,zero_seed_count,dz,t_stat,p_raw,patient_ci95_low,patient_ci95_high
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_auroc,absolute,mixed,clean_only,1,0.029017696370225998,,,,1,0,1,0,0,,,,0.017815154931570775,0.04041052997592254
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_auroc,absolute,clean_only,independent_rms,1,-0.025851143608477956,,,,1,0,0,1,0,,,,-0.036511785056750845,-0.015854123569619457
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_auroc,absolute,electrode,independent_rms,1,0.0034427856272376545,,,,1,0,1,0,0,,,,-0.007478154414227204,0.014251392601844291
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_auroc,absolute,mixed,independent_rms,1,0.0031665527617480427,,,,1,0,1,0,0,,,,-0.006348065071660547,0.012755134856012406
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_auroc,absolute,mixed,electrode,1,-0.0002762328654896118,,,,1,0,0,1,0,,,,-0.012340116931991182,0.011975825659815371
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_auroc,clean_cost,independent_rms,clean_only,1,-0.001769815254693663,,,,1,0,0,1,0,,,,-0.006297234905331159,0.0028365417748680275
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_auroc,clean_cost,electrode,clean_only,1,-0.008397078093721477,,,,1,0,0,1,0,,,,-0.01553270436458054,-0.0007177519314387038
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_auroc,clean_cost,mixed,clean_only,1,-0.002136826610354192,,,,1,0,0,1,0,,,,-0.009311500279275492,0.004685493868543574
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_auroc,clean_cost,clean_only,independent_rms,1,0.001769815254693663,,,,1,0,1,0,0,,,,-0.002836541774868037,0.006297234905331159
resnet,bandpass__all__covariance__s0,bandpass,all,aggregate,covariance,0,macro_auroc,clean_cost,electrode,independent_rms,1,-0.006627262839027814,,,,1,0,0,1,0,,,,-0.013652925308968994,0.0001507927165949718
