model,seed,group_id,metric,strategy,value,rank
resnet,17,bandpass__train__covariance__s10,macro_f1,clean_only,0.6572329422857834,2.0
resnet,17,bandpass__train__covariance__s10,brier,clean_only,0.11859950125217433,2.0
resnet,17,bandpass__train__covariance__s10,ece,clean_only,0.07311845005525272,2.0
resnet,17,bandpass__combo_RA_LA_LL__covariance__s10,macro_auroc,clean_only,0.863526219463993,4.0
resnet,17,bandpass__combo_RA_LA_LL__covariance__s10,macro_ap,clean_only,0.6983702676552482,4.0
resnet,17,bandpass__combo_RA_LA_LL__covariance__s10,macro_f1,clean_only,0.6489743626325805,4.0
resnet,17,bandpass__combo_RA_LA_LL__covariance__s10,brier,clean_only,0.1202002167701721,2.0
resnet,17,bandpass__combo_RA_LA_LL__covariance__s10,ece,clean_only,0.0702813697598874,2.0
resnet,17,bandpass__train__covariance__s5,macro_auroc,clean_only,0.8523792180736631,4.0
resnet,17,bandpass__train__covariance__s5,macro_ap,clean_only,0.6755172015010269,4.0
resnet,17,bandpass__train__covariance__s5,macro_f1,clean_only,0.6321120043369254,3.0
resnet,17,bandpass__train__covariance__s5,brier,clean_only,0.12634580060839648,2.0
resnet,17,bandpass__train__covariance__s5,ece,clean_only,0.07583715712405739,2.0
resnet,17,bandpass__combo_RA_LA_LL__covariance__s5,macro_auroc,clean_only,0.8460367380632625,4.0
resnet,17,bandpass__combo_RA_LA_LL__covariance__s5,macro_ap,clean_only,0.66741816044451,4.0
resnet,17,bandpass__combo_RA_LA_LL__covariance__s5,macro_f1,clean_only,0.6205043290003472,4.0
resnet,17,bandpass__combo_RA_LA_LL__covariance__s5,brier,clean_only,0.128478854894638,2.0
resnet,17,bandpass__combo_RA_LA_LL__covariance__s5,ece,clean_only,0.0741443340964615,2.0
resnet,17,bandpass__train__covariance__s0,macro_auroc,clean_only,0.7937426851901653,4.0
resnet,17,bandpass__train__covariance__s0,macro_ap,clean_only,0.577071739862937,4.0
resnet,17,bandpass__train__covariance__s0,macro_f1,clean_only,0.5336742347325316,4.0
resnet,17,bandpass__train__covariance__s0,brier,clean_only,0.15163110792636866,3.0
resnet,17,bandpass__train__covariance__s0,ece,clean_only,0.09025753570377823,2.0
resnet,17,bandpass__combo_RA_LA_LL__covariance__s0,macro_auroc,clean_only,0.7827262614586503,4.0
resnet,17,bandpass__combo_RA_LA_LL__covariance__s0,macro_ap,clean_only,0.5644829214764574,4.0
