model,kind,snr,condition,active,seed,noise_seed,metric,outcome,value
resnet,bandpass,0,electrode,all,17,8128,macro_auroc,absolute,0.7990826108255347
resnet,bandpass,0,electrode,all,17,8128,macro_auroc,clean_drop,0.10780968849281114
resnet,bandpass,0,electrode,all,17,8128,macro_auroc,normalized_robustness,0.8811218393024993
resnet,bandpass,0,electrode,all,17,8128,macro_ap,absolute,0.6166453303931819
resnet,bandpass,0,electrode,all,17,8128,macro_ap,clean_drop,0.16407316419717954
resnet,bandpass,0,electrode,all,17,8128,macro_ap,normalized_robustness,0.7898433746160226
resnet,bandpass,0,electrode,all,17,8128,macro_f1,absolute,0.4713649167852632
resnet,bandpass,0,electrode,all,17,8128,macro_f1,clean_drop,0.24051659580047918
resnet,bandpass,0,electrode,all,17,8128,macro_f1,normalized_robustness,0.6621395674014328
resnet,bandpass,0,electrode,all,17,8128,micro_auroc,absolute,0.7027005229100972
resnet,bandpass,0,electrode,all,17,8128,micro_ap,absolute,0.4359356501840696
resnet,bandpass,0,electrode,all,17,8128,micro_f1,absolute,0.4695970695970696
resnet,bandpass,0,electrode,all,17,8128,brier,absolute,0.2007720619440078
resnet,bandpass,0,electrode,all,17,8128,ece,absolute,0.1689551573954488
resnet,bandpass,0,electrode,all,17,8128,mean_loss,absolute,0.5829531951630843
resnet,bandpass,0,electrode,all,17,8128,mean_confidence,absolute,0.813829243183136
resnet,bandpass,0,electrode,all,17,8128,mean_entropy,absolute,0.4201516766589762
resnet,bandpass,0,electrode,all,17,8128,clean_agreement,absolute,0.7561631139944393
resnet,bandpass,0,electrode,all,17,8128,probability_shift,absolute,0.2159292101860046
resnet,bandpass,0,electrode,all,17,8128,auroc_NORM,absolute,0.8666119214275472
resnet,bandpass,0,electrode,all,17,8128,auroc_NORM,clean_drop,0.06748610730935845
resnet,bandpass,0,electrode,all,17,8128,auroc_NORM,normalized_robustness,0.9277526498995599
resnet,bandpass,0,electrode,all,17,8128,auroc_MI,absolute,0.6923852329262777
resnet,bandpass,0,electrode,all,17,8128,auroc_MI,clean_drop,0.19384950248756228
resnet,bandpass,0,electrode,all,17,8128,auroc_MI,normalized_robustness,0.781266187453347
resnet,bandpass,0,electrode,all,17,8128,auroc_STTC,absolute,0.7823003786009003
resnet,bandpass,0,electrode,all,17,8128,auroc_STTC,clean_drop,0.13707603792809508
resnet,bandpass,0,electrode,all,17,8128,auroc_STTC,normalized_robustness,0.8509032476094378
resnet,bandpass,0,electrode,all,17,8128,auroc_CD,absolute,0.8163272485540158
resnet,bandpass,0,electrode,all,17,8128,auroc_CD,clean_drop,0.08688764023135731
resnet,bandpass,0,electrode,all,17,8128,auroc_CD,normalized_robustness,0.9038018069552574
resnet,bandpass,0,electrode,all,17,8128,auroc_HYP,absolute,0.8377882726189325
resnet,bandpass,0,electrode,all,17,8128,auroc_HYP,clean_drop,0.05374915450768203
resnet,bandpass,0,electrode,all,17,8128,auroc_HYP,normalized_robustness,0.9397118361235233
resnet,bandpass,0,electrode,all,17,8128,ap_NORM,absolute,0.8227582184943621
resnet,bandpass,0,electrode,all,17,8128,ap_NORM,clean_drop,0.08589028400089704
resnet,bandpass,0,electrode,all,17,8128,ap_NORM,normalized_robustness,0.905474687113953
resnet,bandpass,0,electrode,all,17,8128,ap_MI,absolute,0.4844865136132318
resnet,bandpass,0,electrode,all,17,8128,ap_MI,clean_drop,0.26185269154547686
resnet,bandpass,0,electrode,all,17,8128,ap_MI,normalized_robustness,0.6491505608492815
resnet,bandpass,0,electrode,all,17,8128,ap_STTC,absolute,0.5548547470106774
resnet,bandpass,0,electrode,all,17,8128,ap_STTC,clean_drop,0.2477266253390581
resnet,bandpass,0,electrode,all,17,8128,ap_STTC,normalized_robustness,0.6913376837859136
resnet,bandpass,0,electrode,all,17,8128,ap_CD,absolute,0.6903805265373313
resnet,bandpass,0,electrode,all,17,8128,ap_CD,clean_drop,0.12302184702135455
resnet,bandpass,0,electrode,all,17,8128,ap_CD,normalized_robustness,0.8487564690966231
resnet,bandpass,0,electrode,all,17,8128,ap_HYP,absolute,0.5307466463103067
resnet,bandpass,0,electrode,all,17,8128,ap_HYP,clean_drop,0.10187437307911129
resnet,bandpass,0,electrode,all,17,8128,ap_HYP,normalized_robustness,0.8389646092090403
resnet,bandpass,0,electrode,all,17,8128,f1_NORM,absolute,0.2740213523131672
resnet,bandpass,0,electrode,all,17,8128,f1_NORM,clean_drop,0.5744634961716812
resnet,bandpass,0,electrode,all,17,8128,f1_NORM,normalized_robustness,0.32295373665442356
resnet,bandpass,0,electrode,all,17,8128,f1_MI,absolute,0.4652173913043478
resnet,bandpass,0,electrode,all,17,8128,f1_MI,clean_drop,0.21347113328581613
resnet,bandpass,0,electrode,all,17,8128,f1_MI,normalized_robustness,0.6854652383942851
resnet,bandpass,0,electrode,all,17,8128,f1_STTC,absolute,0.5402504472271914
resnet,bandpass,0,electrode,all,17,8128,f1_STTC,clean_drop,0.19044635126621723
resnet,bandpass,0,electrode,all,17,8128,f1_STTC,normalized_robustness,0.7393633697867167
resnet,bandpass,0,electrode,all,17,8128,f1_CD,absolute,0.5678033306899286
resnet,bandpass,0,electrode,all,17,8128,f1_CD,clean_drop,0.13768379137054176
resnet,bandpass,0,electrode,all,17,8128,f1_CD,normalized_robustness,0.804838689373631
resnet,bandpass,0,electrode,all,17,8128,f1_HYP,absolute,0.5095320623916811
resnet,bandpass,0,electrode,all,17,8128,f1_HYP,clean_drop,0.08651820690813927
resnet,bandpass,0,electrode,all,17,8128,f1_HYP,normalized_robustness,0.8548474661195491
resnet,bandpass,0,independent,all,17,8128,macro_auroc,absolute,0.8198729838561926
resnet,bandpass,0,independent,all,17,8128,macro_auroc,clean_drop,0.08701931546215325
resnet,bandpass,0,independent,all,17,8128,macro_auroc,normalized_robustness,0.9040466927236407
resnet,bandpass,0,independent,all,17,8128,macro_ap,absolute,0.6462208205001773
resnet,bandpass,0,independent,all,17,8128,macro_ap,clean_drop,0.1344976740901842
resnet,bandpass,0,independent,all,17,8128,macro_ap,normalized_robustness,0.827725774369439
resnet,bandpass,0,independent,all,17,8128,macro_f1,absolute,0.5372097858027637
resnet,bandpass,0,independent,all,17,8128,macro_f1,clean_drop,0.1746717267829787
resnet,bandpass,0,independent,all,17,8128,macro_f1,normalized_robustness,0.7546337084253258
resnet,bandpass,0,independent,all,17,8128,micro_auroc,absolute,0.7467288115008694
resnet,bandpass,0,independent,all,17,8128,micro_ap,absolute,0.4939213363851829
resnet,bandpass,0,independent,all,17,8128,micro_f1,absolute,0.5354976810560114
resnet,bandpass,0,independent,all,17,8128,brier,absolute,0.1766895055770874
resnet,bandpass,0,independent,all,17,8128,ece,absolute,0.1447914973609114
resnet,bandpass,0,independent,all,17,8128,mean_loss,absolute,0.5220373108548783
resnet,bandpass,0,independent,all,17,8128,mean_confidence,absolute,0.8060184717178345
resnet,bandpass,0,independent,all,17,8128,mean_entropy,absolute,0.4262867739885784
resnet,bandpass,0,independent,all,17,8128,clean_agreement,absolute,0.801760889712697
resnet,bandpass,0,independent,all,17,8128,probability_shift,absolute,0.1873835176229477
