kind,snr,metric,n,undefined,mean,sd,max
bandpass,20,II_ecg_0.5_40_reference_mv2,2158,0,0.0006863096425238301,0.0009128190341618183,0.022485757579037185
bandpass,20,II_ecg_0.5_40_abs_error_mv2,2158,0,2.3773792714702885e-05,4.095950134246351e-05,0.0006598373383911692
bandpass,20,II_ecg_0.5_40_relative_band_error,2158,0,0.0342600604140417,0.026168386330960865,0.1574913113792732
bandpass,20,II_ecg_0.5_40_relative_total_error,2158,0,0.03399121213381166,0.02595534040894084,0.15679132776231972
bandpass,20,II_high_40_nyquist_reference_mv2,2158,0,2.3720607248142053e-06,3.938821087912182e-06,0.00011822016987877555
bandpass,20,II_high_40_nyquist_abs_error_mv2,2158,0,1.3125288220590518e-06,2.3963696981183665e-06,5.676692091003888e-05
bandpass,20,II_high_40_nyquist_relative_band_error,2158,0,0.7037407353299601,0.9537321231958177,13.471039925600406
bandpass,20,II_high_40_nyquist_relative_total_error,2158,0,0.0019151688148714191,0.0016692220116602534,0.012527173890490203
bandpass,20,III_welch_total_reference_mv2,2158,0,0.0006910537136874032,0.0009035178407230037,0.022330073908152295
bandpass,20,III_welch_relative_l1,2158,0,0.45852629917165166,0.04119026510258156,0.6041989846984877
bandpass,20,III_requested_reference_mv2,2158,0,0.0006857189503660855,0.0008970999932752088,0.02217140744945891
bandpass,20,III_requested_abs_error_mv2,2158,0,2.4301081500284904e-05,5.536411756638565e-05,0.0014817387251077133
bandpass,20,III_requested_relative_band_error,2158,0,0.03400246443596601,0.025401460985896764,0.16134821584024756
bandpass,20,III_requested_relative_total_error,2158,0,0.033736272222028296,0.02520106291303464,0.16049274429141286
bandpass,20,III_baseline_0_0.5_reference_mv2,2158,0,2.9410713603456775e-06,4.0429668854691395e-06,7.486250134514883e-05
bandpass,20,III_baseline_0_0.5_abs_error_mv2,2158,0,1.7142072554939928e-06,2.904661523068188e-06,5.435681237549689e-05
bandpass,20,III_baseline_0_0.5_relative_band_error,2158,0,0.7626114932528749,1.0382170709006164,15.872542718878996
bandpass,20,III_baseline_0_0.5_relative_total_error,2158,0,0.002518981603505115,0.0022182742957052304,0.0182826943153477
bandpass,20,III_ecg_0.5_40_reference_mv2,2158,0,0.0006857189503660855,0.0008970999932752088,0.02217140744945891
bandpass,20,III_ecg_0.5_40_abs_error_mv2,2158,0,2.4301081500284904e-05,5.536411756638565e-05,0.0014817387251077133
bandpass,20,III_ecg_0.5_40_relative_band_error,2158,0,0.03400246443596601,0.025401460985896764,0.16134821584024756
bandpass,20,III_ecg_0.5_40_relative_total_error,2158,0,0.033736272222028296,0.02520106291303464,0.16049274429141286
bandpass,20,III_high_40_nyquist_reference_mv2,2158,0,2.393691960972487e-06,3.6592232406701044e-06,8.380395734823477e-05
bandpass,20,III_high_40_nyquist_abs_error_mv2,2158,0,1.351647171908867e-06,2.5038754954299345e-06,4.602685020675424e-05
bandpass,20,III_high_40_nyquist_relative_band_error,2158,0,0.7182664980163991,0.9390833721885995,13.994777618302145
bandpass,20,III_high_40_nyquist_relative_total_error,2158,0,0.0019455253006443816,0.0016635343004583114,0.013774442191454805
bandpass,20,aVR_welch_total_reference_mv2,2158,0,0.0005181191556678504,0.0006873498081408515,0.01678491040203455
bandpass,20,aVR_welch_relative_l1,2158,0,0.4593374420381808,0.041349006137919066,0.597897001495014
bandpass,20,aVR_requested_reference_mv2,2158,0,0.0005140860608333656,0.0006814756915968272,0.016620400405199156
bandpass,20,aVR_requested_abs_error_mv2,2158,0,1.772361729777356e-05,3.146387253119878e-05,0.0006787116453477078
bandpass,20,aVR_requested_relative_band_error,2158,0,0.03401572411244197,0.02522128522666145,0.16006549764093495
bandpass,20,aVR_requested_relative_total_error,2158,0,0.03375190239174983,0.025021529690887306,0.15763534511270447
bandpass,20,aVR_baseline_0_0.5_reference_mv2,2158,0,2.208910648754771e-06,3.674452784565192e-06,7.772407421519924e-05
bandpass,20,aVR_baseline_0_0.5_abs_error_mv2,2158,0,1.2647983018816084e-06,2.0793285484578242e-06,4.323288541466098e-05
bandpass,20,aVR_baseline_0_0.5_relative_band_error,2158,0,0.7979180776277163,1.0877433946853636,16.82524710343035
bandpass,20,aVR_baseline_0_0.5_relative_total_error,2158,0,0.0025718098551689955,0.0022048398005055907,0.018139705590245747
bandpass,20,aVR_ecg_0.5_40_reference_mv2,2158,0,0.0005140860608333656,0.0006814756915968272,0.016620400405199156
bandpass,20,aVR_ecg_0.5_40_abs_error_mv2,2158,0,1.772361729777356e-05,3.146387253119878e-05,0.0006787116453477078
bandpass,20,aVR_ecg_0.5_40_relative_band_error,2158,0,0.03401572411244197,0.02522128522666145,0.16006549764093495
bandpass,20,aVR_ecg_0.5_40_relative_total_error,2158,0,0.03375190239174983,0.025021529690887306,0.15763534511270447
bandpass,20,aVR_high_40_nyquist_reference_mv2,2158,0,1.8241841857304104e-06,3.0404075637002897e-06,8.678592262019296e-05
bandpass,20,aVR_high_40_nyquist_abs_error_mv2,2158,0,9.692331654407797e-07,1.6546074864643393e-06,3.040201749327623e-05
bandpass,20,aVR_high_40_nyquist_relative_band_error,2158,0,0.6798854501841806,0.9140215626338075,15.140273530464261
bandpass,20,aVR_high_40_nyquist_relative_total_error,2158,0,0.0018938767804463404,0.0017049544819674439,0.012994148990082345
bandpass,20,aVL_welch_total_reference_mv2,2158,0,0.00051765966072499,0.000674192410442902,0.016497748783528998
bandpass,20,aVL_welch_relative_l1,2158,0,0.45947810447380744,0.041865470191550264,0.6015604134623488
