distribution_index,model,kind,snr,active,noise_seed,training_seed,n_fixed_training_seeds,outcome,lhs,rhs,metric,point,ci95_low,ci95_high,n_bootstrap,n_valid,n_invalid,ci_method,conditioning
728,resnet,bandpass,0,all,8128,29,1,clean_drop,clean,independent_rms,auroc_MI,0.11073383084577115,0.08755345760900667,0.13465385698975715,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
729,resnet,bandpass,0,all,8128,29,1,clean_drop,clean,independent_rms,auroc_STTC,0.06645624163859509,0.05298856397006672,0.08055944524506838,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
730,resnet,bandpass,0,all,8128,29,1,clean_drop,clean,independent_rms,auroc_CD,0.05135003008423589,0.03632926198496372,0.06705604975796509,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
731,resnet,bandpass,0,all,8128,29,1,clean_drop,clean,independent_rms,auroc_HYP,0.04161432666602238,0.02744391405683593,0.05606125524143026,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
732,resnet,bandpass,0,all,8128,43,1,clean_drop,clean,independent_rms,macro_auroc,0.06003313598552329,0.052590445155075466,0.06714388731653247,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
733,resnet,bandpass,0,all,8128,43,1,clean_drop,clean,independent_rms,auroc_NORM,0.056953297097198874,0.045959379410060286,0.0678128315515815,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
734,resnet,bandpass,0,all,8128,43,1,clean_drop,clean,independent_rms,auroc_MI,0.09113862505653547,0.07417085746258636,0.10810597589135261,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
735,resnet,bandpass,0,all,8128,43,1,clean_drop,clean,independent_rms,auroc_STTC,0.08170111282166126,0.06682718192675463,0.09705470087342229,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
736,resnet,bandpass,0,all,8128,43,1,clean_drop,clean,independent_rms,auroc_CD,0.03772053685804122,0.022807778988091016,0.051621703576495016,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
737,resnet,bandpass,0,all,8128,43,1,clean_drop,clean,independent_rms,auroc_HYP,0.032652108094179844,0.02145650547691482,0.044809040293024106,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
738,resnet,bandpass,0,all,8128,mean_fixed_seeds,3,clean_drop,clean,independent_rms,macro_auroc,0.07182547333500518,0.06539578340286956,0.07792503754569037,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
739,resnet,bandpass,0,all,8128,mean_fixed_seeds,3,clean_drop,clean,independent_rms,auroc_NORM,0.05941480525612227,0.051518831463889886,0.06724923866209445,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
740,resnet,bandpass,0,all,8128,mean_fixed_seeds,3,clean_drop,clean,independent_rms,auroc_MI,0.118321649329112,0.10158283557110612,0.13490706512120143,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
741,resnet,bandpass,0,all,8128,mean_fixed_seeds,3,clean_drop,clean,independent_rms,auroc_STTC,0.08620117555051902,0.07498806648001081,0.0977933437918789,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
742,resnet,bandpass,0,all,8128,mean_fixed_seeds,3,clean_drop,clean,independent_rms,auroc_CD,0.05262456652821449,0.042556929738670854,0.06267380584861072,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
743,resnet,bandpass,0,all,8128,mean_fixed_seeds,3,clean_drop,clean,independent_rms,auroc_HYP,0.04256517001105845,0.03207702245851997,0.05374504849102118,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
744,resnet,bandpass,0,all,8128,17,1,absolute,electrode,,macro_auroc,0.7990826108255347,0.7867948215277297,0.8100280455711535,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
745,resnet,bandpass,0,all,8128,17,1,absolute,electrode,,auroc_NORM,0.8666119214275473,0.8506147654169506,0.8818203775116655,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
746,resnet,bandpass,0,all,8128,17,1,absolute,electrode,,auroc_MI,0.6923852329262777,0.6652266052059325,0.7190483481825052,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
747,resnet,bandpass,0,all,8128,17,1,absolute,electrode,,auroc_STTC,0.7823003786009003,0.7595470219180358,0.804661522579164,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
748,resnet,bandpass,0,all,8128,17,1,absolute,electrode,,auroc_CD,0.8163272485540157,0.7912645070825772,0.8418710275403412,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
749,resnet,bandpass,0,all,8128,17,1,absolute,electrode,,auroc_HYP,0.8377882726189326,0.8085416374475882,0.8627411664895813,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
750,resnet,bandpass,0,all,8128,29,1,absolute,electrode,,macro_auroc,0.8165355118588782,0.804330738785295,0.8282213235206919,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
751,resnet,bandpass,0,all,8128,29,1,absolute,electrode,,auroc_NORM,0.824784820796239,0.8066150063643909,0.8421587718479887,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
752,resnet,bandpass,0,all,8128,29,1,absolute,electrode,,auroc_MI,0.7500486205336951,0.7257035513842561,0.7757294170177623,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
753,resnet,bandpass,0,all,8128,29,1,absolute,electrode,,auroc_STTC,0.8277782142090829,0.8067288901035381,0.8486202293535432,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
754,resnet,bandpass,0,all,8128,29,1,absolute,electrode,,auroc_CD,0.8217945731920344,0.7967889778328024,0.8464484981289131,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
755,resnet,bandpass,0,all,8128,29,1,absolute,electrode,,auroc_HYP,0.8582713305633395,0.8305492436898079,0.8825815439789471,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
756,resnet,bandpass,0,all,8128,43,1,absolute,electrode,,macro_auroc,0.8301470977884609,0.8188420259184475,0.8410665257384773,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
757,resnet,bandpass,0,all,8128,43,1,absolute,electrode,,auroc_NORM,0.8602388804164114,0.8429763278079826,0.8759358864326932,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
758,resnet,bandpass,0,all,8128,43,1,absolute,electrode,,auroc_MI,0.7784056987788331,0.7551374209281096,0.8013134016966301,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
759,resnet,bandpass,0,all,8128,43,1,absolute,electrode,,auroc_STTC,0.8160086389948374,0.794677376590658,0.8364788557615174,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
760,resnet,bandpass,0,all,8128,43,1,absolute,electrode,,auroc_CD,0.8391536625131012,0.8144673187082094,0.8629694078864478,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
761,resnet,bandpass,0,all,8128,43,1,absolute,electrode,,auroc_HYP,0.8569286082391213,0.8306382119992375,0.8804366345178102,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
762,resnet,bandpass,0,all,8128,mean_fixed_seeds,3,absolute,electrode,,macro_auroc,0.8152550734909578,0.8047165328037007,0.8252659658527388,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
763,resnet,bandpass,0,all,8128,mean_fixed_seeds,3,absolute,electrode,,auroc_NORM,0.8505452075467326,0.8365381034837647,0.8637374243363215,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
764,resnet,bandpass,0,all,8128,mean_fixed_seeds,3,absolute,electrode,,auroc_MI,0.7402798507462687,0.719583640421082,0.7612841139094237,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
765,resnet,bandpass,0,all,8128,mean_fixed_seeds,3,absolute,electrode,,auroc_STTC,0.8086957439349401,0.7911605425734295,0.8266426838405393,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
766,resnet,bandpass,0,all,8128,mean_fixed_seeds,3,absolute,electrode,,auroc_CD,0.8257584947530505,0.805561703780211,0.8468560770413434,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
767,resnet,bandpass,0,all,8128,mean_fixed_seeds,3,absolute,electrode,,auroc_HYP,0.8509960704737978,0.8247041833634813,0.873651365328584,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
768,resnet,bandpass,0,all,8128,17,1,clean_drop,clean,electrode,macro_auroc,0.10780968849281114,0.09907613133606011,0.1167152277901317,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
769,resnet,bandpass,0,all,8128,17,1,clean_drop,clean,electrode,auroc_NORM,0.06748610730935845,0.05636145686430406,0.07864847323106697,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
770,resnet,bandpass,0,all,8128,17,1,clean_drop,clean,electrode,auroc_MI,0.19384950248756216,0.16834725130252987,0.2203213204456453,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
771,resnet,bandpass,0,all,8128,17,1,clean_drop,clean,electrode,auroc_STTC,0.13707603792809508,0.11905110948052354,0.15598116545062443,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
772,resnet,bandpass,0,all,8128,17,1,clean_drop,clean,electrode,auroc_CD,0.08688764023135753,0.06937701701094488,0.10373440171699133,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
773,resnet,bandpass,0,all,8128,17,1,clean_drop,clean,electrode,auroc_HYP,0.05374915450768181,0.03825420190865553,0.07026322613951133,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
774,resnet,bandpass,0,all,8128,29,1,clean_drop,clean,electrode,macro_auroc,0.09137574956557082,0.08199017533038402,0.10031661412015483,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
775,resnet,bandpass,0,all,8128,29,1,clean_drop,clean,electrode,auroc_NORM,0.10681752021446234,0.09175941771290305,0.12164092690659861,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
776,resnet,bandpass,0,all,8128,29,1,clean_drop,clean,electrode,auroc_MI,0.13753844414292182,0.11205752413109965,0.16186572342921837,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
777,resnet,bandpass,0,all,8128,29,1,clean_drop,clean,electrode,auroc_STTC,0.09935078563497435,0.08212536626243322,0.11607347207269429,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
778,resnet,bandpass,0,all,8128,29,1,clean_drop,clean,electrode,auroc_CD,0.07455916889872294,0.05711702053408614,0.09322053278137117,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
779,resnet,bandpass,0,all,8128,29,1,clean_drop,clean,electrode,auroc_HYP,0.0386128289367732,0.024666825737150486,0.053041460166651795,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
780,resnet,bandpass,0,all,8128,43,1,clean_drop,clean,electrode,macro_auroc,0.0785534067348519,0.0706662970768465,0.08626816442329302,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
781,resnet,bandpass,0,all,8128,43,1,clean_drop,clean,electrode,auroc_NORM,0.07478112766502865,0.06228015849799281,0.08794111710068564,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
782,resnet,bandpass,0,all,8128,43,1,clean_drop,clean,electrode,auroc_MI,0.11901628222523741,0.09919095919890686,0.13833194388618852,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
783,resnet,bandpass,0,all,8128,43,1,clean_drop,clean,electrode,auroc_STTC,0.1097473609910925,0.09342856909892706,0.12649764687215082,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
784,resnet,bandpass,0,all,8128,43,1,clean_drop,clean,electrode,auroc_CD,0.05602461084585231,0.039981808617841154,0.07198966802230634,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
785,resnet,bandpass,0,all,8128,43,1,clean_drop,clean,electrode,auroc_HYP,0.033197651947048046,0.020933697398509928,0.04560431222811036,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
786,resnet,bandpass,0,all,8128,mean_fixed_seeds,3,clean_drop,clean,electrode,macro_auroc,0.09257961493107796,0.08580999864308432,0.09903985135545111,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
787,resnet,bandpass,0,all,8128,mean_fixed_seeds,3,clean_drop,clean,electrode,auroc_NORM,0.08302825172961648,0.07327370633898386,0.0926042623007354,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
788,resnet,bandpass,0,all,8128,mean_fixed_seeds,3,clean_drop,clean,electrode,auroc_MI,0.15013474295190712,0.13121045668246242,0.16880746191936183,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
789,resnet,bandpass,0,all,8128,mean_fixed_seeds,3,clean_drop,clean,electrode,auroc_STTC,0.11539139485138732,0.1029858601098682,0.12773720640581646,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
790,resnet,bandpass,0,all,8128,mean_fixed_seeds,3,clean_drop,clean,electrode,auroc_CD,0.07249047332531093,0.0607148358947664,0.08393034426924828,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
791,resnet,bandpass,0,all,8128,mean_fixed_seeds,3,clean_drop,clean,electrode,auroc_HYP,0.04185321179716769,0.0312640493693544,0.05358342403165392,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
792,resnet,bandpass,0,all,8128,17,1,absolute,covariance,,macro_auroc,0.7972965623388999,0.7846511962033274,0.8091443500441898,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
793,resnet,bandpass,0,all,8128,17,1,absolute,covariance,,auroc_NORM,0.8672480089677915,0.8511692458415204,0.8823373642870564,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
794,resnet,bandpass,0,all,8128,17,1,absolute,covariance,,auroc_MI,0.6836092265943012,0.6565227314898135,0.7116408286550747,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
795,resnet,bandpass,0,all,8128,17,1,absolute,covariance,,auroc_STTC,0.7874828375017734,0.7645608733453941,0.8083463980052491,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
796,resnet,bandpass,0,all,8128,17,1,absolute,covariance,,auroc_CD,0.811426429486433,0.7849697810087258,0.8365579278834074,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
797,resnet,bandpass,0,all,8128,17,1,absolute,covariance,,auroc_HYP,0.8367163091442007,0.8080141097632563,0.8630876164949379,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
798,resnet,bandpass,0,all,8128,29,1,absolute,covariance,,macro_auroc,0.8167480078903882,0.8047450001386905,0.8285022344891564,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
799,resnet,bandpass,0,all,8128,29,1,absolute,covariance,,auroc_NORM,0.8266522417306448,0.8084565545592716,0.8437656343716261,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
800,resnet,bandpass,0,all,8128,29,1,absolute,covariance,,auroc_MI,0.7448326549072818,0.7193129436377123,0.7698944156084799,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
801,resnet,bandpass,0,all,8128,29,1,absolute,covariance,,auroc_STTC,0.8294056470041987,0.8083357939747259,0.8489317604523499,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
802,resnet,bandpass,0,all,8128,29,1,absolute,covariance,,auroc_CD,0.8312092407127053,0.807252115549701,0.8543337804128874,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
803,resnet,bandpass,0,all,8128,29,1,absolute,covariance,,auroc_HYP,0.8516402550971108,0.8223522714060917,0.8779145848257102,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
804,resnet,bandpass,0,all,8128,43,1,absolute,covariance,,macro_auroc,0.8289918978297349,0.817271071789463,0.839953204379976,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
805,resnet,bandpass,0,all,8128,43,1,absolute,covariance,,auroc_NORM,0.8610713556398458,0.844565766440723,0.8770283941290539,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
806,resnet,bandpass,0,all,8128,43,1,absolute,covariance,,auroc_MI,0.7761765038444143,0.7538554907242827,0.7990279025437333,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
807,resnet,bandpass,0,all,8128,43,1,absolute,covariance,,auroc_STTC,0.8218090064569686,0.8003333256387639,0.8420208992817473,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
808,resnet,bandpass,0,all,8128,43,1,absolute,covariance,,auroc_CD,0.8371169112223904,0.8126550076648249,0.8612072348223156,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
809,resnet,bandpass,0,all,8128,43,1,absolute,covariance,,auroc_HYP,0.8487857119850549,0.8217052875473079,0.8733815493174898,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
810,resnet,bandpass,0,all,8128,mean_fixed_seeds,3,absolute,covariance,,macro_auroc,0.8143454893530077,0.8039388457856494,0.8239670359862373,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
811,resnet,bandpass,0,all,8128,mean_fixed_seeds,3,absolute,covariance,,auroc_NORM,0.8516572021127607,0.8374856417299243,0.8651229271580146,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
812,resnet,bandpass,0,all,8128,mean_fixed_seeds,3,absolute,covariance,,auroc_MI,0.7348727951153324,0.7150947936119473,0.7550065715501759,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
813,resnet,bandpass,0,all,8128,mean_fixed_seeds,3,absolute,covariance,,auroc_STTC,0.8128991636543136,0.7952039822468852,0.829408743129003,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
814,resnet,bandpass,0,all,8128,mean_fixed_seeds,3,absolute,covariance,,auroc_CD,0.8265841938071762,0.8051665457008977,0.8471734192434192,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
815,resnet,bandpass,0,all,8128,mean_fixed_seeds,3,absolute,covariance,,auroc_HYP,0.8457140920754554,0.8183725044435881,0.8703951242351327,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
816,resnet,bandpass,0,all,8128,17,1,clean_drop,clean,covariance,macro_auroc,0.10959573697944591,0.10040155780091764,0.1183844467323083,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
817,resnet,bandpass,0,all,8128,17,1,clean_drop,clean,covariance,auroc_NORM,0.0668500197691142,0.05601164804854584,0.0774560293270956,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
818,resnet,bandpass,0,all,8128,17,1,clean_drop,clean,covariance,auroc_MI,0.20262550881953867,0.1759610104514286,0.22821878186854175,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
819,resnet,bandpass,0,all,8128,17,1,clean_drop,clean,covariance,auroc_STTC,0.13189357902722199,0.1131203172002268,0.15160901632630633,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
820,resnet,bandpass,0,all,8128,17,1,clean_drop,clean,covariance,auroc_CD,0.0917884592989403,0.07444248505844038,0.10924434658753866,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
821,resnet,bandpass,0,all,8128,17,1,clean_drop,clean,covariance,auroc_HYP,0.054821117982413736,0.040394932012863025,0.06992086927261185,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
822,resnet,bandpass,0,all,8128,29,1,clean_drop,clean,covariance,macro_auroc,0.09116325353406085,0.08177253729709134,0.10051420876159263,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
