distribution_index,model,kind,snr,active,noise_seed,training_seed,n_fixed_training_seeds,outcome,lhs,rhs,metric,point,ci95_low,ci95_high,n_bootstrap,n_valid,n_invalid,ci_method,conditioning
19,resnet,clean,100,all,8128,mean_fixed_seeds,3,absolute,clean,,auroc_NORM,0.933573459276349,0.9230151813875956,0.9430469712944686,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
20,resnet,clean,100,all,8128,mean_fixed_seeds,3,absolute,clean,,auroc_MI,0.8904145936981758,0.8756788326543182,0.9044071549467221,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
21,resnet,clean,100,all,8128,mean_fixed_seeds,3,absolute,clean,,auroc_STTC,0.9240871387863274,0.9125561951726786,0.9358595752730714,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
22,resnet,clean,100,all,8128,mean_fixed_seeds,3,absolute,clean,,auroc_CD,0.8982489680783615,0.8804620989383407,0.9145737715867603,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
23,resnet,clean,100,all,8128,mean_fixed_seeds,3,absolute,clean,,auroc_HYP,0.8928492822709656,0.8719188538632349,0.9120410005583468,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
24,resnet,bandpass,20,all,8128,17,1,absolute,independent,,macro_auroc,0.9055778259657924,0.8970288543693353,0.9133355555588444,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
25,resnet,bandpass,20,all,8128,17,1,absolute,independent,,auroc_NORM,0.9331221731253014,0.9218618690130618,0.943257548181181,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
26,resnet,bandpass,20,all,8128,17,1,absolute,independent,,auroc_MI,0.8846178199909543,0.867692131172023,0.9003386276730744,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
27,resnet,bandpass,20,all,8128,17,1,absolute,independent,,auroc_STTC,0.91869402035698,0.9059248079488046,0.9314508899135582,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
28,resnet,bandpass,20,all,8128,17,1,absolute,independent,,auroc_CD,0.9020515507938356,0.8835163597653233,0.9189657889942897,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
29,resnet,bandpass,20,all,8128,17,1,absolute,independent,,auroc_HYP,0.88940356556189,0.8666103833775733,0.9089631793005735,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
30,resnet,bandpass,20,all,8128,29,1,absolute,independent,,macro_auroc,0.9071848113211857,0.898923136985306,0.91508367156922,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
31,resnet,bandpass,20,all,8128,29,1,absolute,independent,,auroc_NORM,0.9304066354705701,0.9188916466798365,0.9409812487901827,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
32,resnet,bandpass,20,all,8128,29,1,absolute,independent,,auroc_MI,0.8852317955676164,0.8672826634006258,0.901848172239857,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
33,resnet,bandpass,20,all,8128,29,1,absolute,independent,,auroc_STTC,0.9259740853604916,0.9133384428500392,0.9382778167212825,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
34,resnet,bandpass,20,all,8128,29,1,absolute,independent,,auroc_CD,0.8972562691665696,0.8787985984614624,0.9149558082749929,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
35,resnet,bandpass,20,all,8128,29,1,absolute,independent,,auroc_HYP,0.8970552710406803,0.8747559043896485,0.9170932162544063,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
36,resnet,bandpass,20,all,8128,43,1,absolute,independent,,macro_auroc,0.9081059210259079,0.9003320024988868,0.9160278961769843,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
37,resnet,bandpass,20,all,8128,43,1,absolute,independent,,auroc_NORM,0.9342179468797386,0.9236529590037834,0.9440930232975778,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
38,resnet,bandpass,20,all,8128,43,1,absolute,independent,,auroc_MI,0.8968690637720489,0.8811481104705254,0.9115019165654858,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
39,resnet,bandpass,20,all,8128,43,1,absolute,independent,,auroc_STTC,0.9254476319563079,0.912493873776291,0.9374629946741736,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
40,resnet,bandpass,20,all,8128,43,1,absolute,independent,,auroc_CD,0.8939955261829898,0.8744310343165792,0.9121822120581992,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
41,resnet,bandpass,20,all,8128,43,1,absolute,independent,,auroc_HYP,0.8899994363384546,0.8691904599465953,0.9101315780312187,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
42,resnet,bandpass,20,all,8128,mean_fixed_seeds,3,absolute,independent,,macro_auroc,0.9069561861042953,0.8992466206607528,0.9142337088505468,2000,2000,0,patient_cluster_percentile_95,"95% percentile patient-cluster CI; fixed trained models, fixed test-noise realization (base 8128); not joint patient/training/noise uncertainty"
