model,kind,snr,condition,active,metric,outcome,noise_seed,n_training_seeds,mean_over_training_seeds
resnet,bandpass,0,covariance,all,ap_STTC,clean_drop,101,3,0.2146018333620345
resnet,bandpass,0,covariance,all,ap_STTC,clean_drop,202,3,0.20866121212618857
resnet,bandpass,0,covariance,all,ap_STTC,clean_drop,303,3,0.22018557594158517
resnet,bandpass,0,covariance,all,ap_STTC,clean_drop,404,3,0.20577607222321428
resnet,bandpass,0,covariance,all,ap_STTC,clean_drop,505,3,0.22159380169516527
resnet,bandpass,0,covariance,all,ap_STTC,normalized_robustness,101,3,0.7353454731475381
resnet,bandpass,0,covariance,all,ap_STTC,normalized_robustness,202,3,0.7427072651047882
resnet,bandpass,0,covariance,all,ap_STTC,normalized_robustness,303,3,0.7284153456042118
resnet,bandpass,0,covariance,all,ap_STTC,normalized_robustness,404,3,0.7461459157531452
resnet,bandpass,0,covariance,all,ap_STTC,normalized_robustness,505,3,0.7268328497165101
resnet,bandpass,0,covariance,all,auroc_CD,absolute,101,3,0.8285230904597389
resnet,bandpass,0,covariance,all,auroc_CD,absolute,202,3,0.8298186535201791
resnet,bandpass,0,covariance,all,auroc_CD,absolute,303,3,0.8299520916631083
resnet,bandpass,0,covariance,all,auroc_CD,absolute,404,3,0.8256181825239702
resnet,bandpass,0,covariance,all,auroc_CD,absolute,505,3,0.8299066013871097
resnet,bandpass,0,covariance,all,auroc_CD,clean_drop,101,3,0.06972587761862237
resnet,bandpass,0,covariance,all,auroc_CD,clean_drop,202,3,0.06843031455818227
resnet,bandpass,0,covariance,all,auroc_CD,clean_drop,303,3,0.06829687641525299
resnet,bandpass,0,covariance,all,auroc_CD,clean_drop,404,3,0.07263078555439095
resnet,bandpass,0,covariance,all,auroc_CD,clean_drop,505,3,0.0683423666912516
resnet,bandpass,0,covariance,all,auroc_CD,normalized_robustness,101,3,0.9224418403334383
resnet,bandpass,0,covariance,all,auroc_CD,normalized_robustness,202,3,0.9238783284595818
resnet,bandpass,0,covariance,all,auroc_CD,normalized_robustness,303,3,0.924030523644895
resnet,bandpass,0,covariance,all,auroc_CD,normalized_robustness,404,3,0.9192153576184726
resnet,bandpass,0,covariance,all,auroc_CD,normalized_robustness,505,3,0.9239591469452044
resnet,bandpass,0,covariance,all,auroc_HYP,absolute,101,3,0.84721484094008
resnet,bandpass,0,covariance,all,auroc_HYP,absolute,202,3,0.8486910973685058
resnet,bandpass,0,covariance,all,auroc_HYP,absolute,303,3,0.847429569147851
resnet,bandpass,0,covariance,all,auroc_HYP,absolute,404,3,0.8483347827487356
resnet,bandpass,0,covariance,all,auroc_HYP,absolute,505,3,0.8438483052576201
resnet,bandpass,0,covariance,all,auroc_HYP,clean_drop,101,3,0.04563444133088538
resnet,bandpass,0,covariance,all,auroc_HYP,clean_drop,202,3,0.04415818490245967
resnet,bandpass,0,covariance,all,auroc_HYP,clean_drop,303,3,0.04541971312311458
resnet,bandpass,0,covariance,all,auroc_HYP,clean_drop,404,3,0.04451449952222978
