model,snr,macro_auroc_mean,macro_auroc_std,macro_auroc_min,macro_auroc_max,macro_ap_mean,macro_ap_std,macro_ap_min,macro_ap_max,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max,mean_loss_mean,mean_loss_std,mean_loss_min,mean_loss_max
resnet,0,-0.018805167494301174,0.0005879201187409509,-0.01949467049903501,-0.018073182619339212,-0.030862754341451627,0.0021330157853822807,-0.03406289537343362,-0.02871150013099359,-0.06391848356042154,0.0029065291651055964,-0.06706545853488872,-0.05950821106595298,0.052024167828584676,0.0010190694207630963,0.05083055101230279,0.0535996926377198
resnet,10,-0.0022112584743426847,0.0010987467363249852,-0.0037391397581793737,-0.000689883823312735,-0.00395439848287508,0.0024307982989157035,-0.006665873577776593,-4.64395529747863e-05,-0.007223159200883553,0.0013833512470288005,-0.009192501111251547,-0.005789809334938038,0.008128671438355422,0.002081874673175809,0.005169185696195826,0.010650439778196371
resnet,20,-0.00015544839328961076,0.000531352070031213,-0.0009112255715216048,0.00048124611642471243,-0.0004548224911864611,0.001146604413049253,-0.0019953956634849077,0.001004402172624282,3.8753493580504816e-05,0.001564900002573153,-0.0021196185094872386,0.002257199304413556,0.00025506270892195664,0.001067451576236231,-0.0011369270669445524,0.0016420647736201295
tcn,0,-0.012442915011856199,0.00126455217551668,-0.013932437573371962,-0.010665939242093877,-0.019122676610191645,0.001811353130333817,-0.020830686194437547,-0.017129582551514533,-0.0988524656984798,0.0023338523146314654,-0.10199524889479487,-0.09560071487180057,0.09507041956086894,0.0007620340096675456,0.09416811062827275,0.09624031558304029
tcn,10,-0.0005224735850834161,0.0005290249451660899,-0.0011414445412626744,4.585024907347949e-05,-0.000840931158217965,0.0010519039831172795,-0.0023530887935795017,0.00023963368908016167,-0.005395363849770152,0.0017497237800986859,-0.00724289011603078,-0.002637560600884714,-0.0005744294005067781,0.0014215732772916503,-0.0023978568979470447,0.001046148640428235
tcn,20,0.0001122253904555226,0.00016738658851519,-5.1925404873753855e-05,0.0003792318461728339,0.0002822514606225586,0.0003763749589449576,-0.00021696380435439386,0.0007639261022151326,0.0009120806808422458,0.0006903848578151423,0.0002500911417658476,0.002058047713639969,-0.0011772150383826988,0.000439357289063763,-0.0018772005080979204,-0.0007914965643622077
